Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 18:13:37
Device temperature = 21.8875
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBrxma
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;21.2918
0.253673;20.8703
0.507346;20.2148
0.76102;20.0711
1.01469;20.6232
1.26837;20.7914
1.52204;20.8619
1.77571;20.6007
2.02939;20.2771
2.28306;20.094
2.53673;19.6782
2.79041;19.6207
3.04408;19.966
3.29775;20.09
3.55142;20.085
3.8051;20.5339
4.05877;20.7725
4.31244;20.9451
4.56612;21.0855
4.81979;21.0848
5.07346;21.0578
5.32714;20.9172
5.58081;20.797
5.83448;20.7791
6.08816;20.6124
6.34183;20.5157
6.5955;20.2802
6.84918;20.2997
7.10285;20.2655
7.35652;20.3307
7.6102;20.3836
7.86387;20.5367
8.11754;20.5768
8.37122;20.6452
8.62489;20.5286
8.87856;20.1679
9.13223;20.0706
9.38591;20.0535
9.63958;20.0384
9.89325;20.2728
10.1469;20.3561
10.4006;20.2286
10.6543;20.2693
10.9079;20.2801
11.1616;20.4168
11.4153;20.3919
11.669;20.3664
11.9226;20.2685
12.1763;20.3459
12.43;20.4522
12.6837;20.5231
12.9373;20.4619
13.191;20.3066
13.4447;20.1641
13.6984;20.0561
13.952;19.9898
14.2057;20.1363
14.4594;20.2014
14.713;20.1912
14.9667;20.0544
15.2204;20.0728
15.4741;20.0156
15.7277;20.0464
15.9814;19.9592
16.2351;20.0321
16.4888;19.9696
16.7424;20.0865
16.9961;19.9807
17.2498;20.0451
17.5035;20.0386
17.7571;20.2004
18.0108;20.2953
18.2645;20.1785
18.5181;20.2259
18.7718;20.302
