Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 08:03:36
Device temperature = 21.963
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBr7Q5
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;19.5214
0.253673;18.4468
0.507346;16.9443
0.76102;15.9656
1.01469;16.0099
1.26837;15.9015
1.52204;15.7502
1.77571;15.2497
2.02939;15.1318
2.28306;15.4916
2.53673;15.5056
2.79041;15.5017
3.04408;15.3546
3.29775;15.2641
3.55142;15.2341
3.8051;15.1444
4.05877;15.0913
4.31244;15.1571
4.56612;15.1454
4.81979;15.174
5.07346;15.1263
5.32714;15.1371
5.58081;15.0844
5.83448;15.0926
6.08816;15.0493
6.34183;15.0499
6.5955;15.1632
6.84918;15.1103
7.10285;15.0528
7.35652;14.9729
7.6102;14.9876
7.86387;14.9979
8.11754;14.9531
8.37122;14.9798
8.62489;15.0259
8.87856;14.9704
9.13223;15.0598
9.38591;15.0061
9.63958;15.0844
9.89325;15.0157
10.1469;14.9729
10.4006;14.9726
10.6543;15.0028
10.9079;14.857
11.1616;14.9682
11.4153;14.9005
11.669;14.8915
11.9226;14.8857
12.1763;14.842
12.43;14.9407
12.6837;14.9402
12.9373;14.9708
13.191;14.9203
13.4447;14.8878
13.6984;14.9112
13.952;14.944
14.2057;14.8901
14.4594;15.0107
14.713;14.9824
14.9667;15.022
15.2204;15.0021
15.4741;14.9713
15.7277;14.9498
15.9814;15.0232
16.2351;14.9636
16.4888;14.9446
16.7424;14.9356
16.9961;14.9427
17.2498;15.0209
17.5035;14.9903
17.7571;14.9514
18.0108;14.9045
18.2645;14.8808
18.5181;14.8857
18.7718;14.9214
19.0255;14.93
19.2792;14.9017
19.5328;14.9175
19.7865;14.8823
20.0402;15.0308
20.2939;14.9004
20.5475;15.0864
20.8012;15.0243
21.0549;14.9863
21.3085;14.8856
21.5622;14.8707
21.8159;14.9212
22.0696;14.8898
22.3232;14.949
22.5769;14.9676
22.8306;15.0618
23.0843;14.9819
23.3379;15.0477
23.5916;14.9344
23.8453;15.0097
24.099;14.8678
24.3526;14.8782
24.6063;14.9287
24.86;14.9503
25.1136;14.9983
25.3673;15.0347
25.621;14.8717
25.8747;14.793
26.1283;14.8225
26.382;14.8559
26.6357;14.898
26.8894;14.9219
27.143;14.8117
27.3967;14.7947
27.6504;14.726
27.9041;14.7149
28.1577;14.7927
28.4114;14.7798
28.6651;14.4569
28.9187;13.474
29.1724;10.7918
29.4261;9.58982
29.6798;9.2575
29.9334;9.20154
30.1871;9.32732
30.4408;9.16185
30.6945;9.20765
30.9481;9.17889
31.2018;9.11068
31.4555;9.09442
31.7092;9.0576
31.9628;9.00824
32.2165;9.15571
32.4702;9.16664
32.7238;9.33213
32.9775;9.42534
33.2312;9.50606
33.4849;9.317
33.7385;9.30059
33.9922;9.15172
34.2459;9.17712
34.4996;9.18434
34.7532;9.19631
35.0069;9.17276
35.2606;9.00158
35.5142;8.90833
35.7679;8.67905
36.0216;8.60478
36.2753;8.63545
36.5289;8.61304
36.7826;8.61348
37.0363;8.64957
37.29;8.63219
37.5436;8.61572
37.7973;8.57874
38.051;8.55003
38.3047;8.6376
38.5583;8.57223
38.812;8.5531
39.0657;8.55985
39.3193;8.5472
39.573;8.61855
39.8267;8.48396
40.0804;8.54316
40.334;8.43879
40.5877;8.52882
40.8414;8.54215
41.0951;8.62714
41.3487;8.65542
41.6024;8.79872
41.8561;8.8065
42.1097;8.79499
42.3634;8.76235
42.6171;8.75379
42.8708;8.81714
43.1244;8.85707
43.3781;8.9213
43.6318;8.9367
43.8855;8.88803
44.1391;8.80526
44.3928;8.81291
44.6465;8.77453
44.9002;8.8473
45.1538;8.86417
45.4075;8.90267
45.6612;8.87844
45.9148;8.86482
46.1685;8.72495
46.4222;8.81575
46.6759;8.83325
46.9295;8.97533
47.1832;9.06906
47.4369;8.90414
47.6906;8.82292
47.9442;8.77509
48.1979;8.6056
48.4516;8.71261
48.7053;8.74708
48.9589;8.74558
49.2126;8.64058
49.4663;8.58646
49.7199;8.44473
49.9736;8.53102
50.2273;8.56853
50.481;8.7643
50.7346;8.76373
50.9883;8.77619
51.242;8.76663
51.4957;8.68435
51.7493;8.69454
52.003;8.71563
52.2567;8.83315
52.5104;8.79374
52.764;8.7377
53.0177;8.6968
53.2714;8.65992
53.525;8.67109
53.7787;8.66718
54.0324;8.6991
54.2861;8.66748
54.5397;8.53032
54.7934;8.55374
55.0471;8.54893
55.3008;8.61021
55.5544;8.69989
55.8081;8.82713
56.0618;8.85883
56.3154;8.93893
56.5691;8.95616
56.8228;8.888
57.0765;8.79633
57.3301;8.82013
57.5838;8.68631
57.8375;8.65092
58.0912;8.70641
58.3448;8.6703
58.5985;8.69096
58.8522;8.55323
59.1059;8.54634
59.3595;8.56314
59.6132;8.57584
59.8669;8.48807
60.1205;8.39031
60.3742;8.48534
60.6279;8.40544
60.8816;8.44291
61.1352;8.40145
61.3889;8.4784
61.6426;8.44616
61.8963;8.52993
62.1499;8.42558
62.4036;8.39587
62.6573;8.45182
62.911;8.44669
63.1646;8.49467
63.4183;8.47185
63.672;8.41722
63.9256;8.40932
64.1793;8.34796
64.433;8.35192
64.6867;8.3214
64.9403;8.36032
65.194;8.31931
65.4477;8.4034
65.7014;8.40087
65.955;8.41244
66.2087;8.43042
66.4624;8.37212
66.716;8.45146
66.9697;8.44103
67.2234;8.38195
67.4771;8.43525
67.7307;8.47516
67.9844;8.56758
68.2381;8.63468
68.4918;8.63797
68.7454;8.61195
68.9991;8.59943
69.2528;8.67141
69.5065;8.8529
69.7601;8.9818
70.0138;8.88124
70.2675;8.78875
70.5211;8.69569
70.7748;8.66106
71.0285;8.60064
71.2822;8.52364
71.5358;8.47776
71.7895;8.4251
72.0432;8.44588
72.2969;8.45141
72.5505;8.45974
72.8042;8.47861
73.0579;8.44167
73.3116;8.49485
73.5652;8.54162
73.8189;8.5028
74.0726;8.47414
74.3262;8.44945
74.5799;8.41398
74.8336;8.40335
75.0873;8.34422
75.3409;8.32206
75.5946;8.43838
75.8483;8.34486
76.102;8.42755
76.3556;8.4468
76.6093;8.41164
76.863;8.41188
77.1167;8.37396
77.3703;8.35562
77.624;8.45629
77.8777;8.36858
78.1313;8.39177
78.385;8.34635
78.6387;8.36887
78.8924;8.30905
79.146;8.2681
79.3997;8.23834
79.6534;8.30496
79.9071;8.33204
80.1607;8.31812
80.4144;8.29041
80.6681;8.22924
80.9218;8.18132
81.1754;8.28586
81.4291;8.28876
81.6828;8.23674
81.9364;8.08375
82.1901;8.19341
82.4438;8.1992
82.6975;8.19957
82.9511;8.19286
83.2048;8.25375
83.4585;8.2369
83.7122;8.20393
83.9658;8.14652
84.2195;8.18623
84.4732;8.19104
84.7268;8.15609
84.9805;8.24128
85.2342;8.13033
85.4879;8.1167
85.7415;8.17904
85.9952;8.21889
86.2489;8.28173
86.5026;8.17239
86.7562;8.27134
87.0099;8.30475
87.2636;8.33569
87.5173;8.37576
87.7709;8.28487
88.0246;8.28045
88.2783;8.23355
88.5319;8.19023
88.7856;8.14892
89.0393;8.14375
89.293;8.1085
89.5466;8.16938
89.8003;8.25862
90.054;8.30735
90.3077;8.21532
90.5613;8.26433
90.815;8.31367
91.0687;8.25508
91.3223;8.18606
91.576;8.19266
91.8297;8.13218
92.0834;8.11627
92.337;8.14565
92.5907;8.04429
92.8444;8.1419
93.0981;8.22495
93.3517;8.2622
93.6054;8.33827
93.8591;8.38971
94.1128;8.33794
94.3664;8.42127
94.6201;8.42632
94.8738;8.41495
95.1274;8.27239
95.3811;8.20868
95.6348;8.20208
95.8885;8.28497
96.1421;8.23548
96.3958;8.28463
96.6495;8.35964
96.9032;8.23029
97.1568;8.2759
97.4105;8.28668
97.6642;8.30101
97.9179;8.29862
98.1715;8.28712
98.4252;8.20376
98.6789;8.25352
98.9325;8.14665
99.1862;8.17636
99.4399;8.18449
99.6936;8.24337
99.9472;8.28423
100.201;8.27712
100.455;8.31892
100.708;8.30144
100.962;8.33297
101.216;8.31102
101.469;8.33005
101.723;8.32614
101.977;8.25177
102.23;8.24831
102.484;8.18244
102.738;8.10497
102.991;8.09589
103.245;8.06973
103.499;7.94465
103.752;7.92821
104.006;7.81293
104.26;7.77966
104.513;7.79808
104.767;7.7504
105.021;7.71834
105.274;7.74824
105.528;7.78588
105.782;7.68512
106.035;7.69162
106.289;7.46571
106.543;7.48811
106.796;7.35672
107.05;7.37531
107.304;7.28618
107.557;7.06752
107.811;6.96008
108.065;6.94985
108.318;6.92989
108.572;6.75075
108.826;6.69396
109.079;6.57974
109.333;6.45448
109.587;6.36955
109.84;6.36531
110.094;6.26722
110.348;6.08421
110.602;5.99176
110.855;6.06853
111.109;6.21118
111.363;6.49191
111.616;6.49249
111.87;6.55143
112.124;6.64305
112.377;6.4902
112.631;6.44808
112.885;6.44464
113.138;6.58559
113.392;6.68651
113.646;6.69574
113.899;6.75853
114.153;6.72512
114.407;6.6757
114.66;6.76777
114.914;6.72567
115.168;6.6074
115.421;6.36685
115.675;6.22524
115.929;6.094
116.182;6.03259
116.436;5.80299
116.69;5.80802
116.943;5.86848
117.197;5.93644
117.451;6.04752
117.704;6.01915
117.958;6.07892
118.212;6.07547
118.465;6.06232
118.719;6.07879
118.973;5.91553
119.226;5.91975
119.48;5.85933
119.734;5.78771
119.987;5.74526
120.241;5.84388
120.495;5.73411
120.748;5.7692
121.002;5.73085
121.256;5.91722
121.509;6.35675
121.763;6.81268
122.017;6.98653
122.27;6.64232
122.524;5.77833
122.778;5.7925
123.032;5.91251
123.285;5.948
123.539;6.09583
123.793;6.34174
124.046;6.3994
124.3;6.36518
124.554;6.61848
124.807;6.92128
125.061;6.8763
125.315;6.71716
125.568;6.91699
125.822;7.20486
126.076;7.39838
126.329;7.50183
126.583;7.51829
126.837;7.61877
127.09;7.6221
127.344;7.66609
127.598;7.68196
127.851;7.59278
128.105;7.67621
128.359;7.69627
128.612;7.74451
128.866;7.77174
129.12;7.74333
129.373;7.76386
129.627;7.73648
129.881;7.73398
130.134;7.82239
130.388;7.84591
130.642;7.88444
130.895;7.91546
131.149;7.88881
131.403;7.9248
131.656;8.15051
131.91;8.36245
132.164;8.48492
132.417;8.4745
132.671;8.24745
132.925;8.27815
133.178;8.38161
133.432;8.53022
133.686;8.79787
133.939;8.72986
134.193;8.53674
134.447;8.2642
134.7;8.04421
134.954;8.0679
135.208;8.16899
135.461;8.2301
135.715;8.48766
135.969;8.69734
136.223;8.87841
136.476;8.91082
136.73;8.35587
136.984;8.15378
137.237;8.04609
137.491;8.04255
137.745;7.88703
137.998;7.85617
138.252;7.85636
138.506;8.09869
138.759;8.00466
139.013;7.74334
139.267;7.57045
139.52;7.63383
139.774;7.78843
140.028;7.79835
140.281;7.97933
140.535;8.33175
140.789;8.51963
141.042;8.32622
141.296;8.17205
141.55;8.12264
141.803;8.2011
142.057;8.23162
142.311;8.59903
142.564;9.10861
142.818;9.22197
143.072;8.63807
143.325;8.17297
143.579;8.05079
143.833;8.15082
144.086;8.23391
144.34;8.43526
144.594;8.65064
144.847;8.70188
145.101;8.45825
145.355;8.21285
145.608;8.1761
145.862;8.2257
146.116;8.50514
146.369;8.77504
146.623;8.92867
146.877;8.63898
147.13;8.48847
147.384;8.31087
147.638;8.16779
147.891;8.12552
148.145;8.11302
148.399;8.16831
148.652;8.20125
148.906;8.37104
149.16;8.72367
149.414;9.03238
149.667;8.9778
149.921;8.43478
150.175;8.13784
150.428;8.17887
150.682;8.30435
150.936;8.42921
151.189;8.44944
151.443;8.48302
151.697;8.4559
151.95;8.4063
152.204;8.40573
152.458;8.34355
