Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 07:53:36
Device temperature = 22.0865
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBsLEn
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;19.634
0.253673;18.5366
0.507346;17.1304
0.76102;16.0518
1.01469;16.1467
1.26837;16.0786
1.52204;15.924
1.77571;15.3498
2.02939;15.1901
2.28306;15.6652
2.53673;15.6492
2.79041;15.6059
3.04408;15.5263
3.29775;15.4058
3.55142;15.3878
3.8051;15.3351
4.05877;15.2471
4.31244;15.3139
4.56612;15.2901
4.81979;15.196
5.07346;15.2241
5.32714;15.2499
5.58081;15.2816
5.83448;15.2688
6.08816;15.181
6.34183;15.2792
6.5955;15.3222
6.84918;15.2403
7.10285;15.173
7.35652;15.1024
7.6102;15.086
7.86387;15.0975
8.11754;15.1004
8.37122;15.1544
8.62489;15.2046
8.87856;15.1213
9.13223;15.1118
9.38591;15.1519
9.63958;15.1888
9.89325;15.1318
10.1469;15.1223
10.4006;15.1423
10.6543;15.1557
10.9079;15.0601
11.1616;15.0033
11.4153;15.0838
11.669;15.0787
11.9226;15.0452
12.1763;15.0256
12.43;15.0678
12.6837;15.0427
12.9373;15.0218
13.191;15.0299
13.4447;15.0208
13.6984;15.1173
13.952;15.147
14.2057;15.1504
14.4594;15.1726
14.713;15.1522
14.9667;15.0865
15.2204;15.0551
15.4741;15.0496
15.7277;15.0827
15.9814;15.1688
16.2351;15.1561
16.4888;15.1403
16.7424;15.0588
16.9961;15.0645
17.2498;15.0863
17.5035;15.0988
17.7571;15.126
18.0108;15.126
18.2645;14.988
18.5181;15.0442
18.7718;15.1191
19.0255;15.03
19.2792;15.1193
19.5328;15.1034
19.7865;15.0692
20.0402;15.1549
20.2939;15.1412
20.5475;15.1751
20.8012;15.1494
21.0549;15.1083
21.3085;15.0191
21.5622;14.9597
21.8159;15.0254
22.0696;15.1324
22.3232;15.0924
22.5769;15.1299
22.8306;15.1537
23.0843;15.1218
23.3379;15.175
23.5916;15.1514
23.8453;15.127
24.099;15.1073
24.3526;15.0528
24.6063;15.0629
24.86;15.0783
25.1136;15.1499
25.3673;15.0973
25.621;15.0817
25.8747;15.0502
26.1283;15.0128
26.382;14.9541
26.6357;15.0357
26.8894;15.0423
27.143;14.9463
27.3967;14.8811
27.6504;14.9204
27.9041;14.914
28.1577;14.9205
28.4114;14.8469
28.6651;14.5603
28.9187;13.5878
29.1724;10.8212
29.4261;9.65447
29.6798;9.31697
29.9334;9.30251
30.1871;9.42277
30.4408;9.40536
30.6945;9.42428
30.9481;9.23966
31.2018;9.12927
31.4555;9.15791
