Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 18:23:37
Device temperature = 22.2089
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBsavU
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;21.6902
0.253673;20.9784
0.507346;20.0032
0.76102;19.6302
1.01469;19.9594
1.26837;20.1709
1.52204;20.4921
1.77571;20.3944
2.02939;20.1588
2.28306;20.1448
2.53673;19.7113
2.79041;19.6732
3.04408;19.911
3.29775;20.0232
3.55142;20.2393
3.8051;20.5827
4.05877;20.6632
4.31244;20.7308
4.56612;20.744
4.81979;20.6357
5.07346;20.4968
5.32714;20.2847
5.58081;20.3924
5.83448;20.4825
6.08816;20.4577
6.34183;20.3414
6.5955;20.2887
6.84918;20.3363
7.10285;20.4814
7.35652;20.5243
7.6102;20.7394
7.86387;20.7312
8.11754;20.6717
8.37122;20.6698
8.62489;20.6274
8.87856;20.6096
9.13223;20.4783
9.38591;20.3345
9.63958;20.4129
9.89325;20.5001
10.1469;20.5202
10.4006;20.6009
10.6543;20.5925
10.9079;20.5278
11.1616;20.485
11.4153;20.4301
11.669;20.4469
11.9226;20.6197
12.1763;20.6593
12.43;20.6167
12.6837;20.6524
12.9373;20.6856
13.191;20.5742
13.4447;20.4988
13.6984;20.4323
13.952;20.3899
14.2057;20.4324
14.4594;20.4323
14.713;20.498
14.9667;20.4202
15.2204;20.4196
15.4741;20.3105
15.7277;20.2625
15.9814;20.1769
16.2351;20.2014
16.4888;20.2827
16.7424;20.3321
16.9961;20.2897
17.2498;20.3134
17.5035;20.3282
17.7571;20.4782
18.0108;20.5638
18.2645;20.5162
18.5181;20.4849
18.7718;20.5679
19.0255;20.4449
19.2792;20.4184
19.5328;20.3301
19.7865;20.3254
20.0402;20.3301
20.2939;20.1499
20.5475;20.1772
20.8012;20.1701
21.0549;20.3574
21.3085;20.5447
21.5622;20.4763
21.8159;20.4795
22.0696;20.3562
22.3232;20.3566
22.5769;20.3502
22.8306;20.2862
23.0843;20.3163
23.3379;20.1148
23.5916;20.0442
23.8453;20.1339
24.099;20.3144
24.3526;20.3372
24.6063;20.3712
24.86;20.2589
25.1136;20.0514
25.3673;20.1089
25.621;20.2173
25.8747;20.3923
26.1283;20.5522
26.382;20.6
26.6357;20.5823
26.8894;20.608
27.143;20.575
27.3967;20.6977
27.6504;20.6917
27.9041;20.6808
28.1577;20.5904
28.4114;20.4475
28.6651;20.5934
28.9187;21.1092
29.1724;23.0205
29.4261;23.8529
29.6798;24.0629
29.9334;23.9011
30.1871;23.4735
30.4408;23.467
30.6945;23.3177
30.9481;23.247
31.2018;23.1544
31.4555;23.2369
31.7092;23.2621
31.9628;23.2082
32.2165;23.2041
32.4702;23.0651
32.7238;22.9692
32.9775;22.8915
33.2312;23.163
33.4849;23.3302
33.7385;23.4644
33.9922;23.6446
34.2459;23.4971
34.4996;23.4052
34.7532;23.1858
35.0069;23.224
35.2606;23.5061
35.5142;23.6219
35.7679;23.5699
36.0216;23.5177
36.2753;23.3129
36.5289;23.1027
36.7826;23.0232
37.0363;22.8432
37.29;22.5949
37.5436;22.3715
37.7973;22.2043
38.051;22.1138
38.3047;21.9657
38.5583;22.055
38.812;22.1464
39.0657;22.3004
39.3193;22.3007
39.573;22.2737
39.8267;22.284
40.0804;22.4439
40.334;22.6868
40.5877;22.6599
40.8414;22.4777
41.0951;22.3265
41.3487;22.0018
41.6024;22.0582
41.8561;21.9662
42.1097;22.0126
42.3634;22.111
42.6171;22.0848
42.8708;22.0737
43.1244;21.8696
43.3781;21.7077
43.6318;21.5564
43.8855;21.502
44.1391;21.5577
44.3928;21.7053
44.6465;21.7373
44.9002;21.7367
45.1538;21.6745
45.4075;21.6927
45.6612;21.7812
45.9148;21.792
46.1685;21.7556
46.4222;22.0018
46.6759;22.2923
46.9295;22.5629
47.1832;22.6661
47.4369;22.3093
47.6906;22.2098
47.9442;22.2764
48.1979;22.5203
48.4516;23.0915
48.7053;23.27
48.9589;23.3398
49.2126;23.2482
49.4663;23.0335
49.7199;23.0192
49.9736;22.8858
50.2273;22.7984
50.481;22.7776
50.7346;22.9817
50.9883;23.3061
51.242;23.7752
51.4957;24.9368
51.7493;25.6926
52.003;25.9389
52.2567;25.7732
52.5104;27.0298
52.764;30.3604
53.0177;34.5056
53.2714;38.3353
53.525;41.0632
53.7787;41.7135
54.0324;42.1107
54.2861;41.8976
54.5397;41.0149
54.7934;40.3664
55.0471;38.2136
55.3008;33.8024
55.5544;27.3001
55.8081;26.1773
56.0618;26.6589
56.3154;27.7442
56.5691;29.6718
56.8228;29.7967
57.0765;28.6826
57.3301;26.9838
57.5838;25.0453
57.8375;24.3671
58.0912;23.5431
58.3448;22.8501
58.5985;22.7806
58.8522;22.967
59.1059;23.0404
59.3595;23.1046
59.6132;23.0179
59.8669;23.1134
60.1205;23.2169
60.3742;23.3866
60.6279;23.15
60.8816;22.8046
61.1352;22.4317
61.3889;22.3438
61.6426;22.2185
61.8963;22.1428
62.1499;22.0582
62.4036;22.0153
62.6573;22.2187
62.911;22.4346
63.1646;22.7602
63.4183;22.9486
63.672;22.9522
63.9256;22.9054
64.1793;23.2539
64.433;24.4574
64.6867;27.9116
64.9403;29.7681
65.194;30.5743
65.4477;30.0069
65.7014;27.4013
65.955;25.8547
66.2087;24.8654
66.4624;24.5746
66.716;26.0455
66.9697;27.1017
67.2234;27.7457
67.4771;27.7578
67.7307;26.3637
67.9844;24.9747
68.2381;23.7483
68.4918;23.0791
68.7454;22.7555
68.9991;22.773
69.2528;22.85
69.5065;22.9753
69.7601;23.4184
70.0138;23.9054
70.2675;24.7463
70.5211;25.7896
70.7748;26.5601
71.0285;25.8822
71.2822;24.8198
71.5358;23.7723
71.7895;23.2499
72.0432;23.4836
72.2969;23.5325
72.5505;23.4327
