Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 07:43:36
Device temperature = 22.2167
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBsbvN
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;19.8295
0.253673;18.6295
0.507346;17.2493
0.76102;16.1408
1.01469;16.303
1.26837;16.1312
1.52204;15.9565
1.77571;15.4455
2.02939;15.4169
2.28306;15.7019
2.53673;15.7147
2.79041;15.6833
3.04408;15.5822
3.29775;15.541
3.55142;15.4804
3.8051;15.4082
4.05877;15.4071
4.31244;15.4393
4.56612;15.3916
4.81979;15.2989
5.07346;15.3868
5.32714;15.3296
5.58081;15.3358
5.83448;15.3046
6.08816;15.2872
6.34183;15.2707
6.5955;15.2911
6.84918;15.2932
7.10285;15.266
7.35652;15.1778
7.6102;15.1628
7.86387;15.1176
8.11754;15.1629
8.37122;15.1581
8.62489;15.2665
8.87856;15.1437
9.13223;15.1936
9.38591;15.2359
9.63958;15.2926
9.89325;15.2079
10.1469;15.1981
10.4006;15.1613
10.6543;15.22
10.9079;15.1744
11.1616;15.1667
11.4153;15.1457
11.669;15.1427
11.9226;15.1839
12.1763;15.1644
12.43;15.1009
12.6837;15.0951
12.9373;15.1438
13.191;15.1593
13.4447;15.101
13.6984;15.1687
13.952;15.2376
14.2057;15.1995
14.4594;15.1766
14.713;15.1864
14.9667;15.1501
15.2204;15.1824
15.4741;15.1472
15.7277;15.161
15.9814;15.1704
16.2351;15.2296
16.4888;15.2687
16.7424;15.2741
16.9961;15.2069
17.2498;15.2005
17.5035;15.0873
17.7571;15.093
18.0108;15.1323
18.2645;15.1644
18.5181;15.1857
18.7718;15.1354
19.0255;15.1294
19.2792;15.1337
19.5328;15.1244
19.7865;15.1986
20.0402;15.2394
20.2939;15.1702
20.5475;15.2374
20.8012;15.1897
21.0549;15.2084
21.3085;15.1209
21.5622;15.0511
21.8159;15.1902
22.0696;15.2742
22.3232;15.2635
22.5769;15.2697
22.8306;15.2612
23.0843;15.2103
23.3379;15.1376
23.5916;15.2242
23.8453;15.2271
24.099;15.0875
24.3526;15.1531
24.6063;15.164
24.86;15.2335
25.1136;15.2426
25.3673;15.1156
25.621;15.128
25.8747;15.0808
26.1283;15.0957
26.382;15.009
26.6357;15.1414
26.8894;15.1389
27.143;15.1123
27.3967;15.0096
27.6504;15.0167
27.9041;14.9634
28.1577;15.0173
28.4114;14.9735
28.6651;14.6593
28.9187;13.6113
29.1724;10.8635
29.4261;9.74885
29.6798;9.38933
29.9334;9.46308
30.1871;9.48462
30.4408;9.46122
30.6945;9.32121
30.9481;9.29197
31.2018;9.2063
31.4555;9.18546
31.7092;9.22313
31.9628;9.18063
32.2165;9.21047
32.4702;9.43948
32.7238;9.52841
32.9775;9.74392
33.2312;9.65901
33.4849;9.56362
33.7385;9.41859
33.9922;9.47599
34.2459;9.4214
34.4996;9.50077
34.7532;9.52082
35.0069;9.554
35.2606;9.29985
35.5142;9.10074
35.7679;8.95613
36.0216;8.96895
36.2753;8.89033
36.5289;8.88905
36.7826;8.89104
37.0363;8.86608
37.29;8.88294
37.5436;8.79569
37.7973;8.76667
38.051;8.82062
38.3047;8.7772
38.5583;8.83473
38.812;8.90785
39.0657;8.7946
39.3193;8.63202
39.573;8.65809
39.8267;8.64088
40.0804;8.74646
40.334;8.74995
40.5877;8.74875
40.8414;8.72977
41.0951;8.75101
41.3487;8.74478
41.6024;8.92071
41.8561;9.01921
42.1097;9.03793
42.3634;9.04071
42.6171;9.01257
42.8708;9.15219
43.1244;9.18434
43.3781;9.24148
43.6318;9.16058
43.8855;9.17737
44.1391;9.22897
