Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 07:33:35
Device temperature = 22.3432
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBsr7g
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;19.8384
0.253673;18.7895
0.507346;17.2822
0.76102;16.3096
1.01469;16.4276
1.26837;16.2362
1.52204;16.0971
1.77571;15.5087
2.02939;15.4964
2.28306;15.8709
2.53673;15.9001
2.79041;15.9014
3.04408;15.689
3.29775;15.6567
3.55142;15.5714
3.8051;15.4677
4.05877;15.5449
4.31244;15.5285
4.56612;15.5501
4.81979;15.4921
5.07346;15.4892
5.32714;15.5507
5.58081;15.4663
5.83448;15.3966
6.08816;15.4468
6.34183;15.4398
6.5955;15.4286
6.84918;15.555
7.10285;15.3485
7.35652;15.3234
7.6102;15.3263
7.86387;15.3185
8.11754;15.3598
8.37122;15.4066
8.62489;15.3071
8.87856;15.3898
9.13223;15.3958
9.38591;15.3156
9.63958;15.3172
9.89325;15.3318
10.1469;15.2898
10.4006;15.3567
10.6543;15.3672
10.9079;15.3322
11.1616;15.2538
11.4153;15.2947
11.669;15.2722
11.9226;15.3035
12.1763;15.32
12.43;15.2584
12.6837;15.2734
12.9373;15.2752
13.191;15.2305
13.4447;15.2816
13.6984;15.2952
13.952;15.3379
14.2057;15.3699
14.4594;15.3405
14.713;15.2461
14.9667;15.3224
15.2204;15.3347
15.4741;15.3528
15.7277;15.3174
15.9814;15.3525
16.2351;15.4228
16.4888;15.3725
16.7424;15.3569
16.9961;15.3276
17.2498;15.3454
17.5035;15.3628
17.7571;15.2777
18.0108;15.2593
18.2645;15.2931
18.5181;15.3504
18.7718;15.2715
19.0255;15.3413
19.2792;15.259
19.5328;15.3309
19.7865;15.2247
20.0402;15.2484
20.2939;15.2956
20.5475;15.355
20.8012;15.3105
21.0549;15.3304
21.3085;15.296
21.5622;15.2213
21.8159;15.2512
22.0696;15.3107
22.3232;15.3411
22.5769;15.2924
22.8306;15.2807
23.0843;15.3218
23.3379;15.3168
23.5916;15.3485
23.8453;15.2908
24.099;15.2398
24.3526;15.2676
24.6063;15.2728
24.86;15.3534
25.1136;15.3518
25.3673;15.2771
25.621;15.2949
25.8747;15.2893
26.1283;15.1763
26.382;15.2379
26.6357;15.2661
26.8894;15.1714
27.143;15.2243
27.3967;15.1973
27.6504;15.1036
27.9041;15.0834
28.1577;15.1336
28.4114;15.0715
28.6651;14.6982
28.9187;13.6155
29.1724;10.8856
29.4261;9.77364
29.6798;9.43057
29.9334;9.47618
30.1871;9.48268
30.4408;9.41098
30.6945;9.30667
30.9481;9.29508
31.2018;9.16697
31.4555;9.19235
31.7092;9.25515
31.9628;9.18726
32.2165;9.29154
32.4702;9.43375
32.7238;9.59209
32.9775;9.77289
33.2312;9.72961
33.4849;9.52981
33.7385;9.45972
33.9922;9.4654
34.2459;9.56289
34.4996;9.64545
34.7532;9.7191
35.0069;9.69524
35.2606;9.50447
35.5142;9.25485
35.7679;9.18877
36.0216;9.07056
36.2753;8.91734
36.5289;9.05495
36.7826;9.01689
37.0363;8.96255
37.29;8.90045
37.5436;8.86757
37.7973;8.8654
38.051;8.81958
38.3047;8.87223
38.5583;8.93688
38.812;8.96803
39.0657;8.85146
39.3193;8.81847
39.573;8.71136
39.8267;8.73437
40.0804;8.68207
40.334;8.79368
40.5877;8.78104
40.8414;8.79081
41.0951;8.78349
41.3487;8.91789
41.6024;8.97864
41.8561;9.06864
42.1097;9.1963
42.3634;9.16553
42.6171;9.13279
42.8708;9.23466
43.1244;9.30683
43.3781;9.40736
43.6318;9.37183
43.8855;9.36485
44.1391;9.33293
44.3928;9.38874
44.6465;9.34361
44.9002;9.28757
45.1538;9.26524
45.4075;9.33769
45.6612;9.32745
45.9148;9.30622
46.1685;9.26194
46.4222;9.27325
46.6759;9.24154
46.9295;9.13927
47.1832;9.14131
47.4369;9.18393
47.6906;9.09012
47.9442;9.07406
48.1979;8.98097
48.4516;9.05274
48.7053;9.08866
48.9589;9.04531
49.2126;9.0492
49.4663;8.97142
49.7199;8.89452
49.9736;8.91169
50.2273;8.92006
50.481;9.1126
50.7346;9.13619
50.9883;9.08042
51.242;8.96181
51.4957;9.08422
51.7493;9.01208
52.003;9.07642
52.2567;9.06979
52.5104;9.11535
52.764;9.10232
53.0177;8.98816
53.2714;8.97324
53.525;9.00066
53.7787;8.93867
54.0324;8.87751
54.2861;8.77753
54.5397;8.823
54.7934;8.83098
55.0471;8.88222
55.3008;8.87574
55.5544;8.99746
55.8081;8.99857
56.0618;9.07241
56.3154;9.04852
56.5691;9.09178
56.8228;9.05759
57.0765;8.97513
57.3301;8.99824
57.5838;8.9346
57.8375;9.00242
58.0912;8.91744
58.3448;8.87717
58.5985;8.85694
58.8522;8.9196
59.1059;8.89025
59.3595;8.92577
59.6132;8.79159
59.8669;8.76286
60.1205;8.71263
60.3742;8.66897
60.6279;8.63328
60.8816;8.71676
61.1352;8.7169
61.3889;8.79054
61.6426;8.74973
61.8963;8.80173
62.1499;8.77917
62.4036;8.67737
62.6573;8.73277
62.911;8.73644
63.1646;8.627
63.4183;8.66308
63.672;8.68805
63.9256;8.66617
64.1793;8.63011
64.433;8.5502
64.6867;8.58835
64.9403;8.56063
65.194;8.64226
65.4477;8.6178
65.7014;8.62949
65.955;8.6025
66.2087;8.61969
66.4624;8.60732
66.716;8.62222
66.9697;8.74803
67.2234;8.65734
67.4771;8.71508
67.7307;8.72684
67.9844;8.77054
68.2381;8.87042
68.4918;8.84805
68.7454;8.99018
68.9991;8.96189
69.2528;8.92227
69.5065;9.1175
69.7601;9.1957
70.0138;9.13358
70.2675;8.97661
70.5211;8.93877
70.7748;8.91954
71.0285;8.82045
71.2822;8.78454
71.5358;8.7353
71.7895;8.67639
72.0432;8.56659
72.2969;8.67359
72.5505;8.68003
72.8042;8.65075
73.0579;8.57254
73.3116;8.61507
73.5652;8.58921
73.8189;8.60223
74.0726;8.57813
74.3262;8.55298
74.5799;8.52865
74.8336;8.48259
75.0873;8.47608
75.3409;8.47509
75.5946;8.4472
75.8483;8.44304
76.102;8.40438
76.3556;8.51895
76.6093;8.47282
76.863;8.39513
77.1167;8.46675
77.3703;8.42689
77.624;8.424
77.8777;8.39297
78.1313;8.39785
78.385;8.33177
78.6387;8.31954
78.8924;8.38725
79.146;8.33064
79.3997;8.30504
79.6534;8.35136
79.9071;8.30815
80.1607;8.27703
80.4144;8.26458
80.6681;8.23026
80.9218;8.22566
81.1754;8.30975
81.4291;8.31457
81.6828;8.35027
81.9364;8.19883
82.1901;8.1667
82.4438;8.28112
82.6975;8.23623
82.9511;8.28788
83.2048;8.24019
83.4585;8.25361
83.7122;8.2669
83.9658;8.31215
84.2195;8.27096
84.4732;8.23743
84.7268;8.18214
84.9805;8.196
85.2342;8.11862
85.4879;8.12663
85.7415;8.13008
85.9952;8.23808
86.2489;8.24855
86.5026;8.29527
86.7562;8.22057
87.0099;8.33401
87.2636;8.40878
87.5173;8.36244
87.7709;8.33168
88.0246;8.27214
88.2783;8.24824
88.5319;8.21562
88.7856;8.15396
89.0393;8.21039
89.293;8.19258
89.5466;8.17912
89.8003;8.21038
90.054;8.30933
90.3077;8.27937
90.5613;8.17649
90.815;8.20881
91.0687;8.13424
91.3223;8.20802
91.576;8.31406
91.8297;8.20504
92.0834;8.1886
92.337;8.14913
92.5907;8.06228
92.8444;8.05078
93.0981;8.26007
93.3517;8.27134
93.6054;8.35389
93.8591;8.27075
94.1128;8.35003
94.3664;8.3434
94.6201;8.35422
94.8738;8.30721
95.1274;8.29614
95.3811;8.32129
95.6348;8.33216
95.8885;8.18606
96.1421;8.19097
96.3958;8.21346
96.6495;8.12179
96.9032;8.0927
97.1568;8.17076
97.4105;8.12714
97.6642;8.09697
97.9179;8.01956
98.1715;8.04548
98.4252;8.00619
98.6789;7.96277
98.9325;7.95846
99.1862;8.06381
99.4399;8.07418
99.6936;8.16143
99.9472;8.05063
100.201;7.96063
100.455;7.9719
100.708;7.98099
100.962;7.91077
101.216;8.12749
101.469;8.16265
101.723;8.15589
101.977;7.99153
102.23;7.90386
102.484;7.86035
102.738;7.75227
102.991;7.69367
103.245;7.72853
103.499;7.72299
103.752;7.59319
104.006;7.50558
104.26;7.48047
104.513;7.40774
104.767;7.42868
105.021;7.48452
105.274;7.49077
105.528;7.495
105.782;7.43396
106.035;7.36171
106.289;7.27225
106.543;7.11216
106.796;7.07262
107.05;6.95853
107.304;6.81409
107.557;6.80217
107.811;6.81726
108.065;6.93884
108.318;6.84364
108.572;6.79021
108.826;6.72831
109.079;6.5789
109.333;6.56605
109.587;6.54492
109.84;6.52198
110.094;6.38568
110.348;6.14927
110.602;6.12424
110.855;6.16053
111.109;6.21477
111.363;6.49296
111.616;6.50863
111.87;6.6593
112.124;6.59704
112.377;6.46043
112.631;6.29358
112.885;6.33608
113.138;6.29698
113.392;6.3202
113.646;6.26133
113.899;6.27873
114.153;6.24172
114.407;6.21592
114.66;6.21308
114.914;6.28019
115.168;6.23069
115.421;6.20073
115.675;6.04405
115.929;5.98158
116.182;5.75471
116.436;5.68989
116.69;5.60404
116.943;5.64787
117.197;5.70111
117.451;5.85534
117.704;5.94902
117.958;5.98909
118.212;6.03587
118.465;6.11708
118.719;6.01567
118.973;5.98645
119.226;5.77666
119.48;5.69604
119.734;5.65724
119.987;5.57819
120.241;5.61948
120.495;5.47084
120.748;5.28846
121.002;5.26222
121.256;5.18454
121.509;5.76677
121.763;6.35842
122.017;6.50398
122.27;6.07278
122.524;5.01521
122.778;5.08297
123.032;5.22813
123.285;5.12752
123.539;5.26955
123.793;5.44463
124.046;5.57708
124.3;5.44147
124.554;5.62406
124.807;5.99619
125.061;6.10773
125.315;5.96438
125.568;5.96761
125.822;6.25374
126.076;6.46723
126.329;6.57925
126.583;6.69173
126.837;6.78104
127.09;6.86636
127.344;6.95468
127.598;6.93348
127.851;6.99126
128.105;6.95605
128.359;7.01019
128.612;7.17447
128.866;7.22228
129.12;7.32816
129.373;7.41314
129.627;7.53915
129.881;7.5461
130.134;7.42418
130.388;7.44215
130.642;7.62993
130.895;7.73654
131.149;7.709
131.403;7.68606
131.656;7.96414
131.91;8.15214
132.164;8.22618
132.417;8.0807
132.671;7.98617
132.925;8.00158
133.178;8.19575
133.432;8.35395
133.686;8.45955
133.939;8.39334
134.193;8.21138
134.447;7.95206
134.7;7.93042
134.954;7.9702
135.208;8.04761
135.461;8.04917
135.715;8.32247
135.969;8.53208
136.223;8.71075
136.476;8.70414
136.73;8.40749
136.984;8.12006
137.237;7.92526
137.491;7.79727
137.745;7.65635
137.998;7.71538
138.252;7.70475
138.506;7.70692
138.759;7.52203
139.013;7.45683
139.267;7.35393
139.52;7.35319
139.774;7.56174
140.028;7.5582
140.281;7.65916
140.535;7.85461
140.789;8.16664
141.042;8.12012
141.296;8.00857
141.55;7.87316
141.803;7.81747
142.057;7.98899
142.311;8.35091
142.564;8.80955
142.818;8.87821
143.072;8.36457
143.325;7.92744
143.579;7.85259
143.833;7.84087
144.086;7.89717
144.34;7.97523
144.594;8.12571
144.847;8.09051
145.101;7.9808
145.355;7.92982
145.608;7.99779
145.862;8.04484
146.116;8.29968
146.369;8.63039
146.623;8.82007
146.877;8.61549
147.13;8.44739
147.384;8.1902
147.638;8.09038
147.891;8.10874
148.145;8.1759
148.399;8.18199
148.652;8.20559
148.906;8.44636
149.16;8.69153
149.414;9.10224
149.667;9.09657
149.921;8.57549
150.175;8.31324
150.428;8.38587
150.682;8.48002
150.936;8.65529
151.189;8.68864
151.443;8.74903
151.697;8.72387
151.95;8.77945
152.204;8.64394
152.458;8.56616
152.711;8.6307
152.965;8.79655
153.219;8.89596
153.472;9.14475
153.726;9.33981
153.98;9.50956
154.233;9.27124
154.487;9.09178
154.741;8.96741
154.994;9.03368
155.248;9.04286
155.502;9.09799
155.755;9.08016
156.009;8.94946
156.263;8.90487
156.516;8.94274
156.77;9.00574
157.024;9.12866
157.277;9.18143
157.531;9.08425
157.785;8.93765
158.038;8.91379
158.292;8.95843
158.546;9.04909
158.799;8.93358
159.053;9.1019
159.307;9.23479
159.56;9.18932
159.814;9.06895
160.068;8.90473
160.321;8.85122
160.575;8.83902
160.829;8.84426
161.082;9.02131
161.336;9.10118
161.59;9.19728
161.844;9.1629
162.097;8.74767
162.351;8.78273
162.605;8.91808
162.858;9.03587
163.112;9.03635
163.366;9.03158
163.619;9.12389
163.873;9.09913
164.127;8.96491
164.38;9.01369
164.634;8.96578
164.888;9.02425
165.141;9.11053
165.395;9.28147
165.649;9.27535
165.902;9.11416
166.156;8.96563
166.41;9.02849
166.663;9.06301
166.917;9.09033
167.171;9.1598
167.424;9.12742
167.678;8.96793
167.932;8.77881
168.185;8.86799
168.439;8.81331
168.693;8.80436
168.946;8.86995
169.2;9.05114
169.454;8.92489
169.707;8.75057
169.961;8.61747
170.215;8.76457
170.468;8.68586
170.722;8.79623
170.976;8.85334
171.229;8.90322
171.483;8.89845
171.737;8.8533
171.99;8.81733
172.244;9.13065
172.498;9.24521
172.751;9.07694
173.005;8.99201
173.259;9.19168
173.512;9.27915
173.766;9.28007
174.02;9.15313
174.273;9.16662
174.527;9.26604
174.781;9.21327
175.035;9.19264
175.288;9.25234
175.542;9.25254
175.796;9.10616
176.049;9.06114
176.303;9.10147
176.557;9.15892
176.81;9.10118
177.064;8.9119
177.318;8.99188
177.571;9.13477
177.825;9.23961
178.079;9.32974
178.332;9.45451
178.586;9.81564
178.84;9.87414
179.093;9.88088
179.347;9.84325
179.601;9.65904
179.854;9.42395
180.108;9.13901
180.362;9.04744
180.615;9.20123
180.869;9.40643
181.123;9.53811
181.376;9.62814
181.63;9.4796
181.884;9.34825
182.137;9.23968
182.391;9.07172
182.645;9.06027
182.898;9.10145
183.152;9.02766
183.406;9.03967
183.659;9.08264
183.913;9.05469
184.167;9.03722
184.42;8.9343
184.674;8.96908
184.928;9.11549
185.181;9.36965
185.435;9.44016
185.689;9.27085
185.942;9.23289
186.196;9.17482
186.45;9.31058
186.703;9.30278
186.957;9.19297
187.211;9.22365
187.464;9.33917
187.718;9.29711
187.972;9.25043
188.226;9.23589
188.479;9.34142
188.733;9.44912
188.987;9.41365
189.24;9.40576
189.494;9.1491
189.748;9.03585
190.001;8.98026
190.255;8.91467
190.509;8.9428
190.762;9.01034
191.016;9.04334
191.27;8.99413
191.523;9.09293
