Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 07:23:35
Device temperature = 22.4813
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBs9m0
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;20.0344
0.253673;19.002
0.507346;17.4152
0.76102;16.4635
1.01469;16.475
1.26837;16.4431
1.52204;16.2722
1.77571;15.6732
2.02939;15.5848
2.28306;15.9106
2.53673;16.0094
2.79041;16.0138
3.04408;15.7705
3.29775;15.8284
3.55142;15.7474
3.8051;15.6514
4.05877;15.6679
4.31244;15.6828
4.56612;15.6596
4.81979;15.6518
5.07346;15.6672
5.32714;15.5564
5.58081;15.6128
5.83448;15.5661
6.08816;15.6236
6.34183;15.5204
6.5955;15.594
6.84918;15.656
7.10285;15.5547
7.35652;15.599
7.6102;15.5502
7.86387;15.5524
8.11754;15.5059
8.37122;15.5275
8.62489;15.492
8.87856;15.4638
9.13223;15.6255
9.38591;15.66
9.63958;15.5516
9.89325;15.5693
10.1469;15.4838
10.4006;15.4356
10.6543;15.5123
10.9079;15.5109
11.1616;15.4493
11.4153;15.4703
11.669;15.4731
11.9226;15.4128
12.1763;15.4243
12.43;15.3704
12.6837;15.4193
12.9373;15.349
13.191;15.4231
13.4447;15.4273
13.6984;15.4512
13.952;15.4661
14.2057;15.4903
14.4594;15.4492
14.713;15.4825
14.9667;15.567
15.2204;15.458
15.4741;15.4469
15.7277;15.5344
15.9814;15.4768
16.2351;15.5591
16.4888;15.4985
16.7424;15.5012
16.9961;15.4556
17.2498;15.5514
17.5035;15.5019
17.7571;15.4216
18.0108;15.4227
18.2645;15.455
18.5181;15.3761
18.7718;15.3844
19.0255;15.4372
19.2792;15.4047
19.5328;15.5256
19.7865;15.4964
20.0402;15.4517
20.2939;15.4998
20.5475;15.4567
20.8012;15.464
21.0549;15.5146
21.3085;15.4005
21.5622;15.3786
21.8159;15.4046
22.0696;15.4474
22.3232;15.4822
22.5769;15.4738
22.8306;15.5549
23.0843;15.5868
23.3379;15.3898
23.5916;15.4933
23.8453;15.4429
24.099;15.4486
24.3526;15.4251
24.6063;15.3533
24.86;15.5254
25.1136;15.5103
25.3673;15.448
25.621;15.4181
25.8747;15.4334
26.1283;15.3491
26.382;15.3996
26.6357;15.3706
26.8894;15.4107
27.143;15.4253
27.3967;15.3022
27.6504;15.2727
27.9041;15.2662
28.1577;15.2655
28.4114;15.0997
28.6651;14.7504
28.9187;13.6189
29.1724;10.935
29.4261;9.91949
29.6798;9.62653
29.9334;9.54699
30.1871;9.59242
30.4408;9.52186
30.6945;9.42292
30.9481;9.37886
31.2018;9.43451
31.4555;9.27456
31.7092;9.34343
31.9628;9.33062
32.2165;9.36868
32.4702;9.53379
32.7238;9.66811
32.9775;9.83902
33.2312;9.76912
33.4849;9.55654
33.7385;9.49158
33.9922;9.44179
34.2459;9.54227
34.4996;9.69293
34.7532;9.77406
35.0069;9.80029
35.2606;9.57257
35.5142;9.34925
35.7679;9.18382
36.0216;9.19705
36.2753;9.14725
36.5289;9.14098
36.7826;9.22816
37.0363;9.124
37.29;9.13821
37.5436;9.05683
37.7973;9.03311
38.051;8.99869
38.3047;9.03761
38.5583;9.0174
38.812;8.9998
39.0657;8.99546
39.3193;8.9833
39.573;8.90449
39.8267;8.87238
40.0804;8.9639
40.334;8.91857
40.5877;8.9269
40.8414;8.94079
41.0951;8.96568
41.3487;9.04547
41.6024;9.0966
41.8561;9.25938
42.1097;9.34516
42.3634;9.28302
42.6171;9.31798
42.8708;9.30694
43.1244;9.33903
43.3781;9.51832
43.6318;9.49555
43.8855;9.52891
44.1391;9.5152
44.3928;9.45714
44.6465;9.41042
44.9002;9.44701
45.1538;9.39529
45.4075;9.41515
45.6612;9.4306
45.9148;9.37794
46.1685;9.35211
46.4222;9.33855
46.6759;9.25515
46.9295;9.28491
