Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 18:33:37
Device temperature = 22.5429
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBtFfc
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;22.1032
0.253673;21.5828
0.507346;20.6377
0.76102;20.4412
1.01469;20.7804
1.26837;21.1262
1.52204;21.3166
1.77571;21.081
2.02939;20.7316
2.28306;20.5417
2.53673;20.08
2.79041;20.0638
3.04408;20.0589
3.29775;20.3378
3.55142;20.4865
3.8051;20.9379
4.05877;21.2014
4.31244;21.2532
4.56612;21.3579
4.81979;21.2972
5.07346;21.0851
5.32714;21.092
5.58081;21.0531
5.83448;21.1255
6.08816;21.0102
6.34183;20.8756
6.5955;20.7884
6.84918;20.7371
7.10285;20.7303
7.35652;20.9516
7.6102;20.9791
7.86387;21.1172
8.11754;21.0662
8.37122;20.9613
8.62489;21.0305
8.87856;20.8737
9.13223;20.7531
9.38591;20.6479
9.63958;20.6268
9.89325;20.8453
10.1469;20.8332
10.4006;20.7905
10.6543;20.8189
10.9079;20.8065
11.1616;20.8873
11.4153;20.783
11.669;20.8137
11.9226;20.8883
12.1763;20.8998
12.43;20.8904
12.6837;20.9045
12.9373;20.932
13.191;20.8741
13.4447;20.7217
13.6984;20.6718
13.952;20.6553
14.2057;20.7232
14.4594;20.685
14.713;20.6743
14.9667;20.7683
15.2204;20.7261
15.4741;20.5936
15.7277;20.5083
15.9814;20.501
16.2351;20.5494
16.4888;20.5927
16.7424;20.7553
16.9961;20.6579
17.2498;20.5869
17.5035;20.589
17.7571;20.6809
18.0108;20.8596
18.2645;20.8447
18.5181;20.7991
18.7718;20.8069
19.0255;20.7072
19.2792;20.6347
19.5328;20.6598
19.7865;20.6333
20.0402;20.607
20.2939;20.6247
20.5475;20.54
20.8012;20.47
21.0549;20.7427
21.3085;20.7364
21.5622;20.8897
21.8159;20.8222
22.0696;20.669
22.3232;20.7045
22.5769;20.6762
22.8306;20.6805
23.0843;20.5119
23.3379;20.4144
23.5916;20.4646
23.8453;20.5175
24.099;20.7549
24.3526;20.7885
24.6063;20.7469
24.86;20.5572
25.1136;20.4647
25.3673;20.5166
25.621;20.6812
25.8747;20.8918
26.1283;21.0343
26.382;20.9933
26.6357;21.0257
26.8894;21.0623
27.143;21.0376
27.3967;21.0453
27.6504;21.0901
27.9041;21.1094
28.1577;21.1612
28.4114;21.0746
28.6651;21.2445
28.9187;21.7652
29.1724;22.8858
29.4261;23.3904
29.6798;23.5908
29.9334;23.6764
30.1871;23.6765
30.4408;23.5515
30.6945;23.6183
30.9481;23.7543
31.2018;23.6081
31.4555;23.3432
31.7092;23.2948
31.9628;23.294
32.2165;23.3549
32.4702;23.256
32.7238;23.1189
32.9775;23.2326
33.2312;23.4333
33.4849;23.6105
33.7385;23.822
33.9922;24.0369
34.2459;24.0707
34.4996;23.8605
34.7532;23.7163
35.0069;23.8147
35.2606;24.3379
35.5142;24.5532
35.7679;24.5398
36.0216;24.3835
36.2753;24.0294
36.5289;23.8908
36.7826;23.6539
37.0363;23.5587
37.29;23.2204
37.5436;23.0114
37.7973;22.8591
38.051;22.7888
38.3047;22.7052
38.5583;22.8616
38.812;22.9183
39.0657;23.1068
39.3193;23.1256
39.573;23.0404
39.8267;23.0338
40.0804;23.0588
40.334;23.4105
40.5877;23.3049
40.8414;23.1577
41.0951;22.8545
41.3487;22.4095
41.6024;22.2521
41.8561;22.1616
42.1097;22.1934
42.3634;22.1306
42.6171;22.174
42.8708;22.1476
43.1244;22.0228
43.3781;21.6727
43.6318;21.5443
43.8855;21.5049
44.1391;21.4917
44.3928;21.614
44.6465;21.7668
44.9002;21.7294
45.1538;21.6244
45.4075;21.688
45.6612;21.8606
45.9148;21.9925
46.1685;21.996
46.4222;22.0431
46.6759;22.1872
46.9295;22.3991
47.1832;22.496
47.4369;22.6246
47.6906;22.5015
47.9442;22.6584
48.1979;22.6787
48.4516;22.8318
48.7053;23.0828
48.9589;23.4019
49.2126;23.7142
49.4663;23.6635
49.7199;23.412
49.9736;23.2399
50.2273;23.1315
50.481;23.2834
50.7346;23.4772
50.9883;23.5915
51.242;23.7889
51.4957;23.8425
51.7493;23.8506
52.003;23.982
52.2567;24.1941
52.5104;24.446
52.764;24.8096
53.0177;25.5052
53.2714;26.4268
53.525;28.36
53.7787;29.7579
54.0324;30.9657
54.2861;31.5423
54.5397;32.0244
54.7934;33.5966
55.0471;35.3321
55.3008;35.5454
55.5544;30.8392
55.8081;27.4833
56.0618;25.7668
56.3154;25.115
56.5691;25.3186
56.8228;25.757
57.0765;26.442
57.3301;27.4512
57.5838;29.3646
57.8375;29.3688
58.0912;28.4198
58.3448;26.8544
58.5985;24.5711
58.8522;23.8128
59.1059;23.5199
59.3595;23.4281
59.6132;22.962
59.8669;22.8641
60.1205;23.2167
60.3742;23.8411
60.6279;25.1418
60.8816;25.5012
61.1352;25.2365
61.3889;24.4092
61.6426;22.8039
61.8963;22.2927
62.1499;22.2609
62.4036;22.2073
62.6573;22.4455
62.911;22.7292
63.1646;22.8323
63.4183;23.0579
63.672;23.2009
63.9256;23.1558
64.1793;23.2856
64.433;23.4311
64.6867;24.0645
64.9403;24.6897
65.194;25.637
65.4477;27.0557
65.7014;30.3076
65.955;31.8746
66.2087;32.4203
66.4624;32.0022
66.716;30.1391
66.9697;28.9122
67.2234;28.1377
67.4771;27.5921
67.7307;27.4775
67.9844;27.3495
68.2381;26.6978
68.4918;25.6469
68.7454;24.6963
68.9991;24.9138
69.2528;25.5185
69.5065;26.2662
69.7601;26.4232
70.0138;25.7377
70.2675;25.0531
70.5211;24.4713
70.7748;24.2464
71.0285;24.2503
71.2822;23.9174
71.5358;23.6129
71.7895;23.2719
72.0432;23.2835
72.2969;23.2789
72.5505;23.0811
72.8042;22.9112
73.0579;22.9982
73.3116;23.2941
73.5652;23.5768
73.8189;24.5554
74.0726;25.5481
74.3262;26.9147
74.5799;28.3938
74.8336;29.3653
75.0873;28.4298
75.3409;26.8154
75.5946;25.1744
75.8483;23.7594
76.102;23.5391
76.3556;23.4496
76.6093;23.5682
76.863;23.494
77.1167;23.5508
77.3703;23.344
77.624;23.4872
77.8777;24.0729
78.1313;24.695
78.385;25.4752
78.6387;26.2473
78.8924;26.5275
79.146;26.0443
79.3997;25.1893
79.6534;24.1783
79.9071;23.0209
80.1607;22.7472
80.4144;22.7363
80.6681;22.7078
80.9218;22.7379
81.1754;22.6379
81.4291;22.5862
81.6828;22.5173
81.9364;22.664
82.1901;22.8131
82.4438;22.9698
82.6975;23.1747
82.9511;23.5073
83.2048;23.6776
83.4585;23.821
83.7122;24.3883
83.9658;26.134
84.2195;26.8238
84.4732;27.0913
84.7268;26.6254
84.9805;26.295
85.2342;27.2223
85.4879;28.784
85.7415;30.3609
85.9952;32.6396
86.2489;34.6266
86.5026;37.0724
86.7562;38.8511
