Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 07:13:35
Device temperature = 22.6161
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBtO3G
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;20.1325
0.253673;19.086
0.507346;17.5658
0.76102;16.5845
1.01469;16.7484
1.26837;16.5992
1.52204;16.4347
1.77571;15.7914
2.02939;15.7314
2.28306;16.14
2.53673;16.1513
2.79041;16.1316
3.04408;16.0254
3.29775;15.8911
3.55142;15.8671
3.8051;15.8518
4.05877;15.7481
4.31244;15.8208
4.56612;15.7203
4.81979;15.7689
5.07346;15.7562
5.32714;15.7435
5.58081;15.7219
5.83448;15.5904
6.08816;15.6962
6.34183;15.6986
6.5955;15.7375
6.84918;15.8136
7.10285;15.7348
7.35652;15.6852
7.6102;15.6372
7.86387;15.6461
8.11754;15.5597
8.37122;15.6091
8.62489;15.5896
8.87856;15.5926
9.13223;15.678
9.38591;15.7221
9.63958;15.7153
9.89325;15.7167
10.1469;15.6399
10.4006;15.5436
10.6543;15.5683
10.9079;15.5941
11.1616;15.5618
11.4153;15.5702
11.669;15.6298
11.9226;15.6062
12.1763;15.4808
12.43;15.5937
12.6837;15.581
12.9373;15.6134
13.191;15.6156
13.4447;15.5901
13.6984;15.5804
13.952;15.603
14.2057;15.5847
14.4594;15.5862
14.713;15.6102
14.9667;15.5745
15.2204;15.6429
15.4741;15.6088
15.7277;15.6122
15.9814;15.6633
16.2351;15.6481
16.4888;15.647
16.7424;15.6851
16.9961;15.6623
17.2498;15.6613
17.5035;15.6255
17.7571;15.6447
18.0108;15.6727
18.2645;15.5859
18.5181;15.5362
18.7718;15.5556
19.0255;15.5892
19.2792;15.617
19.5328;15.6381
19.7865;15.5695
20.0402;15.6572
20.2939;15.6345
20.5475;15.685
20.8012;15.6682
21.0549;15.635
21.3085;15.5117
21.5622;15.4949
21.8159;15.5686
22.0696;15.626
22.3232;15.5798
22.5769;15.5974
22.8306;15.6088
23.0843;15.6438
23.3379;15.6369
23.5916;15.6074
23.8453;15.68
24.099;15.5891
24.3526;15.4698
24.6063;15.5628
24.86;15.6369
25.1136;15.6624
25.3673;15.6073
25.621;15.6209
25.8747;15.6006
26.1283;15.4821
26.382;15.5011
26.6357;15.5091
26.8894;15.6121
27.143;15.5083
27.3967;15.3693
27.6504;15.3832
27.9041;15.4009
28.1577;15.4174
28.4114;15.3146
28.6651;14.9843
28.9187;13.921
29.1724;11.1829
29.4261;9.99575
29.6798;9.71235
29.9334;9.69245
30.1871;9.657
30.4408;9.54835
30.6945;9.48601
30.9481;9.46651
31.2018;9.32809
31.4555;9.35298
31.7092;9.35382
31.9628;9.41233
32.2165;9.45343
32.4702;9.58756
32.7238;9.74776
32.9775;9.87684
33.2312;9.80888
33.4849;9.66879
33.7385;9.55984
33.9922;9.54233
34.2459;9.61762
34.4996;9.79106
34.7532;9.81133
35.0069;9.79098
35.2606;9.59842
35.5142;9.38415
35.7679;9.24552
36.0216;9.13481
36.2753;9.12233
36.5289;9.12212
36.7826;9.05876
37.0363;9.10839
37.29;9.07002
37.5436;9.01943
37.7973;8.94868
38.051;9.07153
38.3047;9.04302
38.5583;9.03338
38.812;8.99164
39.0657;8.9036
39.3193;8.95814
39.573;8.93512
39.8267;8.88188
40.0804;8.90852
40.334;8.95472
40.5877;8.95823
40.8414;8.95222
41.0951;8.94887
41.3487;8.9942
41.6024;9.12315
41.8561;9.294
42.1097;9.35577
42.3634;9.31787
42.6171;9.28155
42.8708;9.26054
43.1244;9.36311
43.3781;9.42895
43.6318;9.40977
43.8855;9.40313
44.1391;9.40917
44.3928;9.45379
44.6465;9.3827
44.9002;9.31202
45.1538;9.34005
45.4075;9.40309
45.6612;9.35608
45.9148;9.35296
46.1685;9.26194
46.4222;9.26602
46.6759;9.19349
46.9295;9.28434
47.1832;9.29353
47.4369;9.24053
47.6906;9.13186
47.9442;9.12071
48.1979;9.04002
48.4516;9.01884
48.7053;9.14163
48.9589;9.14654
49.2126;9.02036
49.4663;8.92721
49.7199;8.90722
49.9736;8.93164
50.2273;8.97527
50.481;9.17238
50.7346;9.17434
50.9883;9.10231
51.242;9.03257
51.4957;9.08999
51.7493;9.00691
52.003;9.11313
52.2567;9.11841
52.5104;9.18534
52.764;9.08228
53.0177;9.09654
53.2714;9.01656
53.525;8.97248
53.7787;9.00124
54.0324;8.94616
54.2861;9.01822
54.5397;8.9133
54.7934;8.91313
55.0471;8.89317
55.3008;8.9289
55.5544;9.09134
55.8081;9.14258
56.0618;9.13567
56.3154;9.2393
56.5691;9.17801
56.8228;9.15158
57.0765;9.14484
57.3301;9.02191
57.5838;9.01933
57.8375;8.99173
58.0912;9.00568
58.3448;9.02809
58.5985;9.00503
58.8522;8.97713
59.1059;8.92122
59.3595;8.94175
59.6132;8.99578
59.8669;8.92672
60.1205;8.77958
60.3742;8.79066
60.6279;8.76204
60.8816;8.80065
61.1352;8.85721
61.3889;8.88556
61.6426;8.85929
61.8963;8.80596
62.1499;8.821
62.4036;8.79792
62.6573;8.8373
62.911;8.88414
63.1646;8.82232
63.4183;8.70769
63.672;8.81274
63.9256;8.73065
64.1793;8.76927
64.433;8.77226
64.6867;8.72965
64.9403;8.69476
65.194;8.64959
65.4477;8.72374
65.7014;8.7752
65.955;8.7919
66.2087;8.72935
66.4624;8.80049
66.716;8.78345
66.9697;8.72343
67.2234;8.80199
67.4771;8.83069
67.7307;8.7967
67.9844;8.77325
68.2381;8.94324
68.4918;8.98374
68.7454;9.05767
68.9991;9.10154
69.2528;9.05306
69.5065;9.19238
69.7601;9.29469
70.0138;9.22347
70.2675;9.11192
70.5211;9.01178
70.7748;9.08565
71.0285;8.95559
71.2822;8.90162
71.5358;8.79267
71.7895;8.70507
72.0432;8.72933
72.2969;8.86941
72.5505;8.85241
72.8042;8.77316
73.0579;8.78267
73.3116;8.90816
73.5652;8.81896
73.8189;8.86247
74.0726;8.8413
74.3262;8.80075
74.5799;8.76461
74.8336;8.72519
75.0873;8.63354
75.3409;8.66046
75.5946;8.67057
75.8483;8.69288
76.102;8.66767
76.3556;8.61679
76.6093;8.63008
76.863;8.74718
77.1167;8.63194
77.3703;8.69762
77.624;8.68365
77.8777;8.58931
78.1313;8.65928
78.385;8.56568
78.6387;8.595
78.8924;8.61282
79.146;8.51173
79.3997;8.53277
79.6534;8.51952
79.9071;8.52421
80.1607;8.43562
80.4144;8.45997
80.6681;8.41984
80.9218;8.52315
81.1754;8.54572
81.4291;8.54749
81.6828;8.48409
81.9364;8.30715
82.1901;8.28293
82.4438;8.4329
82.6975;8.46234
82.9511;8.48785
83.2048;8.4639
83.4585;8.42984
83.7122;8.39299
83.9658;8.46611
84.2195;8.48038
84.4732;8.41556
84.7268;8.47072
84.9805;8.36272
85.2342;8.29609
85.4879;8.27373
85.7415;8.31261
85.9952;8.46777
86.2489;8.48294
86.5026;8.43774
86.7562;8.47054
87.0099;8.54702
87.2636;8.53519
87.5173;8.47966
87.7709;8.51327
88.0246;8.46803
88.2783;8.44844
88.5319;8.40091
88.7856;8.39641
89.0393;8.34524
89.293;8.30606
89.5466;8.41327
89.8003;8.42252
90.054;8.44405
90.3077;8.44532
90.5613;8.463
90.815;8.47739
91.0687;8.43423
91.3223;8.31812
91.576;8.29992
91.8297;8.34799
92.0834;8.36472
92.337;8.36669
92.5907;8.33621
92.8444;8.316
93.0981;8.40477
93.3517;8.4572
93.6054;8.50138
93.8591;8.48958
94.1128;8.54644
94.3664;8.53186
94.6201;8.5121
94.8738;8.54875
95.1274;8.4574
95.3811;8.41066
95.6348;8.4766
95.8885;8.52439
96.1421;8.46273
96.3958;8.38418
96.6495;8.45753
96.9032;8.52008
97.1568;8.55806
97.4105;8.46659
97.6642;8.33894
97.9179;8.41378
98.1715;8.48701
98.4252;8.41965
98.6789;8.35641
98.9325;8.35526
99.1862;8.36592
99.4399;8.42051
99.6936;8.44012
99.9472;8.42934
100.201;8.36144
100.455;8.32573
100.708;8.36993
100.962;8.39692
101.216;8.4725
101.469;8.42341
101.723;8.48297
101.977;8.43885
102.23;8.31058
102.484;8.21773
102.738;8.18601
102.991;8.11345
103.245;8.07985
103.499;7.897
103.752;7.9187
104.006;7.86188
104.26;7.75691
104.513;7.69947
104.767;7.75531
105.021;7.88295
105.274;7.83506
105.528;7.80288
105.782;7.75814
106.035;7.72997
106.289;7.51854
106.543;7.38671
106.796;7.29243
107.05;7.25936
107.304;7.14483
107.557;6.99189
107.811;6.98658
108.065;7.03811
108.318;7.09811
108.572;6.94372
108.826;6.83687
109.079;6.7494
109.333;6.64372
109.587;6.54939
109.84;6.4953
110.094;6.43486
110.348;6.34361
110.602;6.28085
110.855;6.31187
111.109;6.49723
111.363;6.59734
111.616;6.60392
111.87;6.65019
112.124;6.64041
112.377;6.54585
112.631;6.50862
112.885;6.49701
113.138;6.55408
113.392;6.51225
113.646;6.5431
113.899;6.51087
114.153;6.48064
114.407;6.38727
114.66;6.39388
114.914;6.38349
115.168;6.36546
115.421;6.21758
115.675;6.21209
115.929;6.06617
116.182;5.99654
116.436;5.82646
116.69;5.81992
116.943;5.76261
117.197;5.87989
117.451;6.00348
117.704;5.97564
117.958;5.9895
118.212;6.07373
118.465;6.19285
118.719;6.12577
118.973;5.98778
119.226;5.89088
119.48;5.67651
119.734;5.63829
119.987;5.63108
120.241;5.64497
120.495;5.59916
120.748;5.45245
121.002;5.28654
121.256;5.32694
121.509;5.9597
121.763;6.50919
122.017;6.78802
122.27;6.25989
122.524;5.3743
122.778;5.3233
123.032;5.45271
123.285;5.48707
123.539;5.59404
123.793;5.74553
124.046;5.76327
124.3;5.67778
124.554;6.02706
124.807;6.42533
125.061;6.64315
125.315;6.5438
125.568;6.44596
125.822;6.56785
126.076;6.81794
126.329;6.93167
126.583;7.06649
126.837;7.12326
127.09;7.23925
127.344;7.3675
127.598;7.43707
127.851;7.34118
128.105;7.34729
128.359;7.37726
128.612;7.43439
128.866;7.48453
129.12;7.60222
129.373;7.74346
129.627;7.7707
129.881;7.76391
130.134;7.76421
130.388;7.79929
130.642;7.85034
130.895;7.95103
131.149;7.84343
131.403;7.99603
131.656;8.11794
131.91;8.25883
132.164;8.37107
132.417;8.27983
132.671;8.15018
132.925;8.13072
133.178;8.27401
133.432;8.52178
133.686;8.74497
133.939;8.63959
134.193;8.41149
134.447;8.28176
134.7;8.22081
134.954;8.24156
135.208;8.27895
135.461;8.3199
135.715;8.51463
135.969;8.72043
136.223;8.8637
136.476;8.81609
136.73;8.44815
136.984;8.19292
137.237;8.08543
137.491;8.06015
137.745;7.89976
137.998;7.82873
138.252;7.92801
138.506;7.96736
138.759;7.77887
139.013;7.64428
139.267;7.6492
139.52;7.74207
139.774;7.79589
140.028;7.73975
140.281;7.79128
140.535;7.99746
140.789;8.27489
141.042;8.23379
141.296;8.09037
141.55;8.13869
141.803;8.08675
142.057;8.1739
142.311;8.48335
142.564;8.84308
142.818;9.01982
143.072;8.53317
143.325;8.12398
143.579;7.94763
143.833;8.02037
144.086;8.04629
144.34;8.20938
144.594;8.44136
144.847;8.50638
145.101;8.26247
145.355;8.14296
145.608;8.1262
145.862;8.16857
146.116;8.41972
146.369;8.69706
146.623;8.92738
146.877;8.68065
147.13;8.48
147.384;8.37761
147.638;8.28791
147.891;8.27715
148.145;8.28199
148.399;8.21111
148.652;8.31473
148.906;8.53197
149.16;8.93948
149.414;9.21072
149.667;9.22773
149.921;8.69651
150.175;8.44743
150.428;8.45078
150.682;8.61644
150.936;8.7635
151.189;8.8576
151.443;8.80327
151.697;8.85249
151.95;8.8271
152.204;8.64798
152.458;8.64527
152.711;8.71995
152.965;8.86039
153.219;8.98307
153.472;9.23654
153.726;9.50756
153.98;9.60123
154.233;9.39503
154.487;9.06206
154.741;8.95815
154.994;9.10318
155.248;9.22217
155.502;9.21058
155.755;9.19127
156.009;9.1525
156.263;9.06247
156.516;9.0589
156.77;9.07897
157.024;9.2015
157.277;9.21824
157.531;9.17354
157.785;9.00089
158.038;9.05764
158.292;9.01108
158.546;9.11907
158.799;9.12575
159.053;9.20174
159.307;9.38835
159.56;9.34146
159.814;9.29662
160.068;9.01452
160.321;8.94874
160.575;9.01985
160.829;8.89487
161.082;9.12162
161.336;9.25287
161.59;9.36801
161.844;9.32392
162.097;8.96384
162.351;8.89676
162.605;9.00757
162.858;9.07386
163.112;9.21099
163.366;9.25507
163.619;9.25912
163.873;9.28078
164.127;9.12121
164.38;9.09542
164.634;9.08369
164.888;9.06119
165.141;9.29376
165.395;9.53148
165.649;9.52834
165.902;9.36878
166.156;9.27787
166.41;9.24616
166.663;9.26493
166.917;9.22918
167.171;9.32601
167.424;9.32584
167.678;9.16592
167.932;8.97978
168.185;8.95618
168.439;8.98492
168.693;8.92224
168.946;9.07422
169.2;9.20639
169.454;9.16075
169.707;8.97222
169.961;8.92581
170.215;8.97668
170.468;8.94861
170.722;8.91859
170.976;9.0098
171.229;9.06572
171.483;9.1006
171.737;8.94571
171.99;8.92898
172.244;9.23452
172.498;9.30275
172.751;9.24067
173.005;9.2267
173.259;9.41199
173.512;9.52406
173.766;9.41887
174.02;9.27494
174.273;9.30759
174.527;9.3215
174.781;9.34043
175.035;9.28389
175.288;9.34289
175.542;9.36508
175.796;9.20243
176.049;9.19241
176.303;9.24239
176.557;9.22373
176.81;9.12198
177.064;9.02269
177.318;9.10408
177.571;9.25948
177.825;9.41099
178.079;9.50451
178.332;9.64329
178.586;9.84243
178.84;9.94801
179.093;10.0054
179.347;9.92878
179.601;9.801
179.854;9.63197
180.108;9.3313
180.362;9.22299
180.615;9.33876
180.869;9.46875
181.123;9.6767
181.376;9.71898
181.63;9.6486
181.884;9.55224
182.137;9.42065
182.391;9.18557
182.645;9.13583
182.898;9.16957
183.152;9.09778
183.406;9.10815
183.659;9.21928
183.913;9.29161
184.167;9.28029
184.42;9.03158
184.674;9.05912
184.928;9.31334
185.181;9.49288
185.435;9.61675
185.689;9.3597
185.942;9.23339
186.196;9.34431
186.45;9.50058
186.703;9.4458
186.957;9.41635
187.211;9.41352
187.464;9.55169
187.718;9.46962
187.972;9.44369
188.226;9.39111
188.479;9.43488
188.733;9.42503
188.987;9.47886
189.24;9.42248
189.494;9.3012
189.748;9.17821
190.001;9.1553
190.255;9.06624
190.509;9.06827
190.762;9.0063
191.016;8.99976
191.27;8.96284
191.523;9.14994
191.777;9.37854
192.031;9.49572
192.284;9.64545
192.538;9.52429
192.792;9.33043
193.045;9.1518
193.299;9.06787
193.553;9.20068
193.806;9.27297
194.06;9.34216
194.314;9.19101
194.567;8.90976
194.821;8.82355
195.075;8.78018
195.328;8.76759
195.582;8.60393
195.836;8.5214
196.089;8.51112
196.343;8.3255
196.597;8.28589
196.85;8.10112
197.104;8.03932
197.358;8.02586
197.611;8.21289
197.865;8.48141
198.119;8.69363
198.372;8.68506
198.626;8.15691
198.88;7.91487
199.133;7.92982
199.387;8.12468
199.641;8.38026
199.894;8.57633
200.148;8.82494
200.402;8.96157
200.656;8.71182
200.909;8.43326
201.163;8.31256
201.417;8.36591
201.67;8.5362
201.924;8.81016
202.178;9.02777
202.431;9.09914
202.685;8.8709
202.939;8.66253
203.192;8.56062
203.446;8.59574
203.7;8.52255
203.953;8.48973
204.207;8.39826
204.461;8.38831
204.714;8.3583
204.968;8.17331
205.222;8.15684
205.475;8.16815
205.729;8.04934
205.983;7.97448
206.236;7.93112
206.49;7.87364
206.744;7.8147
206.997;7.76947
207.251;7.72625
207.505;7.61113
207.758;7.43889
208.012;7.38928
208.266;7.43471
208.519;7.48884
208.773;7.71157
209.027;8.08671
209.28;8.53968
209.534;8.76869
209.788;8.34764
210.041;8.14376
210.295;8.05843
210.549;7.97916
210.802;7.81262
211.056;7.76912
211.31;7.88964
211.563;7.86362
211.817;8.03139
212.071;8.00383
212.324;8.02765
212.578;8.05526
212.832;8.03941
213.085;8.06027
213.339;7.9945
213.593;7.92489
213.846;7.92971
214.1;7.95397
214.354;7.9404
214.608;7.9735
214.861;7.96453
215.115;7.87544
215.369;7.93363
215.622;7.90596
215.876;7.94562
216.13;7.95386
216.383;8.0228
216.637;8.10441
216.891;8.23813
217.144;8.33526
217.398;8.30365
217.652;8.48568
217.905;8.58837
218.159;8.3533
218.413;8.20183
218.666;8.02795
218.92;7.84624
219.174;7.84307
219.427;7.77461
219.681;7.83589
219.935;7.70803
220.188;7.67804
220.442;7.67562
220.696;7.65912
220.949;7.66822
221.203;7.59467
221.457;7.56354
221.71;7.47837
221.964;7.5329
222.218;7.35396
222.471;7.20727
222.725;7.09263
222.979;6.92825
223.232;6.80197
223.486;6.7642
223.74;6.68271
223.993;6.65874
224.247;6.38528
224.501;6.10231
224.754;6.0353
225.008;6.36807
225.262;6.73947
225.515;6.95615
225.769;6.94308
226.023;6.75453
226.276;6.60625
226.53;6.58661
226.784;6.56814
227.038;6.63842
227.291;6.71558
227.545;6.90019
227.799;6.97426
228.052;7.20415
228.306;7.30168
228.56;7.33297
228.813;7.34579
229.067;7.31147
229.321;7.33133
229.574;7.33873
229.828;7.43102
230.082;7.40183
230.335;7.33902
230.589;7.24719
230.843;7.1704
231.096;7.19475
231.35;7.19994
231.604;7.44814
231.857;8.10366
232.111;10.4682
232.365;11.7168
232.618;12.3922
232.872;12.5065
233.126;12.4663
233.379;12.4287
233.633;12.5765
233.887;12.5319
234.14;12.5492
234.394;12.5436
234.648;12.5687
234.901;12.5999
235.155;12.6769
235.409;12.6131
235.662;12.5384
235.916;12.596
236.17;12.5761
236.423;12.6274
236.677;12.6429
236.931;12.6145
237.184;12.6215
237.438;12.5947
237.692;12.591
237.945;12.6307
238.199;12.6048
238.453;12.5594
238.706;12.5897
238.96;12.5863
239.214;12.553
239.467;12.6213
239.721;12.5513
239.975;12.5601
240.229;12.597
240.482;12.6084
240.736;12.6608
240.99;12.5809
241.243;12.6714
241.497;12.6286
241.751;12.6407
242.004;12.5547
242.258;12.5961
242.512;12.5895
242.765;12.6008
243.019;12.6229
243.273;12.5713
243.526;12.5463
243.78;12.5612
244.034;12.565
244.287;12.5852
244.541;12.598
244.795;12.599
245.048;12.574
245.302;12.5724
245.556;12.5957
245.809;12.6011
246.063;12.5891
246.317;12.5967
246.57;12.5703
246.824;12.5918
247.078;12.558
247.331;12.6125
247.585;12.5832
247.839;12.555
248.092;12.6072
248.346;12.5652
248.6;12.6107
248.853;12.6028
249.107;12.5767
249.361;12.5762
249.614;12.6248
249.868;12.5923
250.122;12.6134
250.375;12.5675
250.629;12.5907
250.883;12.5731
251.136;12.5561
251.39;12.5676
251.644;12.552
251.897;12.5664
252.151;12.5319
252.405;12.5619
252.659;12.5972
252.912;12.6368
253.166;12.5836
253.42;12.5507
253.673;12.5539
253.927;12.5968
254.181;12.5709
254.434;12.5527
254.688;12.5109
254.942;12.5222
255.195;12.4864
255.449;12.5863
255.703;12.5377
255.956;12.6267
