Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 07:03:35
Device temperature = 22.7562
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBtgyz
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;20.35
0.253673;19.1707
0.507346;17.6479
0.76102;16.6879
1.01469;16.7019
1.26837;16.6872
1.52204;16.5536
1.77571;15.9123
2.02939;15.8436
2.28306;16.1945
2.53673;16.2786
2.79041;16.2018
3.04408;16.1747
3.29775;16.098
3.55142;16.0087
3.8051;15.8707
4.05877;15.8732
4.31244;15.8648
4.56612;15.8662
4.81979;15.8081
5.07346;15.8146
5.32714;15.8904
5.58081;15.9331
5.83448;15.8361
6.08816;15.9544
6.34183;15.8372
6.5955;15.9101
6.84918;15.8907
7.10285;15.8388
7.35652;15.7668
7.6102;15.7369
7.86387;15.737
8.11754;15.7664
8.37122;15.8398
8.62489;15.8177
8.87856;15.8104
9.13223;15.7665
9.38591;15.8232
9.63958;15.8509
9.89325;15.7807
10.1469;15.783
10.4006;15.7462
10.6543;15.8209
10.9079;15.7322
11.1616;15.7938
11.4153;15.7491
11.669;15.7533
11.9226;15.6884
12.1763;15.7286
12.43;15.7518
12.6837;15.7657
12.9373;15.7749
13.191;15.7255
13.4447;15.7165
13.6984;15.7499
13.952;15.7949
14.2057;15.7421
14.4594;15.7334
14.713;15.7891
14.9667;15.7683
15.2204;15.762
15.4741;15.6544
15.7277;15.8234
15.9814;15.802
16.2351;15.8003
16.4888;15.7559
16.7424;15.8116
16.9961;15.747
17.2498;15.8729
17.5035;15.7768
17.7571;15.6429
18.0108;15.7818
18.2645;15.7207
18.5181;15.7573
18.7718;15.7529
19.0255;15.7212
19.2792;15.7473
19.5328;15.7105
19.7865;15.7741
20.0402;15.7004
20.2939;15.7753
20.5475;15.7872
20.8012;15.775
21.0549;15.7116
21.3085;15.6852
21.5622;15.7027
21.8159;15.6851
22.0696;15.6763
22.3232;15.7742
22.5769;15.7579
22.8306;15.7548
23.0843;15.7858
23.3379;15.8078
23.5916;15.7348
23.8453;15.7256
24.099;15.7287
24.3526;15.6846
24.6063;15.6467
24.86;15.7789
25.1136;15.7885
25.3673;15.8485
25.621;15.7585
25.8747;15.6377
26.1283;15.6397
26.382;15.6804
26.6357;15.6804
26.8894;15.6522
27.143;15.631
27.3967;15.5889
27.6504;15.5261
27.9041;15.5243
28.1577;15.5859
28.4114;15.5078
28.6651;15.1278
28.9187;14.0499
29.1724;11.241
29.4261;10.0843
29.6798;9.65425
29.9334;9.63135
30.1871;9.59363
30.4408;9.61652
30.6945;9.4087
30.9481;9.39247
31.2018;9.29315
31.4555;9.27518
31.7092;9.17628
31.9628;9.33028
32.2165;9.38703
32.4702;9.52699
32.7238;9.68723
32.9775;9.83876
33.2312;9.70739
33.4849;9.58055
33.7385;9.37471
33.9922;9.37736
34.2459;9.51946
34.4996;9.72145
34.7532;9.8068
35.0069;9.79298
35.2606;9.53469
35.5142;9.30583
35.7679;9.15592
36.0216;9.15741
36.2753;9.14533
36.5289;9.17047
36.7826;9.09367
37.0363;9.10775
37.29;9.17692
37.5436;9.07858
37.7973;9.05109
38.051;9.03379
38.3047;9.03591
38.5583;9.04662
38.812;9.08653
39.0657;9.105
39.3193;8.96224
39.573;8.94388
39.8267;8.92279
40.0804;8.88793
40.334;8.96626
40.5877;8.97005
40.8414;9.00386
41.0951;9.02093
41.3487;9.11624
41.6024;9.19878
41.8561;9.41938
42.1097;9.32607
42.3634;9.35046
42.6171;9.31633
42.8708;9.3659
43.1244;9.43377
43.3781;9.57631
43.6318;9.66566
43.8855;9.61915
44.1391;9.58707
44.3928;9.56306
44.6465;9.53048
44.9002;9.54094
45.1538;9.47474
45.4075;9.50374
45.6612;9.45926
45.9148;9.50829
46.1685;9.437
46.4222;9.31241
46.6759;9.3507
46.9295;9.22815
47.1832;9.28539
47.4369;9.24176
