Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 18:43:37
Device temperature = 22.8672
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBtvAH
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;22.489
0.253673;21.9675
0.507346;21.239
0.76102;21.0294
1.01469;21.2752
1.26837;21.3271
1.52204;21.4525
1.77571;21.1209
2.02939;20.8803
2.28306;20.9421
2.53673;20.5243
2.79041;20.5077
3.04408;20.6758
3.29775;20.6762
3.55142;20.815
3.8051;21.2048
4.05877;21.4786
4.31244;21.4672
4.56612;21.4826
4.81979;21.4185
5.07346;21.4408
5.32714;21.1964
5.58081;21.1926
5.83448;21.2391
6.08816;21.2513
6.34183;21.1516
6.5955;20.9919
6.84918;21.0644
7.10285;21.1516
7.35652;21.2333
7.6102;21.3148
7.86387;21.3294
8.11754;21.3179
8.37122;21.3516
8.62489;21.3321
8.87856;21.1489
9.13223;21.1344
9.38591;20.994
9.63958;20.9896
9.89325;21.1852
10.1469;21.1213
10.4006;21.1638
10.6543;21.2171
10.9079;21.1506
11.1616;21.1936
11.4153;21.1788
11.669;21.1374
11.9226;21.224
12.1763;21.2594
12.43;21.251
12.6837;21.2176
12.9373;21.3017
13.191;21.177
13.4447;21.1915
13.6984;21.1158
13.952;21.0672
14.2057;21.0666
14.4594;21.0958
14.713;20.9759
14.9667;21.0161
15.2204;21.0111
15.4741;21.0328
15.7277;20.9647
15.9814;20.8551
16.2351;20.9398
16.4888;20.9835
16.7424;20.9812
16.9961;20.9568
17.2498;20.8847
17.5035;21.0158
17.7571;21.1506
18.0108;21.0892
18.2645;21.2007
18.5181;21.1657
18.7718;21.1804
19.0255;21.0758
19.2792;20.8916
19.5328;20.9705
19.7865;20.9916
20.0402;20.9029
20.2939;20.8858
20.5475;20.7707
20.8012;20.9265
21.0549;20.9864
21.3085;21.0086
21.5622;21.0436
21.8159;21.0933
22.0696;20.9556
22.3232;20.9897
22.5769;20.9506
22.8306;21.0249
23.0843;20.8577
23.3379;20.7481
23.5916;20.7671
23.8453;20.6941
24.099;20.9431
24.3526;21.0775
24.6063;21.0207
24.86;20.8691
25.1136;20.7686
25.3673;20.7918
25.621;20.8612
25.8747;21.0485
26.1283;21.1983
26.382;21.2231
26.6357;21.2601
26.8894;21.2351
27.143;21.2767
27.3967;21.3159
27.6504;21.313
27.9041;21.2864
28.1577;21.2691
28.4114;21.1319
28.6651;21.1651
28.9187;21.3204
29.1724;21.7869
29.4261;22.0879
29.6798;22.1328
29.9334;22.1121
30.1871;22.087
30.4408;21.9857
30.6945;21.9974
30.9481;21.9955
31.2018;21.9244
31.4555;21.9913
31.7092;22.0349
31.9628;22.0049
32.2165;22.1818
32.4702;22.2744
32.7238;22.341
32.9775;22.3115
33.2312;22.2838
33.4849;22.2685
33.7385;22.3943
33.9922;22.4064
34.2459;22.3983
34.4996;22.3533
34.7532;22.4836
35.0069;22.4974
35.2606;22.4227
35.5142;22.226
35.7679;22.2254
36.0216;22.0451
36.2753;21.8789
36.5289;21.8542
36.7826;21.7957
37.0363;21.5912
37.29;21.5229
37.5436;21.3816
37.7973;21.3521
38.051;21.3077
38.3047;21.1271
38.5583;21.1088
38.812;21.088
39.0657;20.9498
39.3193;20.9384
39.573;20.8142
