Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 06:53:35
Device temperature = 22.901
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBtzU/
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;20.545
0.253673;19.3336
0.507346;17.8791
0.76102;16.824
1.01469;16.8568
1.26837;16.7994
1.52204;16.6753
1.77571;16.0709
2.02939;15.9524
2.28306;16.3596
2.53673;16.4354
2.79041;16.4448
3.04408;16.2498
3.29775;16.2225
3.55142;16.1268
3.8051;16.0159
4.05877;15.9522
4.31244;16.0868
4.56612;16.0403
4.81979;16.0469
5.07346;15.9919
5.32714;15.993
5.58081;15.9698
5.83448;15.9284
6.08816;15.9827
6.34183;16.018
6.5955;16.0395
6.84918;16.0829
7.10285;16.1222
7.35652;15.9327
7.6102;15.9122
7.86387;15.8372
8.11754;15.8321
8.37122;15.8997
8.62489;15.9233
8.87856;15.9224
9.13223;15.9004
9.38591;15.9641
9.63958;16.0151
9.89325;15.8857
10.1469;15.926
10.4006;15.9582
10.6543;15.9085
10.9079;15.9394
11.1616;15.8662
11.4153;15.865
11.669;15.9045
11.9226;15.8736
12.1763;15.8027
12.43;15.8434
12.6837;15.844
12.9373;15.8445
13.191;15.871
13.4447;15.8284
13.6984;15.9253
13.952;15.8523
14.2057;15.9047
14.4594;15.8929
14.713;15.9224
14.9667;15.9974
15.2204;15.9049
15.4741;15.9041
15.7277;15.9445
15.9814;15.952
16.2351;15.9328
16.4888;15.9354
16.7424;15.8922
16.9961;15.9426
17.2498;15.8901
17.5035;15.9126
17.7571;15.841
18.0108;15.8214
18.2645;15.8732
18.5181;15.7913
18.7718;15.9044
19.0255;15.8957
19.2792;15.8568
19.5328;15.852
19.7865;15.8962
20.0402;15.9026
20.2939;15.8623
20.5475;15.8681
20.8012;15.912
21.0549;15.8798
21.3085;15.791
21.5622;15.8152
21.8159;15.808
22.0696;15.857
22.3232;15.8094
22.5769;15.9054
22.8306;15.8389
23.0843;15.9491
23.3379;15.8553
23.5916;15.9531
23.8453;15.9573
24.099;15.89
24.3526;15.7413
24.6063;15.7664
24.86;15.8383
25.1136;15.9183
25.3673;15.8916
25.621;15.912
25.8747;15.8873
26.1283;15.7109
26.382;15.7103
26.6357;15.7966
26.8894;15.7566
27.143;15.822
27.3967;15.72
27.6504;15.6337
27.9041;15.6815
28.1577;15.6988
28.4114;15.5405
28.6651;15.2263
28.9187;14.122
29.1724;11.3718
29.4261;10.1102
29.6798;9.70705
29.9334;9.78931
30.1871;9.75298
30.4408;9.64519
30.6945;9.62505
30.9481;9.57885
31.2018;9.44062
31.4555;9.4493
31.7092;9.42896
31.9628;9.4856
32.2165;9.59586
32.4702;9.73751
32.7238;9.89383
32.9775;10.0748
33.2312;10.0883
33.4849;9.82768
33.7385;9.88311
33.9922;9.93035
34.2459;9.95972
34.4996;10.0078
34.7532;10.1285
35.0069;10.0738
35.2606;9.80889
35.5142;9.5222
35.7679;9.42685
36.0216;9.36742
36.2753;9.30631
36.5289;9.26869
36.7826;9.24801
37.0363;9.27865
37.29;9.18812
37.5436;9.1574
37.7973;9.07593
38.051;9.12265
38.3047;9.14414
38.5583;9.09891
38.812;9.08663
39.0657;9.11692
39.3193;9.0139
39.573;9.05741
39.8267;9.00497
40.0804;8.99713
40.334;9.05372
40.5877;9.00376
40.8414;9.03142
41.0951;9.12088
41.3487;9.15217
41.6024;9.2145
41.8561;9.32799
42.1097;9.40298
42.3634;9.44376
42.6171;9.42879
42.8708;9.43613
43.1244;9.52023
43.3781;9.58677
43.6318;9.58485
43.8855;9.46073
44.1391;9.64493
44.3928;9.5109
44.6465;9.52451
44.9002;9.57329
45.1538;9.56713
45.4075;9.55958
45.6612;9.60879
45.9148;9.5427
46.1685;9.47984
46.4222;9.40592
46.6759;9.38512
46.9295;9.39772
47.1832;9.41339
47.4369;9.45894
47.6906;9.37468
47.9442;9.24188
48.1979;9.22023
48.4516;9.18099
48.7053;9.1852
48.9589;9.25787
49.2126;9.16716
49.4663;9.08946
49.7199;9.07621
49.9736;9.03063
50.2273;9.15825
50.481;9.20342
50.7346;9.29406
50.9883;9.24882
51.242;9.23368
51.4957;9.22526
51.7493;9.19921
52.003;9.23532
52.2567;9.35588
52.5104;9.30232
52.764;9.34841
53.0177;9.24084
53.2714;9.15654
53.525;9.13531
53.7787;9.08569
54.0324;9.06849
54.2861;9.16805
54.5397;9.02196
54.7934;9.00902
55.0471;9.03811
55.3008;9.08841
55.5544;9.19802
55.8081;9.24204
56.0618;9.26621
56.3154;9.26107
56.5691;9.23183
56.8228;9.26354
57.0765;9.29078
57.3301;9.2157
57.5838;9.148
57.8375;9.19116
58.0912;9.10356
58.3448;9.13356
58.5985;9.10441
58.8522;9.08673
59.1059;9.13194
59.3595;9.05989
59.6132;9.04459
59.8669;8.95199
60.1205;8.90302
60.3742;8.90384
60.6279;8.89097
60.8816;8.88889
61.1352;8.92639
61.3889;8.94362
61.6426;9.02917
61.8963;9.05091
62.1499;8.95783
62.4036;8.97934
62.6573;8.947
62.911;8.85088
63.1646;8.9262
63.4183;8.87057
63.672;8.8408
63.9256;8.7994
64.1793;8.82304
64.433;8.77623
64.6867;8.83282
64.9403;8.79245
65.194;8.85186
65.4477;8.85199
65.7014;8.85715
65.955;8.82363
66.2087;8.89137
66.4624;8.84996
66.716;8.81887
66.9697;8.83414
67.2234;8.90345
67.4771;8.9099
67.7307;8.84008
67.9844;8.85548
68.2381;9.06107
68.4918;9.12851
68.7454;9.17441
68.9991;9.1415
69.2528;9.23244
69.5065;9.31351
69.7601;9.38567
70.0138;9.33231
70.2675;9.2153
70.5211;9.1766
70.7748;9.04226
71.0285;9.00976
71.2822;8.9534
71.5358;8.88166
71.7895;8.86676
72.0432;8.80267
72.2969;8.89257
72.5505;8.91745
72.8042;8.85611
73.0579;8.79926
73.3116;8.8447
73.5652;8.8871
73.8189;8.8525
74.0726;8.82248
74.3262;8.8442
74.5799;8.79674
74.8336;8.76511
75.0873;8.67671
75.3409;8.73897
75.5946;8.70358
75.8483;8.70737
76.102;8.70397
76.3556;8.69301
76.6093;8.70562
76.863;8.6882
77.1167;8.70609
77.3703;8.73019
77.624;8.63411
77.8777;8.64512
78.1313;8.64348
78.385;8.58614
78.6387;8.61196
78.8924;8.61813
79.146;8.54767
79.3997;8.55104
79.6534;8.53201
79.9071;8.59682
80.1607;8.53406
80.4144;8.46645
80.6681;8.48814
80.9218;8.58805
81.1754;8.55555
81.4291;8.62888
81.6828;8.47388
81.9364;8.38485
82.1901;8.44113
82.4438;8.45383
82.6975;8.50006
82.9511;8.51642
83.2048;8.53015
83.4585;8.48647
83.7122;8.49008
83.9658;8.49396
84.2195;8.52041
84.4732;8.57636
84.7268;8.50005
84.9805;8.40156
85.2342;8.32623
85.4879;8.43098
85.7415;8.42032
85.9952;8.48725
86.2489;8.56552
86.5026;8.53005
86.7562;8.57458
87.0099;8.64789
87.2636;8.53808
87.5173;8.5443
87.7709;8.57434
88.0246;8.54315
88.2783;8.40666
88.5319;8.44776
88.7856;8.44653
89.0393;8.4137
89.293;8.34845
89.5466;8.38426
89.8003;8.43343
90.054;8.4052
90.3077;8.43914
90.5613;8.47136
90.815;8.48893
91.0687;8.45501
91.3223;8.52375
91.576;8.42493
91.8297;8.46582
92.0834;8.46915
92.337;8.4328
92.5907;8.35137
92.8444;8.41322
93.0981;8.39845
93.3517;8.45671
93.6054;8.52189
93.8591;8.58786
94.1128;8.58851
94.3664;8.58328
94.6201;8.54945
94.8738;8.52962
95.1274;8.47488
95.3811;8.42811
95.6348;8.49146
95.8885;8.46962
96.1421;8.41868
96.3958;8.36528
96.6495;8.36817
96.9032;8.39864
97.1568;8.43711
97.4105;8.43167
97.6642;8.32886
97.9179;8.36943
98.1715;8.33108
98.4252;8.3446
98.6789;8.36106
98.9325;8.29906
99.1862;8.29127
99.4399;8.38697
99.6936;8.41044
99.9472;8.37586
100.201;8.28497
100.455;8.29762
100.708;8.33504
100.962;8.43035
101.216;8.50685
101.469;8.48261
101.723;8.48954
101.977;8.44992
102.23;8.27984
102.484;8.26016
102.738;8.19879
102.991;8.11399
103.245;8.15407
103.499;8.03129
103.752;7.93111
104.006;7.87867
104.26;7.84336
104.513;7.9058
104.767;7.88781
105.021;7.93012
105.274;7.93124
105.528;7.88211
105.782;7.83709
106.035;7.80574
106.289;7.59686
106.543;7.36763
106.796;7.34227
107.05;7.34171
107.304;7.18128
107.557;7.12175
107.811;7.12167
108.065;7.25843
108.318;7.19528
108.572;7.12631
108.826;6.98348
109.079;6.84839
109.333;6.7567
109.587;6.69411
109.84;6.74739
110.094;6.57741
110.348;6.40386
110.602;6.40231
110.855;6.52739
111.109;6.60801
111.363;6.86911
111.616;6.8894
111.87;6.89772
112.124;6.91882
112.377;6.68389
112.631;6.55223
112.885;6.54102
113.138;6.56442
113.392;6.59791
113.646;6.62002
113.899;6.696
114.153;6.5965
114.407;6.57812
114.66;6.55341
114.914;6.5157
115.168;6.54666
115.421;6.33303
115.675;6.29681
115.929;6.20223
116.182;6.09097
116.436;5.98073
116.69;5.95989
116.943;5.90133
117.197;5.98257
117.451;6.09566
117.704;6.15177
117.958;6.31766
118.212;6.33952
118.465;6.43556
118.719;6.3121
118.973;6.1128
119.226;5.88518
119.48;5.7134
119.734;5.67669
119.987;5.77485
120.241;5.7668
120.495;5.71714
120.748;5.56421
121.002;5.46077
121.256;5.4935
121.509;6.06371
121.763;6.62911
122.017;6.80596
122.27;6.35491
122.524;5.43234
122.778;5.45659
123.032;5.55211
123.285;5.56876
123.539;5.65513
123.793;5.81279
124.046;5.92683
124.3;5.85767
124.554;6.0733
124.807;6.45721
125.061;6.71011
125.315;6.59808
125.568;6.39814
125.822;6.51569
126.076;6.70851
126.329;6.7621
126.583;6.89656
126.837;7.03298
127.09;7.17297
127.344;7.23486
127.598;7.2191
127.851;7.18269
128.105;7.23111
128.359;7.33213
128.612;7.33225
128.866;7.43392
129.12;7.46418
129.373;7.57519
129.627;7.50366
129.881;7.49283
130.134;7.62848
130.388;7.59148
130.642;7.6321
130.895;7.73373
131.149;7.71496
131.403;7.7435
131.656;7.89609
131.91;8.00315
132.164;8.18829
132.417;8.2544
132.671;8.08913
132.925;7.99059
133.178;8.07611
133.432;8.28258
133.686;8.62144
133.939;8.57823
134.193;8.41384
134.447;8.1649
134.7;7.95006
134.954;8.00636
135.208;8.0825
135.461;8.17731
135.715;8.43191
135.969;8.60811
136.223;8.82447
136.476;8.80798
136.73;8.42794
136.984;8.1868
137.237;7.97453
137.491;7.87307
137.745;7.84583
137.998;7.79073
138.252;7.89658
138.506;7.97777
138.759;7.8425
139.013;7.69903
139.267;7.56262
139.52;7.58401
139.774;7.76356
140.028;7.86194
140.281;8.02232
140.535;8.27803
140.789;8.52989
141.042;8.37928
141.296;8.27998
141.55;8.18986
141.803;8.15864
142.057;8.23359
142.311;8.63635
142.564;9.03239
142.818;9.01528
143.072;8.63639
143.325;8.13499
143.579;8.0385
143.833;8.08885
144.086;8.10986
144.34;8.16454
144.594;8.25476
144.847;8.17417
145.101;8.17031
145.355;8.1198
145.608;8.20584
145.862;8.2787
146.116;8.4041
146.369;8.837
146.623;9.02017
146.877;8.83056
147.13;8.53744
147.384;8.38344
147.638;8.38334
147.891;8.42818
148.145;8.31554
148.399;8.45569
148.652;8.53122
148.906;8.71127
149.16;9.0494
149.414;9.34921
149.667;9.34793
149.921;8.75831
150.175;8.50984
150.428;8.61006
150.682;8.78959
150.936;8.95043
151.189;8.94269
151.443;8.96511
151.697;8.99923
151.95;8.99362
152.204;8.81355
152.458;8.77429
152.711;8.84377
152.965;8.99178
153.219;9.07366
153.472;9.27232
153.726;9.52708
153.98;9.65566
154.233;9.46989
154.487;9.34184
154.741;9.13946
154.994;9.25582
155.248;9.37633
155.502;9.42772
155.755;9.30413
156.009;9.17822
156.263;9.13552
156.516;9.16367
156.77;9.21087
157.024;9.36106
157.277;9.37176
157.531;9.20978
157.785;9.20259
158.038;9.15975
158.292;9.10172
158.546;9.1459
158.799;9.18153
159.053;9.3796
159.307;9.44559
159.56;9.45067
159.814;9.40333
160.068;9.21061
160.321;9.07267
160.575;9.09702
160.829;9.12664
161.082;9.27062
161.336;9.30193
161.59;9.48034
161.844;9.42185
162.097;9.08681
162.351;8.99082
162.605;9.20017
162.858;9.34395
163.112;9.4013
163.366;9.41657
163.619;9.48155
163.873;9.3845
164.127;9.25039
164.38;9.27553
164.634;9.36683
164.888;9.26744
165.141;9.416
165.395;9.55575
165.649;9.52463
165.902;9.42532
166.156;9.23015
166.41;9.18641
166.663;9.28819
166.917;9.30749
167.171;9.36136
167.424;9.37797
167.678;9.19976
167.932;9.04817
168.185;9.04153
168.439;9.00679
168.693;9.04909
168.946;9.0956
169.2;9.22331
169.454;9.13554
169.707;9.01248
169.961;8.92426
170.215;9.02923
170.468;9.01935
170.722;9.08524
170.976;9.09006
171.229;9.17814
171.483;9.16543
171.737;9.08047
171.99;9.13862
172.244;9.35023
172.498;9.45721
172.751;9.34623
173.005;9.25301
173.259;9.39035
173.512;9.55012
173.766;9.52951
174.02;9.39466
174.273;9.42866
174.527;9.46433
174.781;9.43136
175.035;9.38955
175.288;9.55887
175.542;9.54937
175.796;9.42951
176.049;9.32453
176.303;9.30661
176.557;9.31358
176.81;9.26807
177.064;9.10557
177.318;9.24092
177.571;9.2821
177.825;9.46747
178.079;9.51557
178.332;9.75182
178.586;9.96244
178.84;10.0697
179.093;10.1304
179.347;10.0695
179.601;9.86219
179.854;9.6484
180.108;9.41543
180.362;9.24088
180.615;9.38462
180.869;9.58428
181.123;9.73087
181.376;9.80746
181.63;9.66538
181.884;9.47255
182.137;9.32784
182.391;9.2086
182.645;9.24026
182.898;9.25689
183.152;9.11268
183.406;9.12003
183.659;9.23504
183.913;9.23793
184.167;9.20124
184.42;9.03175
184.674;9.12025
184.928;9.3539
185.181;9.51078
185.435;9.63657
185.689;9.43538
185.942;9.32003
186.196;9.3616
186.45;9.46127
186.703;9.41749
186.957;9.34041
187.211;9.41111
187.464;9.63505
187.718;9.51651
187.972;9.43142
188.226;9.49863
188.479;9.50627
188.733;9.58863
188.987;9.63022
189.24;9.55382
189.494;9.36617
189.748;9.31797
