Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 06:43:35
Device temperature = 23.0505
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBuGdt
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;20.5203
0.253673;19.4181
0.507346;17.8918
0.76102;16.8736
1.01469;17.0172
1.26837;16.907
1.52204;16.7155
1.77571;16.1935
2.02939;16.0498
2.28306;16.4195
2.53673;16.5608
2.79041;16.4992
3.04408;16.4249
3.29775;16.2686
3.55142;16.1867
3.8051;16.1738
4.05877;16.0716
4.31244;16.1674
4.56612;16.1697
4.81979;16.1527
5.07346;16.211
5.32714;16.0754
5.58081;16.0683
5.83448;16.0731
6.08816;16.0613
6.34183;16.1226
6.5955;16.1665
6.84918;16.218
7.10285;16.1191
7.35652;16.1096
7.6102;16.0299
7.86387;15.9522
8.11754;15.9973
8.37122;16.0818
8.62489;16.0358
8.87856;16.025
9.13223;16.1252
9.38591;16.1228
9.63958;16.075
9.89325;16.0541
10.1469;15.9966
10.4006;16.056
10.6543;16.0495
10.9079;15.9429
11.1616;15.9779
11.4153;15.985
11.669;15.9407
11.9226;15.9803
12.1763;15.9675
12.43;15.9058
12.6837;15.9793
12.9373;16.0175
13.191;15.9775
13.4447;15.9715
13.6984;16.0093
13.952;16.068
14.2057;15.9324
14.4594;16.0201
14.713;15.9775
14.9667;16.0127
15.2204;16.065
15.4741;16.0293
15.7277;15.9522
15.9814;16.1234
16.2351;16.0765
16.4888;16.0411
16.7424;16.0199
16.9961;16.0645
17.2498;16.0122
17.5035;16.0087
17.7571;15.9938
18.0108;15.9612
18.2645;16.0143
18.5181;16.0288
18.7718;15.9391
19.0255;15.9571
19.2792;15.9668
19.5328;16.0071
19.7865;16.0456
20.0402;16.0348
20.2939;16.0417
20.5475;16.0291
20.8012;15.9857
21.0549;15.9378
21.3085;15.9501
21.5622;15.9509
21.8159;15.8844
22.0696;15.9948
22.3232;16.0002
22.5769;15.9894
22.8306;15.9683
23.0843;15.9421
23.3379;15.9713
23.5916;15.9834
23.8453;15.9519
24.099;16.0065
24.3526;15.9163
24.6063;15.9205
24.86;15.9855
25.1136;15.9965
25.3673;15.9868
25.621;16.0245
25.8747;15.945
26.1283;15.8497
26.382;15.8497
26.6357;15.9161
26.8894;15.8807
27.143;15.8503
27.3967;15.8388
27.6504;15.8143
27.9041;15.8468
28.1577;15.7498
28.4114;15.7195
28.6651;15.3414
28.9187;14.3233
29.1724;11.4282
29.4261;10.2209
29.6798;9.79964
29.9334;9.81913
30.1871;9.85037
30.4408;9.76456
30.6945;9.6868
30.9481;9.53353
31.2018;9.43719
31.4555;9.42818
31.7092;9.46956
31.9628;9.4757
32.2165;9.56329
32.4702;9.7477
32.7238;9.91482
32.9775;10.1241
33.2312;10.0205
33.4849;9.75002
33.7385;9.6952
33.9922;9.64356
34.2459;9.84742
34.4996;9.93808
34.7532;10.003
35.0069;10.0482
35.2606;9.69053
35.5142;9.51715
35.7679;9.39886
