Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 06:33:35
Device temperature = 23.2026
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBuZ7t
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;20.6427
0.253673;19.5133
0.507346;17.9297
0.76102;16.941
1.01469;17.1045
1.26837;17.0319
1.52204;16.872
1.77571;16.3607
2.02939;16.2297
2.28306;16.6121
2.53673;16.6459
2.79041;16.7221
3.04408;16.5406
3.29775;16.4446
3.55142;16.4747
3.8051;16.398
4.05877;16.2527
4.31244;16.2842
4.56612;16.2666
4.81979;16.3496
5.07346;16.2376
5.32714;16.2462
5.58081;16.1941
5.83448;16.2772
6.08816;16.272
6.34183;16.2559
6.5955;16.3373
6.84918;16.3425
7.10285;16.2544
7.35652;16.181
7.6102;16.1962
7.86387;16.1399
8.11754;16.1631
8.37122;16.1926
8.62489;16.1967
8.87856;16.1829
9.13223;16.2381
9.38591;16.198
9.63958;16.3208
9.89325;16.1986
10.1469;16.2186
10.4006;16.2339
10.6543;16.2189
10.9079;16.1563
11.1616;16.2153
11.4153;16.152
11.669;16.1775
11.9226;16.1483
12.1763;16.1563
12.43;16.1023
12.6837;16.0813
12.9373;16.2294
13.191;16.1503
13.4447;16.2091
13.6984;16.2943
13.952;16.1421
14.2057;16.1437
14.4594;16.2035
14.713;16.1178
14.9667;16.2232
15.2204;16.2122
15.4741;16.161
15.7277;16.1971
15.9814;16.1913
16.2351;16.2546
16.4888;16.2466
16.7424;16.2454
16.9961;16.2516
17.2498;16.2022
17.5035;16.171
17.7571;16.2165
18.0108;16.1277
18.2645;16.1029
18.5181;16.1534
18.7718;16.1293
19.0255;16.1254
19.2792;16.1541
19.5328;16.1521
19.7865;16.2024
20.0402;16.1718
20.2939;16.1349
20.5475;16.2384
20.8012;16.226
21.0549;16.1304
21.3085;16.0686
21.5622;15.9957
21.8159;16.1668
22.0696;16.1717
22.3232;16.206
22.5769;16.2164
22.8306;16.1463
23.0843;16.1879
23.3379;16.1725
23.5916;16.1709
23.8453;16.1577
24.099;16.149
24.3526;16.0851
24.6063;16.0922
24.86;16.09
25.1136;16.1194
25.3673;16.1561
25.621;16.1682
25.8747;16.1465
26.1283;16.0416
26.382;15.9331
26.6357;16.0664
26.8894;16.0265
27.143;15.9815
27.3967;15.9337
27.6504;15.9183
27.9041;15.9821
28.1577;15.9096
28.4114;15.7999
28.6651;15.3132
28.9187;14.033
29.1724;11.0955
29.4261;10.0451
29.6798;9.76442
29.9334;9.81558
30.1871;9.75803
30.4408;9.69598
30.6945;9.67324
30.9481;9.59846
31.2018;9.55911
31.4555;9.49251
31.7092;9.53702
31.9628;9.57366
32.2165;9.61749
32.4702;9.75037
32.7238;9.8719
32.9775;10.1085
33.2312;9.92595
33.4849;9.77503
33.7385;9.70189
33.9922;9.73726
34.2459;9.85557
34.4996;9.92154
34.7532;10.0475
35.0069;10.1026
35.2606;9.83852
35.5142;9.54263
35.7679;9.52024
36.0216;9.40228
36.2753;9.35929
36.5289;9.28915
36.7826;9.31069
37.0363;9.29028
37.29;9.28595
37.5436;9.25257
37.7973;9.24353
38.051;9.26047
38.3047;9.31527
38.5583;9.26039
38.812;9.28035
39.0657;9.23022
39.3193;9.18018
39.573;9.19018
39.8267;9.15174
40.0804;9.08353
40.334;9.14073
40.5877;9.09054
40.8414;9.13496
41.0951;9.1468
41.3487;9.23484
41.6024;9.37485
41.8561;9.4087
42.1097;9.53026
42.3634;9.4736
42.6171;9.48335
42.8708;9.55658
43.1244;9.66823
43.3781;9.76229
43.6318;9.74069
43.8855;9.72252
44.1391;9.81442
44.3928;9.71727
44.6465;9.59131
44.9002;9.66669
45.1538;9.63939
45.4075;9.66443
45.6612;9.5962
45.9148;9.60862
46.1685;9.62438
46.4222;9.49603
46.6759;9.48876
46.9295;9.54823
47.1832;9.43891
47.4369;9.55803
47.6906;9.39674
47.9442;9.34436
48.1979;9.35046
48.4516;9.31377
48.7053;9.40946
48.9589;9.40822
49.2126;9.33337
49.4663;9.28003
49.7199;9.20973
49.9736;9.23769
50.2273;9.37032
50.481;9.53703
50.7346;9.47239
50.9883;9.4435
51.242;9.40436
51.4957;9.33366
51.7493;9.3292
52.003;9.38101
52.2567;9.41627
52.5104;9.45837
52.764;9.41257
