Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 06:23:35
Device temperature = 23.3589
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBut8H
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;20.841
0.253673;19.6721
0.507346;18.0759
0.76102;17.0384
1.01469;17.1463
1.26837;17.0691
1.52204;16.9444
1.77571;16.4354
2.02939;16.3652
2.28306;16.7813
2.53673;16.7743
2.79041;16.8037
3.04408;16.6625
3.29775;16.5672
3.55142;16.5171
3.8051;16.429
4.05877;16.4266
4.31244;16.4576
4.56612;16.4035
4.81979;16.4369
5.07346;16.3362
5.32714;16.3893
5.58081;16.4449
5.83448;16.396
6.08816;16.3819
6.34183;16.5291
6.5955;16.4422
6.84918;16.4783
7.10285;16.4265
7.35652;16.381
7.6102;16.2722
7.86387;16.2943
8.11754;16.2699
8.37122;16.4137
8.62489;16.3032
8.87856;16.2734
9.13223;16.3798
9.38591;16.4051
9.63958;16.3775
9.89325;16.3819
10.1469;16.3413
10.4006;16.3885
10.6543;16.285
10.9079;16.2425
11.1616;16.3134
11.4153;16.32
11.669;16.3106
11.9226;16.3716
12.1763;16.341
12.43;16.3119
12.6837;16.3043
12.9373;16.2255
13.191;16.2932
13.4447;16.2864
13.6984;16.3279
13.952;16.3548
14.2057;16.3629
14.4594;16.308
14.713;16.3945
14.9667;16.3111
15.2204;16.4311
15.4741;16.3417
15.7277;16.2823
15.9814;16.3743
16.2351;16.4283
16.4888;16.4332
16.7424;16.3341
16.9961;16.3388
17.2498;16.3981
17.5035;16.328
17.7571;16.3417
18.0108;16.3054
18.2645;16.2952
18.5181;16.2804
18.7718;16.2836
19.0255;16.2548
19.2792;16.3257
19.5328;16.3205
19.7865;16.3621
20.0402;16.3594
20.2939;16.2875
20.5475;16.3593
20.8012;16.3005
21.0549;16.3178
21.3085;16.3199
21.5622;16.209
21.8159;16.2127
22.0696;16.2787
22.3232;16.289
22.5769;16.3884
22.8306;16.2997
23.0843;16.3593
23.3379;16.3566
23.5916;16.3539
23.8453;16.3245
24.099;16.2696
24.3526;16.3247
24.6063;16.2913
24.86;16.2325
25.1136;16.3614
25.3673;16.4071
25.621;16.2607
25.8747;16.2427
26.1283;16.2294
26.382;16.1988
26.6357;16.2129
26.8894;16.1897
27.143;16.1345
27.3967;16.1265
27.6504;16.0929
27.9041;16.0507
28.1577;16.1045
28.4114;16.064
28.6651;15.7898
28.9187;14.6614
29.1724;11.8579
29.4261;10.575
29.6798;9.98851
29.9334;10.0736
30.1871;10.1613
30.4408;10.0713
30.6945;10.076
30.9481;9.99692
31.2018;9.91741
31.4555;9.9179
31.7092;9.87228
31.9628;9.92642
32.2165;10.0318
32.4702;10.0766
32.7238;10.2297
32.9775;10.3205
33.2312;10.3154
33.4849;10.2065
33.7385;10.0668
33.9922;9.97959
34.2459;10.0814
34.4996;10.0977
34.7532;10.1356
35.0069;10.0976
35.2606;9.93588
35.5142;9.78927
35.7679;9.64202
36.0216;9.5755
36.2753;9.54132
36.5289;9.51349
36.7826;9.57361
37.0363;9.4514
37.29;9.49139
37.5436;9.52646
37.7973;9.45275
38.051;9.45695
38.3047;9.45849
38.5583;9.52085
38.812;9.49325
39.0657;9.30758
39.3193;9.33388
39.573;9.41788
39.8267;9.3806
40.0804;9.4026
40.334;9.45815
40.5877;9.41725
40.8414;9.4246
41.0951;9.47688
41.3487;9.51651
41.6024;9.65683
41.8561;9.6717
42.1097;9.68783
42.3634;9.68843
42.6171;9.66713
42.8708;9.71047
43.1244;9.71387
43.3781;9.83991
43.6318;9.80597
43.8855;9.73216
44.1391;9.81119
44.3928;9.77871
44.6465;9.72159
44.9002;9.71154
45.1538;9.71676
45.4075;9.80045
45.6612;9.76583
45.9148;9.68272
46.1685;9.66042
46.4222;9.70344
46.6759;9.71384
46.9295;9.74115
47.1832;9.80278
47.4369;9.72018
47.6906;9.54667
47.9442;9.52693
48.1979;9.48964
48.4516;9.54583
48.7053;9.4734
48.9589;9.47949
49.2126;9.4354
49.4663;9.35913
49.7199;9.36202
