Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 06:13:35
Device temperature = 23.5141
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBvBzg
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;21.0702
0.253673;19.8206
0.507346;18.2751
0.76102;17.2942
1.01469;17.3551
1.26837;17.3271
1.52204;17.1799
1.77571;16.6112
2.02939;16.5492
2.28306;16.9521
2.53673;16.915
2.79041;16.9168
3.04408;16.8587
3.29775;16.7303
3.55142;16.7902
3.8051;16.6899
4.05877;16.6684
4.31244;16.658
4.56612;16.5699
4.81979;16.6258
5.07346;16.5329
5.32714;16.5273
5.58081;16.5053
5.83448;16.5779
6.08816;16.5848
6.34183;16.6078
6.5955;16.6111
6.84918;16.6747
7.10285;16.6524
7.35652;16.5233
7.6102;16.5204
7.86387;16.5124
8.11754;16.4378
8.37122;16.5377
8.62489;16.4732
8.87856;16.5354
9.13223;16.4879
9.38591;16.5816
9.63958;16.5804
9.89325;16.5443
10.1469;16.5565
10.4006;16.5391
10.6543;16.4891
10.9079;16.4976
11.1616;16.429
11.4153;16.3957
11.669;16.4658
11.9226;16.4664
12.1763;16.4335
12.43;16.4002
12.6837;16.4234
12.9373;16.4394
13.191;16.3994
13.4447;16.5607
13.6984;16.5761
13.952;16.5054
14.2057;16.5002
14.4594;16.5188
14.713;16.4939
14.9667;16.5684
15.2204;16.4602
15.4741;16.5082
15.7277;16.5496
15.9814;16.5913
16.2351;16.5507
16.4888;16.5054
16.7424;16.5424
16.9961;16.45
17.2498;16.5281
17.5035;16.5228
17.7571;16.449
18.0108;16.5727
18.2645;16.5549
18.5181;16.448
18.7718;16.3881
19.0255;16.3935
19.2792;16.4108
19.5328;16.5387
19.7865;16.5518
20.0402;16.4938
20.2939;16.5189
20.5475;16.5116
20.8012;16.5365
21.0549;16.4024
21.3085;16.4385
21.5622;16.4315
21.8159;16.409
22.0696;16.4834
22.3232;16.5586
22.5769;16.4981
22.8306;16.4759
23.0843;16.5055
23.3379;16.4705
23.5916;16.4848
23.8453;16.4916
24.099;16.4806
24.3526;16.4312
24.6063;16.4599
24.86;16.4905
25.1136;16.4707
25.3673;16.4032
25.621;16.5196
25.8747;16.5048
26.1283;16.4729
26.382;16.4227
26.6357;16.384
26.8894;16.3991
27.143;16.3445
27.3967;16.2204
27.6504;16.3193
27.9041;16.2978
28.1577;16.3206
28.4114;16.3018
28.6651;15.8264
28.9187;14.8245
29.1724;12.053
29.4261;10.7264
29.6798;10.3496
29.9334;10.2715
30.1871;10.3193
30.4408;10.3444
30.6945;10.1769
30.9481;10.1084
31.2018;9.98498
31.4555;9.97861
31.7092;9.99541
31.9628;10.0606
32.2165;10.1276
32.4702;10.2427
32.7238;10.4109
32.9775;10.5359
33.2312;10.4467
33.4849;10.2843
33.7385;10.16
33.9922;10.1873
34.2459;10.2654
34.4996;10.3792
34.7532;10.4118
35.0069;10.3494
35.2606;10.3051
35.5142;10.0561
35.7679;9.90077
36.0216;9.8477
36.2753;9.70779
36.5289;9.6498
36.7826;9.65789
37.0363;9.64845
37.29;9.66195
37.5436;9.63953
37.7973;9.59905
38.051;9.59981
38.3047;9.57634
38.5583;9.6503
38.812;9.61032
39.0657;9.64962
39.3193;9.53207
39.573;9.55595
39.8267;9.5245
40.0804;9.5415
40.334;9.57078
40.5877;9.52359
40.8414;9.50845
41.0951;9.51623
41.3487;9.58976
41.6024;9.70744
41.8561;9.86582
42.1097;9.89973
42.3634;9.93403
42.6171;9.85469
42.8708;9.83745
43.1244;9.88467
43.3781;9.95533
43.6318;9.9702
43.8855;9.86502
44.1391;9.9401
44.3928;9.87392
44.6465;9.94181
44.9002;9.8993
45.1538;9.85207
45.4075;9.90059
45.6612;9.91026
45.9148;9.89133
46.1685;9.80834
46.4222;9.81221
46.6759;9.7943
46.9295;9.77625
47.1832;9.80299
47.4369;9.77972
47.6906;9.72377
47.9442;9.6114
48.1979;9.58411
48.4516;9.5838
48.7053;9.59898
48.9589;9.62416
49.2126;9.49838
49.4663;9.53467
49.7199;9.49603
49.9736;9.53588
50.2273;9.53021
50.481;9.67558
50.7346;9.72988
50.9883;9.69614
51.242;9.59302
51.4957;9.58192
51.7493;9.61257
52.003;9.63207
52.2567;9.65403
52.5104;9.74386
52.764;9.72101
53.0177;9.65135
53.2714;9.54552
53.525;9.52584
53.7787;9.48382
54.0324;9.50058
54.2861;9.43827
54.5397;9.41331
54.7934;9.45923
55.0471;9.40245
55.3008;9.39723
55.5544;9.4928
55.8081;9.60599
56.0618;9.63568
56.3154;9.72095
56.5691;9.77823
56.8228;9.7887
57.0765;9.72479
57.3301;9.63372
57.5838;9.50752
57.8375;9.55472
58.0912;9.53095
58.3448;9.53422
58.5985;9.59139
58.8522;9.58535
59.1059;9.51427
59.3595;9.47631
59.6132;9.35853
59.8669;9.40471
60.1205;9.26463
60.3742;9.2653
60.6279;9.31128
60.8816;9.35291
61.1352;9.28519
61.3889;9.31873
61.6426;9.32185
61.8963;9.34934
62.1499;9.39377
62.4036;9.27454
62.6573;9.27975
62.911;9.27011
63.1646;9.27685
63.4183;9.25342
63.672;9.2712
63.9256;9.21541
64.1793;9.21801
64.433;9.22869
64.6867;9.3218
64.9403;9.27742
65.194;9.11381
65.4477;9.25255
65.7014;9.24373
65.955;9.2264
66.2087;9.20427
66.4624;9.21713
66.716;9.24372
66.9697;9.24576
67.2234;9.21157
67.4771;9.24874
67.7307;9.28775
67.9844;9.32819
68.2381;9.37167
68.4918;9.47919
68.7454;9.55337
68.9991;9.58933
69.2528;9.66734
69.5065;9.7711
69.7601;9.76745
70.0138;9.73388
70.2675;9.74789
70.5211;9.55766
70.7748;9.50464
71.0285;9.47659
71.2822;9.49357
71.5358;9.34654
71.7895;9.35885
72.0432;9.32109
72.2969;9.37509
72.5505;9.35024
72.8042;9.3662
73.0579;9.33018
73.3116;9.44766
73.5652;9.42182
73.8189;9.43912
74.0726;9.37928
74.3262;9.32188
74.5799;9.35091
74.8336;9.27764
75.0873;9.2118
75.3409;9.13461
75.5946;9.12009
75.8483;9.20936
76.102;9.22095
76.3556;9.31128
76.6093;9.25307
76.863;9.26918
77.1167;9.32716
77.3703;9.23774
77.624;9.24026
77.8777;9.27168
78.1313;9.17806
78.385;9.1036
78.6387;9.10371
78.8924;9.07678
79.146;9.0462
79.3997;8.99365
79.6534;9.05192
79.9071;9.02097
80.1607;9.01614
80.4144;9.00787
80.6681;8.98738
80.9218;8.9891
81.1754;8.98186
81.4291;9.05902
81.6828;8.93966
81.9364;8.88738
82.1901;8.93263
82.4438;8.9641
82.6975;9.00234
82.9511;9.00999
83.2048;8.97339
83.4585;8.94079
83.7122;8.94705
83.9658;8.97089
84.2195;8.93848
84.4732;9.00299
84.7268;9.02584
84.9805;8.88483
85.2342;8.83229
85.4879;8.80257
85.7415;8.83422
85.9952;9.00332
86.2489;8.97006
86.5026;9.00663
86.7562;8.98039
87.0099;8.97363
87.2636;9.04355
87.5173;8.98153
87.7709;8.98606
88.0246;8.95572
88.2783;8.9474
88.5319;8.94794
88.7856;8.94032
89.0393;8.86892
89.293;8.8527
89.5466;8.82678
89.8003;8.79025
90.054;8.93854
90.3077;8.88873
90.5613;9.00776
90.815;8.96907
91.0687;8.90981
91.3223;8.93054
91.576;8.88432
91.8297;8.88493
92.0834;8.84153
92.337;8.79142
92.5907;8.85742
92.8444;8.81385
93.0981;8.9054
93.3517;8.96936
93.6054;8.93464
93.8591;9.01033
94.1128;9.03065
94.3664;9.10155
94.6201;9.08059
94.8738;9.11065
95.1274;8.90566
95.3811;8.97926
95.6348;9.0059
95.8885;8.9603
96.1421;8.89837
96.3958;8.91809
96.6495;8.93482
96.9032;8.97738
97.1568;9.01793
97.4105;9.00798
97.6642;9.00695
97.9179;8.97642
98.1715;8.90666
98.4252;8.9462
98.6789;8.86793
98.9325;8.91284
99.1862;8.94015
99.4399;8.98
99.6936;9.04861
99.9472;9.03039
100.201;9.02404
100.455;9.02941
100.708;8.99219
100.962;9.08828
101.216;9.18129
101.469;9.15287
101.723;9.15531
101.977;9.08649
102.23;8.96863
102.484;8.93516
102.738;8.83827
102.991;8.86397
103.245;8.91133
103.499;8.84418
103.752;8.6672
104.006;8.57323
104.26;8.55168
104.513;8.54234
104.767;8.57913
105.021;8.51026
105.274;8.5518
105.528;8.48896
105.782;8.43018
106.035;8.3905
106.289;8.20405
106.543;8.21326
106.796;8.05527
107.05;8.08294
107.304;7.96816
107.557;7.89426
107.811;7.84203
108.065;7.78418
108.318;7.75853
108.572;7.66535
108.826;7.46223
109.079;7.35213
109.333;7.25585
109.587;7.07141
109.84;6.91964
110.094;6.7912
110.348;6.66924
110.602;6.59396
110.855;6.69395
111.109;6.81527
111.363;7.08602
111.616;7.09494
111.87;7.10624
112.124;7.01715
112.377;6.98083
112.631;6.79854
112.885;6.8043
113.138;6.83223
113.392;6.86647
113.646;6.91091
113.899;6.90542
114.153;6.89669
114.407;6.8282
114.66;6.85568
114.914;6.90212
115.168;6.80987
115.421;6.76003
115.675;6.59172
115.929;6.43517
116.182;6.31814
116.436;6.21169
116.69;6.13146
116.943;6.13876
117.197;6.23416
117.451;6.30227
117.704;6.46471
117.958;6.41992
118.212;6.62447
118.465;6.66637
118.719;6.5824
118.973;6.41344
119.226;6.2427
119.48;6.13491
119.734;6.11239
119.987;6.05837
120.241;6.10582
120.495;5.95151
120.748;5.90705
121.002;5.83009
121.256;5.91375
121.509;6.37032
121.763;6.99533
122.017;7.14938
122.27;6.75839
122.524;5.74921
122.778;5.65403
123.032;5.83438
123.285;5.87582
123.539;6.03692
123.793;6.34952
124.046;6.47711
124.3;6.45452
124.554;6.6652
124.807;6.95853
125.061;6.97824
125.315;6.87368
125.568;6.99417
125.822;7.31743
126.076;7.46351
126.329;7.48886
126.583;7.67568
126.837;7.8821
127.09;7.99175
127.344;8.00558
127.598;8.02859
127.851;7.9439
128.105;7.94245
128.359;8.00421
128.612;8.03733
128.866;8.09967
129.12;8.10277
129.373;8.14295
129.627;8.11734
129.881;8.17667
130.134;8.27042
130.388;8.27411
130.642;8.37766
130.895;8.39267
131.149;8.52613
131.403;8.45375
131.656;8.58961
131.91;8.74021
132.164;8.85741
132.417;8.84917
132.671;8.65441
132.925;8.50447
133.178;8.57239
133.432;8.77445
133.686;9.17556
133.939;9.18045
134.193;9.05378
134.447;8.833
134.7;8.69339
134.954;8.70555
135.208;8.71258
135.461;8.81819
135.715;9.00601
135.969;9.12703
136.223;9.2337
136.476;9.31898
136.73;8.90748
136.984;8.74742
137.237;8.53994
137.491;8.48326
137.745;8.35405
137.998;8.44189
138.252;8.46536
138.506;8.54448
138.759;8.39169
139.013;8.19318
139.267;8.15056
139.52;8.18275
139.774;8.28898
140.028;8.32713
140.281;8.41052
140.535;8.58568
140.789;8.89482
141.042;8.75029
141.296;8.6735
141.55;8.57129
141.803;8.58733
142.057;8.76447
142.311;9.0857
142.564;9.48886
142.818;9.53582
143.072;9.05521
143.325;8.69258
143.579;8.4785
143.833;8.56116
144.086;8.61175
144.34;8.79059
144.594;8.94464
144.847;8.91973
145.101;8.77707
145.355;8.68399
145.608;8.72124
145.862;8.78223
146.116;8.9934
146.369;9.24037
146.623;9.40423
146.877;9.13115
147.13;8.94266
147.384;8.82918
147.638;8.86681
147.891;8.8229
148.145;8.7948
148.399;8.80168
148.652;8.83762
148.906;9.02326
149.16;9.43347
149.414;9.73979
149.667;9.76018
149.921;9.2877
150.175;9.06821
150.428;9.12253
150.682;9.30489
150.936;9.39294
151.189;9.4186
151.443;9.46466
151.697;9.51845
151.95;9.44533
152.204;9.31223
152.458;9.29338
152.711;9.31802
152.965;9.46858
153.219;9.56968
153.472;9.79602
153.726;10.0662
153.98;10.1617
154.233;9.92241
154.487;9.63509
154.741;9.52606
154.994;9.62645
155.248;9.80241
155.502;9.83677
155.755;9.68377
156.009;9.58991
156.263;9.66031
156.516;9.62851
156.77;9.56601
157.024;9.77705
157.277;9.74114
157.531;9.66709
157.785;9.55367
158.038;9.60698
158.292;9.59394
158.546;9.63397
158.799;9.72232
159.053;9.79753
159.307;9.898
159.56;9.86161
159.814;9.78795
160.068;9.61564
160.321;9.51039
160.575;9.5016
160.829;9.44499
161.082;9.62025
161.336;9.80638
161.59;9.89617
161.844;9.84687
162.097;9.50854
162.351;9.44926
162.605;9.61982
162.858;9.67513
163.112;9.79223
163.366;9.87209
