Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 06:03:35
Device temperature = 23.6829
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBvXaU
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;21.1276
0.253673;19.9952
0.507346;18.4726
0.76102;17.4097
1.01469;17.5411
1.26837;17.5025
1.52204;17.1968
1.77571;16.7437
2.02939;16.6428
2.28306;17.0514
2.53673;17.0909
2.79041;17.0945
3.04408;17.0135
3.29775;16.8937
3.55142;16.9393
3.8051;16.8745
4.05877;16.7831
4.31244;16.7225
4.56612;16.701
4.81979;16.704
5.07346;16.7779
5.32714;16.6934
5.58081;16.7358
5.83448;16.6851
6.08816;16.715
6.34183;16.7526
6.5955;16.8097
6.84918;16.8937
7.10285;16.7987
7.35652;16.7729
7.6102;16.6824
7.86387;16.6253
8.11754;16.6925
8.37122;16.6712
8.62489;16.5975
8.87856;16.6833
9.13223;16.7362
9.38591;16.7671
9.63958;16.7526
9.89325;16.7098
10.1469;16.7014
10.4006;16.6751
10.6543;16.6666
10.9079;16.668
11.1616;16.6558
11.4153;16.6338
11.669;16.5901
11.9226;16.5764
12.1763;16.5717
12.43;16.5651
12.6837;16.571
12.9373;16.6497
13.191;16.6615
13.4447;16.6103
13.6984;16.6064
13.952;16.6581
14.2057;16.6678
14.4594;16.6995
14.713;16.6229
14.9667;16.6204
15.2204;16.7065
15.4741;16.6645
15.7277;16.6505
15.9814;16.7192
16.2351;16.7033
16.4888;16.7953
16.7424;16.6999
16.9961;16.6681
17.2498;16.6994
17.5035;16.6523
17.7571;16.5813
18.0108;16.6695
18.2645;16.6724
18.5181;16.612
18.7718;16.5652
19.0255;16.6091
19.2792;16.6067
19.5328;16.6558
19.7865;16.6574
20.0402;16.6467
20.2939;16.637
20.5475;16.6784
20.8012;16.7372
21.0549;16.5997
21.3085;16.588
21.5622;16.6218
21.8159;16.6305
22.0696;16.5781
22.3232;16.604
22.5769;16.6826
22.8306;16.7063
23.0843;16.6736
23.3379;16.6441
23.5916;16.6624
23.8453;16.6687
24.099;16.5683
24.3526;16.6076
24.6063;16.6434
24.86;16.6524
25.1136;16.6137
25.3673;16.6508
25.621;16.6175
25.8747;16.5526
26.1283;16.4863
26.382;16.5518
26.6357;16.5299
26.8894;16.4962
27.143;16.4719
27.3967;16.5163
27.6504;16.4612
27.9041;16.3819
28.1577;16.4045
28.4114;16.3099
28.6651;15.9757
28.9187;14.97
29.1724;12.0848
29.4261;10.8962
29.6798;10.4403
29.9334;10.4428
30.1871;10.4735
30.4408;10.3995
30.6945;10.3321
30.9481;10.3382
31.2018;10.2086
31.4555;10.272
31.7092;10.3227
31.9628;10.2469
32.2165;10.2847
32.4702;10.4652
32.7238;10.5798
32.9775;10.6696
33.2312;10.6686
33.4849;10.5748
33.7385;10.4504
33.9922;10.3788
34.2459;10.3983
34.4996;10.4859
34.7532;10.4963
35.0069;10.5148
35.2606;10.3346
35.5142;10.142
35.7679;9.98169
36.0216;9.89923
36.2753;9.84702
36.5289;9.89937
36.7826;9.79441
37.0363;9.8732
37.29;9.84043
37.5436;9.8587
37.7973;9.78977
38.051;9.70562
38.3047;9.7099
38.5583;9.74685
38.812;9.77413
39.0657;9.73443
39.3193;9.66017
39.573;9.63738
39.8267;9.67179
40.0804;9.67185
40.334;9.6477
40.5877;9.62681
40.8414;9.67926
41.0951;9.6585
41.3487;9.8414
41.6024;9.91503
41.8561;10.0209
42.1097;10.0066
42.3634;9.97898
42.6171;10.0251
42.8708;9.9349
43.1244;10.0694
43.3781;10.0987
43.6318;10.171
43.8855;10.1066
44.1391;10.1406
44.3928;10.048
44.6465;10.0276
44.9002;10.0664
45.1538;10.0228
45.4075;10.0914
45.6612;10.1412
45.9148;10.0119
46.1685;9.92655
46.4222;9.94223
46.6759;9.91505
46.9295;9.91785
47.1832;9.98335
47.4369;9.87453
47.6906;9.91404
47.9442;9.73219
48.1979;9.74709
48.4516;9.6908
48.7053;9.70906
48.9589;9.64063
49.2126;9.64108
49.4663;9.61581
49.7199;9.57341
49.9736;9.55534
50.2273;9.58193
50.481;9.72056
50.7346;9.86555
50.9883;9.78679
51.242;9.74644
51.4957;9.68117
51.7493;9.72492
52.003;9.74803
52.2567;9.73849
52.5104;9.7745
52.764;9.75753
53.0177;9.67821
53.2714;9.65393
53.525;9.668
53.7787;9.70391
54.0324;9.66521
54.2861;9.63249
54.5397;9.47546
54.7934;9.4979
55.0471;9.5022
55.3008;9.54078
55.5544;9.63798
55.8081;9.79171
56.0618;9.77248
56.3154;9.82163
56.5691;9.89602
56.8228;9.83783
57.0765;9.90083
57.3301;9.77362
57.5838;9.6749
57.8375;9.74461
58.0912;9.66537
58.3448;9.65332
58.5985;9.66137
58.8522;9.6229
59.1059;9.65021
59.3595;9.63545
59.6132;9.50486
59.8669;9.46739
60.1205;9.47292
60.3742;9.37993
60.6279;9.39
60.8816;9.42938
61.1352;9.48155
61.3889;9.50347
61.6426;9.47193
61.8963;9.45803
62.1499;9.48987
62.4036;9.39282
62.6573;9.36214
62.911;9.43123
63.1646;9.42359
63.4183;9.40914
63.672;9.3567
63.9256;9.34733
64.1793;9.37669
64.433;9.36216
64.6867;9.37796
64.9403;9.31185
65.194;9.30365
65.4477;9.31168
65.7014;9.36229
65.955;9.40512
66.2087;9.41509
66.4624;9.36693
66.716;9.37584
66.9697;9.39327
67.2234;9.40139
67.4771;9.45985
67.7307;9.4044
67.9844;9.47765
68.2381;9.62642
68.4918;9.59355
68.7454;9.69854
68.9991;9.62419
69.2528;9.68878
69.5065;9.83793
69.7601;9.89203
70.0138;9.91033
70.2675;9.85144
70.5211;9.75059
70.7748;9.69053
71.0285;9.58742
71.2822;9.57892
71.5358;9.52304
71.7895;9.5606
72.0432;9.5615
72.2969;9.52632
72.5505;9.53722
72.8042;9.47189
73.0579;9.42285
73.3116;9.53625
73.5652;9.56011
73.8189;9.51877
74.0726;9.51532
74.3262;9.50962
74.5799;9.422
74.8336;9.33866
75.0873;9.32895
75.3409;9.29966
75.5946;9.27548
75.8483;9.32312
76.102;9.38537
76.3556;9.40358
76.6093;9.3352
76.863;9.33217
77.1167;9.35911
77.3703;9.33975
77.624;9.36012
77.8777;9.33541
78.1313;9.26445
78.385;9.28967
78.6387;9.20298
78.8924;9.1472
79.146;9.20059
79.3997;9.16255
79.6534;9.1365
79.9071;9.1159
80.1607;9.08683
80.4144;9.05759
80.6681;9.03183
80.9218;9.0197
81.1754;9.09202
81.4291;9.14162
81.6828;9.04109
81.9364;8.92595
82.1901;8.94755
82.4438;9.02472
82.6975;9.06779
82.9511;9.05169
83.2048;9.13028
83.4585;9.11201
83.7122;9.03921
83.9658;9.09621
84.2195;9.19197
84.4732;9.07316
84.7268;9.08403
84.9805;9.03857
85.2342;8.95742
85.4879;9.00196
85.7415;8.98595
85.9952;9.07421
86.2489;9.00384
86.5026;9.00281
86.7562;8.99904
87.0099;9.06482
87.2636;9.09917
87.5173;9.11069
87.7709;9.09521
88.0246;9.0816
88.2783;9.0234
88.5319;9.04718
88.7856;9.02184
89.0393;8.9807
89.293;8.90606
89.5466;8.97264
89.8003;8.9739
90.054;9.01247
90.3077;9.01797
90.5613;9.0337
90.815;9.05852
91.0687;9.02738
91.3223;9.02757
91.576;9.01107
91.8297;8.98726
92.0834;8.94434
92.337;8.98592
92.5907;8.93562
92.8444;8.91889
93.0981;9.00227
93.3517;9.09853
93.6054;9.11404
93.8591;9.04836
94.1128;9.12067
94.3664;9.24282
94.6201;9.16691
94.8738;9.19882
95.1274;9.083
95.3811;9.13997
95.6348;9.01161
95.8885;9.08781
96.1421;9.05715
96.3958;9.03602
96.6495;8.9781
96.9032;8.99947
97.1568;9.08829
97.4105;9.09016
97.6642;9.0613
97.9179;9.07347
98.1715;9.09662
98.4252;9.10453
98.6789;9.02916
98.9325;9.02277
99.1862;9.01512
99.4399;9.10691
99.6936;9.17371
99.9472;9.19457
100.201;9.15816
100.455;9.11262
100.708;9.20185
100.962;9.1885
101.216;9.31738
101.469;9.32177
101.723;9.27684
101.977;9.15418
102.23;9.06504
102.484;8.97806
102.738;9.00338
102.991;9.06359
103.245;8.94608
103.499;8.80879
103.752;8.77211
104.006;8.67677
104.26;8.55417
104.513;8.53551
104.767;8.50459
105.021;8.52129
105.274;8.58279
105.528;8.58063
105.782;8.53513
106.035;8.52517
106.289;8.30445
106.543;8.22724
106.796;8.18321
107.05;8.15985
107.304;7.90725
107.557;7.73696
107.811;7.7108
108.065;7.71765
108.318;7.56181
108.572;7.43756
108.826;7.31666
109.079;7.21726
109.333;7.02547
109.587;6.91027
109.84;6.8366
110.094;6.70234
110.348;6.54451
110.602;6.50952
110.855;6.45938
111.109;6.61218
111.363;6.96311
111.616;7.00618
111.87;7.12714
112.124;7.06513
112.377;6.90831
112.631;6.90321
112.885;6.9406
113.138;6.95538
113.392;6.93688
113.646;6.94073
