Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 05:53:35
Device temperature = 23.8411
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBvrqT
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;21.3116
0.253673;20.2276
0.507346;18.6398
0.76102;17.5928
1.01469;17.6754
1.26837;17.6731
1.52204;17.4881
1.77571;16.8489
2.02939;16.7773
2.28306;17.2061
2.53673;17.2671
2.79041;17.2568
3.04408;17.0438
3.29775;17.0417
3.55142;17.0226
3.8051;16.9357
4.05877;16.9598
4.31244;16.9212
4.56612;16.9218
4.81979;16.834
5.07346;16.8783
5.32714;16.8431
5.58081;16.8832
5.83448;16.8383
6.08816;16.8361
6.34183;16.8761
6.5955;16.945
6.84918;17.0257
7.10285;16.9496
7.35652;16.9196
7.6102;16.8481
7.86387;16.8254
8.11754;16.7963
8.37122;16.7883
8.62489;16.8332
8.87856;16.8645
9.13223;16.9168
9.38591;16.9203
9.63958;16.9928
9.89325;16.8764
10.1469;16.8305
10.4006;16.8806
10.6543;16.8764
10.9079;16.8345
11.1616;16.8223
11.4153;16.708
11.669;16.8532
11.9226;16.7857
12.1763;16.7445
12.43;16.7683
12.6837;16.7444
12.9373;16.754
13.191;16.8281
13.4447;16.7598
13.6984;16.8699
13.952;16.8391
14.2057;16.762
14.4594;16.7672
14.713;16.863
14.9667;16.8124
15.2204;16.8217
15.4741;16.747
15.7277;16.8329
15.9814;16.796
16.2351;16.7971
16.4888;16.9024
16.7424;16.8419
16.9961;16.871
17.2498;16.8541
17.5035;16.773
17.7571;16.8129
18.0108;16.7804
18.2645;16.839
18.5181;16.8308
18.7718;16.7955
19.0255;16.7374
19.2792;16.7903
19.5328;16.8638
19.7865;16.8862
20.0402;16.8553
20.2939;16.8564
20.5475;16.8783
20.8012;16.8601
21.0549;16.8153
21.3085;16.7786
21.5622;16.779
21.8159;16.7813
22.0696;16.833
22.3232;16.8644
22.5769;16.8236
22.8306;16.911
23.0843;16.8363
23.3379;16.8643
23.5916;16.8449
23.8453;16.9153
24.099;16.8123
24.3526;16.7157
24.6063;16.7385
24.86;16.8143
25.1136;16.8362
25.3673;16.8074
25.621;16.8822
25.8747;16.7932
26.1283;16.6845
26.382;16.6931
26.6357;16.7297
26.8894;16.7102
27.143;16.6621
27.3967;16.6487
27.6504;16.6281
27.9041;16.5646
28.1577;16.5937
28.4114;16.5229
28.6651;16.1423
28.9187;15.0659
29.1724;12.1692
29.4261;10.9439
29.6798;10.5598
29.9334;10.5429
30.1871;10.5042
30.4408;10.4433
30.6945;10.4341
30.9481;10.4026
31.2018;10.295
31.4555;10.3138
31.7092;10.3295
31.9628;10.3154
32.2165;10.3917
32.4702;10.4855
32.7238;10.6375
32.9775;10.7676
33.2312;10.6511
33.4849;10.519
33.7385;10.4333
33.9922;10.4659
34.2459;10.4348
34.4996;10.528
34.7532;10.5518
35.0069;10.5911
35.2606;10.3932
35.5142;10.2828
35.7679;10.0873
36.0216;10.0582
36.2753;10.0092
36.5289;9.91611
36.7826;9.90428
37.0363;9.92631
37.29;9.87871
37.5436;9.93304
37.7973;9.8684
38.051;9.87206
38.3047;9.79821
38.5583;9.86212
38.812;9.81972
39.0657;9.82881
39.3193;9.77206
39.573;9.78892
39.8267;9.72412
40.0804;9.71256
40.334;9.74289
40.5877;9.72128
40.8414;9.72144
41.0951;9.78843
41.3487;9.80421
41.6024;9.90102
41.8561;10.0258
42.1097;10.14
42.3634;10.0565
42.6171;10.0791
42.8708;10.035
43.1244;10.146
43.3781;10.1506
43.6318;10.2116
43.8855;10.1363
44.1391;10.1701
44.3928;10.1623
44.6465;10.0655
44.9002;10.1111
45.1538;10.157
45.4075;10.1057
45.6612;10.1115
45.9148;10.0423
46.1685;10.0223
46.4222;9.95735
46.6759;9.94052
46.9295;9.98641
47.1832;10.0059
47.4369;9.9231
47.6906;9.83886
47.9442;9.70558
48.1979;9.77037
48.4516;9.71894
48.7053;9.71199
48.9589;9.77196
49.2126;9.78263
49.4663;9.6365
49.7199;9.61644
49.9736;9.65743
50.2273;9.70669
50.481;9.79436
50.7346;9.7868
50.9883;9.72985
51.242;9.85379
51.4957;9.71625
51.7493;9.74873
52.003;9.73417
52.2567;9.84212
52.5104;9.85096
52.764;9.83707
53.0177;9.80356
53.2714;9.78807
53.525;9.7521
53.7787;9.7189
54.0324;9.66679
54.2861;9.64077
54.5397;9.64983
54.7934;9.4926
55.0471;9.50502
55.3008;9.57739
55.5544;9.67859
55.8081;9.71276
56.0618;9.77537
56.3154;9.90497
56.5691;9.88456
56.8228;9.82524
57.0765;9.89904
57.3301;9.80882
57.5838;9.70119
57.8375;9.66551
58.0912;9.71282
58.3448;9.6646
58.5985;9.67574
58.8522;9.62322
59.1059;9.69578
59.3595;9.64744
59.6132;9.57565
59.8669;9.50532
60.1205;9.40933
60.3742;9.51189
60.6279;9.48836
60.8816;9.42302
61.1352;9.46488
61.3889;9.45
61.6426;9.51376
61.8963;9.54724
62.1499;9.49429
62.4036;9.40434
62.6573;9.46836
62.911;9.45861
63.1646;9.40988
63.4183;9.39707
63.672;9.46872
63.9256;9.35788
64.1793;9.3651
64.433;9.3945
64.6867;9.34799
64.9403;9.28465
65.194;9.27736
65.4477;9.3556
65.7014;9.44116
65.955;9.38359
66.2087;9.4806
66.4624;9.44755
66.716;9.40461
66.9697;9.41876
67.2234;9.39135
67.4771;9.46118
67.7307;9.40409
67.9844;9.46867
68.2381;9.54855
68.4918;9.55983
68.7454;9.68265
68.9991;9.66499
69.2528;9.73102
69.5065;9.80008
69.7601;9.94728
70.0138;9.96617
70.2675;9.83169
70.5211;9.78864
70.7748;9.74241
71.0285;9.57804
71.2822;9.51222
71.5358;9.604
71.7895;9.55515
72.0432;9.53136
72.2969;9.49601
72.5505;9.52773
72.8042;9.50021
73.0579;9.42251
73.3116;9.50299
73.5652;9.56151
73.8189;9.62157
74.0726;9.52929
74.3262;9.37363
74.5799;9.43443
74.8336;9.40087
75.0873;9.32063
75.3409;9.31371
75.5946;9.34216
75.8483;9.35399
76.102;9.42059
76.3556;9.34035
76.6093;9.38659
76.863;9.36241
77.1167;9.34937
77.3703;9.37481
77.624;9.3811
77.8777;9.34964
78.1313;9.29208
78.385;9.25093
78.6387;9.25803
78.8924;9.19513
79.146;9.19346
79.3997;9.13485
79.6534;9.09735
79.9071;9.0832
80.1607;9.08058
80.4144;9.09005
80.6681;9.10837
80.9218;9.08457
81.1754;9.10941
81.4291;9.17965
81.6828;9.04751
81.9364;8.93245
82.1901;8.94959
82.4438;8.96786
82.6975;9.0716
82.9511;9.02136
83.2048;9.13296
83.4585;9.12932
83.7122;9.11341
83.9658;9.16169
84.2195;9.1377
84.4732;9.07864
84.7268;9.00726
84.9805;8.89147
85.2342;8.91125
85.4879;8.95954
85.7415;8.96367
85.9952;9.04457
86.2489;9.00503
86.5026;8.97993
86.7562;9.04856
87.0099;9.04011
87.2636;9.17461
87.5173;9.20355
87.7709;9.12001
88.0246;9.03991
88.2783;9.12618
88.5319;8.94289
88.7856;9.03773
89.0393;8.9425
89.293;8.90823
89.5466;8.92063
89.8003;8.89314
90.054;8.95624
90.3077;9.01001
90.5613;9.07077
90.815;9.07256
91.0687;8.98545
91.3223;8.91821
91.576;8.97676
91.8297;8.95677
92.0834;9.00393
92.337;8.94241
92.5907;8.89557
92.8444;8.91522
93.0981;8.96042
93.3517;9.04019
93.6054;9.06934
93.8591;9.14114
94.1128;9.16329
94.3664;9.23207
94.6201;9.11969
94.8738;9.07428
95.1274;9.0591
95.3811;9.0322
95.6348;9.13724
95.8885;9.05009
96.1421;9.00251
96.3958;9.00585
96.6495;8.99382
96.9032;9.14069
97.1568;9.11034
97.4105;9.05212
97.6642;9.05458
97.9179;9.06879
98.1715;9.03304
98.4252;8.99683
98.6789;9.02046
98.9325;8.98931
99.1862;8.94412
99.4399;9.06076
99.6936;9.14241
99.9472;9.12476
100.201;9.07046
100.455;9.10457
100.708;9.08127
100.962;9.17966
101.216;9.24819
101.469;9.23224
101.723;9.20627
101.977;9.14749
102.23;9.01127
102.484;8.97756
102.738;8.93671
102.991;8.91925
103.245;8.89289
103.499;8.81291
103.752;8.72817
104.006;8.65374
104.26;8.52711
104.513;8.54621
104.767;8.51702
105.021;8.52061
105.274;8.59633
105.528;8.55917
105.782;8.53977
106.035;8.47132
106.289;8.25928
106.543;8.13745
106.796;8.10994
107.05;8.16861
107.304;7.96193
107.557;7.83515
107.811;7.69398
108.065;7.69455
108.318;7.5761
108.572;7.50978
108.826;7.25125
109.079;7.23136
109.333;7.09239
109.587;6.95266
109.84;6.8378
110.094;6.77334
110.348;6.5737
110.602;6.49226
110.855;6.56036
111.109;6.66959
111.363;6.98395
111.616;7.07947
111.87;7.09737
112.124;7.12545
112.377;6.9386
112.631;6.92402
112.885;6.86217
113.138;6.91058
113.392;6.96065
113.646;7.01869
113.899;7.04495
114.153;7.03433
114.407;6.98888
114.66;7.04735
114.914;7.07258
115.168;7.04812
115.421;6.86937
115.675;6.70657
115.929;6.60656
116.182;6.47229
116.436;6.27651
116.69;6.17325
116.943;6.12944
117.197;6.24211
117.451;6.43696
117.704;6.50525
117.958;6.64141
118.212;6.6649
118.465;6.63985
118.719;6.64919
118.973;6.56593
119.226;6.48267
119.48;6.33844
119.734;6.22553
119.987;6.3193
120.241;6.39213
120.495;6.30176
120.748;6.18036
121.002;6.12424
121.256;6.2109
121.509;6.67871
121.763;7.07427
122.017;7.37428
122.27;7.02011
122.524;6.15112
122.778;6.13975
123.032;6.27688
123.285;6.3211
123.539;6.46077
123.793;6.79072
124.046;6.93584
124.3;6.99467
124.554;7.17277
124.807;7.39332
125.061;7.35152
125.315;7.28542
125.568;7.50752
125.822;7.84571
126.076;7.99479
126.329;8.03119
126.583;8.07222
126.837;8.16302
127.09;8.31901
127.344;8.40801
127.598;8.36905
127.851;8.20894
128.105;8.24926
128.359;8.36203
128.612;8.32769
128.866;8.35464
129.12;8.28517
129.373;8.28858
129.627;8.28619
129.881;8.33686
130.134;8.40764
130.388;8.42277
130.642;8.46599
130.895;8.57001
131.149;8.55233
131.403;8.56115
131.656;8.63083
131.91;8.79496
132.164;8.99192
132.417;8.92232
132.671;8.70489
132.925;8.6886
133.178;8.7409
133.432;8.97754
133.686;9.34366
133.939;9.3186
134.193;9.16212
134.447;8.99607
134.7;8.92147
134.954;8.95701
135.208;8.99622
135.461;9.00808
135.715;9.206
135.969;9.28709
136.223;9.46371
136.476;9.48326
136.73;9.16062
136.984;8.86017
137.237;8.7791
137.491;8.72035
137.745;8.48394
137.998;8.44771
138.252;8.60224
138.506;8.68157
138.759;8.5626
139.013;8.41574
139.267;8.24641
139.52;8.26775
139.774;8.39108
140.028;8.36736
140.281;8.49119
140.535;8.73987
140.789;8.97468
141.042;8.83412
141.296;8.61641
141.55;8.65457
141.803;8.78674
142.057;8.93363
142.311;9.29801
142.564;9.63601
142.818;9.65678
143.072;9.18799
143.325;8.81097
143.579;8.64539
143.833;8.60676
144.086;8.71045
144.34;8.84207
144.594;9.05517
144.847;9.06256
145.101;8.9176
145.355;8.82521
145.608;8.81026
145.862;8.87334
146.116;9.06618
146.369;9.35895
146.623;9.54314
146.877;9.29542
147.13;9.11859
147.384;9.01524
147.638;8.98268
147.891;8.96573
148.145;8.86989
148.399;8.99889
148.652;9.02857
148.906;9.20375
149.16;9.55548
149.414;9.87923
149.667;9.87874
149.921;9.36666
150.175;9.19654
150.428;9.31081
150.682;9.4399
150.936;9.4985
151.189;9.44295
151.443;9.42118
151.697;9.57779
151.95;9.5404
152.204;9.44153
152.458;9.43592
152.711;9.43616
152.965;9.59309
153.219;9.72714
153.472;9.83644
153.726;10.1483
153.98;10.1159
154.233;9.93891
154.487;9.72457
154.741;9.68089
154.994;9.67576
155.248;9.86807
155.502;9.95037
155.755;9.86982
156.009;9.72006
156.263;9.69298
156.516;9.76059
156.77;9.84232
157.024;9.8922
157.277;9.92589
157.531;9.83585
157.785;9.74012
158.038;9.69415
158.292;9.68416
158.546;9.73145
158.799;9.83934
159.053;9.91957
159.307;10.0832
159.56;9.98136
159.814;9.89163
160.068;9.66058
160.321;9.57441
160.575;9.63606
160.829;9.6306
161.082;9.72369
161.336;9.95098
161.59;9.99968
161.844;9.94609
162.097;9.64981
162.351;9.5842
162.605;9.64315
162.858;9.77216
163.112;9.86657
163.366;9.93995
163.619;9.95928
163.873;9.93127
164.127;9.83364
164.38;9.7954
164.634;9.87767
164.888;9.87861
165.141;10.0463
165.395;10.2061
165.649;10.1666
165.902;10.12
166.156;9.92179
166.41;9.92156
166.663;9.96124
166.917;9.88579
167.171;9.98683
167.424;10.0085
167.678;9.81119
167.932;9.80036
168.185;9.69164
168.439;9.66331
168.693;9.72299
168.946;9.81953
169.2;9.89951
