Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 05:43:35
Device temperature = 24.0078
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBwA/5
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;21.4938
0.253673;20.341
0.507346;18.7184
0.76102;17.6999
1.01469;17.8005
1.26837;17.6989
1.52204;17.6037
1.77571;17.0009
2.02939;16.9185
2.28306;17.3039
2.53673;17.432
2.79041;17.4014
3.04408;17.2264
3.29775;17.1429
3.55142;17.1457
3.8051;17.092
4.05877;17.0297
4.31244;16.9695
4.56612;17.0318
4.81979;16.9862
5.07346;16.9539
5.32714;17.004
5.58081;17.0201
5.83448;16.9579
6.08816;16.9889
6.34183;17.0265
6.5955;17.1509
6.84918;17.1019
7.10285;17.0408
7.35652;17.0056
7.6102;16.9857
7.86387;16.8865
8.11754;16.8828
8.37122;16.9608
8.62489;16.9825
8.87856;17.0529
9.13223;17.0903
9.38591;17.1342
9.63958;17.0887
9.89325;17.0178
10.1469;17.0077
10.4006;16.9815
10.6543;16.9963
10.9079;16.9857
11.1616;16.9341
11.4153;16.9206
11.669;16.9983
11.9226;16.9214
12.1763;16.8829
12.43;16.9229
12.6837;16.8785
12.9373;16.9483
13.191;16.9409
13.4447;16.9684
13.6984;17.01
13.952;16.9744
14.2057;16.9898
14.4594;16.9697
14.713;16.9452
14.9667;17.0396
15.2204;16.9717
15.4741;16.9756
15.7277;17.0112
15.9814;17.0193
16.2351;16.9479
16.4888;17.05
16.7424;17.0237
16.9961;16.9938
17.2498;17.0191
17.5035;17.0519
17.7571;16.9488
18.0108;16.9256
18.2645;16.9379
18.5181;17.003
18.7718;16.9278
19.0255;16.9282
19.2792;16.9364
19.5328;17.0496
19.7865;17.0307
20.0402;16.9299
20.2939;17.0132
20.5475;16.9053
20.8012;17.0272
