Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 05:33:35
Device temperature = 24.1776
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBwWu6
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;21.6104
0.253673;20.4587
0.507346;18.9393
0.76102;17.9133
1.01469;17.9718
1.26837;17.9639
1.52204;17.7234
1.77571;17.1842
2.02939;17.1812
2.28306;17.4468
2.53673;17.5802
2.79041;17.6471
3.04408;17.473
3.29775;17.3627
3.55142;17.3028
3.8051;17.3401
4.05877;17.2553
4.31244;17.1654
4.56612;17.1602
4.81979;17.1805
5.07346;17.1559
5.32714;17.1772
5.58081;17.1314
5.83448;17.1957
6.08816;17.2181
6.34183;17.1943
6.5955;17.2658
6.84918;17.3748
7.10285;17.3253
7.35652;17.2408
7.6102;17.184
7.86387;17.1551
8.11754;17.1571
8.37122;17.2112
8.62489;17.2032
8.87856;17.2522
9.13223;17.252
9.38591;17.1867
9.63958;17.2868
9.89325;17.2426
10.1469;17.2658
10.4006;17.2195
10.6543;17.2074
10.9079;17.1219
11.1616;17.1129
11.4153;17.171
11.669;17.1821
11.9226;17.2
12.1763;17.1938
12.43;17.1399
12.6837;17.1233
12.9373;17.176
13.191;17.1602
13.4447;17.1544
13.6984;17.2375
13.952;17.2554
14.2057;17.1671
14.4594;17.1674
14.713;17.2296
14.9667;17.2829
15.2204;17.237
15.4741;17.126
15.7277;17.198
15.9814;17.231
16.2351;17.314
16.4888;17.2095
16.7424;17.2768
16.9961;17.2693
17.2498;17.2178
17.5035;17.1396
17.7571;17.1372
18.0108;17.2149
18.2645;17.1802
18.5181;17.1281
18.7718;17.1409
19.0255;17.1087
19.2792;17.1411
19.5328;17.1728
19.7865;17.1292
20.0402;17.2072
20.2939;17.2278
20.5475;17.2134
20.8012;17.2037
21.0549;17.1573
21.3085;17.095
21.5622;17.1267
21.8159;17.0623
22.0696;17.1173
22.3232;17.2369
22.5769;17.1953
22.8306;17.2472
23.0843;17.3227
23.3379;17.2399
23.5916;17.1425
23.8453;17.1903
24.099;17.145
24.3526;17.1459
24.6063;17.1126
24.86;17.1542
25.1136;17.2071
25.3673;17.1981
25.621;17.0914
25.8747;17.125
26.1283;17.0496
26.382;17.012
26.6357;17.0492
26.8894;16.9852
27.143;17.0555
27.3967;17.0607
27.6504;16.9468
27.9041;16.9591
28.1577;16.9804
28.4114;16.8992
28.6651;16.5058
28.9187;15.4248
29.1724;12.2899
29.4261;10.8865
29.6798;10.3684
29.9334;10.3347
30.1871;10.4659
30.4408;10.3828
30.6945;10.3168
30.9481;10.3281
31.2018;10.1515
31.4555;10.2403
31.7092;10.2057
31.9628;10.1575
32.2165;10.2943
32.4702;10.4211
32.7238;10.5541
32.9775;10.7371
33.2312;10.6677
33.4849;10.4032
33.7385;10.3795
33.9922;10.3269
34.2459;10.4083
34.4996;10.4183
34.7532;10.4235
35.0069;10.4084
35.2606;10.274
35.5142;10.0156
35.7679;9.84929
36.0216;9.78516
36.2753;9.73097
36.5289;9.76047
36.7826;9.71331
37.0363;9.69753
37.29;9.7399
37.5436;9.71726
37.7973;9.63118
38.051;9.6501
38.3047;9.63991
38.5583;9.73139
