Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 05:23:35
Device temperature = 24.3448
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBwsIn
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;21.7574
0.253673;20.5818
0.507346;19.0886
0.76102;18.0395
1.01469;18.195
1.26837;18.0871
1.52204;17.93
1.77571;17.3008
2.02939;17.2902
2.28306;17.6878
2.53673;17.7309
2.79041;17.7402
3.04408;17.6404
3.29775;17.5438
3.55142;17.5473
3.8051;17.4222
4.05877;17.2983
4.31244;17.3707
4.56612;17.3608
4.81979;17.3462
5.07346;17.3858
5.32714;17.3424
5.58081;17.3624
5.83448;17.394
6.08816;17.3945
6.34183;17.3702
6.5955;17.3961
6.84918;17.5562
7.10285;17.4761
7.35652;17.4184
7.6102;17.3264
7.86387;17.337
8.11754;17.3132
8.37122;17.3497
8.62489;17.4096
8.87856;17.3424
9.13223;17.4974
9.38591;17.4427
9.63958;17.4001
9.89325;17.3654
10.1469;17.3644
10.4006;17.3456
10.6543;17.4258
10.9079;17.35
11.1616;17.2814
11.4153;17.2852
11.669;17.2902
11.9226;17.299
12.1763;17.2918
12.43;17.2251
12.6837;17.274
12.9373;17.2576
13.191;17.2896
13.4447;17.2832
13.6984;17.3761
13.952;17.3919
14.2057;17.3734
14.4594;17.3369
14.713;17.2979
14.9667;17.437
15.2204;17.3643
15.4741;17.3232
15.7277;17.3346
15.9814;17.3697
16.2351;17.3687
16.4888;17.413
16.7424;17.4353
16.9961;17.4327
17.2498;17.4099
17.5035;17.2734
17.7571;17.3355
18.0108;17.2777
18.2645;17.3817
18.5181;17.3711
18.7718;17.3095
19.0255;17.3211
19.2792;17.3403
19.5328;17.3428
19.7865;17.3022
20.0402;17.4085
20.2939;17.347
20.5475;17.4218
20.8012;17.3508
21.0549;17.3767
21.3085;17.3214
21.5622;17.2674
21.8159;17.2689
22.0696;17.3237
22.3232;17.3708
22.5769;17.3856
22.8306;17.3895
23.0843;17.453
23.3379;17.3981
23.5916;17.3661
23.8453;17.3714
24.099;17.3696
24.3526;17.25
24.6063;17.3037
24.86;17.4074
25.1136;17.4089
25.3673;17.4022
25.621;17.3739
25.8747;17.3303
26.1283;17.2386
26.382;17.2213
26.6357;17.1599
26.8894;17.1546
27.143;17.1931
27.3967;17.1907
27.6504;17.1783
27.9041;17.1459
28.1577;17.1294
28.4114;17.0131
28.6651;16.6506
28.9187;15.5408
29.1724;12.4252
29.4261;11.0976
29.6798;10.5888
29.9334;10.6115
30.1871;10.5704
30.4408;10.4995
30.6945;10.4468
30.9481;10.476
31.2018;10.4062
31.4555;10.3605
31.7092;10.3609
31.9628;10.3112
32.2165;10.4521
32.4702;10.5144
32.7238;10.7738
32.9775;10.9956
33.2312;10.889
33.4849;10.7442
33.7385;10.6124
33.9922;10.554
34.2459;10.5912
34.4996;10.5651
34.7532;10.6815
35.0069;10.7313
35.2606;10.5001
35.5142;10.2607
35.7679;10.0385
36.0216;9.98055
36.2753;9.89269
36.5289;9.90282
36.7826;9.91952
37.0363;9.89536
37.29;9.90045
37.5436;9.88221
37.7973;9.84986
38.051;9.77451
38.3047;9.77614
