Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 05:13:35
Device temperature = 24.5141
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBxBzg
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;21.9823
0.253673;20.8292
0.507346;19.1956
0.76102;18.1887
1.01469;18.3449
1.26837;18.282
1.52204;18.0708
1.77571;17.4856
2.02939;17.4556
2.28306;17.8794
2.53673;17.9039
2.79041;17.8415
3.04408;17.813
3.29775;17.7199
3.55142;17.6129
3.8051;17.6321
4.05877;17.5592
4.31244;17.5306
4.56612;17.5095
4.81979;17.5027
5.07346;17.5161
5.32714;17.5542
5.58081;17.5097
5.83448;17.4393
6.08816;17.5438
6.34183;17.5665
6.5955;17.5975
6.84918;17.5497
7.10285;17.6499
7.35652;17.5458
7.6102;17.5244
7.86387;17.4511
8.11754;17.5077
8.37122;17.5061
8.62489;17.5144
8.87856;17.4871
9.13223;17.6175
9.38591;17.6601
9.63958;17.6274
9.89325;17.5797
10.1469;17.5183
10.4006;17.5106
10.6543;17.5496
10.9079;17.498
11.1616;17.4871
11.4153;17.4593
11.669;17.4447
11.9226;17.4982
12.1763;17.4073
12.43;17.4037
12.6837;17.3897
12.9373;17.4743
13.191;17.5109
13.4447;17.5474
13.6984;17.519
13.952;17.4899
14.2057;17.5431
14.4594;17.4681
14.713;17.5348
14.9667;17.6007
15.2204;17.6304
15.4741;17.5351
15.7277;17.4903
15.9814;17.5603
16.2351;17.5764
16.4888;17.594
16.7424;17.5948
16.9961;17.5796
17.2498;17.5679
17.5035;17.5059
17.7571;17.4019
18.0108;17.5015
18.2645;17.468
18.5181;17.4849
18.7718;17.413
19.0255;17.4142
19.2792;17.4955
19.5328;17.5951
19.7865;17.5255
20.0402;17.5213
20.2939;17.5466
20.5475;17.5778
20.8012;17.5281
21.0549;17.463
21.3085;17.4998
21.5622;17.4558
21.8159;17.3787
22.0696;17.4254
22.3232;17.5557
22.5769;17.5868
22.8306;17.5327
23.0843;17.5536
23.3379;17.5522
23.5916;17.5339
23.8453;17.4907
24.099;17.4535
24.3526;17.4078
24.6063;17.4223
24.86;17.5318
25.1136;17.5169
25.3673;17.5197
25.621;17.52
25.8747;17.4462
26.1283;17.3947
26.382;17.3897
26.6357;17.3119
26.8894;17.317
27.143;17.301
27.3967;17.4479
27.6504;17.2994
27.9041;17.2818
28.1577;17.3591
28.4114;17.1717
28.6651;16.7945
28.9187;15.725
29.1724;12.6786
29.4261;11.2814
29.6798;10.7752
29.9334;10.811
30.1871;10.8317
30.4408;10.8233
30.6945;10.7077
30.9481;10.6545
31.2018;10.5131
31.4555;10.5505
31.7092;10.5392
31.9628;10.5167
32.2165;10.688
32.4702;10.8499
32.7238;11.0094
32.9775;11.1707
33.2312;11.0911
33.4849;10.8439
33.7385;10.758
33.9922;10.7755
34.2459;10.8347
34.4996;10.9658
34.7532;10.9948
35.0069;10.9874
35.2606;10.7763
35.5142;10.4375
35.7679;10.3595
36.0216;10.1559
36.2753;10.1469
36.5289;10.1712
36.7826;10.1224
37.0363;10.0698
37.29;10.1117
37.5436;9.96113
37.7973;9.98505
38.051;10.0012
38.3047;10.0556
38.5583;10.0394
38.812;10.0267
39.0657;10.0585
39.3193;9.96286
39.573;9.93213
39.8267;9.93878
40.0804;9.87169
40.334;9.88694
40.5877;9.9138
40.8414;9.99496
41.0951;9.95364
41.3487;10.0498
41.6024;10.2093
41.8561;10.2366
42.1097;10.3208
42.3634;10.2307
42.6171;10.2301
42.8708;10.253
43.1244;10.397
43.3781;10.4242
43.6318;10.3359
43.8855;10.3917
44.1391;10.4002
44.3928;10.3193
44.6465;10.3236
44.9002;10.3317
45.1538;10.3025
45.4075;10.3343
45.6612;10.3484
45.9148;10.2593
46.1685;10.2397
46.4222;10.1119
46.6759;10.2076
46.9295;10.2065
47.1832;10.1647
47.4369;10.1383
47.6906;10.1111
47.9442;10.0697
48.1979;10.029
48.4516;9.99977
48.7053;9.98489
48.9589;10.026
49.2126;9.9184
49.4663;9.89932
49.7199;9.85776
49.9736;9.86059
50.2273;9.93346
50.481;10.0499
50.7346;10.0091
50.9883;10.0637
51.242;9.98804
51.4957;10.0002
51.7493;9.94998
52.003;9.97622
52.2567;9.94545
52.5104;10.0356
52.764;9.99141
53.0177;10.0102
53.2714;9.92908
53.525;9.97272
53.7787;9.9632
54.0324;9.88915
54.2861;9.85645
54.5397;9.82121
54.7934;9.75436
55.0471;9.74298
55.3008;9.79601
55.5544;9.96648
55.8081;10.0946
56.0618;9.98248
56.3154;9.98679
56.5691;10.1067
56.8228;10.1416
57.0765;10.0992
57.3301;10.0208
57.5838;9.89871
57.8375;9.94942
58.0912;9.94459
58.3448;9.93507
58.5985;9.95998
58.8522;9.88912
59.1059;9.94533
59.3595;9.90816
59.6132;9.84397
59.8669;9.77908
60.1205;9.67174
60.3742;9.63736
60.6279;9.60884
60.8816;9.68021
61.1352;9.69264
61.3889;9.6929
61.6426;9.6919
61.8963;9.71873
62.1499;9.65836
62.4036;9.60515
62.6573;9.60831
62.911;9.60707
63.1646;9.70686
63.4183;9.70174
63.672;9.62561
63.9256;9.63015
64.1793;9.58256
64.433;9.70943
64.6867;9.57136
64.9403;9.5214
65.194;9.59764
65.4477;9.57102
65.7014;9.66384
65.955;9.60577
66.2087;9.68524
66.4624;9.61989
66.716;9.56934
66.9697;9.61134
67.2234;9.58932
67.4771;9.64336
67.7307;9.6566
67.9844;9.75512
68.2381;9.81606
68.4918;9.91794
68.7454;9.95603
68.9991;9.9485
69.2528;9.98759
69.5065;10.1504
69.7601;10.2358
70.0138;10.2518
70.2675;10.08
70.5211;9.9182
70.7748;9.87345
71.0285;9.83952
71.2822;9.72634
71.5358;9.71531
71.7895;9.72092
72.0432;9.80685
72.2969;9.71835
72.5505;9.7457
72.8042;9.75624
73.0579;9.68269
73.3116;9.7642
73.5652;9.80255
73.8189;9.79643
74.0726;9.78661
74.3262;9.72149
74.5799;9.66189
74.8336;9.61154
75.0873;9.54026
75.3409;9.52596
75.5946;9.50587
75.8483;9.52772
76.102;9.65643
76.3556;9.67149
76.6093;9.62807
76.863;9.57477
77.1167;9.57272
77.3703;9.62756
77.624;9.64223
77.8777;9.5356
78.1313;9.5139
78.385;9.4794
78.6387;9.42324
78.8924;9.34283
79.146;9.34128
79.3997;9.38109
79.6534;9.32236
79.9071;9.43986
80.1607;9.38501
80.4144;9.34834
80.6681;9.34085
80.9218;9.35726
81.1754;9.33543
81.4291;9.36714
81.6828;9.18728
81.9364;9.03506
82.1901;9.17262
82.4438;9.13525
82.6975;9.22856
82.9511;9.29668
83.2048;9.25811
83.4585;9.31114
83.7122;9.22142
83.9658;9.29337
84.2195;9.30676
84.4732;9.20312
84.7268;9.13159
84.9805;9.04698
85.2342;9.01806
85.4879;9.10382
85.7415;9.13822
85.9952;9.24566
86.2489;9.29772
86.5026;9.23126
86.7562;9.21197
87.0099;9.30026
87.2636;9.34274
87.5173;9.34538
87.7709;9.31961
88.0246;9.20308
88.2783;9.26311
88.5319;9.23105
88.7856;9.15655
89.0393;9.14645
89.293;9.15333
89.5466;9.19522
89.8003;9.23891
90.054;9.24533
90.3077;9.29994
90.5613;9.29204
90.815;9.27341
91.0687;9.20973
91.3223;9.16045
91.576;9.20574
91.8297;9.20435
92.0834;9.15034
92.337;9.19121
92.5907;9.16981
92.8444;9.10353
93.0981;9.20418
93.3517;9.21651
93.6054;9.28895
93.8591;9.34856
94.1128;9.37549
94.3664;9.42096
94.6201;9.39041
94.8738;9.35361
95.1274;9.24428
95.3811;9.26782
95.6348;9.27186
95.8885;9.26778
96.1421;9.1864
96.3958;9.21789
96.6495;9.32972
96.9032;9.2379
97.1568;9.35554
97.4105;9.30406
97.6642;9.28487
97.9179;9.21638
98.1715;9.1926
98.4252;9.24131
98.6789;9.24302
98.9325;9.17174
99.1862;9.20496
99.4399;9.25148
99.6936;9.39452
99.9472;9.40622
100.201;9.33797
100.455;9.34455
100.708;9.31612
100.962;9.29698
101.216;9.40097
101.469;9.43454
101.723;9.40586
101.977;9.33358
102.23;9.24741
102.484;9.19703
102.738;9.19505
102.991;9.09729
103.245;9.06799
103.499;8.99582
103.752;8.90969
104.006;8.7778
104.26;8.78067
104.513;8.66558
104.767;8.63871
105.021;8.62971
105.274;8.63911
105.528;8.61108
105.782;8.62591
106.035;8.49469
106.289;8.2308
106.543;8.08604
106.796;8.01944
107.05;8.05131
107.304;8.05705
107.557;7.92312
107.811;7.78055
108.065;7.8503
108.318;7.738
108.572;7.56588
108.826;7.43299
109.079;7.37379
109.333;7.19378
109.587;7.14683
109.84;6.97603
110.094;6.86948
110.348;6.71073
110.602;6.66501
110.855;6.65033
111.109;6.80947
111.363;7.05788
111.616;7.2501
111.87;7.22873
112.124;7.20217
112.377;7.05855
112.631;6.91287
112.885;6.86832
113.138;6.76862
113.392;6.76906
113.646;6.73386
113.899;6.75422
114.153;6.71526
114.407;6.78835
114.66;6.8355
114.914;6.87607
115.168;6.82153
115.421;6.80641
115.675;6.70707
115.929;6.56616
116.182;6.38595
116.436;6.212
116.69;6.21724
116.943;6.24526
117.197;6.18454
117.451;6.36203
117.704;6.43646
117.958;6.4396
118.212;6.52041
118.465;6.53109
118.719;6.46424
118.973;6.33073
119.226;6.15956
119.48;6.02761
119.734;6.12782
119.987;6.14789
120.241;6.05997
120.495;6.0128
120.748;5.92885
121.002;5.95124
121.256;5.98441
121.509;6.41693
121.763;7.0054
122.017;7.0071
122.27;6.51582
122.524;5.58393
122.778;5.59191
123.032;5.69874
123.285;5.63006
123.539;5.88142
123.793;6.09885
124.046;6.16045
124.3;6.07329
124.554;6.25581
124.807;6.56949
125.061;6.74206
125.315;6.74623
125.568;6.89752
125.822;7.24276
126.076;7.58092
126.329;7.59979
126.583;7.75923
126.837;8.07621
127.09;8.24231
127.344;8.40924
127.598;8.3651
127.851;8.31292
128.105;8.22734
128.359;8.29008
128.612;8.25072
128.866;8.29142
129.12;8.27163
129.373;8.27799
129.627;8.31537
129.881;8.29568
130.134;8.41503
130.388;8.50189
130.642;8.52594
130.895;8.58253
131.149;8.63653
131.403;8.60346
131.656;8.59199
131.91;8.68497
132.164;8.83036
132.417;8.8561
132.671;8.81066
132.925;8.79144
133.178;9.00674
133.432;9.17054
133.686;9.46715
133.939;9.43967
134.193;9.27079
134.447;9.04211
134.7;8.91494
134.954;9.01319
135.208;9.06063
135.461;9.0859
135.715;9.31156
135.969;9.4847
136.223;9.6113
136.476;9.64793
136.73;9.17848
136.984;8.92613
137.237;8.79778
137.491;8.64891
137.745;8.53612
137.998;8.52655
138.252;8.60924
138.506;8.66762
138.759;8.38252
139.013;8.26756
139.267;8.15821
139.52;8.23168
139.774;8.40347
140.028;8.48176
140.281;8.55803
140.535;8.78566
140.789;9.02942
141.042;8.93296
141.296;8.80999
141.55;8.76635
141.803;8.7792
142.057;8.91811
142.311;9.20778
142.564;9.60555
142.818;9.58628
143.072;9.17649
143.325;8.82018
143.579;8.61432
143.833;8.80511
144.086;8.79804
144.34;8.90136
144.594;9.05173
144.847;8.99777
145.101;8.88697
145.355;8.82969
145.608;8.87079
145.862;8.92192
146.116;9.1778
146.369;9.52757
146.623;9.68219
146.877;9.43599
147.13;9.20788
147.384;9.08161
147.638;9.00425
147.891;9.02804
148.145;9.06557
148.399;9.03023
148.652;9.08714
148.906;9.24455
149.16;9.64955
149.414;9.94261
149.667;9.95953
149.921;9.43065
150.175;9.29269
150.428;9.30702
150.682;9.44658
150.936;9.58384
151.189;9.65783
151.443;9.61421
151.697;9.62579
151.95;9.58345
152.204;9.54254
152.458;9.52059
152.711;9.57854
152.965;9.7307
153.219;9.9485
153.472;10.0338
153.726;10.2961
153.98;10.3254
154.233;10.1432
154.487;9.9423
154.741;9.77293
154.994;9.88818
155.248;10.0781
155.502;10.1168
155.755;10.0175
156.009;9.83334
156.263;9.886
156.516;9.93637
156.77;9.84129
157.024;10.0148
157.277;10.051
157.531;10.0067
157.785;9.88883
158.038;9.85963
158.292;9.96516
158.546;9.97576
158.799;10.0021
159.053;10.1292
159.307;10.2712
159.56;10.264
159.814;10.0929
160.068;9.8751
160.321;9.75733
160.575;9.82593
160.829;9.77221
161.082;9.88938
161.336;10.0786
161.59;10.2295
161.844;10.0745
162.097;9.88154
162.351;9.83426
162.605;9.92006
162.858;10.0213
163.112;10.1676
163.366;10.2022
163.619;10.1487
163.873;10.0479
164.127;10.0594
164.38;10.0485
164.634;10.0406
164.888;10.0601
165.141;10.258
165.395;10.4279
165.649;10.4579
165.902;10.2897
166.156;10.1865
166.41;10.1461
166.663;10.1569
166.917;10.0952
167.171;10.1921
167.424;10.1783
167.678;10.0521
167.932;9.86339
168.185;9.87844
168.439;9.82158
168.693;9.8219
168.946;9.97843
169.2;10.1205
169.454;10.0393
169.707;9.85057
169.961;9.68458
170.215;9.75882
170.468;9.79301
170.722;9.91836
170.976;9.85776
171.229;9.97297
171.483;9.99635
171.737;9.89355
171.99;9.79275
172.244;10.0604
172.498;10.1658
172.751;10.09
173.005;10.0235
173.259;10.2409
173.512;10.2876
173.766;10.2412
174.02;10.0854
174.273;10.1035
174.527;10.2316
174.781;10.1831
175.035;10.1853
175.288;10.2892
175.542;10.2144
175.796;10.1418
176.049;10.0895
176.303;10.1123
176.557;10.0919
176.81;10.076
177.064;10.0266
177.318;10.013
177.571;10.1516
177.825;10.2946
178.079;10.3623
178.332;10.5691
178.586;10.7878
178.84;10.862
179.093;10.8388
179.347;10.7817
179.601;10.7504
179.854;10.5126
180.108;10.326
180.362;10.1339
180.615;10.2235
180.869;10.3848
181.123;10.545
181.376;10.6084
181.63;10.6156
181.884;10.4187
182.137;10.3156
182.391;10.1884
182.645;10.1413
182.898;10.1246
183.152;10.1491
183.406;10.0234
183.659;10.0747
183.913;10.0984
184.167;9.99213
184.42;9.89884
184.674;9.9276
184.928;10.1187
185.181;10.3041
185.435;10.4224
185.689;10.2261
185.942;10.1966
186.196;10.256
186.45;10.411
186.703;10.3384
186.957;10.3134
187.211;10.3789
187.464;10.4471
187.718;10.4019
187.972;10.3873
188.226;10.3309
188.479;10.3613
188.733;10.3186
188.987;10.3477
189.24;10.2802
189.494;10.1467
189.748;10.0693
190.001;10.0107
190.255;9.93195
190.509;9.91399
190.762;9.91876
191.016;9.94704
191.27;9.89325
191.523;10.0174
191.777;10.2406
192.031;10.3546
192.284;10.4169
192.538;10.3233
192.792;10.1954
193.045;9.93099
193.299;9.7944
193.553;10.002
193.806;10.1726
194.06;10.1668
194.314;10.0913
194.567;9.9063
194.821;9.87969
195.075;9.85063
195.328;9.68381
195.582;9.55652
195.836;9.42911
196.089;9.26502
196.343;9.0871
196.597;9.00838
196.85;8.99058
197.104;8.79887
197.358;8.79378
197.611;8.99191
197.865;9.32591
198.119;9.50927
198.372;9.42346
198.626;8.89542
198.88;8.62106
199.133;8.69176
199.387;8.81121
199.641;9.08311
199.894;9.33799
200.148;9.47026
200.402;9.65051
200.656;9.49603
200.909;9.2784
201.163;9.17893
201.417;9.26855
201.67;9.50136
201.924;9.71767
202.178;9.83924
202.431;9.8776
202.685;9.64195
202.939;9.5018
203.192;9.51961
203.446;9.57992
203.7;9.38911
203.953;9.34878
204.207;9.23356
204.461;9.2542
204.714;9.13799
204.968;8.98746
205.222;8.96247
205.475;8.88242
205.729;8.76536
205.983;8.74496
206.236;8.64421
206.49;8.62005
206.744;8.62584
206.997;8.60427
207.251;8.52323
207.505;8.36393
207.758;8.21963
208.012;8.19448
208.266;8.23647
208.519;8.26859
208.773;8.433
209.027;8.62207
209.28;9.2145
209.534;9.46513
209.788;9.07963
210.041;8.72294
210.295;8.56466
210.549;8.44971
210.802;8.26813
211.056;8.29281
211.31;8.37805
211.563;8.56892
211.817;8.576
212.071;8.5956
212.324;8.63457
212.578;8.48226
212.832;8.43862
213.085;8.41769
213.339;8.41275
213.593;8.39627
213.846;8.42167
214.1;8.43803
214.354;8.47033
214.608;8.40979
214.861;8.43696
215.115;8.50259
215.369;8.63683
215.622;8.65158
215.876;8.60654
216.13;8.68946
216.383;8.80519
216.637;8.95975
216.891;9.04573
217.144;9.11478
217.398;9.23526
217.652;9.33174
217.905;9.35452
218.159;9.20298
218.413;9.05189
218.666;8.80761
218.92;8.56386
219.174;8.54442
219.427;8.5823
219.681;8.56172
219.935;8.50203
220.188;8.41711
220.442;8.4306
220.696;8.42665
220.949;8.39123
221.203;8.21116
221.457;8.20529
221.71;8.19937
221.964;8.05929
222.218;7.95898
222.471;7.87255
222.725;7.69387
222.979;7.61506
223.232;7.47229
223.486;7.43323
223.74;7.50147
223.993;7.356
224.247;7.11408
224.501;6.86226
224.754;6.62547
225.008;7.00326
225.262;7.36253
225.515;7.52872
225.769;7.63266
226.023;7.43138
226.276;7.19524
226.53;7.11854
226.784;7.08729
227.038;7.06358
227.291;7.15496
227.545;7.32622
227.799;7.60543
228.052;7.84126
228.306;7.95056
228.56;7.97885
228.813;7.96552
229.067;7.94584
229.321;7.97094
229.574;7.92208
229.828;8.02633
230.082;7.97835
230.335;7.88798
230.589;7.79617
230.843;7.75829
231.096;7.74882
231.35;7.83178
231.604;7.99996
231.857;8.65652
232.111;10.8486
232.365;12.0626
232.618;12.7403
232.872;12.759
233.126;12.7581
