Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 05:03:35
Device temperature = 24.6927
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBxYqm
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;22.0094
0.253673;20.9999
0.507346;19.4318
0.76102;18.3886
1.01469;18.4402
1.26837;18.492
1.52204;18.3247
1.77571;17.7495
2.02939;17.5881
2.28306;18.0488
2.53673;18.1791
2.79041;18.1435
3.04408;18.0063
3.29775;17.9327
3.55142;17.8658
3.8051;17.8412
4.05877;17.8206
4.31244;17.7996
4.56612;17.7168
4.81979;17.6271
5.07346;17.7324
5.32714;17.6754
5.58081;17.6525
5.83448;17.7046
6.08816;17.7281
6.34183;17.8485
6.5955;17.8164
6.84918;17.7997
7.10285;17.8615
7.35652;17.8555
7.6102;17.7473
7.86387;17.7087
8.11754;17.6371
8.37122;17.684
8.62489;17.7277
8.87856;17.7398
9.13223;17.8088
9.38591;17.8771
9.63958;17.8288
9.89325;17.7682
10.1469;17.6288
10.4006;17.8278
10.6543;17.811
10.9079;17.6906
11.1616;17.7299
11.4153;17.7292
11.669;17.7379
11.9226;17.755
12.1763;17.6811
12.43;17.6278
12.6837;17.6976
12.9373;17.5508
13.191;17.6261
13.4447;17.72
13.6984;17.7558
13.952;17.7692
14.2057;17.6946
14.4594;17.6665
14.713;17.6797
14.9667;17.7454
15.2204;17.7159
15.4741;17.7148
15.7277;17.7281
15.9814;17.7537
16.2351;17.7262
16.4888;17.7887
16.7424;17.742
16.9961;17.7649
17.2498;17.7423
17.5035;17.6528
17.7571;17.6501
18.0108;17.7554
18.2645;17.6758
18.5181;17.6777
18.7718;17.645
19.0255;17.6358
19.2792;17.6527
19.5328;17.7142
19.7865;17.7485
20.0402;17.8112
20.2939;17.646
20.5475;17.746
20.8012;17.7399
21.0549;17.6702
21.3085;17.6946
21.5622;17.6289
21.8159;17.5628
22.0696;17.7408
22.3232;17.7175
22.5769;17.7752
22.8306;17.7862
23.0843;17.7365
23.3379;17.6963
23.5916;17.6777
23.8453;17.6906
24.099;17.7312
24.3526;17.6444
24.6063;17.7055
24.86;17.6907
25.1136;17.6886
25.3673;17.6952
25.621;17.7181
25.8747;17.6771
26.1283;17.5565
26.382;17.5189
26.6357;17.5536
26.8894;17.536
27.143;17.4869
27.3967;17.5541
27.6504;17.541
27.9041;17.4837
28.1577;17.5089
28.4114;17.3761
28.6651;17.0598
28.9187;15.7926
29.1724;12.7055
29.4261;11.3977
29.6798;10.9922
29.9334;10.9694
30.1871;10.9983
30.4408;10.7477
30.6945;10.8513
30.9481;10.7925
31.2018;10.6815
31.4555;10.7313
31.7092;10.6334
31.9628;10.7389
32.2165;10.8016
32.4702;10.9393
32.7238;11.2078
32.9775;11.3775
33.2312;11.3354
33.4849;11.0894
33.7385;10.9946
33.9922;10.9471
34.2459;11.0325
34.4996;11.097
34.7532;11.2437
35.0069;11.1174
35.2606;10.886
35.5142;10.6381
35.7679;10.4976
36.0216;10.387
36.2753;10.3108
36.5289;10.2229
36.7826;10.3159
37.0363;10.2207
37.29;10.1655
37.5436;10.1653
37.7973;10.1829
38.051;10.1803
38.3047;10.157
38.5583;10.128
38.812;10.2343
39.0657;10.1149
39.3193;10.0726
39.573;10.0568
39.8267;10.1084
40.0804;10.0844
40.334;10.0621
40.5877;10.0615
40.8414;10.0923
41.0951;10.0965
41.3487;10.1811
41.6024;10.2401
41.8561;10.36
42.1097;10.4271
42.3634;10.4446
42.6171;10.3347
42.8708;10.4455
43.1244;10.5225
43.3781;10.5927
43.6318;10.5201
43.8855;10.5027
44.1391;10.4787
44.3928;10.5265
44.6465;10.4338
44.9002;10.506
45.1538;10.4861
45.4075;10.4397
45.6612;10.5009
45.9148;10.4208
46.1685;10.3314
46.4222;10.3339
46.6759;10.2437
46.9295;10.2957
47.1832;10.2828
47.4369;10.1854
47.6906;10.145
47.9442;10.1174
48.1979;10.1151
48.4516;10.0112
48.7053;10.1033
48.9589;10.0806
49.2126;9.99679
