Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 04:53:35
Device temperature = 24.8651
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBxuu6
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;22.2238
0.253673;21.1469
0.507346;19.649
0.76102;18.551
1.01469;18.6557
1.26837;18.5806
1.52204;18.4585
1.77571;17.929
2.02939;17.8373
2.28306;18.1993
2.53673;18.2214
2.79041;18.285
3.04408;18.1797
3.29775;18.1126
3.55142;18.0886
3.8051;18.0693
4.05877;18.0211
4.31244;17.9169
4.56612;17.8149
4.81979;17.8735
5.07346;17.9245
5.32714;17.8843
5.58081;17.8604
5.83448;17.9044
6.08816;17.8875
6.34183;17.9727
6.5955;18.0439
6.84918;18.0887
7.10285;18.0781
7.35652;18.0144
7.6102;17.9431
7.86387;17.9269
8.11754;17.8729
8.37122;17.8868
8.62489;17.7878
8.87856;17.9612
9.13223;18.0405
9.38591;18.0788
9.63958;18.0234
9.89325;17.9699
10.1469;17.9955
10.4006;17.9441
10.6543;17.9955
10.9079;17.8572
11.1616;17.8919
11.4153;17.8782
11.669;17.8613
11.9226;17.9634
12.1763;17.9268
12.43;17.9045
12.6837;17.8202
12.9373;17.8928
13.191;17.9437
13.4447;17.9109
13.6984;17.9591
13.952;17.9751
14.2057;17.9262
14.4594;17.8481
14.713;17.8888
14.9667;18.0098
15.2204;18.0634
15.4741;17.9914
15.7277;17.8913
15.9814;17.9571
16.2351;17.9512
16.4888;18.0092
16.7424;17.9721
16.9961;17.9369
17.2498;17.9828
17.5035;17.9591
17.7571;17.8927
18.0108;17.9015
18.2645;17.9844
18.5181;17.9488
18.7718;17.8968
19.0255;17.8544
19.2792;17.8659
19.5328;17.9803
19.7865;17.9566
20.0402;17.8711
20.2939;17.9744
20.5475;17.9291
20.8012;17.8786
21.0549;17.934
21.3085;17.8165
21.5622;17.8132
21.8159;17.8414
22.0696;17.9098
22.3232;17.9519
22.5769;17.9786
22.8306;18.0197
23.0843;17.9646
23.3379;17.869
23.5916;17.894
23.8453;17.8715
24.099;17.8771
24.3526;17.8729
24.6063;17.876
24.86;17.8955
25.1136;17.8266
25.3673;17.8662
25.621;17.9059
25.8747;17.7962
26.1283;17.8681
26.382;17.7523
26.6357;17.7366
26.8894;17.6904
27.143;17.7262
27.3967;17.7351
27.6504;17.7765
27.9041;17.6457
28.1577;17.6239
28.4114;17.6176
28.6651;17.2442
28.9187;16.06
29.1724;12.8924
29.4261;11.4483
29.6798;10.9605
29.9334;10.9502
30.1871;11.0415
30.4408;10.955
30.6945;10.9198
30.9481;10.8232
31.2018;10.6428
31.4555;10.6341
31.7092;10.6585
31.9628;10.6444
32.2165;10.7718
32.4702;10.9412
32.7238;11.1786
32.9775;11.2891
33.2312;11.2194
33.4849;11.0399
33.7385;10.8987
33.9922;10.8714
34.2459;11.019
34.4996;11.0649
34.7532;11.1751
35.0069;11.1657
35.2606;10.8494
35.5142;10.5954
35.7679;10.4637
36.0216;10.351
36.2753;10.3206
36.5289;10.3087
36.7826;10.2681
37.0363;10.1822
37.29;10.2535
37.5436;10.2152
37.7973;10.2185
38.051;10.2257
38.3047;10.2697
38.5583;10.257
38.812;10.1462
39.0657;10.1456
39.3193;10.1239
39.573;10.0548
39.8267;10.1045
40.0804;10.1454
40.334;10.0814
40.5877;10.127
40.8414;10.1401
41.0951;10.0958
41.3487;10.2264
41.6024;10.3762
41.8561;10.4497
42.1097;10.458
42.3634;10.4456
42.6171;10.4284
42.8708;10.4703
43.1244;10.4506
43.3781;10.593
43.6318;10.5839
43.8855;10.5049
44.1391;10.5232
44.3928;10.5717
44.6465;10.5199
44.9002;10.477
45.1538;10.493
45.4075;10.5146
45.6612;10.5441
45.9148;10.4546
46.1685;10.3855
46.4222;10.299
46.6759;10.341
46.9295;10.457
47.1832;10.352
47.4369;10.3916
47.6906;10.2768
47.9442;10.2426
48.1979;10.1688
48.4516;10.1602
48.7053;10.1679
48.9589;10.1681
49.2126;10.1224
49.4663;10.0514
49.7199;10.0924
49.9736;10.1097
50.2273;10.0996
50.481;10.2643
50.7346;10.2781
50.9883;10.3209
51.242;10.1857
51.4957;10.2042
51.7493;10.1843
52.003;10.237
52.2567;10.2104
52.5104;10.3216
52.764;10.2442
53.0177;10.2252
53.2714;10.173
53.525;10.1764
53.7787;10.1276
54.0324;10.0765
54.2861;10.1278
54.5397;10.0671
54.7934;9.98064
55.0471;9.93023
55.3008;9.98396
55.5544;10.154
55.8081;10.1628
56.0618;10.2315
56.3154;10.286
56.5691;10.4123
56.8228;10.4063
57.0765;10.2602
57.3301;10.2561
57.5838;10.2353
57.8375;10.157
58.0912;10.1852
58.3448;10.1148
58.5985;10.1388
58.8522;10.1158
59.1059;10.087
59.3595;10.0969
59.6132;10.0864
59.8669;9.95496
60.1205;9.85066
60.3742;9.79539
60.6279;9.824
60.8816;9.88186
61.1352;9.82025
61.3889;9.84665
61.6426;9.97487
61.8963;9.93439
62.1499;9.90444
62.4036;9.76506
62.6573;9.80667
62.911;9.78321
63.1646;9.77573
63.4183;9.8601
63.672;9.87412
63.9256;9.83298
64.1793;9.8167
64.433;9.79544
64.6867;9.83111
64.9403;9.81621
65.194;9.78488
65.4477;9.79229
65.7014;9.78544
65.955;9.83712
66.2087;9.83814
66.4624;9.79397
66.716;9.84
66.9697;9.76539
67.2234;9.79643
67.4771;9.79349
67.7307;9.86932
67.9844;9.88409
68.2381;10.0105
68.4918;10.0698
68.7454;10.1408
68.9991;10.1159
69.2528;10.1693
69.5065;10.3693
69.7601;10.4711
70.0138;10.3952
70.2675;10.2644
70.5211;10.1775
70.7748;10.1743
71.0285;10.0796
71.2822;9.98045
71.5358;9.99316
71.7895;10.0086
72.0432;10.0027
72.2969;10.0097
72.5505;9.95672
72.8042;9.946
73.0579;9.9722
73.3116;9.96078
73.5652;10.0169
73.8189;9.99083
74.0726;9.94832
74.3262;9.88961
74.5799;9.84788
74.8336;9.76761
75.0873;9.77257
75.3409;9.72253
75.5946;9.72653
75.8483;9.70753
76.102;9.71988
76.3556;9.81762
76.6093;9.75266
76.863;9.79641
77.1167;9.7679
77.3703;9.76975
77.624;9.78972
77.8777;9.78622
78.1313;9.74266
78.385;9.61245
78.6387;9.59689
78.8924;9.62819
79.146;9.58203
79.3997;9.53926
79.6534;9.59934
79.9071;9.62711
80.1607;9.68606
80.4144;9.62853
80.6681;9.55798
80.9218;9.54309
81.1754;9.58622
81.4291;9.6328
81.6828;9.50493
81.9364;9.35688
82.1901;9.35223
82.4438;9.41825
82.6975;9.44226
82.9511;9.55566
83.2048;9.5175
83.4585;9.48907
83.7122;9.53892
83.9658;9.64341
84.2195;9.6244
84.4732;9.63536
84.7268;9.55185
84.9805;9.46715
85.2342;9.39999
85.4879;9.36699
85.7415;9.47684
85.9952;9.56471
86.2489;9.52237
86.5026;9.40902
86.7562;9.4224
87.0099;9.55798
87.2636;9.55567
87.5173;9.55434
87.7709;9.56796
88.0246;9.53369
88.2783;9.45129
88.5319;9.4287
88.7856;9.38274
89.0393;9.4019
89.293;9.37271
89.5466;9.41936
89.8003;9.40847
90.054;9.50446
90.3077;9.50351
90.5613;9.53285
90.815;9.50063
91.0687;9.46107
91.3223;9.42086
91.576;9.43206
91.8297;9.41775
92.0834;9.49351
92.337;9.39565
92.5907;9.3659
92.8444;9.38528
93.0981;9.45175
93.3517;9.48417
93.6054;9.48167
93.8591;9.55621
94.1128;9.56647
94.3664;9.60574
94.6201;9.64192
94.8738;9.60767
95.1274;9.49063
95.3811;9.54393
95.6348;9.57631
95.8885;9.49458
96.1421;9.4298
96.3958;9.51001
96.6495;9.51758
96.9032;9.49105
97.1568;9.57865
97.4105;9.56512
97.6642;9.49889
97.9179;9.47866
98.1715;9.50619
98.4252;9.53651
98.6789;9.45901
98.9325;9.43091
99.1862;9.4762
99.4399;9.50523
99.6936;9.61238
99.9472;9.50208
100.201;9.49509
100.455;9.51622
100.708;9.55324
100.962;9.60952
101.216;9.734
101.469;9.73206
101.723;9.68863
101.977;9.63409
102.23;9.5005
102.484;9.34868
102.738;9.34031
102.991;9.43026
103.245;9.3416
103.499;9.22166
103.752;9.12418
104.006;9.03702
104.26;9.0844
104.513;9.03384
104.767;9.02768
105.021;8.98632
105.274;9.00829
105.528;9.06042
105.782;8.97043
106.035;8.91066
106.289;8.67942
106.543;8.60365
106.796;8.55166
107.05;8.54874
107.304;8.42621
107.557;8.25954
107.811;8.18976
108.065;8.17709
108.318;8.16469
108.572;8.04285
108.826;7.82307
109.079;7.68839
109.333;7.54238
109.587;7.43406
109.84;7.30433
110.094;7.18484
110.348;7.01271
110.602;6.979
110.855;6.9642
111.109;7.09967
111.363;7.4693
111.616;7.56722
111.87;7.51631
112.124;7.57313
112.377;7.40981
112.631;7.32352
112.885;7.20258
113.138;7.17326
113.392;7.2545
113.646;7.25169
113.899;7.24322
114.153;7.32268
114.407;7.39307
114.66;7.45108
114.914;7.41918
115.168;7.37878
115.421;7.20755
115.675;7.11349
115.929;6.84564
116.182;6.72647
116.436;6.59837
116.69;6.53438
116.943;6.51418
117.197;6.62097
117.451;6.8093
117.704;6.90189
117.958;6.93228
118.212;7.06535
118.465;7.04174
118.719;7.02297
118.973;6.83016
119.226;6.66776
119.48;6.60015
119.734;6.6812
119.987;6.60291
120.241;6.58417
120.495;6.47082
120.748;6.4147
121.002;6.3713
121.256;6.53758
121.509;6.96702
121.763;7.33132
122.017;7.51376
122.27;6.94036
122.524;6.13803
122.778;6.1217
123.032;6.28781
123.285;6.28787
123.539;6.53188
123.793;6.73004
124.046;6.89878
124.3;6.83574
124.554;7.01633
124.807;7.35255
125.061;7.41664
125.315;7.34981
125.568;7.66175
125.822;7.90593
126.076;8.0488
126.329;8.07755
126.583;8.13602
126.837;8.33723
127.09;8.53406
127.344;8.55287
127.598;8.60164
127.851;8.4981
128.105;8.50319
128.359;8.44829
128.612;8.5884
128.866;8.62854
129.12;8.60273
129.373;8.62507
129.627;8.68944
129.881;8.70643
130.134;8.83854
130.388;8.82539
130.642;8.90023
130.895;8.88894
131.149;8.86473
131.403;8.86914
131.656;8.88772
131.91;9.05732
132.164;9.10035
132.417;9.19211
132.671;9.14729
132.925;9.08402
133.178;9.14588
133.432;9.4029
133.686;9.74383
133.939;9.68616
134.193;9.49605
134.447;9.23881
134.7;9.12268
134.954;9.19589
135.208;9.31991
135.461;9.2432
135.715;9.42982
135.969;9.62299
136.223;9.70918
136.476;9.71829
136.73;9.31497
136.984;9.11916
137.237;9.01987
137.491;8.88026
137.745;8.80858
137.998;8.77108
138.252;8.82115
138.506;8.93393
138.759;8.70656
139.013;8.47325
139.267;8.38835
139.52;8.42086
139.774;8.62539
140.028;8.65056
140.281;8.77841
140.535;8.95756
140.789;9.24867
141.042;9.1393
141.296;9.07053
141.55;8.95318
141.803;9.05367
142.057;9.18375
142.311;9.5187
142.564;9.93367
142.818;9.97666
143.072;9.47873
143.325;9.08441
143.579;8.90918
143.833;8.96334
144.086;9.04397
144.34;9.10967
144.594;9.38523
144.847;9.3139
145.101;9.19252
145.355;9.10994
145.608;9.06384
145.862;9.22897
146.116;9.37395
146.369;9.69968
146.623;9.8811
146.877;9.6591
147.13;9.54526
147.384;9.35426
147.638;9.30585
147.891;9.3287
148.145;9.32076
148.399;9.26399
148.652;9.31888
148.906;9.53729
149.16;9.87364
149.414;10.1944
149.667;10.176
149.921;9.68064
150.175;9.54005
150.428;9.56653
150.682;9.64107
150.936;9.82523
151.189;9.81048
151.443;9.8686
151.697;9.9054
151.95;9.88821
152.204;9.82226
152.458;9.77495
152.711;9.7881
152.965;10.0515
153.219;10.1226
153.472;10.3136
153.726;10.492
153.98;10.6399
154.233;10.3697
154.487;10.1029
154.741;9.97281
154.994;10.1658
155.248;10.3067
155.502;10.3583
155.755;10.2399
156.009;10.0597
156.263;10.0957
156.516;10.0845
156.77;10.0579
157.024;10.2973
157.277;10.2712
157.531;10.1748
157.785;10.0758
158.038;10.1615
158.292;10.278
158.546;10.2493
158.799;10.2707
159.053;10.3621
159.307;10.47
159.56;10.3993
159.814;10.3015
160.068;10.1537
160.321;10.0428
160.575;10.0339
160.829;10.035
161.082;10.1954
161.336;10.3053
161.59;10.4567
161.844;10.3487
162.097;10.0799
162.351;9.98549
162.605;10.0616
162.858;10.268
163.112;10.3522
163.366;10.3194
163.619;10.3626
163.873;10.3151
164.127;10.2455
164.38;10.2441
164.634;10.2063
164.888;10.2417
165.141;10.4951
165.395;10.6206
165.649;10.652
165.902;10.4259
166.156;10.3373
166.41;10.2875
166.663;10.3093
166.917;10.3489
167.171;10.4556
167.424;10.4136
167.678;10.2868
167.932;10.1022
168.185;10.1355
168.439;10.0972
168.693;10.1079
168.946;10.1673
169.2;10.2927
169.454;10.2498
169.707;10.1692
169.961;9.99239
170.215;9.99936
170.468;10.0717
170.722;10.1364
170.976;10.1753
171.229;10.217
171.483;10.2314
171.737;10.0777
171.99;10.0772
172.244;10.2844
172.498;10.3382
172.751;10.308
173.005;10.3297
173.259;10.5347
173.512;10.5701
173.766;10.5647
174.02;10.393
174.273;10.4534
174.527;10.4458
174.781;10.3628
175.035;10.378
175.288;10.5488
175.542;10.5078
175.796;10.4582
176.049;10.2768
176.303;10.3728
176.557;10.3557
176.81;10.3465
177.064;10.2415
177.318;10.247
177.571;10.3925
177.825;10.5067
178.079;10.5519
178.332;10.7931
178.586;11.0005
178.84;11.1305
179.093;11.1415
179.347;11.1025
179.601;10.9024
179.854;10.7583
180.108;10.5358
180.362;10.4219
180.615;10.5286
180.869;10.6877
181.123;10.8519
181.376;10.9314
181.63;10.8616
181.884;10.7525
182.137;10.6067
182.391;10.3857
182.645;10.376
