Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 04:43:35
Device temperature = 25.0385
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVByE7Z
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;22.44
0.253673;21.2581
0.507346;19.7642
0.76102;18.7588
1.01469;18.7345
1.26837;18.7347
1.52204;18.6282
1.77571;18.021
2.02939;18.0209
2.28306;18.4817
2.53673;18.549
2.79041;18.4947
3.04408;18.3745
3.29775;18.319
3.55142;18.33
3.8051;18.204
4.05877;18.0883
4.31244;18.1306
4.56612;18.1266
4.81979;18.0681
5.07346;18.0964
5.32714;18.1056
5.58081;18.1181
5.83448;18.1282
6.08816;18.2158
6.34183;18.1517
6.5955;18.1653
6.84918;18.2839
7.10285;18.2478
7.35652;18.241
7.6102;18.1275
7.86387;18.0829
8.11754;18.0693
8.37122;18.099
8.62489;18.1543
8.87856;18.2192
9.13223;18.2468
9.38591;18.2771
9.63958;18.2299
9.89325;18.1645
10.1469;18.1236
10.4006;18.1736
10.6543;18.1869
10.9079;18.221
11.1616;18.1086
11.4153;18.1254
11.669;18.0835
11.9226;18.1513
12.1763;18.1069
12.43;18.0571
12.6837;18.0877
12.9373;18.086
13.191;18.0722
13.4447;18.1068
13.6984;18.1995
13.952;18.1481
14.2057;18.1684
14.4594;18.1102
14.713;18.0664
14.9667;18.191
15.2204;18.1838
15.4741;18.1745
15.7277;18.1362
15.9814;18.1643
16.2351;18.1802
16.4888;18.1655
16.7424;18.18
16.9961;18.1668
17.2498;18.1013
17.5035;18.1441
17.7571;18.0185
18.0108;18.135
18.2645;18.1171
18.5181;18.0682
18.7718;18.1199
19.0255;18.0122
19.2792;18.0023
19.5328;18.1094
19.7865;18.1715
20.0402;18.1615
20.2939;18.087
20.5475;18.0733
20.8012;18.0909
21.0549;18.0817
21.3085;18.0592
21.5622;18.0581
21.8159;18.0519
22.0696;18.1226
22.3232;18.1091
22.5769;18.1526
22.8306;18.1814
23.0843;18.1765
23.3379;18.1095
23.5916;18.1693
23.8453;18.0625
24.099;18.1548
24.3526;18.0131
24.6063;18.124
24.86;18.189
25.1136;18.1674
25.3673;18.1238
25.621;18.1207
25.8747;18.0826
26.1283;17.9968
26.382;17.9887
26.6357;17.955
26.8894;17.9177
27.143;17.8736
27.3967;17.971
27.6504;17.9405
27.9041;17.9244
28.1577;17.9131
28.4114;17.8015
28.6651;17.4073
28.9187;16.2357
29.1724;12.9778
29.4261;11.5356
29.6798;11.0966
29.9334;11.111
30.1871;11.1317
30.4408;11.1165
30.6945;11.06
30.9481;11.0347
31.2018;10.9202
31.4555;10.8366
31.7092;10.886
31.9628;10.93
32.2165;11.0627
32.4702;11.2761
32.7238;11.4502
32.9775;11.6623
33.2312;11.5303
33.4849;11.3626
33.7385;11.1814
33.9922;11.1083
34.2459;11.1079
34.4996;11.1654
34.7532;11.1442
35.0069;11.1471
35.2606;10.938
35.5142;10.7115
35.7679;10.5173
36.0216;10.3581
36.2753;10.3567
36.5289;10.3873
36.7826;10.342
37.0363;10.3921
37.29;10.3547
37.5436;10.3146
37.7973;10.2482
38.051;10.2624
38.3047;10.2795
38.5583;10.3232
38.812;10.2909
39.0657;10.31
39.3193;10.163
39.573;10.206
39.8267;10.2559
40.0804;10.2217
40.334;10.291
40.5877;10.2474
40.8414;10.2358
41.0951;10.254
41.3487;10.402
41.6024;10.4359
41.8561;10.6287
42.1097;10.6123
42.3634;10.4852
42.6171;10.5605
42.8708;10.558
43.1244;10.6928
43.3781;10.7403
43.6318;10.6631
43.8855;10.6944
44.1391;10.6238
44.3928;10.6384
44.6465;10.7004
44.9002;10.5674
45.1538;10.6405
45.4075;10.598
45.6612;10.5497
45.9148;10.635
46.1685;10.4522
46.4222;10.4156
46.6759;10.4743
46.9295;10.4481
47.1832;10.5619
47.4369;10.5154
47.6906;10.4252
47.9442;10.3207
48.1979;10.3424
48.4516;10.3238
48.7053;10.3331
48.9589;10.3218
49.2126;10.3436
49.4663;10.2329
49.7199;10.197
49.9736;10.2172
50.2273;10.2322
50.481;10.3812
50.7346;10.4493
50.9883;10.4531
51.242;10.3647
51.4957;10.3347
51.7493;10.2856
52.003;10.3454
52.2567;10.3866
52.5104;10.4101
52.764;10.3989
53.0177;10.3962
53.2714;10.3116
53.525;10.3112
53.7787;10.2221
54.0324;10.3395
54.2861;10.2332
54.5397;10.1373
54.7934;10.2132
55.0471;10.2597
55.3008;10.1972
55.5544;10.3341
55.8081;10.371
56.0618;10.4966
56.3154;10.5573
56.5691;10.6214
56.8228;10.6252
57.0765;10.546
57.3301;10.4138
57.5838;10.3734
57.8375;10.3357
58.0912;10.3379
58.3448;10.3829
58.5985;10.3929
58.8522;10.3577
59.1059;10.2876
59.3595;10.2511
59.6132;10.1554
59.8669;10.0934
60.1205;10.0968
60.3742;10.0205
60.6279;10.0326
60.8816;10.0701
61.1352;10.0508
61.3889;10.0414
61.6426;10.1201
61.8963;10.1301
62.1499;10.1143
62.4036;10.0443
62.6573;10.0471
62.911;10.0741
63.1646;10.0391
63.4183;10.0012
63.672;9.99015
63.9256;9.9527
64.1793;10.0155
64.433;10.0262
64.6867;9.95217
64.9403;9.94012
65.194;9.90126
65.4477;9.97084
65.7014;9.8931
65.955;9.91383
66.2087;9.99031
66.4624;9.96546
66.716;9.96108
66.9697;10.0563
67.2234;10.0391
67.4771;10.1006
67.7307;10.1206
67.9844;10.0431
68.2381;10.1983
68.4918;10.2334
68.7454;10.2599
68.9991;10.2692
69.2528;10.2923
69.5065;10.4687
69.7601;10.6575
70.0138;10.5637
70.2675;10.4417
70.5211;10.3601
70.7748;10.2949
71.0285;10.3187
71.2822;10.2245
71.5358;10.1797
71.7895;10.1134
72.0432;10.1354
72.2969;10.1945
72.5505;10.1482
72.8042;10.188
73.0579;10.0866
73.3116;10.1547
73.5652;10.2164
73.8189;10.1619
74.0726;10.0892
74.3262;10.0614
74.5799;10.0369
74.8336;9.95041
75.0873;9.97018
75.3409;9.92771
75.5946;9.9124
75.8483;9.98079
76.102;9.9919
76.3556;10.047
76.6093;10.0402
76.863;10.053
77.1167;9.96161
77.3703;9.95068
77.624;10.0183
77.8777;9.89164
78.1313;9.86937
78.385;9.83733
78.6387;9.81213
78.8924;9.80239
79.146;9.74308
79.3997;9.75969
79.6534;9.73139
79.9071;9.75838
80.1607;9.79708
80.4144;9.74663
80.6681;9.69825
80.9218;9.65977
81.1754;9.67964
81.4291;9.7282
81.6828;9.63101
81.9364;9.47828
82.1901;9.47582
82.4438;9.61209
82.6975;9.67917
82.9511;9.75777
83.2048;9.69977
83.4585;9.72022
83.7122;9.72804
83.9658;9.70889
84.2195;9.78896
84.4732;9.76486
84.7268;9.7128
84.9805;9.54525
85.2342;9.54738
85.4879;9.51329
85.7415;9.54684
85.9952;9.59154
86.2489;9.62661
86.5026;9.62381
86.7562;9.55536
87.0099;9.63604
87.2636;9.63417
87.5173;9.71084
87.7709;9.65496
88.0246;9.56751
88.2783;9.62456
88.5319;9.59927
88.7856;9.60489
89.0393;9.60641
89.293;9.54613
89.5466;9.60758
89.8003;9.67415
90.054;9.59565
90.3077;9.58736
90.5613;9.62204
90.815;9.62329
91.0687;9.58495
91.3223;9.6357
91.576;9.66556
91.8297;9.59552
92.0834;9.57277
92.337;9.59632
92.5907;9.55106
92.8444;9.56551
93.0981;9.6249
93.3517;9.60304
93.6054;9.63067
93.8591;9.69795
94.1128;9.68011
94.3664;9.72895
94.6201;9.83194
94.8738;9.69335
95.1274;9.62203
95.3811;9.62863
95.6348;9.64447
95.8885;9.65407
96.1421;9.58015
96.3958;9.55707
96.6495;9.57848
96.9032;9.56652
97.1568;9.71555
97.4105;9.70217
97.6642;9.65787
97.9179;9.63183
98.1715;9.57408
98.4252;9.58942
98.6789;9.60306
98.9325;9.52125
99.1862;9.59582
99.4399;9.55828
99.6936;9.60631
99.9472;9.67131
100.201;9.72371
100.455;9.69771
100.708;9.68667
100.962;9.78271
101.216;9.84986
101.469;9.82969
101.723;9.81691
101.977;9.83509
102.23;9.60649
102.484;9.5557
102.738;9.49721
102.991;9.46773
103.245;9.38776
103.499;9.30464
103.752;9.26227
104.006;9.1896
104.26;9.15929
104.513;9.07106
104.767;9.09747
105.021;9.03867
105.274;9.15916
105.528;9.14642
105.782;9.09195
106.035;9.02537
106.289;8.71824
106.543;8.57912
106.796;8.47777
107.05;8.44883
107.304;8.29873
107.557;8.13064
107.811;8.05114
108.065;8.06442
108.318;7.91777
108.572;7.82193
108.826;7.76929
109.079;7.62953
109.333;7.56296
109.587;7.43248
109.84;7.29822
110.094;7.22645
110.348;7.0415
110.602;7.01867
110.855;7.07271
111.109;7.20063
111.363;7.56414
111.616;7.59089
111.87;7.65354
112.124;7.72084
112.377;7.52552
112.631;7.45717
112.885;7.44623
113.138;7.51759
113.392;7.57714
113.646;7.54727
113.899;7.52569
114.153;7.54812
114.407;7.54279
114.66;7.54487
114.914;7.51183
115.168;7.44466
115.421;7.34525
115.675;7.20836
115.929;6.99124
116.182;6.91884
116.436;6.68706
116.69;6.59501
116.943;6.65598
117.197;6.68531
117.451;6.85604
117.704;6.86129
117.958;6.83352
118.212;6.94916
118.465;6.98288
118.719;6.91967
118.973;6.89387
119.226;6.75613
119.48;6.73522
119.734;6.7022
119.987;6.54183
120.241;6.5937
120.495;6.60537
120.748;6.43859
121.002;6.47507
121.256;6.48572
121.509;6.99191
121.763;7.32918
122.017;7.48622
122.27;7.14705
122.524;6.33498
122.778;6.3266
123.032;6.53334
123.285;6.47527
123.539;6.69555
123.793;6.9206
124.046;6.99423
124.3;6.9651
124.554;7.17935
124.807;7.54127
125.061;7.67785
125.315;7.69231
125.568;7.95081
125.822;8.2653
126.076;8.528
126.329;8.57008
126.583;8.64399
126.837;8.77337
127.09;8.87511
127.344;8.99481
127.598;8.90107
127.851;8.7567
128.105;8.78536
128.359;8.85785
128.612;8.88192
128.866;8.77442
129.12;8.74447
129.373;8.70961
129.627;8.69868
129.881;8.77168
130.134;8.77393
130.388;8.7863
130.642;8.84542
130.895;8.86873
131.149;8.97128
131.403;8.97434
131.656;9.01135
131.91;9.06949
132.164;9.12043
132.417;9.19204
132.671;9.08826
132.925;9.18656
133.178;9.23397
133.432;9.33444
133.686;9.74019
133.939;9.75572
134.193;9.6724
134.447;9.42901
134.7;9.3395
134.954;9.36719
135.208;9.34466
135.461;9.41077
135.715;9.64135
135.969;9.76351
136.223;9.78772
136.476;9.7714
136.73;9.39438
136.984;9.11888
137.237;8.90666
137.491;8.83235
137.745;8.76355
137.998;8.77665
138.252;8.93074
138.506;8.95093
138.759;8.76032
139.013;8.55866
139.267;8.47573
139.52;8.64199
139.774;8.75176
140.028;8.76025
140.281;8.83299
140.535;9.14444
140.789;9.44521
141.042;9.26463
141.296;9.12611
141.55;9.07853
141.803;9.20068
142.057;9.26553
142.311;9.67167
142.564;10.0739
142.818;10.0076
143.072;9.50916
143.325;9.10614
143.579;8.98674
143.833;9.00917
144.086;9.10658
144.34;9.30976
144.594;9.54011
144.847;9.56522
145.101;9.37158
145.355;9.24952
145.608;9.19111
145.862;9.2341
146.116;9.38373
146.369;9.72907
146.623;9.96571
146.877;9.75188
147.13;9.56642
147.384;9.42623
147.638;9.31748
147.891;9.26892
148.145;9.28191
148.399;9.2998
148.652;9.36195
148.906;9.57318
149.16;9.90707
149.414;10.2129
149.667;10.2536
149.921;9.76237
150.175;9.5494
150.428;9.59455
150.682;9.68086
150.936;9.76748
151.189;9.74591
151.443;9.7739
151.697;9.88182
151.95;9.9835
152.204;9.80398
152.458;9.77879
152.711;9.83557
152.965;9.96585
153.219;10.1397
153.472;10.3471
153.726;10.5351
153.98;10.6587
154.233;10.4276
154.487;10.1536
154.741;10.1272
154.994;10.1052
155.248;10.2999
155.502;10.3681
155.755;10.2542
156.009;10.19
156.263;10.1468
156.516;10.1328
156.77;10.1105
157.024;10.3264
157.277;10.3483
157.531;10.2606
157.785;10.0892
158.038;10.1609
158.292;10.2356
158.546;10.2417
158.799;10.2956
159.053;10.3852
159.307;10.4616
159.56;10.4651
159.814;10.3779
160.068;10.2097
160.321;10.0777
160.575;9.96409
160.829;10.0695
161.082;10.161
161.336;10.3177
161.59;10.4624
161.844;10.3597
162.097;10.0644
162.351;10.0293
162.605;10.1345
162.858;10.2334
163.112;10.1938
163.366;10.2651
163.619;10.3939
163.873;10.4298
164.127;10.2637
164.38;10.2068
164.634;10.2388
164.888;10.2885
165.141;10.4871
165.395;10.7393
165.649;10.7202
165.902;10.6662
166.156;10.4909
166.41;10.4285
166.663;10.3267
166.917;10.4462
167.171;10.5417
167.424;10.4865
167.678;10.2918
167.932;10.2253
168.185;10.1531
168.439;10.1261
168.693;10.1767
168.946;10.2822
169.2;10.3759
169.454;10.3284
169.707;10.1247
169.961;10.1094
170.215;10.118
170.468;10.1165
170.722;10.1474
170.976;10.2333
171.229;10.324
171.483;10.2787
171.737;10.1761
171.99;10.1151
172.244;10.3058
172.498;10.3759
172.751;10.3359
173.005;10.3641
173.259;10.5555
173.512;10.6144
173.766;10.5498
174.02;10.4836
174.273;10.437
174.527;10.4398
174.781;10.385
175.035;10.4488
175.288;10.5456
175.542;10.4557
175.796;10.4383
176.049;10.4048
176.303;10.4734
176.557;10.4957
176.81;10.4472
177.064;10.3454
177.318;10.4051
177.571;10.5088
177.825;10.6669
178.079;10.7426
178.332;11.0011
178.586;11.1964
178.84;11.3161
179.093;11.2809
179.347;11.2801
179.601;11.1165
179.854;10.9269
180.108;10.8133
180.362;10.6421
180.615;10.696
180.869;10.8433
181.123;10.9732
181.376;11.0049
181.63;10.9572
181.884;10.8515
182.137;10.6702
182.391;10.4884
182.645;10.4576
182.898;10.404
183.152;10.4565
183.406;10.42
183.659;10.4029
183.913;10.4146
184.167;10.3945
184.42;10.2346
184.674;10.2454
184.928;10.4391
185.181;10.7167
185.435;10.7699
185.689;10.5949
185.942;10.5105
186.196;10.5729
186.45;10.8724
186.703;10.778
186.957;10.7678
187.211;10.8922
187.464;10.8811
187.718;10.844
187.972;10.8084
188.226;10.7797
188.479;10.7747
188.733;10.7373
188.987;10.7513
189.24;10.6633
189.494;10.5025
189.748;10.3277
190.001;10.2752
190.255;10.2516
190.509;10.3397
190.762;10.2711
191.016;10.2237
191.27;10.2343
191.523;10.3578
191.777;10.5059
192.031;10.7046
192.284;10.7613
192.538;10.7944
192.792;10.5447
193.045;10.2604
193.299;10.1927
193.553;10.2483
193.806;10.4397
194.06;10.5608
194.314;10.4854
194.567;10.3887
194.821;10.3317
195.075;10.2259
195.328;10.2469
195.582;10.084
195.836;9.8779
196.089;9.73933
196.343;9.63925
196.597;9.46807
196.85;9.33129
197.104;9.22981
197.358;9.20576
197.611;9.42606
197.865;9.70131
198.119;9.95091
198.372;9.87995
198.626;9.29749
198.88;9.09774
199.133;9.13142
199.387;9.29016
199.641;9.47149
199.894;9.56975
200.148;9.92231
200.402;10.0421
200.656;9.92469
200.909;9.65494
201.163;9.51335
201.417;9.51781
201.67;9.77898
201.924;9.91004
202.178;10.2142
202.431;10.4162
202.685;10.1299
202.939;9.92953
203.192;9.85113
203.446;9.8421
203.7;9.77242
203.953;9.66429
204.207;9.61673
204.461;9.58905
204.714;9.50155
204.968;9.41869
205.222;9.23797
205.475;9.25726
205.729;9.10195
205.983;9.04009
206.236;9.03539
206.49;8.93585
206.744;8.96415
206.997;8.91422
207.251;8.83114
207.505;8.66153
207.758;8.43328
208.012;8.38382
208.266;8.41386
208.519;8.55426
208.773;8.75504
209.027;9.02188
209.28;9.57272
209.534;9.83974
209.788;9.36241
210.041;9.0135
210.295;8.90598
210.549;8.77018
210.802;8.63617
211.056;8.59095
211.31;8.81105
211.563;8.87916
211.817;8.90374
212.071;8.85471
212.324;8.89306
212.578;8.79895
212.832;8.81999
213.085;8.85779
213.339;8.89932
213.593;8.88919
213.846;8.8522
214.1;8.9117
214.354;8.94377
214.608;8.94105
214.861;9.00011
215.115;8.99237
215.369;9.03058
215.622;9.01111
215.876;8.99175
216.13;9.05353
216.383;9.14927
216.637;9.23898
216.891;9.39021
217.144;9.39399
217.398;9.52462
217.652;9.66642
217.905;9.70868
218.159;9.50428
218.413;9.27443
218.666;9.06727
218.92;8.94688
219.174;8.89771
219.427;8.94076
219.681;8.93595
219.935;8.78728
220.188;8.69903
220.442;8.7498
220.696;8.74164
220.949;8.70606
221.203;8.55035
221.457;8.51855
221.71;8.51136
221.964;8.48415
222.218;8.3399
222.471;8.12786
222.725;7.94464
222.979;7.88822
223.232;7.85356
223.486;7.84776
223.74;7.78731
223.993;7.70118
224.247;7.46385
224.501;7.08144
224.754;6.97079
225.008;7.46957
225.262;7.90132
225.515;8.03625
225.769;8.09442
226.023;7.89048
226.276;7.71062
226.53;7.65139
226.784;7.65284
227.038;7.74943
227.291;7.80921
227.545;7.80921
227.799;8.08513
228.052;8.14403
228.306;8.25559
228.56;8.34059
228.813;8.42177
229.067;8.3451
229.321;8.26506
229.574;8.36148
229.828;8.4416
230.082;8.36639
230.335;8.28406
230.589;8.29171
230.843;8.29274
231.096;8.20485
231.35;8.30657
231.604;8.47941
231.857;9.06913
232.111;11.0983
232.365;12.2588
232.618;12.8051
232.872;12.939
233.126;12.96
233.379;13.0034
233.633;12.996
233.887;13.0797
234.14;12.9834
234.394;12.9719
234.648;13.0196
234.901;13.0426
235.155;13.0931
235.409;13.0053
235.662;12.9971
235.916;12.9912
236.17;12.9363
236.423;12.9937
236.677;13.0192
236.931;12.9593
237.184;13.055
237.438;13.0308
