Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 04:33:35
Device temperature = 25.2109
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBya/s
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;22.6203
0.253673;21.4003
0.507346;19.8531
0.76102;18.8614
1.01469;18.9695
1.26837;18.9748
1.52204;18.7649
1.77571;18.186
2.02939;18.1571
2.28306;18.5766
2.53673;18.6213
2.79041;18.6369
3.04408;18.5652
3.29775;18.5416
3.55142;18.4155
3.8051;18.3776
4.05877;18.3305
4.31244;18.2907
4.56612;18.2654
4.81979;18.2587
5.07346;18.2512
5.32714;18.2636
5.58081;18.2276
5.83448;18.231
6.08816;18.2677
6.34183;18.2403
6.5955;18.3508
6.84918;18.4074
7.10285;18.3364
7.35652;18.4295
7.6102;18.3149
7.86387;18.2975
8.11754;18.246
8.37122;18.2879
8.62489;18.3208
8.87856;18.3703
9.13223;18.4586
9.38591;18.3816
9.63958;18.3776
9.89325;18.2925
10.1469;18.3039
10.4006;18.3354
10.6543;18.3691
10.9079;18.3698
11.1616;18.2208
11.4153;18.2253
11.669;18.2199
11.9226;18.2931
12.1763;18.2375
12.43;18.2288
12.6837;18.2657
12.9373;18.2651
13.191;18.2399
13.4447;18.3114
13.6984;18.322
13.952;18.3582
14.2057;18.274
14.4594;18.3294
14.713;18.3369
14.9667;18.4088
15.2204;18.3426
15.4741;18.3269
15.7277;18.3676
15.9814;18.3547
16.2351;18.2551
16.4888;18.2902
16.7424;18.3279
16.9961;18.3243
17.2498;18.3373
17.5035;18.2766
17.7571;18.2841
18.0108;18.264
18.2645;18.3172
18.5181;18.2349
18.7718;18.2585
19.0255;18.2425
19.2792;18.2082
19.5328;18.2932
19.7865;18.3257
20.0402;18.3543
20.2939;18.286
20.5475;18.3121
20.8012;18.3038
21.0549;18.2732
21.3085;18.257
21.5622;18.2395
21.8159;18.2388
22.0696;18.2581
22.3232;18.2889
22.5769;18.3114
22.8306;18.3736
23.0843;18.3599
23.3379;18.3424
23.5916;18.3041
23.8453;18.3066
24.099;18.3204
24.3526;18.251
24.6063;18.2666
24.86;18.3435
25.1136;18.3451
25.3673;18.2509
25.621;18.274
25.8747;18.2789
26.1283;18.2377
26.382;18.1886
26.6357;18.1412
26.8894;18.1087
27.143;18.1331
27.3967;18.1089
27.6504;18.0882
27.9041;18.1022
28.1577;18.1162
28.4114;17.9734
28.6651;17.6766
28.9187;16.5093
29.1724;13.2702
29.4261;11.9216
29.6798;11.3717
29.9334;11.3827
30.1871;11.4384
30.4408;11.2885
30.6945;11.2483
30.9481;11.1859
31.2018;11.1913
31.4555;11.1853
31.7092;11.1665
31.9628;11.2038
32.2165;11.2738
32.4702;11.4628
32.7238;11.7334
32.9775;11.9106
33.2312;11.9208
33.4849;11.6799
33.7385;11.6257
33.9922;11.6155
34.2459;11.6341
34.4996;11.5627
34.7532;11.6055
35.0069;11.5294
35.2606;11.3246
35.5142;11.0912
35.7679;10.8256
36.0216;10.7885
36.2753;10.8246
36.5289;10.7541
36.7826;10.7849
37.0363;10.7035
37.29;10.703
37.5436;10.6347
37.7973;10.6945
38.051;10.6791
38.3047;10.6934
38.5583;10.6565
38.812;10.6727
39.0657;10.6014
39.3193;10.541
39.573;10.5485
39.8267;10.5601
40.0804;10.5376
40.334;10.5856
40.5877;10.5721
40.8414;10.5988
41.0951;10.616
41.3487;10.6484
41.6024;10.7142
41.8561;10.8173
42.1097;10.9002
42.3634;10.8557
42.6171;10.8661
42.8708;10.8333
43.1244;10.9782
43.3781;11.0868
43.6318;11.0249
43.8855;11.0183
44.1391;10.9979
44.3928;10.988
44.6465;10.8856
44.9002;10.8789
45.1538;10.9018
45.4075;10.8503
45.6612;10.8581
45.9148;10.8324
46.1685;10.8272
46.4222;10.7736
46.6759;10.6783
46.9295;10.7007
47.1832;10.7506
47.4369;10.6641
47.6906;10.6641
47.9442;10.6177
48.1979;10.6091
48.4516;10.5587
48.7053;10.5028
48.9589;10.4695
49.2126;10.5208
49.4663;10.4839
49.7199;10.442
49.9736;10.4156
50.2273;10.51
50.481;10.6234
50.7346;10.6381
50.9883;10.6013
51.242;10.5914
51.4957;10.4958
51.7493;10.5438
52.003;10.5224
52.2567;10.5751
52.5104;10.6122
52.764;10.6167
53.0177;10.5605
53.2714;10.495
53.525;10.4846
53.7787;10.5305
54.0324;10.4886
54.2861;10.4484
54.5397;10.4203
54.7934;10.3813
55.0471;10.4632
55.3008;10.5108
55.5544;10.5223
55.8081;10.6122
56.0618;10.6241
56.3154;10.7553
56.5691;10.7436
56.8228;10.7368
57.0765;10.6249
57.3301;10.6444
57.5838;10.6319
57.8375;10.612
58.0912;10.599
58.3448;10.5357
58.5985;10.6238
58.8522;10.5095
59.1059;10.4698
59.3595;10.4869
59.6132;10.3582
59.8669;10.2922
60.1205;10.2704
60.3742;10.2151
60.6279;10.2926
60.8816;10.2039
61.1352;10.2439
61.3889;10.1994
61.6426;10.2373
61.8963;10.3623
62.1499;10.316
62.4036;10.2276
62.6573;10.2504
