Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 00:13:35
Device temperature = 25.2667
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVByiI0
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;24.1358
0.253673;23.7009
0.507346;22.9234
0.76102;22.5022
1.01469;23.0802
1.26837;23.5168
1.52204;23.8847
1.77571;23.8002
2.02939;23.7989
2.28306;24.2721
2.53673;24.3562
2.79041;24.5429
3.04408;24.5304
3.29775;24.5974
3.55142;24.8362
3.8051;24.9463
4.05877;24.7714
4.31244;24.4332
4.56612;24.1767
4.81979;23.8642
5.07346;23.7642
5.32714;23.6615
5.58081;23.6886
5.83448;23.9071
6.08816;24.0338
6.34183;24.0871
6.5955;24.0101
6.84918;24.0308
7.10285;24.1487
7.35652;24.3701
7.6102;24.6255
7.86387;24.4486
8.11754;24.3029
8.37122;24.2538
8.62489;24.179
8.87856;24.4535
9.13223;24.4621
9.38591;24.5107
9.63958;24.3762
9.89325;24.1868
10.1469;24.1668
10.4006;24.2643
10.6543;24.3665
10.9079;24.448
11.1616;24.3666
11.4153;24.2302
11.669;24.2407
11.9226;24.3856
12.1763;24.4348
12.43;24.5085
12.6837;24.3863
12.9373;24.2072
13.191;24.1356
13.4447;24.2937
13.6984;24.3767
13.952;24.3731
14.2057;24.1677
14.4594;24.1266
14.713;24.041
14.9667;24.3896
15.2204;24.5889
15.4741;24.4567
15.7277;24.293
15.9814;23.8104
16.2351;23.8347
16.4888;24.0703
16.7424;24.1991
16.9961;24.2866
17.2498;24.3068
17.5035;24.1167
17.7571;24.093
18.0108;24.1872
18.2645;24.2999
18.5181;24.4276
18.7718;24.3466
19.0255;24.0903
19.2792;24.0874
19.5328;24.0635
19.7865;24.2203
20.0402;24.2628
20.2939;24.0942
20.5475;23.9604
20.8012;23.896
21.0549;24.1715
21.3085;24.3014
21.5622;24.3539
21.8159;24.2817
22.0696;23.9681
22.3232;24.0872
22.5769;24.239
22.8306;24.3792
23.0843;24.3887
23.3379;24.1444
23.5916;23.9663
23.8453;23.9227
24.099;24.1906
24.3526;24.5111
24.6063;24.5541
24.86;24.4264
25.1136;23.9565
25.3673;23.8896
25.621;24.0842
25.8747;24.4529
26.1283;24.738
26.382;24.4696
26.6357;24.2583
26.8894;24.0196
27.143;23.9775
27.3967;24.1723
27.6504;24.2184
27.9041;24.3633
28.1577;24.0972
28.4114;23.7957
28.6651;23.4336
28.9187;22.4821
29.1724;20.2638
29.4261;19.3108
29.6798;18.97
29.9334;18.9771
30.1871;18.9565
30.4408;18.9499
30.6945;18.9846
30.9481;18.9212
31.2018;18.7002
31.4555;18.7127
31.7092;18.8517
31.9628;18.9323
32.2165;19.3364
32.4702;19.8384
32.7238;20.528
32.9775;21.0126
33.2312;20.792
33.4849;20.323
33.7385;20.0338
33.9922;20.0572
34.2459;20.1434
34.4996;20.3369
34.7532;20.4955
35.0069;20.2034
35.2606;19.3511
35.5142;18.5821
35.7679;18.153
36.0216;17.9486
36.2753;17.7157
36.5289;17.6799
36.7826;17.6709
37.0363;17.6893
37.29;17.7169
37.5436;17.6943
37.7973;17.6893
38.051;17.5564
38.3047;17.4363
38.5583;17.4675
38.812;17.3938
39.0657;17.3954
39.3193;17.272
39.573;17.2895
39.8267;17.1948
40.0804;17.239
40.334;17.3163
40.5877;17.3299
40.8414;17.3295
41.0951;17.3435
41.3487;17.2389
41.6024;17.2866
41.8561;17.2293
42.1097;17.2118
42.3634;17.2178
42.6171;17.2642
42.8708;17.178
43.1244;17.2026
43.3781;17.2707
43.6318;17.2139
43.8855;17.2081
44.1391;17.2797
44.3928;17.2585
44.6465;17.2839
44.9002;17.3948
45.1538;17.4417
45.4075;17.4448
45.6612;17.1463
45.9148;17.0004
46.1685;16.8946
46.4222;16.9592
46.6759;16.9847
46.9295;16.972
47.1832;16.8589
47.4369;16.9597
47.6906;16.8924
47.9442;16.9195
48.1979;16.9266
48.4516;16.8648
48.7053;16.9754
48.9589;17.118
49.2126;17.0366
49.4663;17.2393
49.7199;17.146
49.9736;17.1649
50.2273;17.1739
50.481;17.0335
50.7346;17.1207
50.9883;17.2351
51.242;17.2084
51.4957;17.3325
51.7493;17.2803
52.003;17.4049
52.2567;17.3897
52.5104;17.2696
52.764;17.3216
53.0177;17.3025
53.2714;17.1842
53.525;17.1794
53.7787;17.2316
54.0324;17.1984
54.2861;17.2829
54.5397;17.2944
54.7934;17.1969
55.0471;17.1582
55.3008;17.1029
55.5544;17.1246
55.8081;17.1449
56.0618;17.187
56.3154;17.097
56.5691;17.1817
56.8228;17.1822
57.0765;17.2783
57.3301;17.2447
57.5838;17.1963
57.8375;17.2387
58.0912;17.133
58.3448;17.311
58.5985;17.2532
58.8522;17.1636
59.1059;17.2373
59.3595;17.2198
59.6132;17.1291
59.8669;17.1507
60.1205;17.0496
60.3742;16.9816
60.6279;16.9463
60.8816;16.8849
61.1352;16.8315
61.3889;16.8752
61.6426;16.8218
61.8963;16.7717
62.1499;16.6849
62.4036;16.7189
62.6573;16.7036
62.911;16.616
63.1646;16.6264
63.4183;16.6532
63.672;16.7347
63.9256;16.6668
64.1793;16.6855
64.433;16.6747
64.6867;16.6938
64.9403;16.6817
65.194;16.7203
65.4477;16.6837
65.7014;16.6904
65.955;16.6278
66.2087;16.7281
66.4624;16.7229
66.716;16.7754
66.9697;16.7545
67.2234;16.7866
67.4771;16.7529
67.7307;16.8627
67.9844;16.8568
68.2381;16.8747
68.4918;16.8042
68.7454;16.7004
68.9991;16.7371
69.2528;16.8043
69.5065;16.8591
69.7601;16.8948
70.0138;16.8368
70.2675;17.0426
70.5211;17.1241
70.7748;17.0398
71.0285;17.0863
71.2822;17.1053
71.5358;17.0184
71.7895;17.1708
72.0432;17.0051
72.2969;17.0582
72.5505;16.9829
72.8042;16.827
73.0579;16.8046
73.3116;16.838
73.5652;16.8299
73.8189;16.8463
74.0726;16.7798
74.3262;16.8386
74.5799;16.8065
74.8336;16.745
75.0873;16.8261
75.3409;16.7374
75.5946;16.6826
75.8483;16.6518
76.102;16.567
76.3556;16.5407
76.6093;16.6253
76.863;16.599
77.1167;16.6333
77.3703;16.5609
77.624;16.4427
77.8777;16.5867
78.1313;16.5682
78.385;16.6058
78.6387;16.6358
78.8924;16.4436
79.146;16.4311
79.3997;16.4802
79.6534;16.4349
79.9071;16.4459
80.1607;16.4779
80.4144;16.4393
80.6681;16.3305
80.9218;16.1319
81.1754;16.1298
81.4291;16.0084
81.6828;16.0208
81.9364;16.0056
82.1901;16.0474
82.4438;15.9893
82.6975;15.9484
82.9511;16.0222
83.2048;16.1269
83.4585;15.9656
83.7122;16.008
83.9658;16.0277
84.2195;16.0496
84.4732;16.0333
84.7268;15.9763
84.9805;15.9457
85.2342;15.8751
85.4879;15.8183
85.7415;15.8661
85.9952;15.8581
86.2489;15.9566
86.5026;15.8727
86.7562;15.8724
87.0099;15.9706
87.2636;16.0195
87.5173;15.9872
87.7709;16.0385
88.0246;16.0601
88.2783;15.9739
88.5319;15.9645
88.7856;16.0283
89.0393;15.9644
89.293;15.9638
89.5466;15.8994
89.8003;15.9079
90.054;16.0283
90.3077;15.9723
90.5613;15.982
90.815;15.8949
91.0687;15.8185
91.3223;15.9405
91.576;15.9351
91.8297;15.9358
92.0834;15.9754
92.337;15.9623
92.5907;16.0078
92.8444;16.0577
93.0981;16.085
93.3517;16.1896
93.6054;16.2416
93.8591;16.0607
94.1128;16.1688
94.3664;16.1227
94.6201;16.1189
94.8738;16.1517
95.1274;16.075
95.3811;16.1341
95.6348;16.0663
95.8885;15.8894
96.1421;16.0382
96.3958;16.0965
96.6495;16.0526
96.9032;16.0977
97.1568;16.0132
97.4105;16.1332
97.6642;16.1285
97.9179;16.1189
98.1715;16.2051
98.4252;16.2689
98.6789;16.1703
98.9325;16.1603
99.1862;16.1355
99.4399;16.179
99.6936;16.1863
99.9472;16.0175
100.201;16.0309
100.455;15.9883
100.708;16.1273
100.962;16.1709
101.216;16.1325
101.469;16.1895
101.723;16.065
101.977;15.9375
102.23;15.9302
102.484;15.9856
102.738;15.8802
102.991;15.8271
103.245;15.8084
103.499;15.6452
103.752;15.5765
104.006;15.5587
104.26;15.4866
104.513;15.4608
104.767;15.4913
105.021;15.5028
105.274;15.5025
105.528;15.4157
105.782;15.2531
106.035;15.161
106.289;15.0303
106.543;14.9727
106.796;14.873
107.05;14.86
107.304;14.6818
107.557;14.6367
107.811;14.6504
108.065;14.692
108.318;14.6248
108.572;14.4381
108.826;14.3926
109.079;14.3427
109.333;14.152
109.587;14.0862
109.84;14.0227
110.094;13.9866
110.348;13.9935
110.602;13.9558
110.855;14.0466
111.109;14.2841
111.363;14.2677
111.616;14.2636
111.87;14.2224
112.124;14.1851
112.377;13.9728
112.631;13.8465
112.885;13.824
113.138;13.7815
113.392;13.7039
113.646;13.662
113.899;13.7411
114.153;13.7218
114.407;13.7724
114.66;13.8817
114.914;14.0836
115.168;14.0825
115.421;13.7586
115.675;13.6467
115.929;13.4317
116.182;13.2316
116.436;13.1535
116.69;13.1003
116.943;13.1249
117.197;13.221
117.451;13.2329
117.704;13.3704
117.958;13.6425
118.212;13.6798
118.465;13.8412
118.719;13.6943
118.973;13.5591
119.226;13.344
119.48;13.063
119.734;13.0068
119.987;12.9251
120.241;12.8633
120.495;12.9108
120.748;12.927
121.002;12.9128
121.256;12.9826
121.509;12.9834
121.763;13.0876
122.017;13.2436
122.27;13.2314
122.524;13.1079
122.778;13.1994
123.032;13.1815
123.285;13.2262
123.539;13.3046
123.793;13.2855
124.046;13.295
124.3;13.35
124.554;13.585
124.807;13.8106
125.061;13.6683
125.315;13.7431
125.568;13.8089
125.822;13.9572
126.076;14.2137
126.329;14.3291
126.583;14.5254
126.837;14.6941
127.09;14.8278
127.344;14.8842
127.598;14.7528
127.851;14.621
128.105;14.6368
128.359;14.7121
128.612;14.9309
128.866;14.9008
129.12;14.9304
129.373;14.9927
129.627;15.0229
129.881;15.1018
130.134;15.2273
130.388;15.3884
130.642;15.6611
130.895;15.7241
131.149;15.7386
131.403;15.8131
131.656;15.4993
131.91;15.5514
132.164;15.6314
132.417;15.7457
132.671;15.78
132.925;15.6683
133.178;15.7264
133.432;15.9197
133.686;16.023
133.939;16.0625
134.193;16.1009
134.447;16.016
134.7;16.0487
134.954;15.9301
135.208;15.9073
135.461;15.9068
135.715;15.744
135.969;15.8093
136.223;15.8356
136.476;15.783
136.73;15.7513
136.984;15.6699
137.237;15.5465
137.491;15.3985
137.745;15.2015
137.998;15.2595
138.252;15.4408
138.506;15.3981
138.759;15.2524
139.013;15.2334
139.267;15.2734
139.52;15.3732
139.774;15.3053
140.028;15.3065
140.281;15.418
140.535;15.5823
140.789;15.7387
141.042;15.729
141.296;15.6282
141.55;15.6875
141.803;15.8485
142.057;16.09
142.311;16.3673
142.564;16.6662
142.818;16.5222
143.072;16.2207
143.325;16.0017
143.579;15.8826
143.833;15.9095
144.086;15.9677
144.34;16.0699
144.594;16.1917
144.847;16.1481
145.101;16.1826
145.355;16.1066
145.608;16.133
145.862;16.2364
146.116;16.3618
146.369;16.4353
146.623;16.449
146.877;16.4033
147.13;16.2091
147.384;16.27
147.638;16.3862
147.891;16.4897
148.145;16.4316
148.399;16.379
148.652;16.4835
148.906;16.6351
149.16;16.7282
149.414;16.814
149.667;16.8326
149.921;16.7477
150.175;16.6241
150.428;16.5641
150.682;16.6639
150.936;16.8391
151.189;16.8537
151.443;16.7496
151.697;16.7562
151.95;16.7567
152.204;16.7389
152.458;16.644
152.711;16.7903
152.965;16.9156
153.219;16.9039
153.472;17.0273
153.726;17.0611
153.98;16.8501
154.233;16.7314
154.487;16.6384
154.741;16.4996
154.994;16.6286
155.248;16.6647
155.502;16.8526
155.755;16.906
156.009;16.9447
156.263;17.0401
156.516;17.0979
156.77;16.9482
157.024;16.8514
157.277;16.823
157.531;16.8275
157.785;16.6929
158.038;16.7011
158.292;16.905
158.546;16.9454
158.799;16.922
159.053;17.0656
159.307;17.0722
159.56;17.0939
159.814;17.013
160.068;16.6174
160.321;16.6994
160.575;16.5611
160.829;16.4715
161.082;16.3869
161.336;16.5687
161.59;16.6784
161.844;16.6595
162.097;16.4702
162.351;16.413
162.605;16.3666
162.858;16.3291
163.112;16.4189
163.366;16.4321
163.619;16.5211
163.873;16.4991
164.127;16.318
164.38;16.3609
164.634;16.4169
164.888;16.3998
165.141;16.5133
165.395;16.6306
165.649;16.593
165.902;16.4846
166.156;16.4516
166.41;16.4731
166.663;16.5616
166.917;16.482
167.171;16.4335
167.424;16.5107
167.678;16.4197
167.932;16.3662
168.185;16.4583
168.439;16.5841
168.693;16.5797
168.946;16.3913
169.2;16.4457
169.454;16.3067
169.707;16.2206
169.961;16.152
170.215;16.171
170.468;16.0809
170.722;16.0669
170.976;16.1107
171.229;16.1148
171.483;16.2174
171.737;16.1499
171.99;16.2622
172.244;16.3505
172.498;16.3324
172.751;16.2319
173.005;16.227
173.259;16.245
173.512;16.1878
173.766;16.2566
174.02;16.3833
174.273;16.4303
174.527;16.4534
174.781;16.5165
175.035;16.3478
175.288;16.4047
175.542;16.3592
175.796;16.2675
176.049;16.3784
176.303;16.5452
176.557;16.7137
176.81;16.6769
177.064;16.4454
177.318;16.5564
177.571;16.5419
177.825;16.5602
178.079;16.6339
178.332;16.7565
178.586;16.7464
178.84;16.8121
179.093;16.7209
179.347;16.833
179.601;16.7671
