Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 00:23:35
Device temperature = 25.3745
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVByv76
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;24.4234
0.253673;24.025
0.507346;23.1186
0.76102;22.7249
1.01469;23.2849
1.26837;23.6058
1.52204;23.8463
1.77571;23.7497
2.02939;23.7289
2.28306;24.1318
2.53673;24.0924
2.79041;24.1557
3.04408;24.1971
3.29775;24.3712
3.55142;24.4742
3.8051;24.7231
4.05877;24.6733
4.31244;24.4326
4.56612;24.2291
4.81979;23.9939
5.07346;23.9271
5.32714;23.915
5.58081;23.8488
5.83448;24.0809
6.08816;24.2688
6.34183;24.2436
6.5955;24.1247
6.84918;24.1153
7.10285;24.3638
7.35652;24.591
7.6102;24.7403
7.86387;24.6098
8.11754;24.419
8.37122;24.227
8.62489;24.3521
8.87856;24.5351
9.13223;24.5595
9.38591;24.4804
9.63958;24.4176
9.89325;24.2862
10.1469;24.4342
10.4006;24.4344
10.6543;24.5487
10.9079;24.5007
11.1616;24.4057
11.4153;24.2838
11.669;24.3579
11.9226;24.478
12.1763;24.5892
12.43;24.5789
12.6837;24.4418
12.9373;24.2894
13.191;24.2423
13.4447;24.4501
13.6984;24.5247
13.952;24.4108
14.2057;24.2881
14.4594;24.2591
14.713;24.1661
14.9667;24.4406
15.2204;24.5825
15.4741;24.5031
15.7277;24.2965
15.9814;23.9866
16.2351;24.0142
16.4888;24.2695
16.7424;24.3781
16.9961;24.4233
17.2498;24.2872
17.5035;24.2622
17.7571;24.2838
18.0108;24.3193
18.2645;24.5191
18.5181;24.4881
18.7718;24.3547
19.0255;24.1575
19.2792;24.1186
19.5328;24.2959
19.7865;24.2954
20.0402;24.3282
20.2939;24.2117
20.5475;24.0858
20.8012;24.0587
21.0549;24.2534
21.3085;24.3856
21.5622;24.4279
21.8159;24.361
22.0696;24.2003
22.3232;24.256
22.5769;24.3438
22.8306;24.4876
23.0843;24.4007
23.3379;24.2044
23.5916;24.0167
23.8453;24.0321
24.099;24.268
24.3526;24.5561
24.6063;24.4422
24.86;24.347
25.1136;23.9256
25.3673;23.9605
25.621;24.09
25.8747;24.3607
26.1283;24.608
26.382;24.5267
26.6357;24.2387
26.8894;24.0823
27.143;24.2292
27.3967;24.3155
27.6504;24.4114
27.9041;24.4003
28.1577;24.2946
28.4114;24.0309
28.6651;23.4646
28.9187;22.4141
29.1724;19.8152
29.4261;18.5331
29.6798;18.1497
29.9334;18.1031
30.1871;18.2598
30.4408;18.2437
30.6945;18.1097
30.9481;18.1017
31.2018;18.0325
31.4555;17.9524
31.7092;18.014
31.9628;18.0513
32.2165;18.4344
32.4702;18.8811
32.7238;19.2964
32.9775;19.7459
33.2312;19.4776
33.4849;18.9741
33.7385;18.7638
33.9922;18.7495
34.2459;19.0255
34.4996;19.2071
34.7532;19.2166
35.0069;19.0977
35.2606;18.3704
35.5142;17.7928
35.7679;17.3608
