Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 04:23:35
Device temperature = 25.3833
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVByxEA
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;22.8076
0.253673;21.6633
0.507346;20.0835
0.76102;19.0819
1.01469;19.2252
1.26837;19.1968
1.52204;19.0542
1.77571;18.4916
2.02939;18.4064
2.28306;18.8386
2.53673;18.8846
2.79041;18.8908
3.04408;18.7476
3.29775;18.7617
3.55142;18.7218
3.8051;18.6383
4.05877;18.5271
4.31244;18.503
4.56612;18.4621
4.81979;18.4898
5.07346;18.4834
5.32714;18.4992
5.58081;18.4843
5.83448;18.5011
6.08816;18.5521
6.34183;18.6003
6.5955;18.6902
6.84918;18.6829
7.10285;18.6258
7.35652;18.6894
7.6102;18.5807
7.86387;18.569
8.11754;18.5146
8.37122;18.4783
8.62489;18.5071
8.87856;18.62
9.13223;18.6992
9.38591;18.6847
9.63958;18.6676
9.89325;18.5288
10.1469;18.5855
10.4006;18.6233
10.6543;18.6373
10.9079;18.578
11.1616;18.5344
11.4153;18.4732
11.669;18.563
11.9226;18.551
12.1763;18.5451
12.43;18.5339
12.6837;18.4888
12.9373;18.489
13.191;18.4915
13.4447;18.6146
13.6984;18.6961
13.952;18.5612
14.2057;18.5721
14.4594;18.4648
14.713;18.5225
14.9667;18.6461
15.2204;18.6164
15.4741;18.6314
15.7277;18.5861
15.9814;18.5562
16.2351;18.5471
16.4888;18.5832
16.7424;18.5854
16.9961;18.629
17.2498;18.5707
17.5035;18.5404
17.7571;18.469
18.0108;18.452
18.2645;18.4924
18.5181;18.5426
18.7718;18.4983
19.0255;18.4863
19.2792;18.4654
19.5328;18.5209
19.7865;18.4945
20.0402;18.5504
20.2939;18.5838
20.5475;18.552
20.8012;18.5304
21.0549;18.5836
21.3085;18.526
21.5622;18.4632
21.8159;18.5297
22.0696;18.4999
22.3232;18.6074
22.5769;18.5656
22.8306;18.6076
23.0843;18.5726
23.3379;18.5272
23.5916;18.5336
23.8453;18.6038
24.099;18.4947
24.3526;18.5025
24.6063;18.5162
24.86;18.5264
25.1136;18.6013
25.3673;18.5188
25.621;18.4993
25.8747;18.4305
26.1283;18.4562
26.382;18.4442
26.6357;18.3253
26.8894;18.3288
27.143;18.3552
27.3967;18.3411
27.6504;18.289
27.9041;18.3328
28.1577;18.2488
28.4114;18.2297
28.6651;17.819
28.9187;16.7714
29.1724;13.6364
29.4261;12.2864
29.6798;11.7742
29.9334;11.7536
30.1871;11.7745
30.4408;11.7002
30.6945;11.6857
30.9481;11.7307
31.2018;11.6012
31.4555;11.6209
31.7092;11.588
31.9628;11.5361
32.2165;11.6088
32.4702;11.8565
32.7238;12.035
32.9775;12.2486
33.2312;12.2262
33.4849;12.0615
33.7385;11.9011
33.9922;11.8417
34.2459;11.8983
34.4996;12.0615
34.7532;12.0972
35.0069;12.1177
35.2606;11.8788
35.5142;11.5615
35.7679;11.3731
36.0216;11.2826
36.2753;11.244
36.5289;11.1753
36.7826;11.2078
37.0363;11.121
37.29;11.1628
37.5436;11.1663
37.7973;11.1187
38.051;11.0442
38.3047;11.0756
38.5583;11.0932
38.812;11.0662
39.0657;10.9736
39.3193;10.9925
39.573;10.944
39.8267;10.9839
40.0804;10.9819
40.334;10.8476
40.5877;10.9256
40.8414;10.9773
41.0951;10.9816
41.3487;11.0489
41.6024;11.0715
41.8561;11.194
42.1097;11.2501
42.3634;11.2184
42.6171;11.2284
42.8708;11.2756
43.1244;11.2892
43.3781;11.4344
43.6318;11.4212
43.8855;11.4314
44.1391;11.4934
44.3928;11.4424
44.6465;11.3843
44.9002;11.3186
45.1538;11.2964
45.4075;11.3104
45.6612;11.2523
45.9148;11.2356
46.1685;11.179
46.4222;11.0553
46.6759;11.0088
46.9295;10.9799
47.1832;10.9784
47.4369;11.0364
47.6906;10.9397
47.9442;10.8611
48.1979;10.8097
48.4516;10.8146
48.7053;10.8492
48.9589;10.8154
49.2126;10.774
49.4663;10.7995
49.7199;10.8018
49.9736;10.8337
50.2273;10.8325
50.481;10.9599
50.7346;11.0443
50.9883;10.9422
51.242;10.9172
51.4957;10.8873
51.7493;10.9408
52.003;10.8324
52.2567;10.8929
52.5104;10.9223
52.764;10.9618
53.0177;10.87
53.2714;10.8579
53.525;10.8535
53.7787;10.842
54.0324;10.8129
54.2861;10.7405
54.5397;10.6961
54.7934;10.7111
55.0471;10.7168
55.3008;10.6634
55.5544;10.8179
55.8081;10.8642
56.0618;10.9157
56.3154;10.9468
56.5691;11.0281
56.8228;10.9305
57.0765;10.9395
57.3301;10.9866
57.5838;10.9037
57.8375;10.8937
58.0912;10.9277
58.3448;10.8187
58.5985;10.8957
58.8522;10.8459
59.1059;10.8075
59.3595;10.7759
59.6132;10.7313
59.8669;10.6208
60.1205;10.5519
60.3742;10.5175
60.6279;10.5612
60.8816;10.5295
61.1352;10.5194
61.3889;10.5591
61.6426;10.6248
61.8963;10.6996
62.1499;10.595
62.4036;10.5219
62.6573;10.4847
62.911;10.5014
63.1646;10.4993
63.4183;10.4537
63.672;10.5099
63.9256;10.4861
64.1793;10.5042
64.433;10.4727
64.6867;10.4887
64.9403;10.4171
65.194;10.448
65.4477;10.3498
65.7014;10.4138
65.955;10.4635
66.2087;10.4546
66.4624;10.368
66.716;10.4008
66.9697;10.4175
67.2234;10.4608
67.4771;10.4785
67.7307;10.5663
67.9844;10.595
68.2381;10.6961
68.4918;10.7219
68.7454;10.7676
68.9991;10.7242
69.2528;10.748
69.5065;10.9279
69.7601;11.1467
70.0138;11.0494
70.2675;10.9164
70.5211;10.9408
70.7748;10.7302
71.0285;10.7551
71.2822;10.6724
71.5358;10.5812
71.7895;10.6161
72.0432;10.5772
72.2969;10.5574
72.5505;10.6053
72.8042;10.5752
73.0579;10.6373
73.3116;10.6073
73.5652;10.6433
73.8189;10.6234
74.0726;10.6163
74.3262;10.5762
74.5799;10.4117
74.8336;10.4759
75.0873;10.4167
75.3409;10.3676
75.5946;10.3302
75.8483;10.4384
76.102;10.4219
76.3556;10.5012
76.6093;10.3737
76.863;10.3519
77.1167;10.3959
77.3703;10.3615
77.624;10.4106
77.8777;10.424
78.1313;10.3168
78.385;10.2927
78.6387;10.2418
78.8924;10.1863
79.146;10.2262
79.3997;10.158
79.6534;10.1489
79.9071;10.2292
80.1607;10.104
80.4144;10.0809
80.6681;10.1017
80.9218;10.1274
81.1754;10.0816
81.4291;10.0746
81.6828;9.98308
81.9364;9.93088
82.1901;9.91495
82.4438;10.0277
