Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 04:13:35
Device temperature = 25.5589
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBzHih
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;23.0034
0.253673;21.8268
0.507346;20.2618
0.76102;19.2676
1.01469;19.3475
1.26837;19.3303
1.52204;19.1629
1.77571;18.6327
2.02939;18.5976
2.28306;18.9927
2.53673;19.0351
2.79041;19.1019
3.04408;18.982
3.29775;18.9575
3.55142;18.8452
3.8051;18.8321
4.05877;18.7937
4.31244;18.6514
4.56612;18.6912
4.81979;18.5591
5.07346;18.628
5.32714;18.7318
5.58081;18.585
5.83448;18.6299
6.08816;18.6731
6.34183;18.8072
6.5955;18.8744
6.84918;18.8769
7.10285;18.8539
7.35652;18.8059
7.6102;18.8096
7.86387;18.7244
8.11754;18.6349
8.37122;18.6639
8.62489;18.7565
8.87856;18.8224
9.13223;18.8303
9.38591;18.8342
9.63958;18.848
9.89325;18.7415
10.1469;18.7688
10.4006;18.8203
10.6543;18.8422
10.9079;18.7549
11.1616;18.6865
11.4153;18.7059
11.669;18.745
11.9226;18.6568
12.1763;18.7061
12.43;18.7322
12.6837;18.6867
12.9373;18.6839
13.191;18.7803
13.4447;18.7517
13.6984;18.8198
13.952;18.764
14.2057;18.7209
14.4594;18.6977
14.713;18.7855
14.9667;18.8302
15.2204;18.755
15.4741;18.839
15.7277;18.7635
15.9814;18.7008
16.2351;18.6998
16.4888;18.7141
16.7424;18.827
16.9961;18.7929
17.2498;18.7384
17.5035;18.7784
17.7571;18.6802
18.0108;18.6889
18.2645;18.6906
18.5181;18.7307
18.7718;18.7203
19.0255;18.6681
19.2792;18.711
19.5328;18.8133
19.7865;18.7683
20.0402;18.7647
20.2939;18.6574
20.5475;18.7188
20.8012;18.7577
21.0549;18.7192
21.3085;18.7524
21.5622;18.641
21.8159;18.6699
22.0696;18.7146
22.3232;18.6954
22.5769;18.7787
22.8306;18.8007
23.0843;18.7773
23.3379;18.7629
23.5916;18.7314
23.8453;18.7273
24.099;18.699
24.3526;18.6696
24.6063;18.7472
24.86;18.7101
25.1136;18.7108
25.3673;18.7096
25.621;18.7243
25.8747;18.6726
26.1283;18.607
26.382;18.5204
26.6357;18.6014
26.8894;18.4858
27.143;18.5382
27.3967;18.5445
27.6504;18.5557
27.9041;18.5008
28.1577;18.4488
28.4114;18.4183
28.6651;18.0285
28.9187;16.9427
29.1724;14.0466
29.4261;12.6229
29.6798;12.1905
29.9334;12.1304
30.1871;12.1675
30.4408;12.0633
30.6945;12.0434
30.9481;11.8653
31.2018;11.7752
31.4555;11.8089
31.7092;11.7451
31.9628;11.6874
32.2165;11.8179
32.4702;12.1015
32.7238;12.4159
32.9775;12.539
33.2312;12.4012
33.4849;12.236
33.7385;12.0914
33.9922;12.0976
34.2459;12.2027
34.4996;12.2883
34.7532;12.423
35.0069;12.4474
35.2606;12.1385
35.5142;11.8495
35.7679;11.63
36.0216;11.492
36.2753;11.5745
36.5289;11.4527
36.7826;11.4333
37.0363;11.5793
37.29;11.4827
37.5436;11.4531
37.7973;11.4854
38.051;11.3752
38.3047;11.3694
38.5583;11.4113
38.812;11.3687
39.0657;11.3499
39.3193;11.2154
39.573;11.238
39.8267;11.2694
40.0804;11.2215
40.334;11.295
40.5877;11.1895
40.8414;11.2438
41.0951;11.2987
41.3487;11.3645
41.6024;11.4325
41.8561;11.5426
42.1097;11.5268
42.3634;11.4872
42.6171;11.4442
42.8708;11.4865
43.1244;11.554
43.3781;11.702
43.6318;11.6956
43.8855;11.6588
44.1391;11.6469
44.3928;11.6772
