Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 00:33:35
Device temperature = 25.726
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBzc7Z
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;24.7725
0.253673;24.1589
0.507346;23.1907
0.76102;22.7279
1.01469;23.2582
1.26837;23.5071
1.52204;23.6995
1.77571;23.5867
2.02939;23.6149
2.28306;23.9198
2.53673;23.9494
2.79041;24.049
3.04408;23.9967
3.29775;24.0664
3.55142;24.1652
3.8051;24.4356
4.05877;24.3863
4.31244;24.2107
4.56612;23.9766
4.81979;23.9036
5.07346;23.7945
5.32714;23.7644
5.58081;23.7037
5.83448;23.9976
6.08816;23.9957
6.34183;24.0836
6.5955;24.0025
6.84918;24.063
7.10285;24.1373
7.35652;24.4714
7.6102;24.5417
7.86387;24.493
8.11754;24.2941
8.37122;24.1054
8.62489;24.338
8.87856;24.4629
9.13223;24.5541
9.38591;24.5243
9.63958;24.3489
9.89325;24.3356
10.1469;24.1923
10.4006;24.3886
10.6543;24.5056
10.9079;24.3419
11.1616;24.2616
11.4153;24.2113
11.669;24.287
11.9226;24.5274
12.1763;24.4899
12.43;24.3979
12.6837;24.3905
12.9373;24.1577
13.191;24.3275
13.4447;24.3618
13.6984;24.5025
13.952;24.4222
14.2057;24.2798
14.4594;24.061
14.713;24.1733
14.9667;24.3053
15.2204;24.429
15.4741;24.3604
15.7277;24.2678
15.9814;24.0141
16.2351;24.0034
16.4888;24.1295
16.7424;24.369
16.9961;24.3855
17.2498;24.1923
17.5035;24.1155
17.7571;24.1967
18.0108;24.3666
18.2645;24.3835
18.5181;24.342
18.7718;24.2668
19.0255;24.0629
19.2792;24.0673
19.5328;24.2279
19.7865;24.2541
20.0402;24.2805
20.2939;24.1564
20.5475;23.9361
20.8012;23.9544
21.0549;24.2221
21.3085;24.3348
21.5622;24.2602
