Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 04:03:35
Device temperature = 25.7366
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBzeSP
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;23.1198
0.253673;22.0099
0.507346;20.4887
0.76102;19.3702
1.01469;19.5087
1.26837;19.5336
1.52204;19.3631
1.77571;18.7331
2.02939;18.805
2.28306;19.1497
2.53673;19.2453
2.79041;19.1525
3.04408;19.1107
3.29775;19.097
3.55142;19.0924
3.8051;18.9997
4.05877;18.9208
4.31244;18.8983
4.56612;18.831
4.81979;18.7812
5.07346;18.8194
5.32714;18.7846
5.58081;18.8058
5.83448;18.8979
6.08816;18.9045
6.34183;18.9849
6.5955;19.0179
6.84918;19.038
7.10285;19.053
7.35652;19.0137
7.6102;18.984
7.86387;18.941
8.11754;18.8777
8.37122;18.9238
8.62489;18.9251
8.87856;19.0363
9.13223;19.0582
9.38591;19.0897
9.63958;19.0586
9.89325;18.9883
10.1469;18.9666
10.4006;18.9603
10.6543;18.9682
10.9079;18.9677
11.1616;18.868
11.4153;18.865
11.669;18.8802
11.9226;18.9176
12.1763;18.913
12.43;18.8594
12.6837;18.812
12.9373;18.8591
13.191;18.9013
13.4447;18.9408
13.6984;19.1108
13.952;19.0341
14.2057;18.9703
14.4594;18.9222
14.713;18.8936
14.9667;18.9318
15.2204;18.9976
15.4741;19.0086
15.7277;18.8929
15.9814;18.8549
16.2351;18.945
16.4888;18.9759
16.7424;18.9079
16.9961;18.997
17.2498;18.9214
17.5035;18.9703
17.7571;18.9175
18.0108;18.8707
18.2645;18.8954
18.5181;18.8902
18.7718;18.8699
19.0255;18.8702
19.2792;18.8687
19.5328;18.9158
19.7865;18.9272
20.0402;18.9397
20.2939;18.9461
20.5475;18.9137
20.8012;18.8933
21.0549;18.902
21.3085;18.8982
21.5622;18.8282
21.8159;18.8939
22.0696;18.8272
22.3232;18.9734
22.5769;18.9358
22.8306;18.9878
23.0843;19.0303
23.3379;18.9308
23.5916;18.9003
23.8453;18.9461
24.099;18.8958
24.3526;18.8836
24.6063;18.9176
24.86;18.9235
25.1136;18.9511
25.3673;18.8997
25.621;18.8873
25.8747;18.8712
26.1283;18.8365
26.382;18.7557
26.6357;18.7329
26.8894;18.6724
27.143;18.6702
27.3967;18.7014
27.6504;18.6916
27.9041;18.7369
28.1577;18.6452
28.4114;18.4835
28.6651;18.0859
28.9187;16.9381
29.1724;13.9544
29.4261;12.7128
29.6798;12.2688
29.9334;12.3015
30.1871;12.2217
30.4408;12.1202
30.6945;12.1388
30.9481;12.0325
31.2018;11.9981
31.4555;12.0459
31.7092;12
31.9628;12.0964
32.2165;12.1665
32.4702;12.3948
32.7238;12.5803
32.9775;12.8581
33.2312;12.8229
33.4849;12.548
33.7385;12.4574
33.9922;12.5089
34.2459;12.6045
34.4996;12.7273
34.7532;12.7582
35.0069;12.7962
35.2606;12.4749
35.5142;12.239
35.7679;11.9978
36.0216;11.9209
36.2753;11.8077
36.5289;11.8179
36.7826;11.7992
37.0363;11.7436
37.29;11.6783
37.5436;11.6399
37.7973;11.5472
38.051;11.592
38.3047;11.5635
38.5583;11.6273
38.812;11.5519
39.0657;11.4704
39.3193;11.3757
39.573;11.3421
39.8267;11.3181
40.0804;11.4248
40.334;11.4513
40.5877;11.4351
40.8414;11.4614
41.0951;11.4499
41.3487;11.5186
41.6024;11.5561
41.8561;11.6474
42.1097;11.7277
42.3634;11.7184
42.6171;11.7457
42.8708;11.7151
43.1244;11.8986
43.3781;11.9968
43.6318;11.9235
43.8855;11.9053
44.1391;12.0143
44.3928;11.9521
44.6465;11.913
44.9002;11.8624
45.1538;11.8169
45.4075;11.7328
45.6612;11.8395
45.9148;11.7776
46.1685;11.7274
46.4222;11.5258
46.6759;11.5505
46.9295;11.5397
47.1832;11.5488
47.4369;11.5453
47.6906;11.5173
47.9442;11.4427
48.1979;11.4134
48.4516;11.4755
48.7053;11.511
48.9589;11.5759
49.2126;11.5417
49.4663;11.4873
49.7199;11.5257
49.9736;11.5351
50.2273;11.5201
50.481;11.6745
50.7346;11.6199
50.9883;11.5435
51.242;11.6283
51.4957;11.5524
51.7493;11.4541
52.003;11.4343
52.2567;11.4798
52.5104;11.5888
52.764;11.49
53.0177;11.494
53.2714;11.4495
53.525;11.4539
53.7787;11.4345
54.0324;11.3339
54.2861;11.3273
54.5397;11.3338
54.7934;11.2711
55.0471;11.2713
55.3008;11.2588
55.5544;11.3448
55.8081;11.353
56.0618;11.4169
56.3154;11.5204
56.5691;11.4572
56.8228;11.5019
57.0765;11.5002
57.3301;11.5398
57.5838;11.537
57.8375;11.4405
58.0912;11.434
58.3448;11.4456
58.5985;11.4575
58.8522;11.4673
59.1059;11.403
59.3595;11.3868
59.6132;11.2772
59.8669;11.2031
60.1205;11.1787
60.3742;11.0952
60.6279;11.0616
60.8816;11.0979
61.1352;11.0591
61.3889;11.069
61.6426;11.1494
61.8963;11.1962
62.1499;11.1519
62.4036;11.1141
62.6573;11.1679
62.911;11.1233
63.1646;11.058
63.4183;11.0854
63.672;11.0948
63.9256;11.1459
64.1793;11.0635
64.433;11.1756
64.6867;11.1044
64.9403;11.0315
65.194;11.056
65.4477;11.0288
65.7014;11.0217
65.955;11.0187
66.2087;11.0976
66.4624;11.0603
66.716;11.1218
66.9697;11.1174
67.2234;11.1065
67.4771;11.1675
67.7307;11.177
67.9844;11.2369
68.2381;11.2218
68.4918;11.3896
68.7454;11.3756
68.9991;11.3199
69.2528;11.3605
69.5065;11.4608
69.7601;11.6451
70.0138;11.6444
70.2675;11.541
70.5211;11.4676
70.7748;11.405
71.0285;11.3572
71.2822;11.3399
71.5358;11.2799
71.7895;11.3121
72.0432;11.2779
72.2969;11.2605
72.5505;11.3064
72.8042;11.2635
73.0579;11.2746
73.3116;11.3209
73.5652;11.2707
73.8189;11.3389
74.0726;11.2603
74.3262;11.2066
74.5799;11.1733
74.8336;11.0349
75.0873;11.0384
75.3409;10.943
75.5946;10.9478
75.8483;10.9523
76.102;11.0443
76.3556;11.0945
76.6093;11.1238
76.863;11.0283
77.1167;11.0154
77.3703;10.9949
77.624;11.0979
77.8777;11.0161
78.1313;11.0164
78.385;10.9224
78.6387;10.8812
78.8924;10.7984
79.146;10.8962
79.3997;10.823
79.6534;10.7841
79.9071;10.8259
80.1607;10.7851
80.4144;10.6852
80.6681;10.6842
80.9218;10.5997
81.1754;10.6813
81.4291;10.6696
81.6828;10.6277
81.9364;10.5624
82.1901;10.5333
82.4438;10.5902
82.6975;10.6895
82.9511;10.6787
83.2048;10.6933
83.4585;10.6243
83.7122;10.7459
83.9658;10.7946
84.2195;10.7868
84.4732;10.7913
84.7268;10.7192
84.9805;10.553
85.2342;10.514
85.4879;10.4919
85.7415;10.467
85.9952;10.616
86.2489;10.5525
86.5026;10.5535
86.7562;10.5667
87.0099;10.5292
87.2636;10.6536
87.5173;10.6027
87.7709;10.5799
88.0246;10.6184
88.2783;10.6847
88.5319;10.6446
88.7856;10.6949
89.0393;10.5118
89.293;10.4828
89.5466;10.4693
89.8003;10.4454
90.054;10.5387
90.3077;10.5417
90.5613;10.53
90.815;10.6376
91.0687;10.559
91.3223;10.6202
91.576;10.5437
91.8297;10.5121
92.0834;10.5453
92.337;10.5203
92.5907;10.4718
92.8444;10.5092
93.0981;10.5
93.3517;10.5537
93.6054;10.57
93.8591;10.6511
94.1128;10.5995
94.3664;10.6332
94.6201;10.6476
94.8738;10.7658
95.1274;10.6268
95.3811;10.6748
95.6348;10.6132
95.8885;10.6283
96.1421;10.4823
96.3958;10.5121
96.6495;10.5031
96.9032;10.6445
97.1568;10.6263
97.4105;10.5792
97.6642;10.5561
97.9179;10.4848
98.1715;10.4928
98.4252;10.5752
98.6789;10.5589
98.9325;10.4928
99.1862;10.5459
99.4399;10.6591
99.6936;10.7764
99.9472;10.7701
100.201;10.7666
100.455;10.7022
100.708;10.6903
100.962;10.8131
101.216;10.897
101.469;10.9649
101.723;10.9322
101.977;10.7736
102.23;10.5383
102.484;10.4811
102.738;10.3111
102.991;10.4224
103.245;10.272
103.499;10.1845
103.752;10.0809
104.006;10.0473
104.26;9.99229
104.513;9.96165
104.767;9.96735
105.021;10.0988
105.274;10.1253
105.528;10.0552
105.782;9.92157
106.035;9.86416
106.289;9.64869
106.543;9.53118
106.796;9.49004
107.05;9.54589
107.304;9.41016
107.557;9.29165
107.811;9.28724
108.065;9.34924
108.318;9.30492
108.572;9.23066
108.826;9.10419
109.079;9.03741
109.333;8.89833
109.587;8.80244
109.84;8.76279
110.094;8.62326
110.348;8.40153
110.602;8.37444
110.855;8.32767
111.109;8.5142
111.363;8.78386
111.616;8.92497
111.87;8.98583
112.124;8.87338
112.377;8.70843
112.631;8.59655
112.885;8.46663
113.138;8.4977
113.392;8.50883
113.646;8.49291
113.899;8.50153
114.153;8.45372
114.407;8.29322
114.66;8.36162
114.914;8.34833
115.168;8.37306
115.421;8.30008
115.675;8.16728
115.929;8.05091
116.182;7.88669
116.436;7.77903
116.69;7.64826
116.943;7.65759
117.197;7.70482
117.451;7.88168
117.704;8.03789
117.958;8.18133
118.212;8.25194
118.465;8.33586
118.719;8.28723
118.973;8.11304
119.226;7.89664
119.48;7.62584
119.734;7.509
119.987;7.45506
120.241;7.47835
120.495;7.35799
120.748;7.26115
121.002;7.17916
121.256;7.13125
121.509;7.52339
121.763;7.95075
122.017;8.26152
122.27;7.85714
122.524;6.86812
122.778;6.883
123.032;6.87193
123.285;6.90693
123.539;7.02226
123.793;7.25237
124.046;7.2538
124.3;7.16996
124.554;7.35055
124.807;7.72415
125.061;7.89476
125.315;7.89197
125.568;7.89236
125.822;8.21252
126.076;8.33383
126.329;8.43357
126.583;8.58261
126.837;8.7462
127.09;8.76597
127.344;8.65673
127.598;8.64123
127.851;8.55767
128.105;8.51928
128.359;8.60616
128.612;8.73626
128.866;8.79242
129.12;8.96714
129.373;9.06001
129.627;9.23073
129.881;9.14743
130.134;9.0533
130.388;9.10678
130.642;9.31768
130.895;9.4834
131.149;9.53971
131.403;9.6135
131.656;9.83284
131.91;9.98887
132.164;9.98478
132.417;9.98765
132.671;9.90616
132.925;9.86568
133.178;9.91656
133.432;10.0695
133.686;10.3787
133.939;10.3553
134.193;10.2136
134.447;10.015
134.7;9.88472
134.954;9.923
135.208;9.90082
135.461;9.98294
135.715;10.2024
135.969;10.3178
136.223;10.4753
136.476;10.3633
136.73;10.0078
136.984;9.88525
137.237;9.72463
