Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 03:53:35
Device temperature = 25.9214
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVBz18H
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;23.2446
0.253673;22.1441
0.507346;20.6015
0.76102;19.4354
1.01469;19.6068
1.26837;19.6263
1.52204;19.5349
1.77571;18.9437
2.02939;18.8461
2.28306;19.3655
2.53673;19.4363
2.79041;19.4963
3.04408;19.3429
3.29775;19.2935
3.55142;19.2574
3.8051;19.1716
4.05877;19.1267
4.31244;19.0466
4.56612;18.957
4.81979;19.0262
5.07346;18.9638
5.32714;18.9927
5.58081;19.0323
5.83448;19.014
6.08816;19.0506
6.34183;19.1416
6.5955;19.1782
6.84918;19.2724
7.10285;19.3086
7.35652;19.1822
7.6102;19.1675
7.86387;19.0859
8.11754;19.09
8.37122;19.0941
8.62489;19.1312
8.87856;19.2009
9.13223;19.3403
9.38591;19.2728
9.63958;19.2869
9.89325;19.1555
10.1469;19.1498
10.4006;19.2109
10.6543;19.2449
10.9079;19.2003
11.1616;19.1573
11.4153;19.0606
11.669;19.1055
11.9226;19.1809
12.1763;19.1051
12.43;19.1428
12.6837;19.0763
12.9373;19.0239
13.191;19.1206
13.4447;19.1631
13.6984;19.2153
13.952;19.1945
14.2057;19.2145
14.4594;19.1493
14.713;19.0959
14.9667;19.1343
15.2204;19.1803
15.4741;19.2131
15.7277;19.2011
15.9814;19.163
16.2351;19.1092
16.4888;19.1525
16.7424;19.2121
16.9961;19.2613
17.2498;19.1969
17.5035;19.1738
17.7571;19.1258
18.0108;19.1829
18.2645;19.1466
18.5181;19.1241
18.7718;19.0906
19.0255;19.0791
19.2792;19.0645
19.5328;19.141
19.7865;19.138
20.0402;19.2086
20.2939;19.1618
20.5475;19.1224
20.8012;19.104
21.0549;19.0518
21.3085;19.0656
21.5622;19.0345
21.8159;19.0464
22.0696;19.1205
22.3232;19.1865
22.5769;19.1281
22.8306;19.2272
23.0843;19.1639
23.3379;19.1863
23.5916;19.0808
23.8453;19.1695
24.099;19.1115
24.3526;19.0804
24.6063;19.1193
24.86;19.104
25.1136;19.14
25.3673;19.046
25.621;19.0599
25.8747;19.0745
26.1283;19.0204
26.382;18.967
26.6357;18.9341
26.8894;18.9329
27.143;18.9289
27.3967;18.8999
27.6504;18.8634
27.9041;18.9596
28.1577;18.8483
28.4114;18.7331
28.6651;18.2421
28.9187;16.9659
29.1724;14.0782
29.4261;12.908
29.6798;12.5732
29.9334;12.6372
30.1871;12.5797
30.4408;12.4438
30.6945;12.4224
30.9481;12.3596
31.2018;12.2989
31.4555;12.2944
31.7092;12.3059
31.9628;12.3263
32.2165;12.4514
32.4702;12.5579
32.7238;12.87
32.9775;12.9582
33.2312;12.9061
33.4849;12.7614
33.7385;12.6681
33.9922;12.689
34.2459;12.8693
34.4996;13.0479
34.7532;13.1797
35.0069;13.1706
35.2606;12.873
35.5142;12.6031
35.7679;12.3845
36.0216;12.3041
36.2753;12.2727
36.5289;12.2203
36.7826;12.1933
37.0363;12.1301
37.29;12.0946
37.5436;12.0062
37.7973;12.0288
38.051;12.0714
38.3047;12.0393
38.5583;12.0337
38.812;11.9541
39.0657;11.8368
39.3193;11.7927
39.573;11.7598
39.8267;11.7082
40.0804;11.7627
40.334;11.7968
40.5877;11.8162
40.8414;11.7278
41.0951;11.7503
41.3487;11.8624
41.6024;11.9286
41.8561;12.0145
42.1097;12.0715
42.3634;12.0786
42.6171;12.0429
42.8708;12.0827
43.1244;12.1599
43.3781;12.2735
43.6318;12.2569
43.8855;12.3052
44.1391;12.4023
44.3928;12.3041
44.6465;12.2502
44.9002;12.1945
45.1538;12.1249
45.4075;12.2458
45.6612;12.2153
45.9148;12.2337
46.1685;12.1327
46.4222;11.9794
46.6759;12.0051
46.9295;11.9629
47.1832;11.959
47.4369;12.0226
47.6906;11.9091
47.9442;11.8351
48.1979;11.9131
48.4516;11.9527
48.7053;11.9308
48.9589;11.9618
49.2126;11.9877
49.4663;12.0163
49.7199;11.9461
49.9736;11.948
50.2273;12.0194
50.481;12.1088
50.7346;12.0828
50.9883;12.0031
51.242;11.9966
51.4957;11.9611
51.7493;12.0411
52.003;11.9504
52.2567;11.9901
52.5104;11.9984
52.764;11.9946
53.0177;11.9113
53.2714;11.8809
53.525;11.9467
53.7787;11.8697
54.0324;11.8305
54.2861;11.8266
54.5397;11.7533
54.7934;11.7765
55.0471;11.6513
55.3008;11.7041
55.5544;11.6868
55.8081;11.7527
56.0618;11.86
56.3154;11.8798
56.5691;11.9749
56.8228;11.9548
57.0765;11.9802
57.3301;11.9798
57.5838;11.9612
57.8375;11.8631
58.0912;11.818
58.3448;11.8545
58.5985;11.9058
58.8522;11.9052
59.1059;11.8861
59.3595;11.7749
59.6132;11.6512
59.8669;11.6525
60.1205;11.5678
60.3742;11.6717
60.6279;11.593
60.8816;11.5277
61.1352;11.4422
61.3889;11.5388
61.6426;11.5636
61.8963;11.6664
62.1499;11.5638
62.4036;11.5452
62.6573;11.5479
62.911;11.464
63.1646;11.5233
63.4183;11.4462
63.672;11.4925
63.9256;11.4854
64.1793;11.4862
64.433;11.5499
64.6867;11.5207
64.9403;11.4633
65.194;11.4418
65.4477;11.4408
65.7014;11.5177
65.955;11.4964
66.2087;11.4832
66.4624;11.5088
66.716;11.4968
66.9697;11.5302
67.2234;11.6329
67.4771;11.6044
67.7307;11.6376
67.9844;11.6321
68.2381;11.6917
68.4918;11.7551
68.7454;11.8467
68.9991;11.8911
69.2528;11.8167
69.5065;11.9717
69.7601;12.0814
70.0138;12.0531
70.2675;11.9633
70.5211;11.9394
70.7748;11.7662
71.0285;11.7518
71.2822;11.6544
71.5358;11.6537
71.7895;11.6332
72.0432;11.623
72.2969;11.6069
72.5505;11.728
72.8042;11.6869
73.0579;11.6232
73.3116;11.6664
73.5652;11.7145
73.8189;11.716
74.0726;11.711
74.3262;11.6092
74.5799;11.5116
74.8336;11.4693
75.0873;11.4592
75.3409;11.3497
75.5946;11.3149
75.8483;11.4365
76.102;11.4534
76.3556;11.4847
76.6093;11.5061
76.863;11.5058
77.1167;11.4025
77.3703;11.4072
77.624;11.3854
77.8777;11.4143
78.1313;11.2635
78.385;11.289
78.6387;11.3276
78.8924;11.2894
79.146;11.2158
79.3997;11.2132
79.6534;11.1413
79.9071;11.1344
80.1607;11.0876
80.4144;11.0478
80.6681;11.022
80.9218;10.9969
81.1754;11.0743
81.4291;11.0472
81.6828;11.014
81.9364;10.8892
82.1901;10.908
82.4438;10.9931
82.6975;10.9792
82.9511;11.0506
83.2048;11.0299
83.4585;10.994
83.7122;11.0243
83.9658;11.1782
84.2195;11.2111
84.4732;11.1166
84.7268;11.1058
84.9805;10.9083
85.2342;10.8004
85.4879;10.8021
85.7415;10.7675
85.9952;10.9224
86.2489;10.9961
86.5026;10.9269
86.7562;10.9061
87.0099;10.9883
87.2636;11.0833
87.5173;10.9999
87.7709;10.9941
88.0246;11.0236
88.2783;11.05
88.5319;11.0166
88.7856;10.9608
89.0393;10.9055
89.293;10.7606
89.5466;10.8304
89.8003;10.73
90.054;10.882
90.3077;10.9554
90.5613;10.9438
90.815;10.913
91.0687;10.8886
91.3223;10.8345
91.576;10.858
91.8297;10.8883
92.0834;10.8951
92.337;10.8659
92.5907;10.8086
92.8444;10.8607
93.0981;10.8772
93.3517;10.9234
93.6054;10.965
93.8591;10.9751
94.1128;10.9716
94.3664;11.0248
94.6201;10.9715
94.8738;11.0057
95.1274;11.0402
95.3811;11.0243
95.6348;10.9791
95.8885;10.8853
96.1421;10.8895
96.3958;10.8742
96.6495;10.8976
96.9032;10.9639
97.1568;11.0199
97.4105;10.9117
97.6642;10.8185
97.9179;10.7858
98.1715;10.8466
98.4252;10.8761
98.6789;10.8242
98.9325;10.7976
99.1862;10.8577
99.4399;10.8457
99.6936;10.9385
99.9472;10.9954
100.201;10.9604
100.455;11.0043
100.708;11.0945
100.962;11.1805
101.216;11.3529
101.469;11.356
101.723;11.2507
101.977;11.1557
102.23;10.9469
102.484;10.8835
102.738;10.7951
102.991;10.815
103.245;10.6308
103.499;10.4357
103.752;10.3868
104.006;10.2095
104.26;10.2605
104.513;10.3192
104.767;10.3329
105.021;10.4254
105.274;10.5043
105.528;10.3956
105.782;10.3248
106.035;10.2379
106.289;9.91987
106.543;9.82902
106.796;9.69737
107.05;9.76782
107.304;9.64203
107.557;9.46515
107.811;9.48189
108.065;9.5229
108.318;9.54854
108.572;9.55055
108.826;9.40257
109.079;9.32878
109.333;9.15911
109.587;9.10167
109.84;8.99735
110.094;8.90157
110.348;8.61587
110.602;8.59197
110.855;8.57182
111.109;8.78826
111.363;8.91961
111.616;9.0567
111.87;9.03454
112.124;8.93229
112.377;8.77443
112.631;8.62029
112.885;8.55397
113.138;8.65208
113.392;8.57716
113.646;8.65206
113.899;8.71147
114.153;8.54122
114.407;8.57532
114.66;8.59018
114.914;8.65441
115.168;8.66603
115.421;8.55752
115.675;8.47621
115.929;8.35169
116.182;8.14659
116.436;8.15134
116.69;8.10131
116.943;8.10857
117.197;8.1189
117.451;8.29279
117.704;8.48655
117.958;8.59575
118.212;8.66954
118.465;8.76742
118.719;8.70238
118.973;8.52215
119.226;8.29525
119.48;8.08559
119.734;7.99756
119.987;7.95518
120.241;7.81004
120.495;7.78015
120.748;7.69725
121.002;7.64398
121.256;7.68256
121.509;8.06792
121.763;8.55091
122.017;8.77795
122.27;8.4047
122.524;7.46925
122.778;7.29467
123.032;7.37268
123.285;7.40726
123.539;7.58619
123.793;7.85616
124.046;7.9188
124.3;7.84497
124.554;7.99921
124.807;8.25436
125.061;8.40201
125.315;8.41257
125.568;8.39719
125.822;8.50626
126.076;8.6631
126.329;8.75387
126.583;8.82981
126.837;8.96453
127.09;9.10121
127.344;9.21777
127.598;9.17101
127.851;9.0942
128.105;9.11822
128.359;9.10715
128.612;9.26236
128.866;9.33597
129.12;9.46251
129.373;9.65217
129.627;9.73304
129.881;9.66487
130.134;9.57151
130.388;9.63845
130.642;9.90488
130.895;10.0415
131.149;10.0663
131.403;10.1679
131.656;10.3163
131.91;10.4389
132.164;10.4346
132.417;10.3214
132.671;10.2199
132.925;10.2339
133.178;10.3245
133.432;10.5516
133.686;10.8426
133.939;10.887
134.193;10.6811
134.447;10.3519
134.7;10.3225
134.954;10.3904
135.208;10.3551
135.461;10.4198
