Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 03:43:35
Device temperature = 26.1099
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB0OET
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;23.4558
0.253673;22.2419
0.507346;20.7348
0.76102;19.6385
1.01469;19.8196
1.26837;19.7964
1.52204;19.6299
1.77571;19.043
2.02939;19.0782
2.28306;19.4854
2.53673;19.5062
2.79041;19.6224
3.04408;19.4791
3.29775;19.4298
3.55142;19.4653
3.8051;19.4001
4.05877;19.3498
4.31244;19.2556
4.56612;19.1457
4.81979;19.1318
5.07346;19.1581
5.32714;19.1107
5.58081;19.1381
5.83448;19.1957
6.08816;19.3282
6.34183;19.2919
6.5955;19.3564
6.84918;19.4076
7.10285;19.4329
7.35652;19.4751
7.6102;19.4202
7.86387;19.2953
8.11754;19.2888
8.37122;19.3091
8.62489;19.2951
8.87856;19.3822
9.13223;19.5011
9.38591;19.4833
9.63958;19.4204
9.89325;19.3939
10.1469;19.4141
10.4006;19.3104
10.6543;19.4106
10.9079;19.3982
11.1616;19.2799
11.4153;19.2803
11.669;19.3436
11.9226;19.2957
12.1763;19.3374
12.43;19.2511
12.6837;19.2239
12.9373;19.2198
13.191;19.2664
13.4447;19.35
13.6984;19.4455
13.952;19.387
14.2057;19.3103
14.4594;19.3159
14.713;19.2771
14.9667;19.4363
15.2204;19.3988
15.4741;19.3547
15.7277;19.3663
15.9814;19.3781
16.2351;19.3288
16.4888;19.2911
16.7424;19.373
16.9961;19.3503
17.2498;19.3804
17.5035;19.3715
17.7571;19.2699
18.0108;19.3383
18.2645;19.3177
18.5181;19.299
18.7718;19.2884
19.0255;19.1611
19.2792;19.3184
19.5328;19.3452
19.7865;19.3587
20.0402;19.2756
20.2939;19.3283
20.5475;19.2497
20.8012;19.2738
21.0549;19.3313
21.3085;19.2714
21.5622;19.2655
21.8159;19.2166
22.0696;19.2254
22.3232;19.3548
22.5769;19.3701
22.8306;19.3628
23.0843;19.4096
