Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 03:33:35
Device temperature = 26.3026
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB0mu6
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;23.6288
0.253673;22.3922
0.507346;20.7093
0.76102;19.7349
1.01469;19.9865
1.26837;19.9123
1.52204;19.6841
1.77571;19.2048
2.02939;19.1767
2.28306;19.7112
2.53673;19.7047
2.79041;19.7161
3.04408;19.6444
3.29775;19.5948
3.55142;19.6119
3.8051;19.5548
4.05877;19.5263
4.31244;19.49
4.56612;19.3265
4.81979;19.2661
5.07346;19.2657
5.32714;19.3092
5.58081;19.2892
5.83448;19.3935
6.08816;19.4703
6.34183;19.5235
6.5955;19.5866
6.84918;19.6231
7.10285;19.6202
7.35652;19.703
7.6102;19.5778
7.86387;19.5179
8.11754;19.4945
8.37122;19.4681
8.62489;19.4806
8.87856;19.6515
9.13223;19.6979
9.38591;19.7024
9.63958;19.5978
9.89325;19.6376
10.1469;19.6099
10.4006;19.5318
10.6543;19.5692
10.9079;19.6229
11.1616;19.4893
11.4153;19.4952
11.669;19.4969
11.9226;19.5998
12.1763;19.5072
12.43;19.4624
12.6837;19.4712
12.9373;19.4904
13.191;19.4781
13.4447;19.4945
13.6984;19.5911
13.952;19.6426
14.2057;19.5507
14.4594;19.5395
14.713;19.5284
14.9667;19.5999
15.2204;19.6475
15.4741;19.5705
15.7277;19.5884
15.9814;19.5424
16.2351;19.59
16.4888;19.5048
16.7424;19.5881
16.9961;19.593
17.2498;19.594
17.5035;19.4994
17.7571;19.4523
18.0108;19.6203
18.2645;19.5929
