Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 03:13:35
Device temperature = 26.6771
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB1Wqz
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;24.0619
0.253673;22.7077
0.507346;21.1741
0.76102;20.1352
1.01469;20.3814
1.26837;20.3359
1.52204;20.1969
1.77571;19.6978
2.02939;19.6496
2.28306;20.0286
2.53673;20.0995
2.79041;20.2598
3.04408;20.047
3.29775;19.9978
3.55142;20.0717
3.8051;20.0321
4.05877;19.9181
4.31244;19.8142
4.56612;19.6786
4.81979;19.7223
5.07346;19.7645
5.32714;19.7104
5.58081;19.7796
5.83448;19.7473
6.08816;19.8552
6.34183;19.9131
6.5955;19.9621
6.84918;20.0329
7.10285;20.088
7.35652;20.107
7.6102;20.0825
7.86387;19.9816
8.11754;19.9131
8.37122;19.8912
8.62489;19.9193
8.87856;20.0462
9.13223;20.1329
9.38591;20.1561
9.63958;20.1109
9.89325;20.0273
10.1469;20.0418
10.4006;20.0341
10.6543;20.0308
10.9079;20.0771
11.1616;19.9767
11.4153;19.9763
11.669;19.9286
11.9226;20.0631
12.1763;19.9635
12.43;19.9218
12.6837;19.8864
12.9373;19.9609
13.191;19.9791
13.4447;20.0114
13.6984;20.0814
13.952;20.0921
14.2057;19.9524
14.4594;19.962
14.713;19.9617
14.9667;20.1325
15.2204;20.1274
15.4741;20.0727
15.7277;19.9665
15.9814;19.9468
16.2351;19.9468
16.4888;19.9331
16.7424;19.969
16.9961;20.1254
17.2498;20.0535
17.5035;20.0388
17.7571;19.9729
18.0108;19.9742
18.2645;20.0279
18.5181;19.9513
18.7718;19.9722
19.0255;19.9295
19.2792;19.9662
19.5328;20.0388
19.7865;19.9894
20.0402;20.0798
20.2939;19.9869
20.5475;19.9045
20.8012;19.9495
21.0549;19.9572
21.3085;19.9362
21.5622;19.9744
21.8159;19.8998
22.0696;19.9466
22.3232;19.9466
22.5769;19.9211
22.8306;20.0446
23.0843;20.0736
23.3379;20.0369
23.5916;19.9418
23.8453;19.9314
24.099;19.88
24.3526;19.9004
24.6063;19.8905
24.86;19.8817
25.1136;19.9265
25.3673;19.8562
25.621;19.8599
25.8747;19.8764
26.1283;19.8759
26.382;19.8226
26.6357;19.7031
26.8894;19.6742
27.143;19.857
27.3967;19.8404
27.6504;19.7771
27.9041;19.7132
28.1577;19.6961
28.4114;19.5618
28.6651;19.1906
28.9187;18.1835
29.1724;15.551
29.4261;14.2824
29.6798;13.7718
29.9334;13.8227
30.1871;13.7485
30.4408;13.7209
30.6945;13.7143
30.9481;13.6829
31.2018;13.6989
31.4555;13.7339
31.7092;13.711
31.9628;13.6783
32.2165;13.7914
32.4702;13.8907
32.7238;13.89
32.9775;14.0661
33.2312;13.9972
33.4849;13.9638
33.7385;13.8729
33.9922;13.8211
34.2459;13.8401
34.4996;13.814
34.7532;13.7931
35.0069;13.7952
35.2606;13.7863
35.5142;13.6677
35.7679;13.5665
36.0216;13.473
36.2753;13.3911
36.5289;13.3517
36.7826;13.3384
37.0363;13.2471
37.29;13.3203
37.5436;13.3069
37.7973;13.269
38.051;13.2155
38.3047;13.1674
38.5583;13.2071
38.812;13.1593
39.0657;13.0901
39.3193;13.1122
39.573;13.1644
39.8267;13.1206
40.0804;13.1692
40.334;13.2036
40.5877;13.1489
40.8414;13.1565
41.0951;13.2137
41.3487;13.2732
41.6024;13.3464
41.8561;13.3629
42.1097;13.4901
42.3634;13.4326
42.6171;13.3735
42.8708;13.3882
43.1244;13.4321
43.3781;13.3862
43.6318;13.4394
43.8855;13.3931
44.1391;13.5349
44.3928;13.4944
44.6465;13.4433
44.9002;13.4131
45.1538;13.3043
45.4075;13.2752
45.6612;13.3425
45.9148;13.2398
46.1685;13.2099
46.4222;13.0026
46.6759;12.9373
46.9295;12.7783
47.1832;12.6185
47.4369;12.6798
47.6906;12.7298
47.9442;12.6428
48.1979;12.6698
48.4516;12.6339
48.7053;12.5534
48.9589;12.5739
49.2126;12.61
49.4663;12.6959
49.7199;12.6587
49.9736;12.6456
50.2273;12.6011
50.481;12.5754
50.7346;12.5728
50.9883;12.51
51.242;12.599
51.4957;12.5351
51.7493;12.6071
52.003;12.5065
52.2567;12.5943
52.5104;12.5461
52.764;12.5275
53.0177;12.5367
53.2714;12.5267
53.525;12.5638
53.7787;12.5372
54.0324;12.4356
54.2861;12.338
54.5397;12.2761
54.7934;12.2597
55.0471;12.264
55.3008;12.3753
55.5544;12.4053
55.8081;12.4071
56.0618;12.4549
56.3154;12.4992
56.5691;12.6033
56.8228;12.6607
57.0765;12.5146
57.3301;12.5056
57.5838;12.5131
57.8375;12.4745
58.0912;12.5093
58.3448;12.4472
58.5985;12.5718
58.8522;12.6066
59.1059;12.5776
59.3595;12.5122
59.6132;12.3391
59.8669;12.2277
60.1205;12.2716
60.3742;12.3217
60.6279;12.3172
60.8816;12.2534
61.1352;12.2147
61.3889;12.1743
61.6426;12.3117
61.8963;12.4102
62.1499;12.3072
62.4036;12.2075
62.6573;12.1897
62.911;12.1156
63.1646;12.1673
63.4183;12.1997
63.672;12.1868
63.9256;12.2611
64.1793;12.2307
64.433;12.2469
64.6867;12.3369
64.9403;12.3456
65.194;12.2472
65.4477;12.1011
65.7014;12.1621
65.955;12.2345
66.2087;12.2659
66.4624;12.3038
66.716;12.2853
66.9697;12.3201
67.2234;12.3739
67.4771;12.3437
67.7307;12.4723
67.9844;12.3915
68.2381;12.3834
68.4918;12.2826
68.7454;12.4632
68.9991;12.4306
69.2528;12.5261
69.5065;12.585
69.7601;12.8425
70.0138;12.9254
70.2675;12.8565
70.5211;12.758
70.7748;12.6535
71.0285;12.6561
71.2822;12.6082
71.5358;12.6469
71.7895;12.8492
72.0432;12.765
72.2969;12.7011
72.5505;12.5823
