Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 03:03:35
Device temperature = 26.8438
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB1sAa
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;24.2045
0.253673;23.0409
0.507346;21.4211
0.76102;20.449
1.01469;20.6027
1.26837;20.6499
1.52204;20.4247
1.77571;19.8908
2.02939;19.8841
2.28306;20.3252
2.53673;20.4438
2.79041;20.4436
3.04408;20.3363
3.29775;20.3558
3.55142;20.2907
3.8051;20.2481
4.05877;20.1112
4.31244;20.0434
4.56612;19.9286
4.81979;19.9672
5.07346;19.979
5.32714;19.9899
5.58081;20.02
5.83448;20.0368
6.08816;20.14
6.34183;20.0689
6.5955;20.2399
6.84918;20.27
7.10285;20.2994
7.35652;20.37
7.6102;20.3518
7.86387;20.2266
8.11754;20.199
8.37122;20.161
8.62489;20.2667
8.87856;20.3185
9.13223;20.4032
9.38591;20.4736
9.63958;20.4311
9.89325;20.349
10.1469;20.2693
10.4006;20.2445
10.6543;20.3458
10.9079;20.3155
11.1616;20.2422
11.4153;20.1432
11.669;20.2311
11.9226;20.3265
12.1763;20.3437
12.43;20.1996
12.6837;20.2157
12.9373;20.1476
13.191;20.2377
13.4447;20.2775
13.6984;20.3112
13.952;20.2966
14.2057;20.1807
14.4594;20.1728
14.713;20.2862
14.9667;20.3361
15.2204;20.3775
15.4741;20.3284
15.7277;20.3131
15.9814;20.2797
16.2351;20.2567
16.4888;20.2889
16.7424;20.3776
16.9961;20.3401
17.2498;20.2934
17.5035;20.2654
17.7571;20.2175
18.0108;20.1673
18.2645;20.2795
18.5181;20.275
18.7718;20.2149
19.0255;20.2264
19.2792;20.2635
19.5328;20.3178
19.7865;20.2968
20.0402;20.2549
20.2939;20.2523
20.5475;20.2194
20.8012;20.2564
21.0549;20.2515
21.3085;20.2626
21.5622;20.196
21.8159;20.1715
22.0696;20.1523
22.3232;20.3089
22.5769;20.304
22.8306;20.3517
23.0843;20.2901
23.3379;20.2976
23.5916;20.1855
23.8453;20.2074
24.099;20.2069
24.3526;20.2135
24.6063;20.1704
24.86;20.1939
25.1136;20.2392
25.3673;20.1534
25.621;20.1022
25.8747;20.1231
26.1283;20.1804
26.382;20.0794
26.6357;20.013
