Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 02:53:35
Device temperature = 27.0021
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB2ARN
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;24.4559
0.253673;23.2444
0.507346;21.6831
0.76102;20.6967
1.01469;20.9153
1.26837;20.9223
1.52204;20.8037
1.77571;20.2495
2.02939;20.182
2.28306;20.54
2.53673;20.6479
2.79041;20.7149
3.04408;20.6084
3.29775;20.5657
3.55142;20.54
3.8051;20.5219
4.05877;20.4795
4.31244;20.386
4.56612;20.295
4.81979;20.2478
5.07346;20.2869
5.32714;20.2869
5.58081;20.2379
5.83448;20.3316
6.08816;20.4228
6.34183;20.452
6.5955;20.4892
6.84918;20.5043
7.10285;20.6241
7.35652;20.5851
7.6102;20.5999
7.86387;20.5086
8.11754;20.4265
8.37122;20.4511
8.62489;20.5635
8.87856;20.6326
9.13223;20.6934
9.38591;20.7108
9.63958;20.6503
9.89325;20.5273
10.1469;20.5693
10.4006;20.5496
10.6543;20.614
10.9079;20.5957
11.1616;20.4921
11.4153;20.4683
11.669;20.4881
11.9226;20.5177
12.1763;20.5312
12.43;20.459
12.6837;20.48
12.9373;20.4095
13.191;20.4991
13.4447;20.5717
13.6984;20.6048
13.952;20.5597
14.2057;20.5415
14.4594;20.4735
14.713;20.4692
14.9667;20.5618
15.2204;20.5385
15.4741;20.5946
15.7277;20.5629
15.9814;20.4884
16.2351;20.4531
16.4888;20.5166
16.7424;20.5474
16.9961;20.5755
17.2498;20.5858
17.5035;20.5659
17.7571;20.4548
18.0108;20.4757
18.2645;20.49
18.5181;20.5002
18.7718;20.4766
19.0255;20.4637
19.2792;20.4333
19.5328;20.5087
19.7865;20.5433
20.0402;20.551
20.2939;20.4864
20.5475;20.4632
20.8012;20.4861
21.0549;20.5022
21.3085;20.5278
21.5622;20.4393
21.8159;20.4394
22.0696;20.5015
22.3232;20.5211
22.5769;20.5146
22.8306;20.5565
23.0843;20.5889
23.3379;20.4938
23.5916;20.4731
23.8453;20.4901
24.099;20.4391
24.3526;20.4927
24.6063;20.4385
24.86;20.4055
25.1136;20.4428
25.3673;20.3079
25.621;20.423
25.8747;20.3947
26.1283;20.4067
26.382;20.3667
26.6357;20.2836
26.8894;20.2536
27.143;20.214
27.3967;20.2884
27.6504;20.2856
27.9041;20.3181
28.1577;20.1831
28.4114;20.0632
28.6651;19.6738
28.9187;18.6435
29.1724;15.6259
29.4261;14.1644
29.6798;13.738
29.9334;13.6693
30.1871;13.675
30.4408;13.6274
30.6945;13.6826
30.9481;13.6913
31.2018;13.5879
31.4555;13.5374
31.7092;13.556
31.9628;13.5175
32.2165;13.6514
32.4702;13.7956
32.7238;14.0103
32.9775;14.1432
33.2312;14.1564
33.4849;13.9923
33.7385;13.8436
33.9922;13.7764
34.2459;13.8064
34.4996;13.9152
34.7532;13.9301
35.0069;13.9669
35.2606;13.7248
35.5142;13.4984
35.7679;13.3992
36.0216;13.175
36.2753;13.1595
36.5289;13.0507
36.7826;13.1241
37.0363;13.0544
37.29;13.0416
37.5436;13.0347
37.7973;13.0417
38.051;12.9134
38.3047;13.0574
38.5583;12.9161
38.812;12.9309
39.0657;12.8496
39.3193;12.8402
39.573;12.8643
39.8267;12.9281
40.0804;12.8684
40.334;12.866
40.5877;12.8325
40.8414;12.8198
41.0951;12.9007
41.3487;12.9448
41.6024;13.0634
41.8561;13.0942
42.1097;13.0784
42.3634;13.0603
42.6171;13.0715
42.8708;13.0092
43.1244;13.1119
43.3781;13.2117
43.6318;13.1855
43.8855;13.0927
44.1391;13.1495
44.3928;13.2972
44.6465;13.1928
44.9002;13.0255
45.1538;12.9783
45.4075;13.0084
45.6612;13.0092
45.9148;12.9962
46.1685;12.9769
46.4222;12.8177
46.6759;12.6537
46.9295;12.5688
47.1832;12.6029
47.4369;12.59
47.6906;12.5646
47.9442;12.5144
48.1979;12.5091
48.4516;12.4671
48.7053;12.3857
48.9589;12.4022
49.2126;12.4482
49.4663;12.3633
49.7199;12.4158
49.9736;12.4609
50.2273;12.4659
50.481;12.4588
50.7346;12.5556
50.9883;12.4924
51.242;12.4775
51.4957;12.4518
51.7493;12.4396
52.003;12.4709
52.2567;12.4508
52.5104;12.4117
52.764;12.4353
53.0177;12.4777
53.2714;12.4362
53.525;12.4434
53.7787;12.4249
54.0324;12.3935
54.2861;12.3031
54.5397;12.2504
54.7934;12.2313
55.0471;12.2526
55.3008;12.2788
55.5544;12.3209
55.8081;12.3823
56.0618;12.4316
56.3154;12.5045
56.5691;12.589
56.8228;12.5879
57.0765;12.5561
57.3301;12.5146
57.5838;12.4626
57.8375;12.4093
58.0912;12.4316
58.3448;12.4285
58.5985;12.4086
58.8522;12.3833
59.1059;12.4289
59.3595;12.4238
59.6132;12.2343
59.8669;12.1841
60.1205;12.1619
60.3742;12.1288
60.6279;12.1285
60.8816;12.1536
61.1352;12.0891
61.3889;12.0084
61.6426;12.1786
61.8963;12.1021
62.1499;12.0952
62.4036;12.0464
62.6573;12.0108
62.911;11.9744
63.1646;12.0355
63.4183;12.0339
63.672;12.0717
63.9256;12.0476
64.1793;12.1382
64.433;12.1589
64.6867;12.0431
64.9403;12.0859
65.194;11.9468
65.4477;11.9288
65.7014;12.0484
65.955;12.0818
66.2087;12.0692
66.4624;12.0246
66.716;12.0396
66.9697;12.1174
67.2234;12.147
67.4771;12.223
67.7307;12.2444
67.9844;12.2066
68.2381;12.2561
68.4918;12.2677
68.7454;12.2943
68.9991;12.3071
69.2528;12.3535
69.5065;12.4811
69.7601;12.6567
70.0138;12.6544
70.2675;12.6368
70.5211;12.5521
70.7748;12.4636
71.0285;12.377
71.2822;12.3828
71.5358;12.3468
71.7895;12.3461
72.0432;12.3936
72.2969;12.4431
72.5505;12.3849
72.8042;12.2602
73.0579;12.2616
73.3116;12.2687
73.5652;12.342
73.8189;12.3407
74.0726;12.2862
74.3262;12.2774
74.5799;12.2122
74.8336;12.0728
75.0873;12.0419
75.3409;11.9977
75.5946;11.9558
75.8483;12.1129
76.102;12.1581
76.3556;12.2519
76.6093;12.1751
76.863;12.0909
77.1167;12.1122
77.3703;12.1194
77.624;12.0677
77.8777;12.0705
78.1313;12.0734
78.385;11.9204
78.6387;11.8738
78.8924;11.772
79.146;11.7253
79.3997;11.6694
79.6534;11.6997
79.9071;11.6639
80.1607;11.5679
80.4144;11.532
80.6681;11.5069
80.9218;11.5487
81.1754;11.4686
81.4291;11.5273
81.6828;11.5524
81.9364;11.5315
82.1901;11.5719
82.4438;11.5502
82.6975;11.5433
82.9511;11.5773
83.2048;11.6123
83.4585;11.5682
83.7122;11.6142
83.9658;11.7814
84.2195;11.8475
84.4732;11.7883
84.7268;11.6807
84.9805;11.5089
85.2342;11.4249
85.4879;11.3712
85.7415;11.4633
85.9952;11.4923
86.2489;11.4917
86.5026;11.4086
86.7562;11.3912
87.0099;11.4834
87.2636;11.5296
87.5173;11.52
87.7709;11.5321
88.0246;11.5359
88.2783;11.6422
88.5319;11.6504
88.7856;11.6771
89.0393;11.5612
89.293;11.5016
89.5466;11.5008
89.8003;11.418
90.054;11.4647
90.3077;11.5123
90.5613;11.5231
90.815;11.4469
91.0687;11.4797
91.3223;11.4972
91.576;11.5522
91.8297;11.5681
92.0834;11.5689
92.337;11.4871
92.5907;11.459
92.8444;11.4585
93.0981;11.4274
93.3517;11.449
93.6054;11.4357
93.8591;11.5447
94.1128;11.6018
94.3664;11.6094
94.6201;11.5998
94.8738;11.5329
95.1274;11.5585
95.3811;11.5103
95.6348;11.52
95.8885;11.4947
96.1421;11.4427
96.3958;11.4348
96.6495;11.4736
96.9032;11.4526
97.1568;11.5429
97.4105;11.4833
97.6642;11.454
97.9179;11.521
98.1715;11.489
98.4252;11.4891
98.6789;11.5519
98.9325;11.4107
99.1862;11.4757
99.4399;11.5952
99.6936;11.68
99.9472;11.7422
100.201;11.596
100.455;11.5448
100.708;11.6164
100.962;11.659
101.216;11.7934
101.469;11.7866
101.723;11.7665
101.977;11.6943
102.23;11.4833
102.484;11.4385
102.738;11.3571
102.991;11.3695
103.245;11.2859
103.499;11.1788
103.752;11.0386
104.006;10.9424
104.26;10.9531
104.513;10.9116
104.767;10.8638
105.021;10.8708
105.274;10.9435
105.528;10.8991
105.782;10.8235
106.035;10.7852
106.289;10.5782
106.543;10.4601
106.796;10.3754
107.05;10.3908
107.304;10.1242
107.557;10.0115
107.811;9.94223
108.065;9.97259
108.318;9.99584
108.572;9.90273
108.826;9.72052
109.079;9.59375
109.333;9.43726
109.587;9.47212
109.84;9.31768
110.094;9.19282
110.348;9.04648
110.602;9.01511
110.855;9.04782
111.109;9.09134
111.363;9.33016
111.616;9.41422
111.87;9.44359
112.124;9.47141
112.377;9.34407
112.631;9.26688
112.885;9.2162
113.138;9.25339
113.392;9.24533
113.646;9.2091
113.899;9.16805
114.153;9.13775
114.407;9.11817
114.66;9.08163
114.914;9.08288
115.168;9.00008
115.421;8.94998
115.675;8.83142
115.929;8.72821
116.182;8.64791
116.436;8.49621
116.69;8.41038
116.943;8.2939
117.197;8.38113
117.451;8.56078
117.704;8.60867
117.958;8.67846
118.212;8.75638
118.465;8.75112
118.719;8.72386
118.973;8.66245
119.226;8.51526
119.48;8.37738
119.734;8.22198
119.987;8.22612
120.241;8.26113
120.495;8.15061
120.748;8.06907
121.002;8.04006
121.256;8.04631
121.509;8.3739
121.763;8.89041
122.017;9.03476
122.27;8.83134
122.524;8.22238
122.778;8.21039
123.032;8.33333
123.285;8.3084
123.539;8.37396
123.793;8.58088
124.046;8.6104
124.3;8.55957
124.554;8.76855
124.807;8.92168
125.061;9.05729
125.315;9.12462
125.568;9.40346
125.822;9.6967
126.076;9.93723
126.329;10.1176
126.583;10.1943
126.837;10.3009
127.09;10.547
127.344;10.6097
127.598;10.5735
127.851;10.4152
128.105;10.4342
128.359;10.4782
128.612;10.5829
128.866;10.5783
129.12;10.5294
129.373;10.5768
129.627;10.7319
129.881;10.8385
130.134;10.8541
130.388;11.0192
130.642;11.028
130.895;11.0454
131.149;11.0168
131.403;10.9395
131.656;10.9543
131.91;10.9355
132.164;11.0446
132.417;11.0086
132.671;11.0119
132.925;11.0374
133.178;11.105
133.432;11.2089
133.686;11.4671
133.939;11.4817
134.193;11.4799
134.447;11.4804
134.7;11.6438
134.954;11.4943
135.208;11.5066
135.461;11.2756
135.715;11.3843
135.969;11.498
136.223;11.6524
136.476;11.6736
136.73;11.4111
136.984;11.1757
137.237;11.0168
137.491;10.7945
137.745;10.7159
137.998;10.856
138.252;10.8449
138.506;10.9017
138.759;10.7413
139.013;10.5512
139.267;10.3999
139.52;10.4896
139.774;10.5586
140.028;10.5514
140.281;10.5999
140.535;10.7882
140.789;10.9708
141.042;10.9323
141.296;10.7902
141.55;10.7952
141.803;10.8922
142.057;11.0577
142.311;11.3572
142.564;11.7757
142.818;11.8394
143.072;11.4352
143.325;11.0388
143.579;10.818
143.833;10.84
144.086;10.8709
144.34;11.056
144.594;11.1818
144.847;11.21
145.101;11.1289
145.355;11.0297
145.608;10.9086
145.862;11.0346
146.116;11.1786
146.369;11.4275
146.623;11.5929
146.877;11.4688
147.13;11.3179
147.384;11.1583
147.638;11.1598
147.891;11.2139
148.145;11.1477
148.399;11.204
148.652;11.2543
148.906;11.6088
149.16;11.8303
149.414;12.14
149.667;12.0088
149.921;11.7479
150.175;11.6443
150.428;11.6747
150.682;11.7589
150.936;12.001
151.189;12.0375
151.443;12.0533
151.697;12.0505
151.95;12.1112
152.204;12.0248
152.458;11.9291
152.711;11.9085
152.965;12.0119
153.219;12.1071
153.472;12.2397
153.726;12.4004
153.98;12.5046
154.233;12.3858
154.487;12.1972
154.741;12.1647
154.994;12.2124
155.248;12.3258
155.502;12.343
155.755;12.2929
156.009;12.1771
156.263;12.1654
156.516;12.2235
156.77;12.1832
157.024;12.3491
157.277;12.351
157.531;12.3997
157.785;12.199
158.038;12.1845
158.292;12.1782
158.546;12.1306
158.799;12.3054
159.053;12.3157
159.307;12.3542
159.56;12.4082
159.814;12.2724
160.068;12.0982
160.321;12.1154
160.575;12.0838
160.829;12.0756
161.082;12.1828
161.336;12.3275
161.59;12.357
161.844;12.3501
162.097;12.0716
162.351;12.041
162.605;12.057
162.858;12.0965
163.112;12.3405
163.366;12.3769
163.619;12.3419
163.873;12.2701
164.127;12.1809
164.38;12.1968
164.634;12.1834
164.888;12.2964
165.141;12.4203
165.395;12.4475
165.649;12.5171
165.902;12.3267
166.156;12.3199
166.41;12.2906
166.663;12.2718
166.917;12.2687
167.171;12.3922
