Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 02:43:35
Device temperature = 27.1443
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB2SeH
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;24.6311
0.253673;23.5038
0.507346;21.9349
0.76102;20.9766
1.01469;21.2018
1.26837;21.1713
1.52204;21.0269
1.77571;20.5397
2.02939;20.3742
2.28306;20.7856
2.53673;20.8478
2.79041;20.8806
3.04408;20.8212
3.29775;20.7815
3.55142;20.7069
3.8051;20.7826
4.05877;20.6438
4.31244;20.5132
4.56612;20.5117
4.81979;20.4205
5.07346;20.4257
5.32714;20.4364
5.58081;20.4828
5.83448;20.572
6.08816;20.6009
6.34183;20.6247
6.5955;20.7557
6.84918;20.8729
7.10285;20.8892
7.35652;20.8854
7.6102;20.8671
7.86387;20.7217
8.11754;20.7239
8.37122;20.7002
8.62489;20.6658
8.87856;20.8564
9.13223;20.9729
9.38591;20.9887
9.63958;20.9446
9.89325;20.7824
10.1469;20.7289
10.4006;20.7551
10.6543;20.8176
10.9079;20.8312
11.1616;20.6852
11.4153;20.7968
11.669;20.7344
11.9226;20.8299
12.1763;20.7507
12.43;20.6739
12.6837;20.7273
12.9373;20.6947
13.191;20.7537
13.4447;20.7599
13.6984;20.7885
13.952;20.8179
14.2057;20.7444
14.4594;20.7486
14.713;20.75
14.9667;20.7845
15.2204;20.8696
15.4741;20.8191
15.7277;20.794
15.9814;20.8112
16.2351;20.6742
16.4888;20.7947
16.7424;20.8166
16.9961;20.8231
17.2498;20.7368
17.5035;20.7544
17.7571;20.736
18.0108;20.7808
18.2645;20.6896
18.5181;20.7199
18.7718;20.7436
19.0255;20.6622
19.2792;20.6932
19.5328;20.7083
19.7865;20.7964
20.0402;20.7631
20.2939;20.7021
20.5475;20.7238
20.8012;20.7054
21.0549;20.7075
21.3085;20.6946
21.5622;20.684
21.8159;20.6158
22.0696;20.6291
22.3232;20.668
22.5769;20.7741
22.8306;20.8467
23.0843;20.8923
23.3379;20.7297
23.5916;20.6986
23.8453;20.6416
24.099;20.702
24.3526;20.7204
24.6063;20.7885
24.86;20.7488
25.1136;20.636
25.3673;20.6518
25.621;20.7132
25.8747;20.7246
26.1283;20.6416
26.382;20.5919
26.6357;20.5318
26.8894;20.4898
27.143;20.5566
27.3967;20.5587
27.6504;20.6281
27.9041;20.5195
28.1577;20.4903
28.4114;20.2755
28.6651;19.8446
28.9187;18.6467
29.1724;15.5089
29.4261;14.2037
29.6798;13.7077
29.9334;13.6426
30.1871;13.6909
30.4408;13.5905
30.6945;13.6321
30.9481;13.5234
31.2018;13.4842
31.4555;13.4788
31.7092;13.4909
31.9628;13.5124
32.2165;13.673
32.4702;13.8328
32.7238;14.1037
32.9775;14.4501
33.2312;14.4399
33.4849;14.2003
33.7385;14.0461
33.9922;14.0085
34.2459;14.2143
34.4996;14.3686
34.7532;14.5698
35.0069;14.5574
35.2606;14.2556
35.5142;13.8498
35.7679;13.5951
36.0216;13.4279
36.2753;13.3932
36.5289;13.3286
36.7826;13.249
37.0363;13.2435
37.29;13.1772
37.5436;13.2351
37.7973;13.2029
38.051;13.0961
38.3047;13.1251
38.5583;13.0939
38.812;12.9959
39.0657;12.9244
39.3193;12.7863
39.573;12.8532
39.8267;12.8374
40.0804;12.849
40.334;12.9013
40.5877;12.9047
40.8414;12.8804
41.0951;12.8353
41.3487;12.8836
41.6024;12.9159
41.8561;13.0382
42.1097;13.1141
42.3634;13.0443
42.6171;13.0243
42.8708;13.0946
43.1244;13.2172
43.3781;13.3158
43.6318;13.2827
43.8855;13.2987
44.1391;13.2878
44.3928;13.3102
44.6465;13.2478
44.9002;13.1339
45.1538;13.0982
45.4075;13.0408
45.6612;13.0445
45.9148;13.0378
46.1685;12.8884
46.4222;12.7988
46.6759;12.6819
46.9295;12.662
47.1832;12.6755
47.4369;12.7213
47.6906;12.6297
47.9442;12.64
48.1979;12.631
48.4516;12.6632
48.7053;12.6461
48.9589;12.6418
49.2126;12.6931
49.4663;12.7099
49.7199;12.6446
49.9736;12.6244
50.2273;12.7254
50.481;12.7832
50.7346;12.7035
50.9883;12.7246
51.242;12.6593
51.4957;12.6823
51.7493;12.6314
52.003;12.7205
52.2567;12.6602
52.5104;12.6647
52.764;12.6419
53.0177;12.6423
53.2714;12.5803
53.525;12.6227
53.7787;12.5819
54.0324;12.5025
54.2861;12.4323
54.5397;12.3904
54.7934;12.3755
55.0471;12.4025
55.3008;12.4518
55.5544;12.5889
55.8081;12.6355
56.0618;12.6494
56.3154;12.6876
56.5691;12.7011
56.8228;12.5933
57.0765;12.6539
57.3301;12.6747
57.5838;12.6046
57.8375;12.6028
58.0912;12.599
58.3448;12.6279
58.5985;12.6416
58.8522;12.6009
59.1059;12.6818
59.3595;12.5836
59.6132;12.5345
59.8669;12.4456
60.1205;12.3117
60.3742;12.3405
60.6279;12.239
60.8816;12.2173
61.1352;12.1993
61.3889;12.2306
61.6426;12.3559
61.8963;12.3879
62.1499;12.2887
62.4036;12.2248
62.6573;12.2744
62.911;12.2359
63.1646;12.2431
63.4183;12.2887
63.672;12.3094
63.9256;12.2405
64.1793;12.2801
64.433;12.3174
64.6867;12.2634
64.9403;12.1458
65.194;12.1176
65.4477;12.1556
65.7014;12.2343
65.955;12.264
66.2087;12.2744
66.4624;12.2166
66.716;12.3134
66.9697;12.3117
67.2234;12.2927
67.4771;12.3099
67.7307;12.3151
67.9844;12.324
68.2381;12.4339
68.4918;12.4675
68.7454;12.541
68.9991;12.4868
69.2528;12.5386
69.5065;12.6397
69.7601;12.8297
70.0138;12.717
70.2675;12.6397
70.5211;12.5728
70.7748;12.5782
71.0285;12.4502
71.2822;12.4279
71.5358;12.4119
71.7895;12.4048
72.0432;12.4155
72.2969;12.3773
72.5505;12.4595
72.8042;12.4089
73.0579;12.3172
73.3116;12.3044
73.5652;12.3962
73.8189;12.4209
74.0726;12.3315
74.3262;12.2588
74.5799;12.2717
74.8336;12.1514
75.0873;12.0702
75.3409;12.1071
75.5946;12.0608
75.8483;12.1362
76.102;12.1443
76.3556;12.1832
76.6093;12.1478
76.863;12.0618
77.1167;12.0076
77.3703;12.0414
77.624;12.1328
77.8777;12.0356
78.1313;11.9799
78.385;11.9709
78.6387;11.9612
78.8924;11.8998
79.146;11.7983
79.3997;11.7872
79.6534;11.8351
79.9071;11.8141
80.1607;11.7092
80.4144;11.6981
80.6681;11.6589
80.9218;11.6858
81.1754;11.6667
81.4291;11.6569
81.6828;11.6004
81.9364;11.5576
82.1901;11.6107
82.4438;11.6905
82.6975;11.6455
82.9511;11.6714
83.2048;11.6295
83.4585;11.6418
83.7122;11.7102
83.9658;11.7446
84.2195;11.7675
84.4732;11.7629
84.7268;11.7427
84.9805;11.5231
85.2342;11.4435
85.4879;11.4681
85.7415;11.4305
85.9952;11.5759
86.2489;11.5656
86.5026;11.522
86.7562;11.5546
87.0099;11.6213
87.2636;11.5926
87.5173;11.5527
87.7709;11.6189
88.0246;11.6671
88.2783;11.6559
88.5319;11.6853
88.7856;11.5919
89.0393;11.5383
89.293;11.5042
89.5466;11.4943
89.8003;11.479
90.054;11.4971
90.3077;11.5549
90.5613;11.5642
90.815;11.5555
91.0687;11.5253
91.3223;11.5779
91.576;11.5315
91.8297;11.5529
92.0834;11.5344
92.337;11.5677
92.5907;11.5373
92.8444;11.5055
93.0981;11.5096
93.3517;11.5479
93.6054;11.5948
93.8591;11.5903
94.1128;11.698
94.3664;11.6784
94.6201;11.7558
94.8738;11.6552
95.1274;11.6714
95.3811;11.6253
95.6348;11.5776
95.8885;11.5799
96.1421;11.4915
96.3958;11.5647
96.6495;11.6344
96.9032;11.6067
97.1568;11.6879
97.4105;11.6101
97.6642;11.4727
97.9179;11.4023
98.1715;11.4677
98.4252;11.4753
98.6789;11.5156
98.9325;11.3732
99.1862;11.4828
99.4399;11.4299
99.6936;11.5404
99.9472;11.5124
100.201;11.5652
100.455;11.5293
100.708;11.5295
100.962;11.6202
101.216;11.8464
101.469;11.7844
101.723;11.6873
101.977;11.6889
102.23;11.5686
102.484;11.427
102.738;11.3629
102.991;11.3572
103.245;11.1908
103.499;11.0999
103.752;10.965
104.006;10.93
104.26;10.9541
104.513;10.9133
104.767;10.9926
105.021;10.9912
105.274;11.043
105.528;10.9152
105.782;10.7897
106.035;10.7757
106.289;10.6231
106.543;10.3789
106.796;10.3099
107.05;10.3032
107.304;10.2934
107.557;10.1055
107.811;10.1095
108.065;10.1997
108.318;10.1383
108.572;10.1529
108.826;10.0778
109.079;9.85206
109.333;9.81306
109.587;9.73538
109.84;9.60782
110.094;9.52037
110.348;9.40841
110.602;9.33901
110.855;9.3402
111.109;9.43717
111.363;9.61402
111.616;9.68067
111.87;9.62185
112.124;9.66723
112.377;9.43504
112.631;9.27038
112.885;9.2521
113.138;9.25659
113.392;9.26399
113.646;9.19635
113.899;9.20638
114.153;9.20717
114.407;9.09705
114.66;9.1655
114.914;9.16424
115.168;9.10243
115.421;9.10514
115.675;8.92742
115.929;8.81552
116.182;8.66048
116.436;8.58838
116.69;8.47993
116.943;8.55527
117.197;8.52258
117.451;8.67186
117.704;8.76966
117.958;8.80897
118.212;8.93426
118.465;8.96712
118.719;8.89153
118.973;8.78488
119.226;8.62446
119.48;8.41491
119.734;8.27516
119.987;8.25479
120.241;8.25153
120.495;8.16319
120.748;8.02181
121.002;8.03242
121.256;7.93826
121.509;8.27921
121.763;8.75856
122.017;9.00778
122.27;8.68314
122.524;7.88544
122.778;7.81758
123.032;7.92415
123.285;7.9547
123.539;8.01606
123.793;8.14453
124.046;8.21728
124.3;8.25093
124.554;8.43999
124.807;8.63995
125.061;8.77297
125.315;8.63173
125.568;8.64625
125.822;8.87132
126.076;9.04243
126.329;9.14256
126.583;9.27481
126.837;9.42192
127.09;9.57265
127.344;9.68751
127.598;9.66404
127.851;9.63063
128.105;9.69067
128.359;9.75089
128.612;9.89044
128.866;9.94765
129.12;10.0677
129.373;10.2163
129.627;10.3936
129.881;10.2689
130.134;10.1937
130.388;10.3306
130.642;10.5128
130.895;10.6467
131.149;10.6936
131.403;10.7649
131.656;10.7481
131.91;10.8401
132.164;11.0213
132.417;11.0001
132.671;10.9816
132.925;10.9355
133.178;11.0457
133.432;11.2338
133.686;11.4499
133.939;11.3796
134.193;11.2536
134.447;11.0861
134.7;10.9794
134.954;11.1252
135.208;11.1465
135.461;11.1066
135.715;11.2976
135.969;11.4554
136.223;11.5152
136.476;11.5396
136.73;11.223
136.984;10.9844
137.237;10.8247
137.491;10.6307
137.745;10.5095
137.998;10.5614
138.252;10.5
138.506;10.5883
138.759;10.4311
139.013;10.2254
139.267;10.0966
139.52;10.1571
139.774;10.3483
140.028;10.3686
140.281;10.4199
140.535;10.5518
140.789;10.9449
141.042;10.9502
141.296;10.8046
141.55;10.61
141.803;10.6974
142.057;10.8492
142.311;11.2049
142.564;11.6301
142.818;11.6787
143.072;11.211
143.325;10.7505
143.579;10.5794
143.833;10.5779
144.086;10.5749
144.34;10.719
144.594;10.7945
144.847;10.7698
145.101;10.7306
145.355;10.7554
145.608;10.8165
145.862;10.9521
146.116;11.1749
146.369;11.5248
146.623;11.7046
146.877;11.5339
147.13;11.2884
147.384;11.1035
147.638;11.0647
147.891;11.0746
148.145;10.9732
148.399;11.049
148.652;11.1642
148.906;11.4721
149.16;11.7005
149.414;12.0973
149.667;12.0589
149.921;11.6527
150.175;11.4129
150.428;11.5254
150.682;11.6921
150.936;11.9666
151.189;12.0141
151.443;12.1074
151.697;12.113
151.95;12.0939
152.204;11.9496
152.458;11.8839
152.711;11.8205
152.965;11.9451
153.219;12.0724
153.472;12.3249
153.726;12.4879
153.98;12.6995
154.233;12.6082
154.487;12.3877
154.741;12.3306
154.994;12.4193
155.248;12.5179
155.502;12.5816
155.755;12.4798
156.009;12.3598
156.263;12.2936
156.516;12.2855
156.77;12.2734
157.024;12.4226
157.277;12.52
157.531;12.4151
157.785;12.3858
158.038;12.2783
158.292;12.2852
158.546;12.2604
158.799;12.3174
159.053;12.4253
159.307;12.541
159.56;12.6134
159.814;12.5066
160.068;12.3873
160.321;12.346
160.575;12.2791
160.829;12.3519
161.082;12.4714
161.336;12.5294
161.59;12.5956
161.844;12.5627
162.097;12.2516
162.351;12.2007
162.605;12.2854
162.858;12.4164
163.112;12.5417
163.366;12.5663
163.619;12.5804
163.873;12.4581
164.127;12.4265
164.38;12.4868
164.634;12.5001
164.888;12.4323
165.141;12.5737
165.395;12.673
165.649;12.6521
165.902;12.4805
166.156;12.3373
166.41;12.3233
166.663;12.3618
166.917;12.4455
167.171;12.5369
167.424;12.5071
167.678;12.3724
167.932;12.2165
168.185;12.1659
168.439;12.1614
168.693;12.1873
168.946;12.2243
169.2;12.3263
169.454;12.2582
169.707;12.1982
169.961;12.0728
170.215;12.0573
170.468;12.1723
170.722;12.1241
170.976;12.2039
171.229;12.2834
171.483;12.2697
171.737;12.1602
171.99;12.1501
172.244;12.3957
172.498;12.4233
172.751;12.3418
173.005;12.3318
173.259;12.4973
173.512;12.5017
173.766;12.4949
174.02;12.4439
174.273;12.5076
174.527;12.5326
174.781;12.5031
175.035;12.5708
175.288;12.6932
175.542;12.5833
175.796;12.5483
176.049;12.5133
176.303;12.5275
176.557;12.5464
176.81;12.469
177.064;12.453
177.318;12.4113
177.571;12.4895
177.825;12.5616
178.079;12.6718
178.332;12.8065
178.586;12.94
178.84;13.0098
179.093;13.0528
179.347;13.0391
179.601;13.0086
179.854;12.879
180.108;12.7284
180.362;12.6598
180.615;12.6448
180.869;12.8275
181.123;12.8805
181.376;13.0581
181.63;12.8583
181.884;12.799
182.137;12.6471
182.391;12.5236
182.645;12.5175
182.898;12.4988
183.152;12.4818
183.406;12.4267
183.659;12.3732
183.913;12.3905
184.167;12.4429
184.42;12.3294
184.674;12.2533
184.928;12.4378
185.181;12.6118
185.435;12.6779
185.689;12.5872
185.942;12.5327
186.196;12.5229
186.45;12.6057
186.703;12.472
186.957;12.5847
187.211;12.6988
187.464;12.8571
187.718;12.8091
187.972;12.6524
188.226;12.5765
188.479;12.6102
188.733;12.6622
188.987;12.6258
189.24;12.5805
189.494;12.4634
189.748;12.3538
190.001;12.3311
190.255;12.2415
190.509;12.3207
190.762;12.3152
191.016;12.2963
191.27;12.3511
191.523;12.4689
191.777;12.447
192.031;12.5131
192.284;12.6154
192.538;12.6148
192.792;12.5731
193.045;12.3553
193.299;12.1643
193.553;12.1851
193.806;12.2236
194.06;12.3029
194.314;12.2501
194.567;12.1325
194.821;12.1604
195.075;12.0698
195.328;12.078
195.582;11.9604
195.836;11.8757
196.089;11.8986
196.343;11.8472
196.597;11.8757
196.85;11.5911
197.104;11.4026
197.358;11.287
197.611;11.1824
197.865;11.4279
198.119;11.6435
198.372;11.6562
198.626;11.2796
198.88;11.0767
199.133;10.9898
199.387;11.0998
199.641;11.3549
199.894;11.4818
200.148;11.6635
200.402;11.8163
200.656;11.6868
200.909;11.5752
201.163;11.4666
201.417;11.4924
201.67;11.7344
201.924;11.8943
202.178;12.0192
202.431;12.1256
202.685;11.9735
202.939;11.8352
203.192;11.7728
203.446;11.7965
203.7;11.7517
203.953;11.7918
204.207;11.8125
204.461;11.7354
204.714;11.5882
204.968;11.4088
205.222;11.3286
205.475;11.2338
205.729;11.1169
205.983;10.995
206.236;10.9079
206.49;10.8303
206.744;10.8235
206.997;10.7795
207.251;10.7234
207.505;10.6909
207.758;10.5343
208.012;10.42
208.266;10.4301
208.519;10.3854
208.773;10.5028
209.027;10.6632
209.28;11.0871
209.534;11.3951
209.788;11.0455
210.041;10.7061
210.295;10.6471
210.549;10.5108
210.802;10.3576
211.056;10.3129
211.31;10.4446
211.563;10.5352
211.817;10.636
212.071;10.6268
212.324;10.634
212.578;10.5603
212.832;10.5018
213.085;10.4855
213.339;10.4624
213.593;10.4461
213.846;10.3654
214.1;10.3562
214.354;10.3926
214.608;10.4136
214.861;10.4381
215.115;10.5036
215.369;10.6238
215.622;10.6798
215.876;10.7733
216.13;10.8502
216.383;10.8793
216.637;10.9485
216.891;11.1027
217.144;11.1284
217.398;11.3464
217.652;11.5014
217.905;11.4919
218.159;11.2702
218.413;11.1183
218.666;10.9665
218.92;10.874
219.174;10.8439
219.427;10.8221
219.681;10.7562
219.935;10.6993
220.188;10.6971
220.442;10.5917
220.696;10.6038
220.949;10.5618
221.203;10.461
221.457;10.4119
221.71;10.4072
221.964;10.3632
222.218;10.2349
222.471;10.0641
222.725;9.96105
222.979;9.80565
223.232;9.67566
223.486;9.53117
223.74;9.52772
223.993;9.55117
224.247;9.35247
224.501;9.08404
224.754;8.9297
225.008;9.26875
225.262;9.60926
225.515;9.8202
225.769;9.79503
226.023;9.55264
226.276;9.32591
226.53;9.20227
226.784;9.1812
227.038;9.1783
227.291;9.24084
