Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 01:23:35
Device temperature = 27.2677
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB2iRA
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;25.3693
0.253673;24.3146
0.507346;22.9389
0.76102;22.1652
1.01469;22.5242
1.26837;22.7499
1.52204;22.756
1.77571;22.4942
2.02939;22.363
2.28306;22.7305
2.53673;22.808
2.79041;22.7973
3.04408;22.8203
3.29775;22.8432
3.55142;22.9173
3.8051;22.9991
4.05877;22.8885
4.31244;22.7893
4.56612;22.6411
4.81979;22.5222
5.07346;22.5367
5.32714;22.512
5.58081;22.5221
5.83448;22.7534
6.08816;22.9391
6.34183;22.9125
6.5955;22.8735
6.84918;22.9209
7.10285;23.0138
7.35652;23.1159
7.6102;23.3023
7.86387;23.1392
8.11754;23.0729
8.37122;22.988
8.62489;23.0373
8.87856;23.2163
9.13223;23.4155
9.38591;23.2376
9.63958;23.1083
9.89325;22.9794
10.1469;23.1106
10.4006;23.1346
10.6543;23.194
10.9079;23.1484
11.1616;22.9746
11.4153;22.8979
11.669;22.9613
11.9226;23.1326
12.1763;23.2268
12.43;23.1947
12.6837;23.077
12.9373;23.0066
13.191;23.0832
13.4447;23.0955
13.6984;23.1676
13.952;23.1258
14.2057;23.1042
14.4594;22.9627
14.713;22.8808
14.9667;23.1837
15.2204;23.2021
15.4741;23.0717
15.7277;22.9613
15.9814;22.8381
16.2351;22.9173
16.4888;22.9614
16.7424;22.9902
16.9961;23.0877
17.2498;23.026
17.5035;23.0028
17.7571;22.8863
18.0108;22.9903
18.2645;23.0653
18.5181;23.1788
18.7718;22.9744
19.0255;22.8255
19.2792;22.9317
19.5328;22.9848
19.7865;22.9526
20.0402;23.0574
20.2939;22.9848
20.5475;22.8274
20.8012;22.8445
21.0549;22.9049
21.3085;23.0417
21.5622;22.9451
21.8159;22.8281
22.0696;22.8482
22.3232;22.9144
22.5769;23.044
22.8306;23.1112
23.0843;22.9846
23.3379;22.8163
23.5916;22.7289
23.8453;22.7165
24.099;22.8248
24.3526;22.9835
24.6063;22.9499
24.86;22.9036
25.1136;22.6776
25.3673;22.668
25.621;22.755
25.8747;22.807
26.1283;22.8377
26.382;22.8103
26.6357;22.6782
26.8894;22.5486
27.143;22.5988
27.3967;22.8369
27.6504;22.8619
27.9041;22.751
28.1577;22.6288
28.4114;22.3572
28.6651;21.9568
28.9187;20.8261
29.1724;17.8602
29.4261;16.5077
29.6798;15.8835
29.9334;15.8093
30.1871;15.7826
30.4408;15.776
30.6945;15.7372
30.9481;15.6182
31.2018;15.421
31.4555;15.4386
31.7092;15.349
31.9628;15.2634
32.2165;15.5825
32.4702;15.8481
32.7238;16.1961
32.9775;16.3607
33.2312;16.3223
33.4849;16.0256
33.7385;15.7708
33.9922;15.7453
34.2459;15.9167
34.4996;16.1606
34.7532;16.1601
35.0069;16.0941
35.2606;15.8442
35.5142;15.4715
35.7679;15.1676
36.0216;15.0596
36.2753;15.0353
36.5289;14.9801
36.7826;14.928
37.0363;14.8512
37.29;14.9731
37.5436;14.8806
37.7973;14.8526
38.051;14.7897
38.3047;14.9008
38.5583;14.8898
38.812;14.9098
39.0657;14.8154
39.3193;14.8432
39.573;14.7893
39.8267;14.8246
40.0804;14.7492
40.334;14.7607
40.5877;14.8847
40.8414;14.794
41.0951;14.7689
41.3487;14.8795
41.6024;14.8222
41.8561;14.876
42.1097;14.8862
42.3634;14.8725
42.6171;14.8475
42.8708;14.7968
43.1244;14.8077
43.3781;14.9314
43.6318;14.962
43.8855;15.0186
44.1391;15.0236
44.3928;15.0627
44.6465;15.0564
44.9002;15.1799
45.1538;15.1886
45.4075;15.0456
45.6612;14.97
45.9148;14.8621
46.1685;14.8216
46.4222;14.7797
46.6759;14.7505
46.9295;14.6447
47.1832;14.7375
47.4369;14.5515
47.6906;14.5628
47.9442;14.4887
48.1979;14.5856
48.4516;14.5418
48.7053;14.4486
48.9589;14.5588
49.2126;14.5017
49.4663;14.5322
49.7199;14.6279
49.9736;14.6162
50.2273;14.616
50.481;14.6726
50.7346;14.6133
50.9883;14.583
51.242;14.7098
51.4957;14.6413
51.7493;14.6743
52.003;14.5822
52.2567;14.6831
52.5104;14.6828
52.764;14.6272
53.0177;14.66
53.2714;14.6578
53.525;14.743
53.7787;14.6876
54.0324;14.6282
54.2861;14.577
54.5397;14.5279
54.7934;14.5206
55.0471;14.3978
55.3008;14.4196
55.5544;14.5331
55.8081;14.6415
56.0618;14.5411
56.3154;14.4851
56.5691;14.6244
56.8228;14.4984
57.0765;14.4909
57.3301;14.4835
57.5838;14.421
57.8375;14.573
58.0912;14.492
58.3448;14.5432
58.5985;14.4939
58.8522;14.5857
59.1059;14.5194
59.3595;14.5451
59.6132;14.5989
59.8669;14.5515
60.1205;14.4814
60.3742;14.292
60.6279;14.1062
60.8816;14.1349
61.1352;14.0788
61.3889;14.0671
61.6426;14.0225
61.8963;13.9484
62.1499;13.9758
62.4036;14.0844
62.6573;14.187
62.911;14.1061
63.1646;13.9524
63.4183;13.9426
63.672;14.0269
63.9256;13.9757
64.1793;13.9696
64.433;13.947
64.6867;13.873
64.9403;14.0098
65.194;13.9199
