Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 02:33:35
Device temperature = 27.2729
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB2i7m
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;24.8786
0.253673;23.6688
0.507346;22.1554
0.76102;21.0738
1.01469;21.4576
1.26837;21.3802
1.52204;21.3042
1.77571;20.7231
2.02939;20.6681
2.28306;21.052
2.53673;21.0497
2.79041;21.1436
3.04408;21.0374
3.29775;20.9882
3.55142;21.0709
3.8051;21.0641
4.05877;20.899
4.31244;20.8422
4.56612;20.7137
4.81979;20.7311
5.07346;20.7509
5.32714;20.7204
5.58081;20.7976
5.83448;20.7954
6.08816;20.8703
6.34183;20.9754
6.5955;21.0255
6.84918;21.0683
7.10285;21.1602
7.35652;21.1363
7.6102;21.156
7.86387;21.1134
8.11754;21.0009
8.37122;20.8884
8.62489;21.0484
8.87856;21.2289
9.13223;21.2313
9.38591;21.2477
9.63958;21.1447
9.89325;21.1085
10.1469;21.0855
10.4006;21.0445
10.6543;21.1146
10.9079;21.0661
11.1616;20.9497
11.4153;20.898
11.669;21.0005
11.9226;21.0841
12.1763;21.095
12.43;21.0339
12.6837;20.9465
12.9373;20.9477
13.191;21.0106
13.4447;21.1088
13.6984;21.2046
13.952;21.065
14.2057;21.0142
14.4594;20.9911
14.713;20.9787
14.9667;21.1584
15.2204;21.1483
15.4741;21.1255
15.7277;21.0415
15.9814;20.8979
16.2351;20.9788
16.4888;21.0011
16.7424;21.1043
16.9961;21.1557
17.2498;21.116
17.5035;21.116
17.7571;21.0067
18.0108;21.0202
18.2645;21.0692
18.5181;21.0704
18.7718;21.0179
19.0255;21.0476
19.2792;20.9435
19.5328;20.989
19.7865;21.041
20.0402;21.0299
20.2939;21.0245
20.5475;21.0188
20.8012;20.952
21.0549;21.0094
21.3085;20.9585
21.5622;20.9876
21.8159;20.9464
22.0696;20.9638
22.3232;21.0469
22.5769;21.1122
22.8306;21.1245
23.0843;21.0657
23.3379;21.0815
23.5916;20.9474
23.8453;21.0436
24.099;21.0703
24.3526;21.0127
24.6063;21.0095
24.86;21.0412
25.1136;20.9021
25.3673;20.9166
25.621;20.8771
25.8747;20.9051
26.1283;20.9056
26.382;20.8631
26.6357;20.7662
26.8894;20.7459
27.143;20.8205
27.3967;20.9111
27.6504;20.8697
27.9041;20.8534
28.1577;20.7507
28.4114;20.6106
28.6651;20.273
28.9187;19.1871
29.1724;16.466
29.4261;15.1392
29.6798;14.5717
29.9334;14.4531
30.1871;14.4833
30.4408;14.4619
30.6945;14.3671
30.9481;14.3582
31.2018;14.1735
31.4555;14.2825
31.7092;14.2101
31.9628;14.2284
32.2165;14.3561
32.4702;14.4854
32.7238;14.721
32.9775;14.8969
33.2312;14.8037
33.4849;14.6829
33.7385;14.5245
33.9922;14.516
34.2459;14.6447
34.4996;14.728
34.7532;14.8275
35.0069;14.8391
35.2606;14.6175
35.5142;14.3635
35.7679;14.2008
36.0216;13.9661
36.2753;13.9752
36.5289;13.9014
36.7826;13.8773
37.0363;13.8421
37.29;13.8658
37.5436;13.8424
37.7973;13.8052
38.051;13.8315
38.3047;13.7927
38.5583;13.8055
38.812;13.6635
39.0657;13.6646
39.3193;13.6101
39.573;13.5687
39.8267;13.6923
40.0804;13.6831
40.334;13.6903
40.5877;13.6638
40.8414;13.6284
41.0951;13.632
41.3487;13.6657
41.6024;13.7215
41.8561;13.7062
42.1097;13.7317
42.3634;13.7208
42.6171;13.659
42.8708;13.7511
43.1244;13.8198
43.3781;13.8927
43.6318;13.8148
43.8855;13.7727
44.1391;13.8548
44.3928;13.8767
44.6465;13.8074
44.9002;13.6909
45.1538;13.5988
45.4075;13.5485
45.6612;13.5765
45.9148;13.4852
46.1685;13.489
46.4222;13.3564
46.6759;13.2154
46.9295;13.0892
47.1832;13.0708
47.4369;13.1492
47.6906;13.0905
47.9442;13.1255
48.1979;13.0951
48.4516;13.0862
48.7053;12.9824
48.9589;13.0316
49.2126;13.0448
49.4663;13.0635
49.7199;13.0972
49.9736;13.0624
50.2273;13.1157
50.481;13.0837
50.7346;13.035
50.9883;13.0181
51.242;13.0162
51.4957;13.0685
51.7493;13.0358
52.003;13.0036
52.2567;13.0637
52.5104;13.0651
52.764;13.055
53.0177;13.0716
53.2714;13.005
53.525;13.1013
53.7787;13.1531
54.0324;13.0594
54.2861;13.0158
54.5397;12.8555
54.7934;12.8781
55.0471;12.8377
55.3008;12.8676
55.5544;12.913
55.8081;12.9118
56.0618;12.914
56.3154;13.1021
56.5691;13.0999
56.8228;13.0782
57.0765;13.0832
57.3301;12.9871
57.5838;13.0215
57.8375;13.0473
58.0912;12.9944
58.3448;12.9996
58.5985;13.0469
58.8522;12.9695
59.1059;12.965
59.3595;12.8662
59.6132;12.8081
59.8669;12.7718
60.1205;12.744
60.3742;12.6592
60.6279;12.6195
60.8816;12.6336
61.1352;12.6603
61.3889;12.55
61.6426;12.5765
61.8963;12.6862
62.1499;12.6232
62.4036;12.5504
62.6573;12.5567
62.911;12.5944
63.1646;12.5637
63.4183;12.5243
63.672;12.6914
63.9256;12.6128
64.1793;12.6003
64.433;12.6519
64.6867;12.6413
64.9403;12.5631
65.194;12.5385
65.4477;12.5065
65.7014;12.6181
65.955;12.6545
66.2087;12.6983
66.4624;12.6798
66.716;12.6942
66.9697;12.7037
67.2234;12.7361
67.4771;12.7372
67.7307;12.7255
67.9844;12.7382
68.2381;12.7809
68.4918;12.8144
68.7454;12.8227
68.9991;12.8517
69.2528;12.9327
69.5065;12.9857
69.7601;13.1836
70.0138;13.2164
70.2675;13.1367
70.5211;13.1122
70.7748;12.9944
71.0285;12.9697
71.2822;12.9572
71.5358;12.8216
71.7895;12.9314
72.0432;12.9729
72.2969;12.9507
72.5505;12.9297
72.8042;12.8697
73.0579;12.8047
73.3116;12.8414
73.5652;12.8786
73.8189;12.8645
74.0726;12.8487
74.3262;12.7799
74.5799;12.7627
74.8336;12.6544
75.0873;12.6297
75.3409;12.5389
75.5946;12.4788
75.8483;12.5883
76.102;12.6461
76.3556;12.6838
76.6093;12.7659
76.863;12.653
77.1167;12.6253
77.3703;12.5351
77.624;12.7057
77.8777;12.6538
78.1313;12.5599
78.385;12.4951
78.6387;12.4138
78.8924;12.3924
79.146;12.3259
79.3997;12.3129
79.6534;12.2591
79.9071;12.227
80.1607;12.1867
80.4144;12.0908
80.6681;12.131
80.9218;12.1415
81.1754;12.0846
81.4291;12.0592
81.6828;12.0297
81.9364;11.9997
82.1901;12.0828
82.4438;12.0937
82.6975;12.0842
82.9511;12.1391
83.2048;12.1217
83.4585;12.1895
83.7122;12.1979
83.9658;12.2741
84.2195;12.3531
84.4732;12.2665
84.7268;12.1924
84.9805;12.0693
85.2342;11.9145
85.4879;11.8713
85.7415;11.8931
85.9952;11.9954
86.2489;12.0151
86.5026;11.8849
86.7562;11.9679
87.0099;12.0481
87.2636;12.0649
87.5173;12.0738
87.7709;12.0562
88.0246;12.0752
88.2783;12.1985
88.5319;12.2452
88.7856;12.1811
89.0393;12.0782
89.293;12.0356
89.5466;11.8634
89.8003;11.8609
90.054;11.915
90.3077;11.9325
90.5613;11.9455
90.815;11.9854
91.0687;11.8988
91.3223;11.9463
91.576;11.9789
91.8297;12.0254
92.0834;11.994
92.337;11.9318
92.5907;11.8656
92.8444;11.9734
93.0981;11.9381
93.3517;12.0366
93.6054;11.9845
93.8591;12.0849
94.1128;12.0564
94.3664;12.108
94.6201;12.0158
94.8738;12.0579
95.1274;11.9969
95.3811;12.0964
95.6348;12.0024
95.8885;12.0097
96.1421;11.9762
96.3958;12.0243
96.6495;11.9769
96.9032;12.0419
97.1568;12.1319
97.4105;12.133
97.6642;12.0565
97.9179;11.9461
98.1715;11.9644
98.4252;11.9416
98.6789;11.972
98.9325;11.8964
99.1862;11.957
99.4399;12.0842
99.6936;12.1748
99.9472;12.1874
100.201;12.2123
100.455;12.1682
100.708;12.2221
100.962;12.2905
101.216;12.3586
101.469;12.417
101.723;12.2987
101.977;12.2187
102.23;11.9947
102.484;11.8693
102.738;11.9128
102.991;11.8727
103.245;11.6827
103.499;11.5657
103.752;11.426
104.006;11.3511
104.26;11.3409
104.513;11.3452
104.767;11.3705
105.021;11.3323
105.274;11.3552
105.528;11.2835
105.782;11.1955
106.035;11.1464
106.289;11.0366
106.543;10.907
106.796;10.8095
107.05;10.8326
107.304;10.701
107.557;10.5642
107.811;10.5515
108.065;10.5418
108.318;10.5639
108.572;10.5727
108.826;10.3512
109.079;10.3199
109.333;10.2173
109.587;10.0013
109.84;9.93433
110.094;9.80022
110.348;9.65037
110.602;9.61745
110.855;9.6597
111.109;9.80677
111.363;10.0175
111.616;10.1731
111.87;10.0652
112.124;9.99994
112.377;9.8569
112.631;9.75604
112.885;9.68335
113.138;9.72848
113.392;9.70917
113.646;9.71314
113.899;9.70449
114.153;9.70421
114.407;9.51837
114.66;9.58466
114.914;9.52743
115.168;9.58448
115.421;9.43074
115.675;9.3291
115.929;9.14377
116.182;9.01723
116.436;8.93624
116.69;8.82832
116.943;8.76402
117.197;8.81245
117.451;8.91432
117.704;9.04639
117.958;9.13146
118.212;9.15917
118.465;9.18045
118.719;9.06494
118.973;8.96898
119.226;8.7776
119.48;8.58366
119.734;8.56801
119.987;8.49389
120.241;8.51811
120.495;8.51065
120.748;8.39275
121.002;8.26311
121.256;8.43219
121.509;8.76629
121.763;9.24741
122.017;9.40031
122.27;9.11493
122.524;8.37501
122.778;8.37318
123.032;8.41223
123.285;8.45992
123.539;8.55808
123.793;8.70008
124.046;8.80772
124.3;8.82893
124.554;9.06235
124.807;9.30746
125.061;9.26881
125.315;9.32039
125.568;9.39231
125.822;9.52179
126.076;9.7899
126.329;9.84329
126.583;9.95846
126.837;10.2016
127.09;10.3917
127.344;10.5747
127.598;10.7103
127.851;10.632
128.105;10.6227
128.359;10.6048
128.612;10.7707
128.866;10.7524
129.12;10.744
129.373;10.744
129.627;11.0676
129.881;11.1752
130.134;11.357
130.388;11.4305
130.642;11.5409
130.895;11.6161
131.149;11.5413
131.403;11.4821
131.656;11.4016
131.91;11.436
132.164;11.5535
132.417;11.5545
132.671;11.3971
132.925;11.434
133.178;11.4965
133.432;11.7653
133.686;12.037
133.939;11.9973
134.193;11.8218
134.447;11.739
134.7;11.8707
134.954;11.9166
135.208;11.7801
135.461;11.7216
135.715;11.78
135.969;12.0018
136.223;12.101
136.476;12.0916
136.73;11.8926
136.984;11.6346
137.237;11.4693
137.491;11.2493
137.745;11.2013
137.998;11.3041
138.252;11.3928
138.506;11.4904
138.759;11.1619
139.013;10.9839
139.267;10.8034
139.52;10.8136
139.774;10.9329
140.028;10.947
140.281;10.9698
140.535;11.1187
140.789;11.4611
141.042;11.4376
141.296;11.2716
141.55;11.1908
141.803;11.3743
142.057;11.4853
142.311;11.7737
142.564;12.165
142.818;12.1605
143.072;11.7854
143.325;11.4178
143.579;11.2284
143.833;11.2682
144.086;11.4307
144.34;11.6059
144.594;11.6914
144.847;11.7172
145.101;11.6025
145.355;11.5482
145.608;11.5978
145.862;11.6741
146.116;11.7833
146.369;12.0361
146.623;12.1433
146.877;12.0036
147.13;11.8047
147.384;11.7278
147.638;11.7961
147.891;11.7196
148.145;11.7273
148.399;11.7689
148.652;11.785
148.906;12.082
149.16;12.4821
149.414;12.6287
149.667;12.677
149.921;12.2793
150.175;12.2106
150.428;12.2143
150.682;12.3152
150.936;12.5734
151.189;12.6568
151.443;12.6243
151.697;12.6771
151.95;12.7437
152.204;12.6377
152.458;12.5227
152.711;12.5816
152.965;12.6817
153.219;12.7812
153.472;12.8397
153.726;13.0676
153.98;13.1841
154.233;13.0661
154.487;12.8782
154.741;12.8317
154.994;12.9131
155.248;12.9726
155.502;12.903
155.755;12.9038
156.009;12.862
156.263;12.8365
156.516;12.779
156.77;12.8305
157.024;12.9639
157.277;13.0061
157.531;12.9403
157.785;12.9056
158.038;12.7614
158.292;12.7974
158.546;12.7884
158.799;12.7154
159.053;12.8575
159.307;13.0661
159.56;13.0593
159.814;12.9382
160.068;12.8384
160.321;12.811
160.575;12.798
160.829;12.7091
161.082;12.7843
161.336;12.9113
161.59;12.9525
161.844;12.8946
162.097;12.7328
162.351;12.5948
162.605;12.6346
162.858;12.6729
163.112;12.8762
163.366;12.9501
163.619;12.9191
163.873;12.9106
164.127;12.8884
164.38;12.8407
164.634;12.8343
164.888;12.8431
165.141;13.0067
165.395;13.0441
165.649;13.0424
165.902;12.971
166.156;12.7958
166.41;12.7215
166.663;12.809
166.917;12.7961
167.171;12.8992
167.424;12.9141
167.678;12.779
167.932;12.7037
168.185;12.6551
168.439;12.6256
168.693;12.6632
168.946;12.6171
169.2;12.7468
169.454;12.643
169.707;12.5741
169.961;12.5365
170.215;12.5071
170.468;12.4768
170.722;12.5448
170.976;12.4706
171.229;12.6032
171.483;12.6284
171.737;12.5884
171.99;12.642
172.244;12.7314
172.498;12.7569
172.751;12.6437
173.005;12.5835
173.259;12.7523
173.512;12.8847
173.766;12.8413
174.02;12.828
174.273;12.8607
174.527;12.944
174.781;12.8436
175.035;12.8505
175.288;12.9
175.542;12.9504
175.796;12.8365
176.049;12.7934
176.303;12.8517
176.557;12.9065
176.81;12.857
177.064;12.7764
177.318;12.8023
177.571;12.9396
177.825;12.9506
178.079;13.0558
178.332;13.1605
178.586;13.2242
178.84;13.3174
179.093;13.2797
179.347;13.3085
179.601;13.2666
179.854;13.2289
180.108;13.0274
180.362;12.9603
180.615;12.9748
180.869;13.0562
181.123;13.1972
181.376;13.27
181.63;13.1911
181.884;13.1274
182.137;12.9068
182.391;12.843
182.645;12.918
182.898;12.8353
183.152;12.7506
183.406;12.7006
183.659;12.7462
183.913;12.7342
184.167;12.749
184.42;12.5717
184.674;12.6396
184.928;12.6852
185.181;12.9034
185.435;12.9893
185.689;12.8873
185.942;12.8299
186.196;12.8526
186.45;12.9197
186.703;12.8199
186.957;12.8339
187.211;12.9635
187.464;13.0588
187.718;13.0148
187.972;12.9263
188.226;12.8615
188.479;12.8258
188.733;12.9021
188.987;12.8899
189.24;12.8104
189.494;12.73
189.748;12.6979
190.001;12.6283
190.255;12.611
190.509;12.5553
190.762;12.5898
191.016;12.573
191.27;12.5576
191.523;12.6379
191.777;12.7391
192.031;12.7714
192.284;12.7899
192.538;12.8475
192.792;12.8067
193.045;12.6101
193.299;12.375
193.553;12.3715
193.806;12.472
194.06;12.4784
194.314;12.5019
194.567;12.4198
194.821;12.4173
195.075;12.4769
195.328;12.3842
195.582;12.3037
195.836;12.2381
196.089;12.2314
196.343;12.0874
196.597;12.0715
196.85;11.8569
197.104;11.6458
197.358;11.4619
197.611;11.505
197.865;11.7051
198.119;11.9475
198.372;11.9478
198.626;11.5157
198.88;11.2963
199.133;11.276
199.387;11.3461
199.641;11.5336
199.894;11.7317
200.148;11.8985
200.402;12.0869
200.656;12.0099
200.909;11.8047
201.163;11.7701
201.417;11.762
201.67;12.0045
201.924;12.0958
202.178;12.2225
202.431;12.3137
202.685;12.1512
202.939;12.0314
203.192;12.0322
203.446;11.9945
203.7;12.0485
203.953;11.9446
204.207;12.0468
204.461;11.9919
204.714;11.8808
204.968;11.7237
205.222;11.5121
205.475;11.3627
205.729;11.2381
205.983;11.1487
206.236;11.1438
206.49;11.062
206.744;11.0526
206.997;11.0419
207.251;10.9964
207.505;10.8973
207.758;10.7012
208.012;10.5585
208.266;10.5269
208.519;10.6485
208.773;10.6411
209.027;10.8084
209.28;11.2416
209.534;11.5173
209.788;11.2543
210.041;10.898
210.295;10.8183
210.549;10.7741
210.802;10.5835
211.056;10.4917
211.31;10.5665
211.563;10.667
211.817;10.7572
212.071;10.7797
212.324;10.7721
212.578;10.7178
212.832;10.6695
213.085;10.7183
213.339;10.6802
213.593;10.616
213.846;10.6018
214.1;10.5914
214.354;10.5625
214.608;10.6332
214.861;10.6194
215.115;10.6796
215.369;10.7138
215.622;10.7684
215.876;10.8547
216.13;10.9559
216.383;11.0286
216.637;11.1575
216.891;11.233
217.144;11.4111
217.398;11.4964
217.652;11.6392
217.905;11.6429
218.159;11.4533
218.413;11.2575
218.666;11.0571
218.92;10.9738
219.174;10.9578
219.427;10.8822
219.681;10.9011
219.935;10.8143
220.188;10.7994
220.442;10.7889
220.696;10.731
220.949;10.6091
221.203;10.5334
221.457;10.4164
221.71;10.4002
221.964;10.3999
222.218;10.2899
222.471;10.0773
222.725;10.0175
222.979;9.90151
223.232;9.83844
223.486;9.70784
223.74;9.68586
223.993;9.70637
224.247;9.48894
224.501;9.33178
224.754;9.23155
225.008;9.48012
225.262;9.74058
225.515;9.91517
225.769;9.92544
226.023;9.70394
226.276;9.48469
226.53;9.35734
226.784;9.39686
227.038;9.38446
227.291;9.41544
227.545;9.42318
227.799;9.55954
228.052;9.8917
228.306;10.077
228.56;10.2407
228.813;10.2988
229.067;10.2891
229.321;10.2522
229.574;10.2057
229.828;10.3166
230.082;10.3039
230.335;10.1069
230.589;10.0543
230.843;10.038
231.096;9.99674
231.35;10.0064
231.604;10.1948
231.857;10.4053
232.111;11.8403
232.365;12.7008
232.618;13.0604
232.872;13.2692
233.126;13.1287
233.379;13.2007
233.633;13.1658
233.887;13.1623
234.14;13.2515
234.394;13.2335
234.648;13.2158
234.901;13.2269
235.155;13.2925
235.409;13.2318
235.662;13.232
235.916;13.2664
236.17;13.1913
236.423;13.1814
236.677;13.2515
236.931;13.2264
237.184;13.1769
237.438;13.1941
237.692;13.182
237.945;13.2293
238.199;13.2648
238.453;13.2366
238.706;13.1999
238.96;13.224
239.214;13.2323
239.467;13.2245
239.721;13.1549
239.975;13.1073
240.229;13.2263
240.482;13.2562
240.736;13.243
240.99;13.3141
241.243;13.2602
241.497;13.2853
241.751;13.2112
242.004;13.1779
242.258;13.2716
242.512;13.26
242.765;13.2058
243.019;13.2465
243.273;13.2719
243.526;13.1965
243.78;13.1744
244.034;13.1756
244.287;13.2708
244.541;13.2572
244.795;13.2395
245.048;13.2654
245.302;13.3006
245.556;13.2038
245.809;13.1958
246.063;13.2112
246.317;13.2119
246.57;13.2166
246.824;13.2102
247.078;13.221
247.331;13.2156
247.585;13.1947
247.839;13.1731
248.092;13.1632
248.346;13.14
248.6;13.2929
248.853;13.2327
249.107;13.1969
249.361;13.1619
249.614;13.1821
249.868;13.2016
250.122;13.1979
250.375;13.1807
250.629;13.1752
250.883;13.2697
251.136;13.2332
251.39;13.1752
251.644;13.2114
251.897;13.1664
252.151;13.1546
252.405;13.2474
252.659;13.2041
252.912;13.2162
253.166;13.2409
253.42;13.2178
253.673;13.1775
253.927;13.1605
254.181;13.1644
254.434;13.2344
254.688;13.2248
254.942;13.2133
255.195;13.2192
255.449;13.1622
255.703;13.0773
255.956;13.1398
256.21;13.1828
256.464;13.2108
256.717;13.1995
256.971;13.2437
257.225;13.1494
257.478;13.1829
257.732;13.1569
257.986;13.1253
258.239;13.191
258.493;13.2209
258.747;13.2159
259;13.1952
259.254;13.1791
259.508;13.2139
259.761;13.1728
260.015;13.1349
260.269;13.1782
260.522;13.1255
260.776;13.1208
261.03;13.1933
261.283;13.1641
261.537;13.1527
261.791;13.1779
262.044;13.1424
262.298;13.1233
262.552;13.2003
262.805;13.2021
263.059;13.1707
263.313;13.1846
263.566;13.1819
263.82;13.1613
264.074;13.1423
264.327;13.0748
264.581;13.134
264.835;13.1578
265.089;13.2433
265.342;13.1767
265.596;13.1367
265.85;13.1034
266.103;13.0842
266.357;13.0993
266.611;13.1344
266.864;13.1565
267.118;13.1277
267.372;13.1263
267.625;13.0763
267.879;13.1027
268.133;13.0473
268.386;13.1157
268.64;13.1048
268.894;13.0937
269.147;13.1246
269.401;13.1077
269.655;13.1062
269.908;13.1213
270.162;13.1517
270.416;13.1162
270.669;13.1393
270.923;13.1301
271.177;13.1371
271.43;13.1684
271.684;13.1516
271.938;13.1996
272.191;13.1183
272.445;13.1543
272.699;13.2281
272.952;13.2218
273.206;13.1062
273.46;13.2013
273.713;13.137
273.967;13.1359
274.221;13.146
274.474;13.1313
274.728;13.2072
274.982;13.1424
275.235;13.1624
275.489;13.1745
275.743;13.1079
275.996;13.1759
276.25;13.1515
276.504;13.093
276.757;13.171
277.011;13.1509
277.265;13.18
277.518;13.1821
277.772;13.1344
278.026;13.1153
278.28;13.1213
278.533;13.1384
278.787;13.1674
279.041;13.1852
279.294;13.1248
279.548;13.1706
279.802;13.0942
280.055;13.1383
280.309;13.1148
280.563;13.0908
280.816;13.0688
281.07;13.1935
281.324;13.148
281.577;13.165
281.831;13.0774
282.085;13.1186
282.338;13.0776
282.592;13.0898
282.846;13.0452
283.099;13.1166
283.353;13.0888
283.607;13.0661
283.86;13.0241
284.114;13.0741
284.368;13.0118
284.621;13.0325
284.875;13.1017
285.129;13.0772
285.382;13.1298
285.636;13.0849
285.89;13.0155
286.143;13.0297
286.397;13.064
286.651;13.0578
286.904;13.0865
287.158;13.1072
287.412;13.0627
287.665;13.1502
287.919;13.1196
288.173;13.1042
288.426;13.0577
288.68;13.1006
288.934;13.0961
289.187;13.0885
289.441;13.0593
289.695;13.0735
289.948;13.0756
290.202;13.1255
290.456;13.0406
290.709;13.0419
290.963;13.0649
291.217;13.0778
291.47;13.0431
291.724;13.1333
291.978;13.1014
292.232;13.0288
292.485;13.0124
292.739;13.094
292.993;13.1392
293.246;13.1712
293.5;13.0996
293.754;13.1157
294.007;13.114
294.261;13.0465
294.515;13.0909
294.768;13.1006
295.022;13.0536
295.276;13.1013
295.529;13.1275
295.783;13.0855
296.037;13.0291
296.29;13.0326
296.544;13.0774
296.798;13.1211
297.051;13.127
297.305;13.096
297.559;13.005
297.812;13.147
298.066;13.0933
298.32;13.0333
298.573;13.0618
298.827;13.0815
299.081;13.0727
299.334;13.0678
299.588;13.0378
299.842;13.0334
300.095;13.0413
300.349;12.9721
300.603;13.0386
300.856;13.0429
301.11;13.0757
301.364;13.0352
301.617;13.0585
301.871;13.0576
302.125;13.0701
302.378;13.0688
302.632;13.0087
302.886;13.0445
303.139;13.0456
303.393;13.0491
303.647;13.023
303.9;13.0259
304.154;13.0738
304.408;13.0109
304.661;12.9978
304.915;12.9994
305.169;13.0995
305.423;13.0332
305.676;13.1087
305.93;13.1609
306.184;13.1643
306.437;13.0958
306.691;13.0498
306.945;13.0729
307.198;13.1012
307.452;13.0804
307.706;13.0865
307.959;13.1309
308.213;13.0829
308.467;13.0446
308.72;13.0999
308.974;13.134
309.228;13.0421
309.481;13.1393
309.735;13.1098
309.989;13.0269
310.242;13.0735
310.496;13.02
310.75;13.0827
311.003;13.1232
311.257;13.0683
311.511;13.0163
311.764;13.0269
312.018;13.0345
312.272;13.104
312.525;13.0693
312.779;13.0186
313.033;13.0678
313.286;13.1047
313.54;13.0659
313.794;13.0587
314.047;13.0446
314.301;13.0895
314.555;12.9967
314.808;13.0075
315.062;13.0319
315.316;13.04
315.569;13.0464
315.823;13.0314
316.077;13.0394
316.33;12.9787
316.584;12.9146
316.838;13.007
317.091;12.9683
317.345;12.9911
317.599;12.9692
317.853;13.0585
318.106;12.9576
318.36;13.0032
318.614;13.0297
318.867;13.0555
319.121;12.9733
319.375;12.9835
319.628;12.9944
319.882;13.0312
320.136;13.0195
320.389;13.0003
320.643;13.0884
320.897;13.0275
321.15;13.0643
321.404;13.0347
321.658;13.0385
321.911;13.0257
322.165;12.9737
322.419;13.0018
322.672;13.0232
322.926;12.9713
323.18;12.9652
323.433;13.0519
323.687;13.0174
323.941;13.0475
324.194;13.0642
324.448;13.0491
324.702;13.0431
324.955;13.0049
325.209;12.9181
325.463;13.0466
325.716;13.0688
325.97;12.9866
326.224;13.081
326.477;13.0294
326.731;12.9861
326.985;12.9635
327.238;12.9551
327.492;12.9869
327.746;13.0163
327.999;13.044
328.253;13.0445
328.507;13.0839
328.76;13.0454
329.014;12.9874
329.268;13.0278
329.521;12.9904
329.775;13.0593
330.029;13.0301
330.283;13.0006
330.536;12.9806
330.79;12.9504
331.044;12.9813
331.297;12.9571
331.551;13.0112
331.805;13.0541
332.058;13.0607
332.312;13.0964
332.566;12.997
332.819;12.9448
333.073;12.9475
333.327;12.9508
333.58;12.9706
333.834;13.0146
334.088;12.9594
334.341;13.0061
334.595;13.0255
334.849;13.0239
335.102;12.9321
335.356;12.9432
