Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 02:23:35
Device temperature = 27.3651
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB2uu6
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;24.9276
0.253673;23.7212
0.507346;22.1588
0.76102;21.2017
1.01469;21.4055
1.26837;21.5194
1.52204;21.4175
1.77571;20.7574
2.02939;20.7361
2.28306;21.196
2.53673;21.2646
2.79041;21.3231
3.04408;21.1416
3.29775;21.1529
3.55142;21.2114
3.8051;21.2206
4.05877;21.0898
4.31244;21.0022
4.56612;20.9361
4.81979;20.9092
5.07346;20.9186
5.32714;20.8695
5.58081;20.8604
5.83448;20.9816
6.08816;21.0756
6.34183;21.1258
6.5955;21.132
6.84918;21.2831
7.10285;21.3635
7.35652;21.3356
7.6102;21.3867
7.86387;21.2361
8.11754;21.1605
8.37122;21.1126
8.62489;21.1825
8.87856;21.3632
9.13223;21.4269
9.38591;21.423
9.63958;21.4387
9.89325;21.3247
10.1469;21.2747
10.4006;21.3212
10.6543;21.3624
10.9079;21.3099
11.1616;21.2306
11.4153;21.1491
11.669;21.279
11.9226;21.2826
12.1763;21.298
12.43;21.2719
12.6837;21.1367
12.9373;21.168
13.191;21.2663
13.4447;21.311
13.6984;21.3815
13.952;21.3005
14.2057;21.2748
14.4594;21.185
14.713;21.1692
14.9667;21.2885
15.2204;21.3809
15.4741;21.3701
15.7277;21.3119
15.9814;21.1659
16.2351;21.2681
16.4888;21.2677
16.7424;21.2481
16.9961;21.3485
17.2498;21.4002
17.5035;21.2981
17.7571;21.2634
18.0108;21.203
18.2645;21.3385
18.5181;21.2745
18.7718;21.234
19.0255;21.1575
19.2792;21.1963
19.5328;21.2848
19.7865;21.2707
20.0402;21.2103
20.2939;21.2527
20.5475;21.1577
20.8012;21.1228
21.0549;21.2634
21.3085;21.2306
21.5622;21.1965
21.8159;21.1404
22.0696;21.1381
22.3232;21.1984
22.5769;21.2695
22.8306;21.2789
23.0843;21.2806
23.3379;21.1864
23.5916;21.1368
23.8453;21.1067
24.099;21.1425
24.3526;21.2122
24.6063;21.1438
24.86;21.304
25.1136;21.1289
25.3673;21.0547
25.621;21.0593
25.8747;21.0799
26.1283;21.0878
26.382;21.0417
26.6357;20.9489
26.8894;20.9767
27.143;21.0336
27.3967;21.029
27.6504;21.0622
27.9041;21.0555
28.1577;20.9531
28.4114;20.6281
28.6651;20.3443
28.9187;19.3319
29.1724;16.4799
29.4261;15.0692
29.6798;14.4785
29.9334;14.4335
30.1871;14.5067
30.4408;14.4604
30.6945;14.3819
30.9481;14.368
31.2018;14.2532
31.4555;14.1643
31.7092;14.195
31.9628;14.3146
32.2165;14.4533
32.4702;14.5733
32.7238;14.7619
32.9775;14.9172
33.2312;14.8233
33.4849;14.6768
33.7385;14.5022
33.9922;14.5038
34.2459;14.6807
34.4996;14.7325
34.7532;14.8494
35.0069;14.7784
35.2606;14.5187
35.5142;14.2906
35.7679;14.1197
36.0216;13.9968
36.2753;13.8846
36.5289;13.864
36.7826;13.7643
37.0363;13.7602
37.29;13.7308
37.5436;13.7813
37.7973;13.7262
38.051;13.7907
38.3047;13.7253
38.5583;13.7367
38.812;13.6781
39.0657;13.5523
39.3193;13.5285
39.573;13.5048
39.8267;13.617
40.0804;13.5851
40.334;13.5938
40.5877;13.5946
40.8414;13.5561
41.0951;13.5478
41.3487;13.6112
41.6024;13.5701
41.8561;13.6749
42.1097;13.691
42.3634;13.6678
42.6171;13.6808
42.8708;13.773
43.1244;13.737
43.3781;13.7319
43.6318;13.7522
43.8855;13.792
44.1391;13.7996
44.3928;13.7579
44.6465;13.7958
44.9002;13.7342
45.1538;13.5113
45.4075;13.4801
45.6612;13.5483
45.9148;13.5362
46.1685;13.4598
46.4222;13.2736
46.6759;13.1804
46.9295;13.1025
47.1832;13.164
47.4369;13.1697
47.6906;13.1293
47.9442;13.0373
48.1979;13.0893
48.4516;13.108
48.7053;13.0789
48.9589;13.1093
49.2126;13.0677
49.4663;13.0891
49.7199;13.1002
49.9736;13.1084
50.2273;13.1419
50.481;13.1301
50.7346;13.2043
50.9883;13.2137
51.242;13.154
51.4957;13.2773
51.7493;13.1681
52.003;13.0926
52.2567;13.1218
52.5104;13.1825
52.764;13.1925
53.0177;13.1063
53.2714;13.1386
53.525;13.2143
53.7787;13.1972
54.0324;13.1222
54.2861;13.0963
54.5397;12.9942
54.7934;13.0813
55.0471;12.9206
55.3008;12.9495
55.5544;13.0339
55.8081;13.0931
56.0618;13.1414
56.3154;13.1374
56.5691;13.2119
56.8228;13.2242
57.0765;13.1912
57.3301;13.1589
57.5838;13.1582
57.8375;13.0693
58.0912;13.1485
58.3448;13.1166
58.5985;13.0516
58.8522;13.1454
59.1059;13.0457
59.3595;13.0755
59.6132;12.9733
59.8669;12.8976
60.1205;12.8438
60.3742;12.7816
60.6279;12.755
60.8816;12.7136
61.1352;12.6664
61.3889;12.7111
61.6426;12.7553
61.8963;12.7239
62.1499;12.6339
62.4036;12.6024
62.6573;12.6209
62.911;12.6532
63.1646;12.6542
63.4183;12.6945
63.672;12.7529
63.9256;12.6768
64.1793;12.6857
64.433;12.6642
64.6867;12.7014
64.9403;12.6905
65.194;12.6152
65.4477;12.5614
65.7014;12.7175
65.955;12.7541
66.2087;12.7212
66.4624;12.7401
66.716;12.6781
66.9697;12.6665
67.2234;12.6602
67.4771;12.6962
67.7307;12.805
67.9844;12.8666
68.2381;12.8115
68.4918;12.8674
68.7454;12.8959
68.9991;12.8536
