Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 01:33:35
Device temperature = 27.4016
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB2zZ6
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;25.395
0.253673;24.3325
0.507346;22.801
0.76102;22.0217
1.01469;22.3499
1.26837;22.4914
1.52204;22.5134
1.77571;22.1405
2.02939;22.1042
2.28306;22.4245
2.53673;22.5156
2.79041;22.6591
3.04408;22.5449
3.29775;22.6501
3.55142;22.722
3.8051;22.7455
4.05877;22.6449
4.31244;22.4669
4.56612;22.2753
4.81979;22.4217
5.07346;22.3114
5.32714;22.2494
5.58081;22.3133
5.83448;22.454
6.08816;22.5569
6.34183;22.4932
6.5955;22.589
6.84918;22.746
7.10285;22.7659
7.35652;22.9375
7.6102;22.9502
7.86387;22.725
8.11754;22.6944
8.37122;22.6382
8.62489;22.643
8.87856;22.9806
9.13223;22.9998
9.38591;22.9088
9.63958;22.8744
9.89325;22.7183
10.1469;22.7723
10.4006;22.805
10.6543;22.7477
10.9079;22.9268
11.1616;22.7458
11.4153;22.7052
11.669;22.7506
11.9226;22.8101
12.1763;22.8444
12.43;22.7814
12.6837;22.6979
12.9373;22.7481
13.191;22.6768
13.4447;22.8018
13.6984;22.8978
13.952;22.7204
14.2057;22.7184
14.4594;22.6578
14.713;22.6328
14.9667;22.8445
15.2204;22.8593
15.4741;22.7435
15.7277;22.7172
15.9814;22.5554
16.2351;22.5655
16.4888;22.6718
16.7424;22.7383
16.9961;22.8263
17.2498;22.8246
17.5035;22.6967
17.7571;22.6001
18.0108;22.656
18.2645;22.7739
18.5181;22.7684
18.7718;22.6178
19.0255;22.6547
19.2792;22.6016
19.5328;22.6659
19.7865;22.6457
20.0402;22.6584
20.2939;22.6883
20.5475;22.6073
20.8012;22.4781
21.0549;22.7075
21.3085;22.6722
21.5622;22.7474
21.8159;22.5326
22.0696;22.5077
22.3232;22.6733
22.5769;22.7402
22.8306;22.6965
23.0843;22.769
23.3379;22.7076
23.5916;22.5235
23.8453;22.481
24.099;22.527
24.3526;22.7139
24.6063;22.6312
24.86;22.4966
25.1136;22.3927
25.3673;22.3391
25.621;22.446
25.8747;22.4938
26.1283;22.5306
26.382;22.5684
26.6357;22.4076
26.8894;22.2589
27.143;22.4673
27.3967;22.4241
27.6504;22.5482
27.9041;22.5492
28.1577;22.2524
28.4114;22.0661
28.6651;21.6445
28.9187;20.6069
29.1724;17.769
29.4261;16.2972
29.6798;15.6901
29.9334;15.5777
30.1871;15.4447
30.4408;15.4395
30.6945;15.5214
30.9481;15.3448
31.2018;15.2558
31.4555;15.2304
31.7092;15.1524
31.9628;15.271
32.2165;15.3088
32.4702;15.5778
32.7238;15.7554
32.9775;16.0275
33.2312;16.0183
33.4849;15.6939
33.7385;15.5896
33.9922;15.5783
34.2459;15.7001
34.4996;15.8301
34.7532;15.9014
35.0069;15.9011
35.2606;15.6292
