Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 02:13:35
Device temperature = 27.4417
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB24ia
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;24.932
0.253673;23.7495
0.507346;22.197
0.76102;21.2104
1.01469;21.5142
1.26837;21.6509
1.52204;21.5541
1.77571;21.0609
2.02939;21.0532
2.28306;21.3678
2.53673;21.4127
2.79041;21.5642
3.04408;21.4487
3.29775;21.4909
3.55142;21.4695
3.8051;21.4945
4.05877;21.4603
4.31244;21.2146
4.56612;21.1755
4.81979;21.1315
5.07346;21.143
5.32714;21.1982
5.58081;21.2058
5.83448;21.2951
6.08816;21.4381
6.34183;21.4281
6.5955;21.4468
6.84918;21.5818
7.10285;21.6855
7.35652;21.6846
7.6102;21.7039
7.86387;21.4975
8.11754;21.4896
8.37122;21.5457
8.62489;21.5026
8.87856;21.6835
9.13223;21.7496
9.38591;21.7753
9.63958;21.7353
9.89325;21.5179
10.1469;21.5722
10.4006;21.6325
10.6543;21.5616
10.9079;21.6776
11.1616;21.5707
11.4153;21.4131
11.669;21.57
11.9226;21.6069
12.1763;21.655
12.43;21.5166
12.6837;21.4564
12.9373;21.5303
13.191;21.5391
13.4447;21.6104
13.6984;21.6852
13.952;21.5617
14.2057;21.4958
14.4594;21.3685
14.713;21.3644
14.9667;21.6252
15.2204;21.628
15.4741;21.5997
15.7277;21.5422
15.9814;21.3513
16.2351;21.4735
16.4888;21.3946
16.7424;21.5148
16.9961;21.6242
17.2498;21.5906
17.5035;21.5445
17.7571;21.4765
18.0108;21.5018
18.2645;21.5581
18.5181;21.4043
18.7718;21.4842
19.0255;21.3929
19.2792;21.4073
19.5328;21.4608
19.7865;21.4441
20.0402;21.4771
20.2939;21.5549
20.5475;21.3485
20.8012;21.3906
21.0549;21.5186
21.3085;21.4788
21.5622;21.442
21.8159;21.3952
22.0696;21.3604
22.3232;21.4546
22.5769;21.4919
22.8306;21.5754
23.0843;21.5883
23.3379;21.494
23.5916;21.3957
23.8453;21.477
24.099;21.4195
24.3526;21.4581
24.6063;21.4029
24.86;21.3357
25.1136;21.378
25.3673;21.296
25.621;21.2496
25.8747;21.3158
26.1283;21.346
26.382;21.3129
26.6357;21.2076
26.8894;21.1173
27.143;21.1689
27.3967;21.228
27.6504;21.2809
27.9041;21.2308
28.1577;21.1464
28.4114;20.9449
28.6651;20.5582
28.9187;19.5018
29.1724;16.7505
29.4261;15.3386
29.6798;14.703
29.9334;14.6438
30.1871;14.6537
30.4408;14.6362
30.6945;14.6147
30.9481;14.551
31.2018;14.5023
31.4555;14.4912
31.7092;14.4186
31.9628;14.4637
32.2165;14.5736
32.4702;14.7558
32.7238;14.8343
32.9775;14.9584
33.2312;14.9863
33.4849;14.8341
33.7385;14.6378
33.9922;14.638
34.2459;14.6854
34.4996;14.8451
34.7532;14.9292
35.0069;14.8309
35.2606;14.6543
35.5142;14.4532
35.7679;14.2868
36.0216;14.1032
36.2753;14.0053
36.5289;13.8377
36.7826;13.7995
37.0363;13.8584
37.29;13.9086
37.5436;13.8284
37.7973;13.837
38.051;13.8648
38.3047;13.781
38.5583;13.8298
38.812;13.6722
39.0657;13.6982
39.3193;13.6494
39.573;13.6562
39.8267;13.7238
40.0804;13.6664
40.334;13.7074
40.5877;13.7656
40.8414;13.5951
41.0951;13.7419
41.3487;13.7353
41.6024;13.7786
41.8561;13.8232
42.1097;13.8307
42.3634;13.8744
42.6171;13.8787
42.8708;13.8707
43.1244;13.9339
43.3781;13.9438
43.6318;14.0056
43.8855;14.0424
44.1391;13.9726
44.3928;14.075
44.6465;14.0184
44.9002;13.9174
45.1538;13.7923
45.4075;13.7331
45.6612;13.8007
45.9148;13.775
46.1685;13.7656
46.4222;13.6367
46.6759;13.5877
46.9295;13.4701
47.1832;13.4145
47.4369;13.456
47.6906;13.4291
47.9442;13.4345
48.1979;13.437
48.4516;13.4302
48.7053;13.4087
48.9589;13.4963
49.2126;13.2979
49.4663;13.353
49.7199;13.3151
49.9736;13.4255
50.2273;13.4383
50.481;13.4351
50.7346;13.5092
50.9883;13.5082
51.242;13.4121
51.4957;13.5199
51.7493;13.4978
52.003;13.5172
52.2567;13.4768
52.5104;13.4664
52.764;13.5574
53.0177;13.5491
53.2714;13.4254
53.525;13.5924
53.7787;13.5174
54.0324;13.4366
54.2861;13.4338
54.5397;13.1952
54.7934;13.2385
55.0471;13.2637
55.3008;13.1573
55.5544;13.3183
55.8081;13.4814
56.0618;13.4622
56.3154;13.616
56.5691;13.4826
56.8228;13.5176
57.0765;13.4342
57.3301;13.3916
57.5838;13.3978
57.8375;13.3967
58.0912;13.3693
58.3448;13.3546
58.5985;13.3309
58.8522;13.4008
59.1059;13.3273
59.3595;13.2507
59.6132;13.2338
59.8669;13.1334
60.1205;12.9501
60.3742;12.9634
60.6279;12.9149
60.8816;12.9323
61.1352;12.7807
61.3889;12.8361
61.6426;12.8602
61.8963;12.9518
62.1499;12.8643
62.4036;12.8607
62.6573;12.8474
62.911;12.8904
63.1646;12.8214
63.4183;12.8892
63.672;12.8341
63.9256;12.8756
64.1793;12.8419
64.433;12.8755
64.6867;12.8584
64.9403;12.7949
65.194;12.7869
65.4477;12.7455
65.7014;12.8273
65.955;12.9633
66.2087;12.9161
66.4624;12.9445
66.716;12.8997
66.9697;12.8479
67.2234;12.8632
67.4771;12.9058
67.7307;12.906
67.9844;12.9547
68.2381;12.9602
68.4918;13.0487
68.7454;13.0714
68.9991;13.1076
69.2528;13.114
69.5065;13.1241
69.7601;13.4043
70.0138;13.3618
70.2675;13.3896
70.5211;13.2943
70.7748;13.1816
71.0285;13.1425
71.2822;13.1005
71.5358;13.0044
71.7895;13.1806
72.0432;13.2959
72.2969;13.2818
72.5505;13.193
72.8042;13.1645
73.0579;13.155
73.3116;13.2007
73.5652;13.1524
73.8189;13.1101
74.0726;13.2196
74.3262;13.0067
74.5799;13.0166
74.8336;12.9391
75.0873;12.9036
75.3409;12.908
75.5946;12.7841
75.8483;12.8927
76.102;12.9538
76.3556;12.9555
76.6093;13.0089
76.863;13.043
77.1167;13.027
77.3703;12.9048
77.624;12.9703
77.8777;13.0073
78.1313;12.9757
78.385;12.8323
78.6387;12.7812
78.8924;12.6477
79.146;12.7019
79.3997;12.5109
79.6534;12.4859
79.9071;12.547
80.1607;12.5099
80.4144;12.4195
80.6681;12.4282
80.9218;12.3823
81.1754;12.4152
81.4291;12.3224
81.6828;12.3304
81.9364;12.3277
82.1901;12.4132
82.4438;12.3769
82.6975;12.4375
82.9511;12.4738
83.2048;12.4591
83.4585;12.3856
83.7122;12.466
83.9658;12.5962
84.2195;12.6822
84.4732;12.6859
84.7268;12.5891
84.9805;12.3566
85.2342;12.2616
85.4879;12.2074
85.7415;12.2433
85.9952;12.3428
86.2489;12.3601
86.5026;12.2781
86.7562;12.2509
87.0099;12.3122
87.2636;12.4175
87.5173;12.3511
87.7709;12.4094
88.0246;12.5393
88.2783;12.5177
88.5319;12.5637
88.7856;12.5676
89.0393;12.4897
89.293;12.436
89.5466;12.264
89.8003;12.1575
90.054;12.2581
90.3077;12.3394
90.5613;12.2333
90.815;12.2785
91.0687;12.2684
91.3223;12.3578
91.576;12.3367
91.8297;12.3119
92.0834;12.2915
92.337;12.3174
92.5907;12.243
92.8444;12.3243
93.0981;12.2481
93.3517;12.3927
93.6054;12.3439
93.8591;12.271
94.1128;12.4674
94.3664;12.4755
94.6201;12.3524
94.8738;12.3838
95.1274;12.4198
95.3811;12.516
95.6348;12.424
95.8885;12.2011
96.1421;12.3177
96.3958;12.3389
96.6495;12.369
96.9032;12.4262
97.1568;12.4203
97.4105;12.3965
97.6642;12.3723
97.9179;12.3394
98.1715;12.3472
98.4252;12.3391
98.6789;12.402
98.9325;12.386
99.1862;12.4212
99.4399;12.5409
99.6936;12.5866
99.9472;12.6573
100.201;12.5628
100.455;12.6094
100.708;12.6679
100.962;12.6874
101.216;12.752
101.469;12.7568
101.723;12.6101
101.977;12.5447
102.23;12.4235
102.484;12.3354
102.738;12.3458
102.991;12.2431
103.245;12.108
103.499;12.0023
103.752;11.7473
104.006;11.712
104.26;11.6179
104.513;11.6811
104.767;11.5253
105.021;11.6245
105.274;11.6686
105.528;11.6174
105.782;11.4864
106.035;11.4341
106.289;11.3354
106.543;11.2705
106.796;11.1741
107.05;11.2031
107.304;11.0204
107.557;10.8415
107.811;10.8093
108.065;10.7328
108.318;10.8052
108.572;10.7489
108.826;10.6362
109.079;10.5378
109.333;10.3948
109.587;10.2993
