Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 01:43:35
Device temperature = 27.4797
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB29Zt
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;25.3831
0.253673;24.2353
0.507346;22.7687
0.76102;21.8234
1.01469;22.1069
1.26837;22.2421
1.52204;22.3362
1.77571;21.8533
2.02939;21.839
2.28306;22.3268
2.53673;22.3001
2.79041;22.3139
3.04408;22.2937
3.29775;22.3034
3.55142;22.3956
3.8051;22.3773
4.05877;22.4036
4.31244;22.1938
4.56612;22.1192
4.81979;22.0121
5.07346;22.0057
5.32714;22.0083
5.58081;21.9878
5.83448;22.1713
6.08816;22.2899
6.34183;22.4357
6.5955;22.3943
6.84918;22.4328
7.10285;22.5175
7.35652;22.6047
7.6102;22.6222
7.86387;22.5633
8.11754;22.5037
8.37122;22.3705
8.62489;22.4427
8.87856;22.6697
9.13223;22.7121
9.38591;22.6643
9.63958;22.58
9.89325;22.5767
10.1469;22.5088
10.4006;22.5386
10.6543;22.592
10.9079;22.4616
11.1616;22.4473
11.4153;22.3683
11.669;22.3973
11.9226;22.5525
12.1763;22.4859
12.43;22.5547
12.6837;22.4369
12.9373;22.236
13.191;22.3894
13.4447;22.4111
13.6984;22.5946
13.952;22.5481
14.2057;22.4076
14.4594;22.3467
14.713;22.3845
14.9667;22.4654
15.2204;22.5609
15.4741;22.4555
15.7277;22.4542
15.9814;22.2963
16.2351;22.2654
16.4888;22.4363
16.7424;22.5312
16.9961;22.5124
17.2498;22.4777
17.5035;22.3723
17.7571;22.3554
18.0108;22.4639
18.2645;22.4682
18.5181;22.4536
18.7718;22.4068
19.0255;22.3145
19.2792;22.2677
19.5328;22.402
19.7865;22.4714
20.0402;22.41
20.2939;22.29
20.5475;22.2383
20.8012;22.339
21.0549;22.3787
21.3085;22.3948
21.5622;22.3737
21.8159;22.3121
22.0696;22.2833
22.3232;22.3257
22.5769;22.3438
22.8306;22.4563
23.0843;22.4544
23.3379;22.4075
23.5916;22.2539
23.8453;22.2111
24.099;22.2787
24.3526;22.3186
24.6063;22.3254
24.86;22.2804
25.1136;22.1997
25.3673;22.1387
25.621;22.1599
25.8747;22.2135
26.1283;22.3045
26.382;22.1367
26.6357;22.0814
26.8894;22.0704
27.143;22.155
27.3967;22.2297
27.6504;22.152
27.9041;22.2477
28.1577;22.0644
28.4114;21.9286
28.6651;21.4395
28.9187;20.4549
29.1724;17.6691
29.4261;16.2453
29.6798;15.6
29.9334;15.4208
30.1871;15.4614
30.4408;15.4883
30.6945;15.3983
30.9481;15.2739
31.2018;15.1316
31.4555;15.0589
31.7092;15.0607
31.9628;15.1558
32.2165;15.308
32.4702;15.4568
32.7238;15.643
32.9775;15.8849
33.2312;15.7892
33.4849;15.5735
33.7385;15.4513
33.9922;15.4046
34.2459;15.5919
34.4996;15.7104
34.7532;15.8083
35.0069;15.8381
35.2606;15.4765
35.5142;15.1507
35.7679;14.8922
36.0216;14.8908
36.2753;14.8155
36.5289;14.8117
36.7826;14.7228
37.0363;14.7187
37.29;14.8336
37.5436;14.6928
37.7973;14.6134
38.051;14.7199
38.3047;14.6534
38.5583;14.6931
38.812;14.5433
39.0657;14.5443
39.3193;14.5729
39.573;14.5308
39.8267;14.596
40.0804;14.6212
40.334;14.5849
40.5877;14.6122
40.8414;14.5653
41.0951;14.6666
41.3487;14.5615
41.6024;14.6733
41.8561;14.632
42.1097;14.6871
42.3634;14.6789
42.6171;14.621
42.8708;14.6259
43.1244;14.8074
43.3781;14.7662
43.6318;14.8232
43.8855;14.7879
44.1391;14.862
44.3928;14.7472
44.6465;14.8063
44.9002;14.8227
45.1538;14.6831
45.4075;14.6584
45.6612;14.665
45.9148;14.6068
46.1685;14.4721
46.4222;14.3976
46.6759;14.3231
46.9295;14.3335
47.1832;14.2726
47.4369;14.2258
47.6906;14.2414
47.9442;14.207
48.1979;14.2121
48.4516;14.1357
48.7053;14.2003
48.9589;14.1584
49.2126;14.2053
49.4663;14.3315
49.7199;14.3518
49.9736;14.333
50.2273;14.3249
50.481;14.272
50.7346;14.3474
50.9883;14.2393
51.242;14.2693
51.4957;14.3504
51.7493;14.3435
52.003;14.4146
52.2567;14.3735
52.5104;14.3991
52.764;14.3523
53.0177;14.1937
53.2714;14.2247
53.525;14.1412
53.7787;14.2045
54.0324;14.2053
54.2861;14.2172
54.5397;14.2182
54.7934;14.1975
55.0471;14.1929
55.3008;14.2812
55.5544;14.1513
55.8081;14.0824
56.0618;14.0184
56.3154;13.958
56.5691;14.0702
56.8228;14.0395
57.0765;14.0257
57.3301;14.0859
57.5838;14.0803
57.8375;14.1392
58.0912;14.1043
58.3448;14.1885
58.5985;14.1774
58.8522;14.2262
59.1059;14.1506
59.3595;14.181
59.6132;14.0344
59.8669;13.9012
60.1205;13.7818
60.3742;13.853
60.6279;13.7636
60.8816;13.7017
61.1352;13.627
61.3889;13.6592
61.6426;13.6311
61.8963;13.6622
62.1499;13.6172
62.4036;13.6571
62.6573;13.6081
62.911;13.5531
63.1646;13.4621
63.4183;13.4968
63.672;13.4985
63.9256;13.5521
64.1793;13.4521
64.433;13.6362
64.6867;13.5676
64.9403;13.6373
65.194;13.5757
65.4477;13.5777
65.7014;13.5954
65.955;13.5904
66.2087;13.5107
66.4624;13.657
66.716;13.5659
66.9697;13.5314
67.2234;13.5245
67.4771;13.7053
67.7307;13.6919
67.9844;13.7442
68.2381;13.6999
68.4918;13.7462
68.7454;13.6755
68.9991;13.6947
69.2528;13.7152
69.5065;13.8223
69.7601;13.9491
70.0138;14.1231
70.2675;14.0641
70.5211;14.0414
70.7748;14.0047
71.0285;13.9128
71.2822;13.8772
71.5358;13.929
71.7895;13.9622
72.0432;14.0014
72.2969;13.9606
72.5505;13.9634
72.8042;13.9859
73.0579;13.9459
73.3116;13.9339
73.5652;13.9569
73.8189;14.0223
74.0726;13.9972
74.3262;13.9126
74.5799;13.8301
74.8336;13.8249
75.0873;13.7746
75.3409;13.7091
75.5946;13.6419
75.8483;13.6846
76.102;13.7009
76.3556;13.6923
76.6093;13.7935
76.863;13.887
77.1167;13.8176
77.3703;13.8303
77.624;13.8083
77.8777;13.8158
78.1313;13.7573
78.385;13.6542
78.6387;13.7286
78.8924;13.5636
79.146;13.477
79.3997;13.4973
79.6534;13.351
79.9071;13.4311
80.1607;13.3119
80.4144;13.2664
80.6681;13.2096
80.9218;13.2607
81.1754;13.139
81.4291;13.1322
81.6828;13.1407
81.9364;13.1267
82.1901;13.1155
82.4438;13.0658
82.6975;13.0945
82.9511;13.2076
83.2048;13.1892
83.4585;13.1536
83.7122;13.1787
83.9658;13.3655
84.2195;13.4084
84.4732;13.3993
84.7268;13.3099
84.9805;13.1574
85.2342;13.0851
85.4879;13.0495
85.7415;13.1727
85.9952;13.2399
86.2489;13.1641
86.5026;13.0415
86.7562;13.1021
87.0099;13.215
87.2636;13.3136
87.5173;13.3173
87.7709;13.3325
88.0246;13.3876
88.2783;13.4214
88.5319;13.4087
88.7856;13.4007
89.0393;13.2823
89.293;13.166
89.5466;13.1209
89.8003;13.0752
90.054;13.1028
90.3077;13.1442
90.5613;13.0416
90.815;13.0383
91.0687;13.0036
91.3223;13.0139
91.576;13.1492
91.8297;13.2253
92.0834;13.1724
92.337;13.1855
92.5907;13.1023
92.8444;13.0503
93.0981;13.087
93.3517;13.1407
93.6054;13.1592
93.8591;13.1774
94.1128;13.2057
94.3664;13.0952
94.6201;13.0188
94.8738;13.0179
95.1274;13.1747
95.3811;13.1896
95.6348;13.1916
95.8885;13.157
96.1421;13.0486
96.3958;13.0604
96.6495;13.0026
96.9032;13.1066
97.1568;13.2333
97.4105;13.1378
97.6642;13.1013
97.9179;13.1503
98.1715;13.2488
98.4252;13.2805
98.6789;13.2679
98.9325;13.2312
99.1862;13.3526
99.4399;13.5121
99.6936;13.5919
99.9472;13.5848
100.201;13.4005
100.455;13.4731
100.708;13.5269
100.962;13.5656
101.216;13.6555
101.469;13.6683
101.723;13.5316
101.977;13.4441
102.23;13.2044
102.484;13.1205
102.738;13.1793
102.991;13.0538
103.245;12.9089
103.499;12.7134
103.752;12.6442
104.006;12.5421
104.26;12.4467
104.513;12.4034
104.767;12.3245
105.021;12.4857
105.274;12.4527
105.528;12.3266
105.782;12.2389
106.035;12.1053
106.289;11.9916
106.543;11.8192
106.796;11.7725
107.05;11.829
107.304;11.6838
107.557;11.4891
107.811;11.4266
108.065;11.4702
108.318;11.4514
108.572;11.3291
108.826;11.2627
109.079;11.089
109.333;10.9129
109.587;10.819
109.84;10.6572
110.094;10.5895
110.348;10.4875
110.602;10.5969
110.855;10.6139
111.109;10.7239
111.363;10.8072
111.616;10.965
111.87;10.9462
112.124;10.9011
112.377;10.6935
112.631;10.6168
112.885;10.5654
113.138;10.5704
113.392;10.4867
113.646;10.6156
113.899;10.5508
114.153;10.5948
114.407;10.4801
114.66;10.5486
114.914;10.4703
115.168;10.5377
115.421;10.4095
115.675;10.3116
115.929;10.0809
116.182;10.0298
116.436;9.84983
116.69;9.76916
116.943;9.71979
117.197;9.81699
117.451;10.0621
117.704;10.124
117.958;10.3149
118.212;10.3795
118.465;10.4077
118.719;10.3254
118.973;10.2419
119.226;10.0658
119.48;9.849
119.734;9.7208
119.987;9.66401
120.241;9.66135
120.495;9.58785
120.748;9.55322
121.002;9.44689
121.256;9.46855
121.509;9.65909
121.763;9.98085
122.017;10.2458
122.27;9.95218
122.524;9.45649
122.778;9.43045
123.032;9.55751
123.285;9.62034
123.539;9.71553
123.793;9.96428
124.046;10.0146
124.3;10.0074
124.554;10.1788
124.807;10.4001
125.061;10.5033
125.315;10.5176
125.568;10.6325
125.822;10.923
126.076;11.1442
126.329;11.3011
126.583;11.4366
126.837;11.6232
127.09;11.9386
127.344;12.106
127.598;11.9109
127.851;11.8283
128.105;11.7623
128.359;11.8582
128.612;11.8287
128.866;11.8126
129.12;11.8676
129.373;11.8417
129.627;12.0115
129.881;12.0856
130.134;12.3243
130.388;12.4606
130.642;12.6508
130.895;12.7503
131.149;12.7303
131.403;12.6712
131.656;12.3911
131.91;12.3063
132.164;12.4096
132.417;12.5
132.671;12.3837
132.925;12.371
133.178;12.3095
133.432;12.3747
133.686;12.7424
133.939;12.9006
134.193;13.0228
134.447;13.0914
134.7;13.2461
134.954;13.1844
135.208;12.9201
135.461;12.7424
135.715;12.6949
135.969;12.7386
136.223;12.8059
136.476;12.8413
136.73;12.8707
136.984;12.8185
137.237;12.5821
137.491;12.3721
137.745;12.2001
137.998;12.3242
138.252;12.4201
138.506;12.3629
138.759;12.0403
139.013;11.7764
139.267;11.6917
139.52;11.7763
139.774;11.9943
140.028;11.9706
140.281;12.0784
140.535;12.1057
140.789;12.4226
141.042;12.2696
141.296;12.1041
141.55;12.086
141.803;12.287
142.057;12.4778
142.311;12.6997
142.564;13.0166
142.818;13.0581
143.072;12.6258
143.325;12.3438
143.579;12.2546
143.833;12.3102
144.086;12.4257
144.34;12.4739
144.594;12.6892
144.847;12.5832
145.101;12.5639
145.355;12.5849
145.608;12.578
145.862;12.6914
146.116;12.7354
146.369;12.9811
146.623;13.0573
146.877;12.9757
147.13;12.8739
147.384;12.838
147.638;12.8141
