Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 01:53:35
Device temperature = 27.5
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB3AAA
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;25.2183
0.253673;24.0859
0.507346;22.5148
0.76102;21.7303
1.01469;21.9024
1.26837;21.9786
1.52204;22.0487
1.77571;21.6521
2.02939;21.5366
2.28306;21.8497
2.53673;21.9156
2.79041;22.0929
3.04408;22.0345
3.29775;22.0007
3.55142;22.0729
3.8051;22.0815
4.05877;21.9863
4.31244;21.8544
4.56612;21.6718
4.81979;21.7028
5.07346;21.7305
5.32714;21.6688
5.58081;21.643
5.83448;21.8858
6.08816;21.9785
6.34183;21.9462
6.5955;22.0357
6.84918;22.0771
7.10285;22.235
7.35652;22.2901
7.6102;22.2877
7.86387;22.1857
8.11754;22.146
8.37122;22.0164
8.62489;22.1065
8.87856;22.1945
9.13223;22.2882
9.38591;22.3514
9.63958;22.2744
9.89325;22.1373
10.1469;22.1784
10.4006;22.1902
10.6543;22.2407
10.9079;22.1643
11.1616;22.1485
11.4153;22.0666
11.669;22.1188
11.9226;22.2045
12.1763;22.2203
12.43;22.0681
12.6837;22.0891
12.9373;21.9979
13.191;22.0829
13.4447;22.1873
13.6984;22.2226
13.952;22.2011
14.2057;22.1631
14.4594;22.0417
14.713;22.1498
14.9667;22.1739
15.2204;22.3313
15.4741;22.1619
15.7277;22.1251
15.9814;22.036
16.2351;22.053
16.4888;22.0081
16.7424;22.1065
16.9961;22.2167
17.2498;22.1942
17.5035;22.0937
17.7571;22.072
18.0108;22.0932
18.2645;22.0597
18.5181;22.0355
18.7718;22.0293
19.0255;21.9943
19.2792;22.0109
19.5328;21.9803
19.7865;22.1192
20.0402;22.1028
20.2939;22.0694
20.5475;21.9623
20.8012;21.9324
21.0549;22.0927
21.3085;22.1035
21.5622;22.008
21.8159;22.0332
22.0696;21.974
22.3232;21.9792
22.5769;22.0765
22.8306;22.0937
23.0843;22.2395
23.3379;22.0584
23.5916;21.8665
23.8453;21.9151
24.099;22.0193
24.3526;21.9601
24.6063;22.0294
24.86;21.9481
25.1136;21.8977
25.3673;21.8321
25.621;21.7593
25.8747;21.8939
26.1283;21.9002
26.382;21.8492
26.6357;21.7357
26.8894;21.6153
27.143;21.7662
27.3967;21.8442
27.6504;21.8434
27.9041;21.8039
28.1577;21.7521
28.4114;21.5599
28.6651;21.1113
28.9187;20.1869
29.1724;17.2389
29.4261;15.7956
29.6798;15.1968
29.9334;15.1169
30.1871;15.0556
30.4408;15.0636
30.6945;14.9963
30.9481;14.8651
31.2018;14.669
31.4555;14.6146
31.7092;14.5634
31.9628;14.6629
32.2165;14.7405
32.4702;15.0595
32.7238;15.2195
32.9775;15.4765
33.2312;15.4103
33.4849;15.1413
33.7385;14.9653
33.9922;15.0271
34.2459;15.0866
34.4996;15.2739
34.7532;15.3701
35.0069;15.5098
35.2606;15.0346
35.5142;14.7833
35.7679;14.5282
36.0216;14.4418
36.2753;14.2178
36.5289;14.1992
36.7826;14.2578
37.0363;14.2986
37.29;14.2099
37.5436;14.2472
37.7973;14.247
38.051;14.2199
38.3047;14.1959
38.5583;14.1499
38.812;14.1263
39.0657;14.0561
39.3193;14.1161
39.573;14.1259
39.8267;14.1263
40.0804;14.1973
40.334;14.2486
40.5877;14.0638
40.8414;14.1941
41.0951;14.1575
41.3487;14.2421
41.6024;14.1814
41.8561;14.1301
42.1097;14.2278
42.3634;14.286
42.6171;14.2024
42.8708;14.294
43.1244;14.3202
43.3781;14.602
43.6318;14.4751
43.8855;14.3682
44.1391;14.4692
44.3928;14.4869
44.6465;14.4676
44.9002;14.3513
45.1538;14.3485
45.4075;14.153
45.6612;14.2835
45.9148;14.1414
46.1685;14.2157
46.4222;14.0676
46.6759;13.9471
46.9295;13.8171
47.1832;13.8251
47.4369;13.908
47.6906;13.9386
47.9442;13.7489
48.1979;13.8594
48.4516;13.8438
48.7053;13.8986
48.9589;13.8695
49.2126;13.9483
49.4663;13.9659
49.7199;14.0042
49.9736;13.9661
50.2273;14.1223
50.481;13.9498
50.7346;14.0525
50.9883;13.9419
51.242;13.9737
51.4957;13.8407
51.7493;13.9854
52.003;13.9624
52.2567;14.0201
52.5104;14.0628
52.764;14.1104
53.0177;14.0099
53.2714;14.0402
53.525;13.9424
53.7787;13.8853
54.0324;13.8653
54.2861;13.816
54.5397;13.7716
54.7934;13.8766
55.0471;13.7998
55.3008;13.8305
55.5544;13.8247
55.8081;13.8543
56.0618;13.8375
56.3154;13.8049
56.5691;13.7865
56.8228;13.8302
57.0765;13.6336
57.3301;13.8453
57.5838;13.8091
57.8375;13.8264
58.0912;13.7887
58.3448;13.7896
58.5985;13.9156
58.8522;13.8783
59.1059;13.7564
59.3595;13.8132
59.6132;13.6056
59.8669;13.4903
60.1205;13.4996
60.3742;13.3906
60.6279;13.3508
60.8816;13.3142
61.1352;13.2162
61.3889;13.2136
61.6426;13.3646
61.8963;13.4151
62.1499;13.3829
62.4036;13.253
62.6573;13.2876
62.911;13.0907
63.1646;13.1927
63.4183;13.1868
63.672;13.3438
63.9256;13.2389
64.1793;13.2983
64.433;13.2494
64.6867;13.2982
64.9403;13.3049
65.194;13.2445
65.4477;13.1934
65.7014;13.3364
65.955;13.3789
66.2087;13.2443
66.4624;13.3115
66.716;13.3271
66.9697;13.2911
67.2234;13.2836
