Header format = ASTRO_E5_archive
Header version = 1
Type = Thermogram
Vendor = Inversion-sensor
Model = E543
Serial number = 0724-010
Firmware version = 1.8.2
Date/Time = 2018-01-01 02:03:35
Device temperature = 27.499
Channel = 1
Meas time = 600
Errors = 0x0
Calib = QvoAAETzwABDdhfPQ3YXz0PAAABE+gAAAAAACgAAAABEGoXvAAAAAAAAAABEehBZPILG70QeQAA/vThHPoUeuD+AAAC/Ao9cAvrwgAAAAAgAAAABAAAAAQAAAJVB2/30
Spatial step = 0.253673
Impulse width = 1
Raw = yes
DualEnd = no
SegmentCorrection = no
Length (m);Temperature (C)
0;25.1795
0.253673;24.0233
0.507346;22.472
0.76102;21.3985
1.01469;21.8
1.26837;21.8336
1.52204;21.8061
1.77571;21.3478
2.02939;21.3407
2.28306;21.671
2.53673;21.8482
2.79041;21.7664
3.04408;21.7584
3.29775;21.7348
3.55142;21.7543
3.8051;21.8097
4.05877;21.7762
4.31244;21.5675
4.56612;21.5568
4.81979;21.4183
5.07346;21.5053
5.32714;21.4653
5.58081;21.3869
5.83448;21.5931
6.08816;21.6708
6.34183;21.7125
6.5955;21.7941
6.84918;21.8518
7.10285;21.9657
7.35652;21.9441
7.6102;22.0219
7.86387;21.9583
8.11754;21.753
8.37122;21.8012
8.62489;21.7219
8.87856;22.0099
9.13223;22.0952
9.38591;22.1071
9.63958;22.0908
9.89325;21.9729
10.1469;21.819
10.4006;21.8561
10.6543;21.8747
10.9079;21.9159
11.1616;21.8488
11.4153;21.8088
11.669;21.9029
11.9226;21.8963
12.1763;21.8811
12.43;21.8583
12.6837;21.7347
12.9373;21.7667
13.191;21.7745
13.4447;21.9796
13.6984;22.0408
13.952;21.9362
14.2057;21.821
14.4594;21.7263
14.713;21.6801
14.9667;21.8692
15.2204;21.9846
15.4741;21.962
15.7277;21.9351
15.9814;21.7673
16.2351;21.6941
16.4888;21.783
16.7424;21.8127
16.9961;21.8177
17.2498;21.9537
17.5035;21.9014
17.7571;21.8321
18.0108;21.8013
18.2645;21.806
18.5181;21.8742
18.7718;21.8396
19.0255;21.6197
19.2792;21.8675
19.5328;21.8776
19.7865;21.878
20.0402;21.7804
20.2939;21.8052
20.5475;21.7179
20.8012;21.7791
21.0549;21.796
21.3085;21.9269
21.5622;21.8722
21.8159;21.646
22.0696;21.5942
22.3232;21.8197
22.5769;21.8025
22.8306;21.9756
23.0843;21.8967
23.3379;21.8384
